(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 0.8, -0.7, 3.3), Return: 0.54%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.7, 3.3): Return: 0.54%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.7, 3.4): Return: 0.54%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.7, 3.5): Return: 0.54%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.7, 3.6): Return: 0.54%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.7, 3.7): Return: 0.53%, Hit Ratio: 54.64%, Max Drawdown: 0.04%
(20, 0.8, -0.3, 3.3): Return: 0.51%, Hit Ratio: 53.51%, Max Drawdown: 0.05%
(20, 0.8, -0.3, 3.4): Return: 0.51%, Hit Ratio: 53.51%, Max Drawdown: 0.05%
(20, 0.8, -0.3, 3.5): Return: 0.51%, Hit Ratio: 53.51%, Max Drawdown: 0.05%
(20, 0.8, -0.3, 3.6): Return: 0.51%, Hit Ratio: 53.51%, Max Drawdown: 0.05%
(20, 0.8, -0.4, 3.3): Return: 0.5%, Hit Ratio: 55.36%, Max Drawdown: 0.05%
(20, 0.8, -0.4, 3.4): Return: 0.5%, Hit Ratio: 55.36%, Max Drawdown: 0.05%
(20, 0.8, -0.4, 3.5): Return: 0.5%, Hit Ratio: 55.36%, Max Drawdown: 0.05%
(20, 0.8, -0.4, 3.6): Return: 0.5%, Hit Ratio: 55.36%, Max Drawdown: 0.05%
(20, 0.8, -0.3, 3.7): Return: 0.5%, Hit Ratio: 53.51%, Max Drawdown: 0.05%
(20, 1.0, -0.3, 3.3): Return: 0.5%, Hit Ratio: 56.57%, Max Drawdown: 0.05%
(20, 1.0, -0.3, 3.4): Return: 0.5%, Hit Ratio: 56.57%, Max Drawdown: 0.05%
(20, 1.0, -0.3, 3.5): Return: 0.5%, Hit Ratio: 56.57%, Max Drawdown: 0.05%
(20, 1.0, -0.3, 3.6): Return: 0.5%, Hit Ratio: 56.57%, Max Drawdown: 0.05%
