(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.6, -0.6, 3.2), Return: 1.51%, Hit Ratio: 66.07%, Max Drawdown: 0.55%
(50, 1.6, -0.6, 3.2): Return: 1.51%, Hit Ratio: 66.07%, Max Drawdown: 0.55%
(50, 1.7, -0.6, 3.2): Return: 1.51%, Hit Ratio: 66.0%, Max Drawdown: 0.55%
(50, 1.7, -0.5, 3.2): Return: 1.48%, Hit Ratio: 64.0%, Max Drawdown: 0.55%
(50, 1.6, -0.5, 3.2): Return: 1.46%, Hit Ratio: 64.29%, Max Drawdown: 0.56%
(50, 1.6, -0.6, 3.1): Return: 1.45%, Hit Ratio: 68.52%, Max Drawdown: 0.55%
(50, 1.7, -0.6, 3.1): Return: 1.45%, Hit Ratio: 68.75%, Max Drawdown: 0.55%
(50, 1.7, -0.5, 3.0): Return: 1.45%, Hit Ratio: 68.89%, Max Drawdown: 0.55%
(50, 1.5, -0.6, 3.2): Return: 1.44%, Hit Ratio: 63.49%, Max Drawdown: 0.56%
(50, 1.6, -0.6, 3.0): Return: 1.43%, Hit Ratio: 68.63%, Max Drawdown: 0.55%
(50, 1.6, -0.5, 3.0): Return: 1.43%, Hit Ratio: 68.63%, Max Drawdown: 0.56%
(50, 1.7, -0.6, 3.0): Return: 1.43%, Hit Ratio: 68.89%, Max Drawdown: 0.55%
(50, 1.6, -0.7, 3.2): Return: 1.42%, Hit Ratio: 63.64%, Max Drawdown: 0.56%
(50, 1.7, -0.7, 3.2): Return: 1.42%, Hit Ratio: 63.27%, Max Drawdown: 0.56%
(50, 1.7, -0.5, 3.1): Return: 1.42%, Hit Ratio: 66.67%, Max Drawdown: 0.56%
(50, 1.5, -0.6, 3.1): Return: 1.4%, Hit Ratio: 66.13%, Max Drawdown: 0.56%
(50, 1.6, -0.5, 3.1): Return: 1.4%, Hit Ratio: 66.67%, Max Drawdown: 0.56%
(50, 1.6, -0.7, 3.1): Return: 1.39%, Hit Ratio: 64.15%, Max Drawdown: 0.56%
(50, 1.7, -0.5, 2.9): Return: 1.39%, Hit Ratio: 68.89%, Max Drawdown: 0.57%
(50, 1.5, -0.6, 3.0): Return: 1.38%, Hit Ratio: 66.1%, Max Drawdown: 0.56%
(50, 1.7, -0.7, 3.1): Return: 1.38%, Hit Ratio: 63.83%, Max Drawdown: 0.56%
(50, 1.6, -0.7, 3.0): Return: 1.37%, Hit Ratio: 64.0%, Max Drawdown: 0.56%
(50, 1.6, -0.6, 2.9): Return: 1.37%, Hit Ratio: 68.63%, Max Drawdown: 0.57%
(50, 1.6, -0.5, 2.9): Return: 1.37%, Hit Ratio: 68.63%, Max Drawdown: 0.57%
(50, 1.7, -0.7, 3.0): Return: 1.37%, Hit Ratio: 63.64%, Max Drawdown: 0.56%
(50, 1.7, -0.6, 2.9): Return: 1.37%, Hit Ratio: 68.89%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 3.2): Return: 1.37%, Hit Ratio: 60.66%, Max Drawdown: 0.55%
(65, 1.5, -0.6, 3.2): Return: 1.37%, Hit Ratio: 60.66%, Max Drawdown: 0.55%
(65, 1.5, -0.6, 3.1): Return: 1.36%, Hit Ratio: 60.66%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 3.1): Return: 1.36%, Hit Ratio: 60.66%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 2.9): Return: 1.35%, Hit Ratio: 63.33%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 3.0): Return: 1.35%, Hit Ratio: 63.33%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 2.9): Return: 1.35%, Hit Ratio: 63.33%, Max Drawdown: 0.57%
(65, 1.5, -0.6, 3.0): Return: 1.35%, Hit Ratio: 63.33%, Max Drawdown: 0.57%
(50, 1.6, -0.7, 2.9): Return: 1.34%, Hit Ratio: 66.0%, Max Drawdown: 0.57%
(50, 1.7, -0.7, 2.9): Return: 1.34%, Hit Ratio: 65.91%, Max Drawdown: 0.57%
(65, 1.5, -0.7, 3.2): Return: 1.34%, Hit Ratio: 60.0%, Max Drawdown: 0.55%
(65, 1.6, -0.6, 3.2): Return: 1.34%, Hit Ratio: 58.18%, Max Drawdown: 0.56%
(65, 1.5, -0.7, 3.2): Return: 1.34%, Hit Ratio: 60.0%, Max Drawdown: 0.55%
(65, 1.6, -0.6, 3.2): Return: 1.34%, Hit Ratio: 58.18%, Max Drawdown: 0.56%
(50, 1.4, -0.7, 3.2): Return: 1.33%, Hit Ratio: 60.0%, Max Drawdown: 0.56%
(50, 1.5, -0.7, 3.2): Return: 1.33%, Hit Ratio: 61.29%, Max Drawdown: 0.56%
(65, 1.5, -0.7, 3.1): Return: 1.33%, Hit Ratio: 60.0%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 3.1): Return: 1.33%, Hit Ratio: 58.18%, Max Drawdown: 0.57%
(65, 1.5, -0.7, 3.1): Return: 1.33%, Hit Ratio: 60.0%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 3.1): Return: 1.33%, Hit Ratio: 58.18%, Max Drawdown: 0.57%
(50, 1.4, -0.6, 3.2): Return: 1.32%, Hit Ratio: 63.38%, Max Drawdown: 0.56%
(65, 1.6, -0.7, 3.2): Return: 1.32%, Hit Ratio: 59.26%, Max Drawdown: 0.56%
(65, 1.6, -0.7, 3.2): Return: 1.32%, Hit Ratio: 59.26%, Max Drawdown: 0.56%
(65, 1.5, -0.7, 2.9): Return: 1.31%, Hit Ratio: 62.07%, Max Drawdown: 0.57%
(65, 1.5, -0.7, 3.0): Return: 1.31%, Hit Ratio: 62.07%, Max Drawdown: 0.57%
(65, 1.6, -0.7, 3.1): Return: 1.31%, Hit Ratio: 59.26%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 2.9): Return: 1.31%, Hit Ratio: 60.38%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 3.0): Return: 1.31%, Hit Ratio: 60.38%, Max Drawdown: 0.57%
(65, 1.5, -0.7, 2.9): Return: 1.31%, Hit Ratio: 62.07%, Max Drawdown: 0.57%
(65, 1.5, -0.7, 3.0): Return: 1.31%, Hit Ratio: 62.07%, Max Drawdown: 0.57%
(65, 1.6, -0.7, 3.1): Return: 1.31%, Hit Ratio: 59.26%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 2.9): Return: 1.31%, Hit Ratio: 60.38%, Max Drawdown: 0.57%
(65, 1.6, -0.6, 3.0): Return: 1.31%, Hit Ratio: 60.38%, Max Drawdown: 0.57%
(50, 1.4, -0.7, 3.1): Return: 1.3%, Hit Ratio: 60.87%, Max Drawdown: 0.56%
(50, 1.5, -0.7, 3.1): Return: 1.3%, Hit Ratio: 62.3%, Max Drawdown: 0.56%
(50, 1.5, -0.6, 2.9): Return: 1.3%, Hit Ratio: 65.0%, Max Drawdown: 0.57%
(50, 1.5, -0.5, 3.2): Return: 1.3%, Hit Ratio: 59.38%, Max Drawdown: 0.56%
(60, 1.5, -0.6, 3.0): Return: 1.3%, Hit Ratio: 59.02%, Max Drawdown: 0.57%
(65, 1.6, -0.7, 2.9): Return: 1.29%, Hit Ratio: 61.54%, Max Drawdown: 0.57%
(65, 1.6, -0.7, 3.0): Return: 1.29%, Hit Ratio: 61.54%, Max Drawdown: 0.57%
(60, 1.5, -0.7, 3.1): Return: 1.29%, Hit Ratio: 58.06%, Max Drawdown: 0.56%
(60, 1.5, -0.7, 3.2): Return: 1.29%, Hit Ratio: 58.06%, Max Drawdown: 0.56%
(60, 1.5, -0.6, 3.1): Return: 1.29%, Hit Ratio: 56.45%, Max Drawdown: 0.56%
(60, 1.5, -0.6, 3.2): Return: 1.29%, Hit Ratio: 56.45%, Max Drawdown: 0.56%
(65, 1.6, -0.7, 2.9): Return: 1.29%, Hit Ratio: 61.54%, Max Drawdown: 0.57%
(65, 1.6, -0.7, 3.0): Return: 1.29%, Hit Ratio: 61.54%, Max Drawdown: 0.57%
(50, 1.5, -0.7, 3.0): Return: 1.28%, Hit Ratio: 62.07%, Max Drawdown: 0.56%
(50, 1.4, -0.7, 3.0): Return: 1.27%, Hit Ratio: 59.7%, Max Drawdown: 0.56%
(50, 1.4, -0.6, 3.1): Return: 1.27%, Hit Ratio: 65.71%, Max Drawdown: 0.57%
(50, 1.5, -0.5, 3.0): Return: 1.27%, Hit Ratio: 61.67%, Max Drawdown: 0.56%
