(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 0.8, -0.7, 3.5), Return: 1.31%, Hit Ratio: 57.69%, Max Drawdown: 0.2%
(30, 0.8, -0.7, 3.5): Return: 1.31%, Hit Ratio: 57.69%, Max Drawdown: 0.2%
(30, 0.8, -0.7, 3.6): Return: 1.31%, Hit Ratio: 57.14%, Max Drawdown: 0.2%
(30, 0.8, -0.7, 3.7): Return: 1.31%, Hit Ratio: 57.14%, Max Drawdown: 0.2%
(35, 0.8, -0.7, 3.7): Return: 1.21%, Hit Ratio: 55.84%, Max Drawdown: 0.2%
(35, 0.8, -0.7, 3.7): Return: 1.21%, Hit Ratio: 55.84%, Max Drawdown: 0.2%
(30, 0.8, -0.6, 3.5): Return: 1.17%, Hit Ratio: 56.25%, Max Drawdown: 0.23%
(30, 0.9, -0.7, 3.5): Return: 1.17%, Hit Ratio: 56.94%, Max Drawdown: 0.19%
(20, 0.9, -0.3, 3.3): Return: 1.16%, Hit Ratio: 57.78%, Max Drawdown: 0.23%
(20, 0.9, -0.3, 3.4): Return: 1.16%, Hit Ratio: 57.78%, Max Drawdown: 0.23%
(20, 0.9, -0.3, 3.5): Return: 1.16%, Hit Ratio: 57.78%, Max Drawdown: 0.23%
(20, 1.0, -0.3, 3.3): Return: 1.16%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(20, 1.0, -0.3, 3.4): Return: 1.16%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(20, 1.0, -0.3, 3.5): Return: 1.16%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(35, 0.8, -0.6, 3.7): Return: 1.16%, Hit Ratio: 56.41%, Max Drawdown: 0.23%
(30, 0.8, -0.6, 3.6): Return: 1.16%, Hit Ratio: 55.7%, Max Drawdown: 0.23%
(30, 0.8, -0.6, 3.7): Return: 1.16%, Hit Ratio: 55.7%, Max Drawdown: 0.23%
(30, 0.9, -0.7, 3.6): Return: 1.16%, Hit Ratio: 56.34%, Max Drawdown: 0.19%
(30, 0.9, -0.7, 3.7): Return: 1.16%, Hit Ratio: 56.34%, Max Drawdown: 0.19%
(35, 0.8, -0.6, 3.7): Return: 1.16%, Hit Ratio: 56.41%, Max Drawdown: 0.23%
(20, 0.9, -0.7, 3.3): Return: 1.14%, Hit Ratio: 57.69%, Max Drawdown: 0.21%
(20, 0.9, -0.7, 3.4): Return: 1.14%, Hit Ratio: 57.69%, Max Drawdown: 0.21%
(20, 0.9, -0.7, 3.5): Return: 1.14%, Hit Ratio: 57.69%, Max Drawdown: 0.21%
(20, 0.9, -0.4, 3.3): Return: 1.14%, Hit Ratio: 56.82%, Max Drawdown: 0.19%
