(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.4, -0.7, 2.8), Return: 1.12%, Hit Ratio: 64.29%, Max Drawdown: 0.56%
(60, 1.4, -0.7, 2.8): Return: 1.12%, Hit Ratio: 64.29%, Max Drawdown: 0.56%
(60, 1.4, -0.7, 2.9): Return: 1.12%, Hit Ratio: 64.29%, Max Drawdown: 0.56%
(60, 1.4, -0.7, 3.0): Return: 1.12%, Hit Ratio: 64.29%, Max Drawdown: 0.56%
(60, 1.3, -0.7, 2.8): Return: 1.1%, Hit Ratio: 62.9%, Max Drawdown: 0.55%
(60, 1.3, -0.7, 2.9): Return: 1.1%, Hit Ratio: 62.9%, Max Drawdown: 0.55%
(60, 1.3, -0.7, 3.0): Return: 1.1%, Hit Ratio: 62.9%, Max Drawdown: 0.55%
(65, 1.3, -0.7, 2.9): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 3.0): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 3.1): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 2.9): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 3.0): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 3.1): Return: 1.03%, Hit Ratio: 62.3%, Max Drawdown: 0.66%
(65, 1.3, -0.7, 2.8): Return: 1.02%, Hit Ratio: 60.66%, Max Drawdown: 0.67%
(65, 1.3, -0.7, 2.8): Return: 1.02%, Hit Ratio: 60.66%, Max Drawdown: 0.67%
(70, 1.3, -0.7, 2.9): Return: 1.01%, Hit Ratio: 62.3%, Max Drawdown: 0.7%
(70, 1.3, -0.7, 3.0): Return: 1.0%, Hit Ratio: 62.3%, Max Drawdown: 0.71%
(70, 1.3, -0.7, 3.1): Return: 1.0%, Hit Ratio: 62.3%, Max Drawdown: 0.71%
(70, 1.4, -0.7, 2.9): Return: 0.98%, Hit Ratio: 64.81%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 2.9): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 3.0): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 3.1): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 2.9): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 3.0): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 3.1): Return: 0.97%, Hit Ratio: 62.5%, Max Drawdown: 0.66%
(70, 1.3, -0.7, 2.8): Return: 0.97%, Hit Ratio: 60.66%, Max Drawdown: 0.74%
(70, 1.4, -0.7, 3.0): Return: 0.97%, Hit Ratio: 64.81%, Max Drawdown: 0.67%
(70, 1.4, -0.7, 3.1): Return: 0.97%, Hit Ratio: 64.81%, Max Drawdown: 0.67%
(50, 1.3, -0.7, 2.8): Return: 0.96%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(65, 1.4, -0.7, 2.8): Return: 0.96%, Hit Ratio: 60.71%, Max Drawdown: 0.66%
(65, 1.4, -0.7, 2.8): Return: 0.96%, Hit Ratio: 60.71%, Max Drawdown: 0.66%
(50, 1.3, -0.4, 2.8): Return: 0.95%, Hit Ratio: 58.11%, Max Drawdown: 0.63%
(70, 1.4, -0.7, 2.8): Return: 0.94%, Hit Ratio: 62.96%, Max Drawdown: 0.7%
(60, 1.5, -0.7, 2.8): Return: 0.93%, Hit Ratio: 64.58%, Max Drawdown: 0.55%
(60, 1.5, -0.7, 2.9): Return: 0.93%, Hit Ratio: 64.58%, Max Drawdown: 0.55%
(60, 1.5, -0.7, 3.0): Return: 0.93%, Hit Ratio: 64.58%, Max Drawdown: 0.55%
(70, 1.3, -0.6, 3.0): Return: 0.88%, Hit Ratio: 59.68%, Max Drawdown: 0.71%
(70, 1.3, -0.6, 3.1): Return: 0.88%, Hit Ratio: 59.68%, Max Drawdown: 0.71%
(70, 1.3, -0.6, 2.9): Return: 0.87%, Hit Ratio: 58.06%, Max Drawdown: 0.72%
(50, 1.4, -0.7, 2.8): Return: 0.85%, Hit Ratio: 56.9%, Max Drawdown: 0.65%
(70, 1.3, -0.6, 2.8): Return: 0.85%, Hit Ratio: 56.45%, Max Drawdown: 0.73%
(70, 1.4, -0.6, 3.0): Return: 0.85%, Hit Ratio: 61.82%, Max Drawdown: 0.67%
(70, 1.4, -0.6, 3.1): Return: 0.85%, Hit Ratio: 61.82%, Max Drawdown: 0.67%
(65, 1.5, -0.7, 2.8): Return: 0.84%, Hit Ratio: 62.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 2.9): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 3.0): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 3.1): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 2.8): Return: 0.84%, Hit Ratio: 62.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 2.9): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 3.0): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(65, 1.5, -0.7, 3.1): Return: 0.84%, Hit Ratio: 64.0%, Max Drawdown: 0.62%
(70, 1.4, -0.6, 2.9): Return: 0.84%, Hit Ratio: 60.0%, Max Drawdown: 0.68%
(50, 1.5, -0.4, 2.8): Return: 0.83%, Hit Ratio: 62.5%, Max Drawdown: 0.69%
(70, 1.4, -0.6, 2.8): Return: 0.83%, Hit Ratio: 58.18%, Max Drawdown: 0.69%
(50, 1.5, -0.7, 2.8): Return: 0.82%, Hit Ratio: 59.62%, Max Drawdown: 0.62%
(70, 1.4, -0.5, 3.0): Return: 0.82%, Hit Ratio: 60.71%, Max Drawdown: 0.69%
(70, 1.4, -0.5, 3.1): Return: 0.82%, Hit Ratio: 60.71%, Max Drawdown: 0.69%
(50, 1.6, -0.7, 2.8): Return: 0.81%, Hit Ratio: 61.36%, Max Drawdown: 0.59%
(50, 1.6, -0.4, 2.8): Return: 0.81%, Hit Ratio: 63.83%, Max Drawdown: 0.66%
(70, 1.3, -0.5, 3.0): Return: 0.81%, Hit Ratio: 57.81%, Max Drawdown: 0.73%
(70, 1.3, -0.5, 3.1): Return: 0.81%, Hit Ratio: 57.81%, Max Drawdown: 0.73%
(70, 1.4, -0.5, 2.9): Return: 0.81%, Hit Ratio: 58.93%, Max Drawdown: 0.7%
(65, 1.4, -0.6, 2.9): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(65, 1.4, -0.6, 3.0): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(65, 1.4, -0.6, 3.1): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(65, 1.4, -0.6, 2.9): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(65, 1.4, -0.6, 3.0): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(65, 1.4, -0.6, 3.1): Return: 0.8%, Hit Ratio: 61.4%, Max Drawdown: 0.69%
(70, 1.3, -0.5, 2.9): Return: 0.8%, Hit Ratio: 56.25%, Max Drawdown: 0.74%
(70, 1.5, -0.7, 2.9): Return: 0.8%, Hit Ratio: 66.0%, Max Drawdown: 0.61%
(70, 1.3, -0.5, 2.8): Return: 0.79%, Hit Ratio: 54.69%, Max Drawdown: 0.75%
(70, 1.4, -0.5, 2.8): Return: 0.79%, Hit Ratio: 57.14%, Max Drawdown: 0.71%
(70, 1.5, -0.7, 3.0): Return: 0.79%, Hit Ratio: 66.0%, Max Drawdown: 0.62%
(70, 1.5, -0.7, 3.1): Return: 0.79%, Hit Ratio: 66.0%, Max Drawdown: 0.62%
(50, 1.7, -0.7, 2.8): Return: 0.78%, Hit Ratio: 65.12%, Max Drawdown: 0.6%
(60, 1.6, -0.7, 2.8): Return: 0.78%, Hit Ratio: 64.44%, Max Drawdown: 0.58%
(60, 1.6, -0.7, 2.9): Return: 0.78%, Hit Ratio: 64.44%, Max Drawdown: 0.58%
(60, 1.6, -0.7, 3.0): Return: 0.78%, Hit Ratio: 64.44%, Max Drawdown: 0.58%
(65, 1.4, -0.6, 2.8): Return: 0.77%, Hit Ratio: 57.89%, Max Drawdown: 0.71%
(65, 1.4, -0.5, 2.9): Return: 0.77%, Hit Ratio: 58.62%, Max Drawdown: 0.71%
(65, 1.4, -0.5, 3.0): Return: 0.77%, Hit Ratio: 58.62%, Max Drawdown: 0.71%
(65, 1.4, -0.5, 3.1): Return: 0.77%, Hit Ratio: 58.62%, Max Drawdown: 0.71%
(65, 1.4, -0.6, 2.8): Return: 0.77%, Hit Ratio: 57.89%, Max Drawdown: 0.71%
