,date,open,high,low,close,volume,average,barCount
0,2015-04-10,1849.0,1855.0,1815.0,1815.0,6439100,1832.705,8503
1,2015-04-13,1814.0,1825.0,1786.0,1823.0,4435300,1806.57,7587
2,2015-04-14,1822.5,1822.5,1794.0,1819.0,4829100,1808.525,7024
3,2015-04-15,1820.0,1826.5,1796.0,1804.5,4668500,1807.34,7295
4,2015-04-16,1804.0,1841.0,1795.0,1841.0,6317600,1812.305,8470
5,2015-04-17,1823.0,1871.5,1817.0,1826.5,7105200,1842.275,9925
6,2015-04-20,1796.0,1824.5,1790.0,1804.0,4836900,1806.005,6948
7,2015-04-21,1838.0,1892.5,1834.5,1891.0,10766900,1867.685,11565
8,2015-04-22,1921.0,1992.5,1920.5,1977.0,15546200,1963.105,19443
9,2015-04-23,2020.0,2027.5,1925.0,1958.5,12542700,1966.95,17775
10,2015-04-24,1901.0,1929.5,1896.5,1906.5,7377300,1910.21,10704
11,2015-04-27,1919.5,1924.5,1896.0,1909.0,5151800,1908.935,8196
12,2015-04-28,1913.5,1920.0,1881.0,1890.0,6220100,1898.245,9207
13,2015-04-30,1864.5,1884.5,1846.0,1854.5,6974300,1863.89,10513
14,2015-05-01,1830.5,1846.0,1808.0,1841.0,5832900,1826.365,8188
15,2015-05-07,1847.0,1865.0,1833.0,1844.5,5646800,1845.93,9345
16,2015-05-08,1852.5,1902.0,1840.0,1896.5,7837500,1879.21,10172
17,2015-05-11,1925.0,1946.0,1883.0,1889.0,7529300,1909.765,12758
18,2015-05-12,1889.0,1909.0,1860.0,1896.0,5076700,1881.455,9364
19,2015-05-13,1930.0,1940.0,1874.0,1883.0,6899400,1895.605,11484
20,2015-05-14,1850.5,1862.0,1830.0,1837.5,7271500,1840.76,10762
21,2015-05-15,1862.5,1876.5,1827.0,1844.0,6154200,1846.78,9746
22,2015-05-18,1844.0,1879.0,1841.5,1868.5,4716700,1863.81,8845
23,2015-05-19,1886.5,1898.5,1879.0,1892.5,3631100,1890.105,5990
24,2015-05-20,1920.0,1941.0,1907.0,1932.5,6584500,1925.905,7898
25,2015-05-21,1916.0,1934.5,1900.5,1904.5,6437700,1915.015,7526
26,2015-05-22,1917.5,1917.5,1882.0,1894.0,4807200,1892.685,7199
27,2015-05-25,1920.0,1958.0,1904.5,1951.0,6451000,1936.46,7666
28,2015-05-26,1951.0,1963.0,1928.0,1947.5,3683600,1944.28,5719
29,2015-05-27,1939.0,1955.5,1921.0,1936.5,4576700,1941.01,6520
30,2015-05-28,1966.0,1994.0,1951.0,1974.0,8281900,1977.17,11982
31,2015-05-29,1965.0,1983.5,1957.5,1974.5,5285600,1970.465,8091
32,2015-06-01,1950.0,2033.5,1941.5,2022.5,7294300,1997.09,8502
33,2015-06-02,2049.0,2060.0,1998.0,2014.5,6695300,2022.335,9152
34,2015-06-03,2010.5,2026.0,1986.5,2004.5,4564100,2001.33,6766
35,2015-06-04,2005.0,2008.5,1983.5,1990.5,5638800,1995.99,7556
36,2015-06-05,1972.0,1975.0,1918.0,1935.5,9877100,1935.75,12371
37,2015-06-08,1947.5,1956.5,1913.0,1936.0,4802800,1935.815,8889
38,2015-06-09,1913.0,1926.5,1893.0,1898.0,6715200,1908.195,7710
39,2015-06-10,1889.0,1928.0,1876.5,1886.5,6378400,1897.605,9139
40,2015-06-11,1887.5,1910.5,1877.5,1886.0,6684400,1888.295,7812
41,2015-06-12,1890.0,1897.5,1870.5,1886.5,7799700,1884.895,6826
42,2015-06-15,1871.0,1888.0,1859.5,1880.5,4444800,1872.935,6199
43,2015-06-16,1860.0,1861.5,1829.0,1838.0,8694300,1841.135,10103
44,2015-06-17,1848.5,1858.0,1823.0,1831.5,6102100,1837.045,8418
45,2015-06-18,1822.5,1824.0,1798.0,1813.0,5424400,1810.845,7307
46,2015-06-19,1829.5,1851.5,1819.0,1821.5,6281900,1835.24,6719
47,2015-06-22,1822.0,1859.0,1816.0,1859.0,5281600,1840.645,6823
48,2015-06-23,1881.5,1924.0,1870.0,1888.5,8248100,1895.845,10172
49,2015-06-24,1896.0,1913.5,1893.0,1893.0,4736600,1901.77,6154
50,2015-06-25,1892.5,1898.0,1875.5,1879.5,4131000,1886.695,5785
51,2015-06-26,1890.0,1895.0,1858.0,1881.0,4375500,1879.69,6189
52,2015-06-29,1801.0,1852.5,1801.0,1832.5,6419800,1831.555,9636
53,2015-06-30,1825.0,1832.0,1796.0,1821.0,6882300,1815.94,9760
54,2015-07-01,1843.5,1869.0,1831.0,1861.5,4290600,1853.685,6025
55,2015-07-02,1895.0,1899.5,1865.5,1870.5,3767400,1881.255,6149
56,2015-07-03,1888.5,1927.5,1876.0,1914.0,6454900,1904.05,7483
57,2015-07-06,1865.5,1877.5,1816.5,1835.0,7076500,1843.965,9634
58,2015-07-07,1863.0,1869.0,1815.0,1818.0,7165100,1840.085,8705
59,2015-07-08,1803.5,1804.5,1706.0,1722.5,11506000,1744.805,15182
60,2015-07-09,1661.0,1727.5,1643.0,1714.5,12138700,1687.5,15891
61,2015-07-10,1722.0,1760.5,1702.0,1745.5,8499600,1740.34,12805
62,2015-07-13,1780.0,1783.0,1760.0,1765.0,5354200,1769.29,7340
63,2015-07-14,1810.0,1821.5,1792.5,1804.0,5302600,1806.145,6061
64,2015-07-15,1811.0,1813.0,1776.0,1786.0,5441600,1790.335,7110
65,2015-07-16,1801.0,1806.5,1793.5,1801.0,3742900,1799.55,5229
66,2015-07-17,1802.0,1810.0,1791.5,1806.0,4098000,1804.34,4830
67,2015-07-21,1810.0,1811.5,1762.5,1782.5,8264700,1780.075,8521
68,2015-07-22,1765.0,1765.0,1718.0,1729.0,10094200,1735.42,11875
69,2015-07-23,1755.5,1756.0,1732.0,1751.0,7841500,1747.615,7547
70,2015-07-24,1735.0,1739.5,1698.5,1709.5,8871000,1713.8,8989
71,2015-07-27,1695.0,1705.0,1678.0,1689.0,6641200,1689.68,7625
72,2015-07-28,1660.0,1685.0,1637.5,1669.0,9230900,1663.34,10879
73,2015-07-29,1674.0,1675.0,1636.0,1651.0,10187000,1652.785,12014
74,2015-07-30,1680.5,1700.5,1676.0,1694.5,9336100,1690.155,10193
75,2015-07-31,1814.5,1886.0,1790.0,1853.0,21103600,1837.235,19622
76,2015-08-03,1853.0,1864.5,1801.0,1823.0,9585400,1819.33,14279
77,2015-08-04,1827.0,1871.0,1818.5,1834.5,9181200,1840.62,10663
78,2015-08-05,1829.0,1859.0,1818.0,1850.5,5679900,1841.67,9681
79,2015-08-06,1871.5,1874.0,1834.0,1838.0,5576100,1853.23,7361
80,2015-08-07,1829.0,1857.5,1801.0,1855.0,5075800,1835.92,7242
81,2015-08-10,1855.0,1862.0,1828.5,1857.5,3541500,1848.65,5538
82,2015-08-11,1866.0,1888.5,1840.0,1865.0,6219300,1863.56,8603
83,2015-08-12,1860.0,1877.0,1829.0,1847.0,6481200,1849.79,7722
84,2015-08-13,1843.0,1855.5,1805.5,1818.5,5337000,1819.57,7433
85,2015-08-14,1810.0,1824.5,1798.5,1815.5,4520600,1811.375,7598
86,2015-08-17,1819.5,1831.5,1786.0,1800.5,4289400,1801.82,5619
87,2015-08-18,1805.0,1831.5,1798.5,1816.0,3683200,1819.225,5605
88,2015-08-19,1804.0,1824.0,1790.5,1791.5,3728800,1802.33,5678
89,2015-08-20,1792.0,1794.5,1753.0,1755.0,4210400,1775.88,5870
90,2015-08-21,1690.0,1713.0,1681.0,1689.0,7409800,1695.49,8881
91,2015-08-24,1630.0,1643.5,1573.5,1578.5,9879600,1608.26,12293
92,2015-08-25,1510.0,1623.5,1496.5,1519.0,13646500,1550.125,20606
93,2015-08-26,1531.0,1618.0,1525.0,1601.0,9453500,1569.325,16177
94,2015-08-27,1655.0,1663.0,1593.0,1603.5,7804900,1616.92,12302
95,2015-08-28,1668.0,1673.0,1638.0,1651.5,5677300,1654.36,9755
96,2015-08-31,1650.0,1651.5,1616.0,1634.0,5054400,1631.205,7498
97,2015-09-01,1628.0,1628.0,1561.5,1561.5,6618700,1591.75,9675
98,2015-09-02,1529.0,1590.5,1526.0,1548.5,5543500,1560.63,9392
99,2015-09-03,1574.0,1618.0,1563.0,1564.5,5157600,1581.62,7673
100,2015-09-04,1570.0,1574.5,1501.0,1514.0,6722500,1525.58,10278
101,2015-09-07,1499.5,1508.0,1465.0,1487.5,7888800,1485.24,12607
102,2015-09-08,1486.0,1497.5,1459.0,1464.0,5212700,1474.505,7898
103,2015-09-09,1537.5,1598.0,1525.5,1593.5,8157000,1561.315,11540
104,2015-09-10,1558.0,1590.5,1550.0,1588.0,6090200,1573.63,10447
105,2015-09-11,1582.0,1615.5,1566.5,1598.0,6477200,1593.94,6178
106,2015-09-14,1597.5,1598.0,1558.0,1569.0,3755500,1577.515,6014
107,2015-09-15,1583.0,1611.5,1553.5,1554.5,4568100,1577.255,6878
108,2015-09-16,1590.0,1606.5,1572.0,1594.0,4576700,1593.64,7653
109,2015-09-17,1621.0,1647.5,1608.5,1633.5,5811500,1628.625,8429
110,2015-09-18,1620.0,1625.0,1572.0,1594.0,5402000,1594.655,9219
111,2015-09-24,1554.0,1584.0,1544.0,1548.0,6442300,1562.255,8601
112,2015-09-25,1571.0,1599.5,1545.5,1596.0,5610200,1577.9,9242
113,2015-09-28,1578.0,1608.0,1552.5,1562.5,5378600,1574.885,9686
114,2015-09-29,1528.5,1531.0,1453.0,1475.5,10516000,1485.67,13929
115,2015-09-30,1511.0,1552.0,1506.5,1532.0,7390700,1535.33,11851
116,2015-10-01,1559.5,1646.0,1559.0,1628.0,11105000,1619.36,15849
117,2015-10-02,1628.0,1664.5,1604.5,1652.0,7976600,1644.33,13404
118,2015-10-05,1675.0,1695.5,1665.0,1669.0,6475000,1679.51,10688
119,2015-10-06,1713.0,1715.5,1671.0,1673.0,6474300,1694.835,9650
120,2015-10-07,1675.0,1740.5,1674.5,1735.0,8964200,1710.92,13649
121,2015-10-08,1721.0,1764.0,1721.0,1736.0,7097700,1739.85,11379
122,2015-10-09,1746.5,1756.0,1712.5,1751.0,6973400,1738.99,9930
123,2015-10-13,1751.0,1751.0,1714.5,1719.5,4898100,1726.025,6855
124,2015-10-14,1686.0,1698.0,1663.0,1688.0,6073600,1680.69,9629
125,2015-10-15,1678.5,1722.0,1662.5,1717.5,4447300,1703.315,7742
126,2015-10-16,1738.5,1781.0,1733.0,1767.5,6721800,1762.885,10120
127,2015-10-19,1762.0,1781.0,1751.5,1755.5,5083700,1762.775,8755
128,2015-10-20,1775.5,1782.5,1739.0,1761.5,5074400,1760.495,8015
129,2015-10-21,1759.5,1806.0,1754.5,1802.0,5400700,1787.915,8497
130,2015-10-22,1780.5,1804.5,1778.5,1796.5,4328500,1794.77,7760
131,2015-10-23,1850.0,1855.0,1833.0,1850.5,8753800,1847.95,10064
132,2015-10-26,1864.5,1876.0,1839.0,1842.5,5755200,1852.255,8353
133,2015-10-27,1837.0,1842.0,1805.5,1808.5,6553800,1820.315,9263
134,2015-10-28,1812.0,1814.5,1795.0,1807.0,4847700,1804.555,9131
135,2015-10-29,1824.5,1829.5,1792.5,1809.0,5251200,1811.42,7841
136,2015-10-30,1812.0,1812.5,1717.0,1781.5,10305000,1777.125,16750
137,2015-11-02,1741.5,1769.0,1719.0,1763.0,7853900,1753.095,11852
138,2015-11-04,1789.0,1811.5,1768.5,1770.0,5764800,1785.185,8243
139,2015-11-05,1782.0,1799.5,1767.5,1794.0,5373800,1788.42,7359
140,2015-11-06,1795.0,1799.0,1777.5,1792.0,4161200,1791.25,6539
141,2015-11-09,1813.0,1850.0,1811.0,1841.5,8396500,1836.515,11217
142,2015-11-10,1814.5,1840.5,1806.0,1839.5,3837300,1825.51,5596
143,2015-11-11,1828.5,1843.0,1815.5,1831.5,4962700,1830.31,7064
144,2015-11-12,1828.5,1838.5,1812.0,1814.5,4333000,1820.725,6368
145,2015-11-13,1796.0,1800.5,1774.5,1795.5,4266000,1790.435,7108
146,2015-11-16,1749.0,1786.5,1745.0,1780.0,3636300,1773.955,6185
147,2015-11-17,1805.0,1818.5,1791.0,1804.0,4257000,1806.815,6326
148,2015-11-18,1804.5,1844.5,1804.5,1828.0,5593100,1832.675,7234
149,2015-11-19,1850.0,1869.0,1828.5,1842.5,5666500,1851.845,7598
150,2015-11-20,1835.0,1835.0,1809.5,1830.5,4810000,1822.68,8009
151,2015-11-24,1821.5,1835.0,1813.5,1830.5,4025200,1826.885,5469
152,2015-11-25,1820.0,1830.0,1788.5,1795.0,5087100,1801.76,6953
153,2015-11-26,1803.0,1834.0,1802.0,1818.5,3528600,1821.815,5971
154,2015-11-27,1822.0,1824.0,1791.5,1797.0,3219400,1801.535,4854
155,2015-11-30,1787.0,1787.5,1760.0,1776.5,6025500,1773.2,7113
156,2015-12-01,1781.0,1803.5,1770.0,1803.0,4521200,1793.465,7319
157,2015-12-02,1809.5,1840.0,1799.5,1815.0,4628600,1822.435,6251
158,2015-12-03,1810.5,1819.5,1796.0,1810.0,3236100,1808.93,5325
159,2015-12-04,1786.0,1787.5,1752.0,1769.0,7430400,1763.87,9056
160,2015-12-07,1786.0,1807.5,1780.0,1787.0,4296400,1795.6,6572
161,2015-12-08,1799.5,1802.0,1765.5,1769.0,3963400,1776.885,6419
162,2015-12-09,1760.0,1798.5,1754.5,1780.0,5489000,1782.005,7273
163,2015-12-10,1769.0,1771.5,1737.5,1738.0,5984600,1747.89,7266
164,2015-12-11,1701.0,1731.5,1700.5,1719.0,9775600,1713.75,10171
165,2015-12-14,1671.0,1677.5,1648.5,1668.5,7499100,1663.235,11534
166,2015-12-15,1668.5,1669.0,1633.0,1634.5,6171600,1649.19,8314
167,2015-12-16,1674.5,1711.0,1670.0,1698.0,7786300,1696.05,9409
168,2015-12-17,1737.0,1745.5,1708.0,1712.0,5559200,1720.935,8014
169,2015-12-18,1714.0,1782.5,1686.5,1687.0,8988600,1713.98,17705
170,2015-12-21,1682.0,1698.5,1663.5,1689.5,4790100,1680.05,7458
171,2015-12-22,1718.0,1719.0,1683.5,1693.5,3962800,1695.41,6123
172,2015-12-24,1712.5,1715.0,1680.0,1684.5,3436800,1694.075,5929
173,2015-12-25,1681.0,1693.0,1671.0,1680.0,2861000,1679.37,5004
174,2015-12-28,1680.0,1710.5,1679.5,1702.0,2839400,1698.505,4346
175,2015-12-29,1692.0,1717.5,1688.5,1713.0,2866400,1705.115,4445
176,2015-12-30,1725.0,1735.5,1710.5,1715.5,3540600,1721.68,5440
177,2016-01-04,1711.5,1720.5,1670.5,1678.5,5509800,1688.845,8237
178,2016-01-05,1670.5,1699.5,1665.0,1685.0,4567800,1684.005,8194
179,2016-01-06,1699.5,1733.0,1692.0,1697.0,7117800,1709.97,10830
180,2016-01-07,1681.0,1691.5,1615.5,1627.0,10007900,1639.68,14499
181,2016-01-08,1610.0,1640.0,1603.5,1613.0,7641500,1619.885,12007
182,2016-01-12,1608.0,1634.0,1565.5,1569.0,6954300,1586.62,11020
183,2016-01-13,1597.5,1641.5,1584.0,1631.5,6199700,1625.785,10786
184,2016-01-14,1578.0,1606.5,1560.5,1602.5,7512400,1583.0,12049
185,2016-01-15,1622.0,1633.0,1577.0,1593.5,6285200,1603.17,11521
186,2016-01-18,1546.5,1583.0,1543.5,1576.5,6209300,1566.755,10662
187,2016-01-19,1565.5,1591.5,1556.0,1583.5,5160500,1573.61,12123
188,2016-01-20,1578.5,1584.0,1527.5,1531.0,7804300,1554.11,11706
189,2016-01-21,1491.0,1512.5,1421.0,1425.5,18227000,1474.655,25402
190,2016-01-22,1494.0,1527.5,1470.0,1524.5,9195600,1499.285,15202
191,2016-01-25,1560.0,1591.5,1544.0,1575.0,13070600,1570.625,18440
192,2016-01-26,1544.0,1547.0,1506.5,1511.0,7438500,1522.83,10826
193,2016-01-27,1563.0,1605.0,1555.0,1588.0,8067100,1582.88,12728
194,2016-01-28,1610.0,1614.5,1559.5,1577.5,8943700,1587.13,14016
195,2016-01-29,1589.5,1697.5,1563.5,1686.5,17588400,1637.7,32224
196,2016-02-01,1806.5,1843.0,1772.0,1842.0,24984700,1813.215,29724
197,2016-02-02,1794.5,1805.5,1747.5,1767.5,10998700,1775.55,18718
198,2016-02-03,1718.0,1720.0,1668.0,1692.5,9325100,1690.73,16263
199,2016-02-04,1656.5,1702.0,1651.5,1680.0,6337000,1678.43,13671
200,2016-02-05,1644.5,1669.0,1585.0,1612.5,9866400,1614.29,15439
201,2016-02-08,1594.0,1641.0,1583.0,1628.0,6519300,1617.59,12115
202,2016-02-09,1533.0,1546.0,1495.0,1513.5,10647800,1518.01,15099
203,2016-02-10,1518.5,1528.5,1409.5,1434.0,12860700,1450.115,20438
