(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (100, 1, 2, -0.5, 0, 3, 2.5), Return: 0.14%, Hit Ratio: 59.74%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3, 2.5): Return: 0.14%, Hit Ratio: 59.74%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3, 3): Return: 0.14%, Hit Ratio: 59.21%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3, 3.5): Return: 0.14%, Hit Ratio: 59.21%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3.5, 2.5): Return: 0.14%, Hit Ratio: 58.97%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3.5, 3): Return: 0.14%, Hit Ratio: 58.44%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0, 3.5, 3.5): Return: 0.14%, Hit Ratio: 58.44%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3, 3): Return: 0.13%, Hit Ratio: 60.87%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3, 3.5): Return: 0.13%, Hit Ratio: 60.87%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.13%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3, 2.5): Return: 0.13%, Hit Ratio: 52.27%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3, 3): Return: 0.13%, Hit Ratio: 51.72%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3, 3.5): Return: 0.13%, Hit Ratio: 51.72%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.13%, Hit Ratio: 51.69%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3.5, 3): Return: 0.13%, Hit Ratio: 51.14%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.13%, Hit Ratio: 51.14%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3, 3): Return: 0.13%, Hit Ratio: 56.25%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 3, 3.5): Return: 0.13%, Hit Ratio: 56.25%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 3.5, 3): Return: 0.13%, Hit Ratio: 55.56%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 3.5, 3.5): Return: 0.13%, Hit Ratio: 55.56%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3, 2.5): Return: 0.13%, Hit Ratio: 54.35%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.13%, Hit Ratio: 53.76%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, 0.5, 2.5, 3): Return: 0.12%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1, 2, 0.5, 0.5, 2.5, 3): Return: 0.12%, Hit Ratio: 48.35%, Max Drawdown: 0.05%
(100, 1, 1.5, -0.5, 0, 3, 2.5): Return: 0.12%, Hit Ratio: 59.76%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3, 3): Return: 0.12%, Hit Ratio: 59.26%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3, 3.5): Return: 0.12%, Hit Ratio: 59.26%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.12%, Hit Ratio: 59.04%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3.5, 3): Return: 0.12%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(100, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.12%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, -0.5, 2.5, 3): Return: 0.12%, Hit Ratio: 56.94%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 2.5, 3.5): Return: 0.12%, Hit Ratio: 56.94%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3, 2.5): Return: 0.12%, Hit Ratio: 60.56%, Max Drawdown: 0.02%
(100, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.12%, Hit Ratio: 59.72%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3, 2.5): Return: 0.12%, Hit Ratio: 56.79%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 3.5, 2.5): Return: 0.12%, Hit Ratio: 56.1%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0.5, 3, 2.5): Return: 0.12%, Hit Ratio: 51.11%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 3, 3): Return: 0.12%, Hit Ratio: 49.44%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 3, 3.5): Return: 0.12%, Hit Ratio: 49.44%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 3.5, 2.5): Return: 0.12%, Hit Ratio: 50.55%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 3.5, 3): Return: 0.12%, Hit Ratio: 48.89%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.12%, Hit Ratio: 48.89%, Max Drawdown: 0.02%
(100, 1, 2, 0.5, 0, 3, 2.5): Return: 0.12%, Hit Ratio: 56.67%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0, 3, 3): Return: 0.12%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0, 3, 3.5): Return: 0.12%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0, 3.5, 2.5): Return: 0.12%, Hit Ratio: 56.04%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0, 3.5, 3): Return: 0.12%, Hit Ratio: 54.95%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0, 3.5, 3.5): Return: 0.12%, Hit Ratio: 54.95%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3, 3): Return: 0.12%, Hit Ratio: 53.26%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3, 3.5): Return: 0.12%, Hit Ratio: 53.26%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3.5, 3): Return: 0.12%, Hit Ratio: 52.69%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.12%, Hit Ratio: 52.69%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, 0, 3, 2.5): Return: 0.12%, Hit Ratio: 66.67%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3, 3): Return: 0.12%, Hit Ratio: 66.67%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3, 3.5): Return: 0.12%, Hit Ratio: 66.67%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: 0.12%, Hit Ratio: 65.0%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3.5, 3): Return: 0.12%, Hit Ratio: 65.0%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3.5, 3.5): Return: 0.12%, Hit Ratio: 65.0%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0.5, 3, 2.5): Return: 0.12%, Hit Ratio: 64.29%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 3, 3): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 3, 3.5): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 3.5, 3): Return: 0.12%, Hit Ratio: 61.36%, Max Drawdown: 0.01%
(100, 1.5, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.12%, Hit Ratio: 61.36%, Max Drawdown: 0.01%
(100, 1.5, 2, 0, 0.5, 3, 2.5): Return: 0.12%, Hit Ratio: 61.9%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3, 3): Return: 0.12%, Hit Ratio: 60.47%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3, 3.5): Return: 0.12%, Hit Ratio: 60.47%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3.5, 2.5): Return: 0.12%, Hit Ratio: 60.47%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3.5, 3): Return: 0.12%, Hit Ratio: 59.09%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3.5, 3.5): Return: 0.12%, Hit Ratio: 59.09%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3, 2.5): Return: 0.12%, Hit Ratio: 63.41%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3, 3): Return: 0.12%, Hit Ratio: 64.29%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3, 3.5): Return: 0.12%, Hit Ratio: 64.29%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3.5, 2.5): Return: 0.12%, Hit Ratio: 61.9%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3.5, 3): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0, 3.5, 3.5): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 3, 2.5): Return: 0.12%, Hit Ratio: 64.29%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, 0.5, 3, 3): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 3, 3.5): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 3.5, 2.5): Return: 0.12%, Hit Ratio: 62.79%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 3.5, 3): Return: 0.12%, Hit Ratio: 61.36%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.12%, Hit Ratio: 61.36%, Max Drawdown: 0.02%
(60, 1, 2, -0.5, -0.5, 2.5, 3): Return: 0.11%, Hit Ratio: 56.34%, Max Drawdown: 0.03%
(60, 1, 2, -0.5, -0.5, 3.5, 3): Return: 0.11%, Hit Ratio: 58.33%, Max Drawdown: 0.03%
