(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.9, -0.6, 3.0), Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.6, 3.0): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.6, 3.1): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.6, 3.2): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.5, 3.0): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.5, 3.1): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(50, 1.9, -0.5, 3.2): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1.9, -0.5, 2.9): Return: 0.02%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(60, 1.9, -0.5, 3.0): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1.9, -0.5, 3.1): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1.9, -0.5, 3.2): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1.9, -0.4, 2.9): Return: 0.02%, Hit Ratio: 46.67%, Max Drawdown: 0.02%
(50, 1.9, -0.6, 2.8): Return: 0.01%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(50, 1.9, -0.6, 2.9): Return: 0.01%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(50, 1.9, -0.5, 2.8): Return: 0.01%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(50, 1.9, -0.5, 2.9): Return: 0.01%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(50, 1.9, -0.4, 2.8): Return: 0.01%, Hit Ratio: 43.75%, Max Drawdown: 0.02%
(50, 1.9, -0.4, 2.9): Return: 0.01%, Hit Ratio: 43.75%, Max Drawdown: 0.02%
(50, 1.9, -0.4, 3.0): Return: 0.01%, Hit Ratio: 41.18%, Max Drawdown: 0.02%
(50, 1.9, -0.4, 3.1): Return: 0.01%, Hit Ratio: 41.18%, Max Drawdown: 0.02%
(50, 1.9, -0.4, 3.2): Return: 0.01%, Hit Ratio: 41.18%, Max Drawdown: 0.02%
(50, 2.0, -0.6, 3.0): Return: 0.01%, Hit Ratio: 42.86%, Max Drawdown: 0.02%
