(Lookback, Entry, Exit, Stop-loss)
Best HPs: (70, 1.5, 0.2, 2.5), Return: 0.16%, Hit Ratio: 76.47%, Max Drawdown: 0.01%
(70, 1.5, 0.2, 2.5): Return: 0.16%, Hit Ratio: 76.47%, Max Drawdown: 0.01%
(70, 1.5, 0.2, 2.6): Return: 0.16%, Hit Ratio: 77.14%, Max Drawdown: 0.01%
(50, 1.4, -0.2, 2.6): Return: 0.15%, Hit Ratio: 69.05%, Max Drawdown: 0.02%
(50, 1.4, -0.2, 2.7): Return: 0.15%, Hit Ratio: 69.05%, Max Drawdown: 0.02%
(50, 1.4, 0.1, 2.6): Return: 0.15%, Hit Ratio: 71.11%, Max Drawdown: 0.02%
(50, 1.4, 0.1, 2.7): Return: 0.15%, Hit Ratio: 71.11%, Max Drawdown: 0.02%
(65, 1.3, -0.1, 2.3): Return: 0.15%, Hit Ratio: 68.89%, Max Drawdown: 0.02%
(65, 1.3, -0.1, 2.5): Return: 0.15%, Hit Ratio: 71.11%, Max Drawdown: 0.02%
(65, 1.3, -0.1, 2.6): Return: 0.15%, Hit Ratio: 72.73%, Max Drawdown: 0.02%
(65, 1.3, -0.1, 2.7): Return: 0.15%, Hit Ratio: 72.09%, Max Drawdown: 0.02%
(65, 1.3, 0.0, 2.3): Return: 0.15%, Hit Ratio: 68.89%, Max Drawdown: 0.02%
(65, 1.3, 0.0, 2.5): Return: 0.15%, Hit Ratio: 71.11%, Max Drawdown: 0.02%
(65, 1.3, 0.0, 2.6): Return: 0.15%, Hit Ratio: 72.73%, Max Drawdown: 0.02%
(65, 1.3, 0.0, 2.7): Return: 0.15%, Hit Ratio: 72.09%, Max Drawdown: 0.02%
(65, 1.4, -0.1, 2.6): Return: 0.15%, Hit Ratio: 75.0%, Max Drawdown: 0.01%
(60, 1.3, -0.2, 2.3): Return: 0.15%, Hit Ratio: 62.22%, Max Drawdown: 0.01%
(60, 1.3, -0.2, 2.4): Return: 0.15%, Hit Ratio: 67.39%, Max Drawdown: 0.01%
(60, 1.3, -0.2, 2.5): Return: 0.15%, Hit Ratio: 68.89%, Max Drawdown: 0.01%
(60, 1.3, -0.2, 2.6): Return: 0.15%, Hit Ratio: 70.45%, Max Drawdown: 0.02%
(60, 1.3, -0.2, 2.7): Return: 0.15%, Hit Ratio: 70.45%, Max Drawdown: 0.02%
