(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1.5, -0.5, 2.5), Return: 0.16%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.5): Return: 0.16%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.6): Return: 0.15%, Hit Ratio: 64.58%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.7): Return: 0.15%, Hit Ratio: 63.27%, Max Drawdown: 0.03%
(60, 1.5, -0.6, 2.5): Return: 0.14%, Hit Ratio: 59.57%, Max Drawdown: 0.04%
(60, 1.5, -0.5, 2.3): Return: 0.14%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(60, 1.5, -0.5, 2.4): Return: 0.14%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(70, 1.5, -0.6, 2.3): Return: 0.14%, Hit Ratio: 58.82%, Max Drawdown: 0.04%
(70, 1.5, -0.6, 2.4): Return: 0.14%, Hit Ratio: 60.42%, Max Drawdown: 0.04%
(70, 1.5, -0.6, 2.5): Return: 0.14%, Hit Ratio: 62.75%, Max Drawdown: 0.04%
(70, 1.5, -0.6, 2.6): Return: 0.14%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(70, 1.5, -0.5, 2.3): Return: 0.14%, Hit Ratio: 59.62%, Max Drawdown: 0.03%
(70, 1.5, -0.5, 2.4): Return: 0.14%, Hit Ratio: 61.22%, Max Drawdown: 0.04%
(70, 1.5, -0.5, 2.5): Return: 0.14%, Hit Ratio: 63.46%, Max Drawdown: 0.03%
(70, 1.5, -0.5, 2.6): Return: 0.14%, Hit Ratio: 64.15%, Max Drawdown: 0.03%
(65, 1.5, -0.6, 2.5): Return: 0.13%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(65, 1.5, -0.6, 2.6): Return: 0.13%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(65, 1.5, -0.5, 2.3): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(65, 1.5, -0.5, 2.5): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(65, 1.5, -0.5, 2.6): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.04%
(65, 1.6, -0.5, 2.6): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(60, 1.4, -0.5, 2.5): Return: 0.13%, Hit Ratio: 61.02%, Max Drawdown: 0.04%
(60, 1.4, -0.5, 2.6): Return: 0.13%, Hit Ratio: 62.71%, Max Drawdown: 0.04%
(60, 1.5, -0.6, 2.4): Return: 0.13%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(60, 1.5, -0.6, 2.6): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.04%
(60, 1.5, -0.6, 2.7): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(65, 1.5, -0.6, 2.5): Return: 0.13%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(65, 1.5, -0.6, 2.6): Return: 0.13%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(65, 1.5, -0.5, 2.3): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(65, 1.5, -0.5, 2.5): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.03%
(65, 1.5, -0.5, 2.6): Return: 0.13%, Hit Ratio: 59.57%, Max Drawdown: 0.04%
(65, 1.6, -0.5, 2.6): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(70, 1.5, -0.6, 2.7): Return: 0.13%, Hit Ratio: 62.75%, Max Drawdown: 0.04%
(70, 1.5, -0.5, 2.7): Return: 0.13%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(70, 1.6, -0.6, 2.3): Return: 0.13%, Hit Ratio: 53.66%, Max Drawdown: 0.04%
(70, 1.6, -0.6, 2.5): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(70, 1.6, -0.6, 2.6): Return: 0.13%, Hit Ratio: 59.52%, Max Drawdown: 0.04%
(70, 1.6, -0.5, 2.5): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.03%
(50, 1.4, -0.5, 2.6): Return: 0.12%, Hit Ratio: 59.02%, Max Drawdown: 0.03%
(50, 1.4, -0.5, 2.7): Return: 0.12%, Hit Ratio: 59.02%, Max Drawdown: 0.03%
(65, 1.5, -0.7, 2.3): Return: 0.12%, Hit Ratio: 53.19%, Max Drawdown: 0.05%
(65, 1.5, -0.7, 2.4): Return: 0.12%, Hit Ratio: 53.33%, Max Drawdown: 0.05%
(65, 1.5, -0.7, 2.5): Return: 0.12%, Hit Ratio: 57.78%, Max Drawdown: 0.05%
(65, 1.5, -0.7, 2.6): Return: 0.12%, Hit Ratio: 57.78%, Max Drawdown: 0.05%
(65, 1.5, -0.7, 2.7): Return: 0.12%, Hit Ratio: 59.09%, Max Drawdown: 0.05%
(65, 1.5, -0.6, 2.3): Return: 0.12%, Hit Ratio: 54.17%, Max Drawdown: 0.04%
(65, 1.5, -0.6, 2.4): Return: 0.12%, Hit Ratio: 52.17%, Max Drawdown: 0.04%
(65, 1.5, -0.6, 2.7): Return: 0.12%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(65, 1.5, -0.5, 2.4): Return: 0.12%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.5, -0.5, 2.7): Return: 0.12%, Hit Ratio: 59.57%, Max Drawdown: 0.04%
(65, 1.6, -0.7, 2.3): Return: 0.12%, Hit Ratio: 48.72%, Max Drawdown: 0.04%
(65, 1.6, -0.7, 2.4): Return: 0.12%, Hit Ratio: 51.35%, Max Drawdown: 0.04%
(65, 1.6, -0.7, 2.5): Return: 0.12%, Hit Ratio: 55.26%, Max Drawdown: 0.04%
(65, 1.6, -0.7, 2.6): Return: 0.12%, Hit Ratio: 57.5%, Max Drawdown: 0.04%
(65, 1.6, -0.7, 2.7): Return: 0.12%, Hit Ratio: 58.97%, Max Drawdown: 0.04%
(65, 1.6, -0.6, 2.3): Return: 0.12%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(65, 1.6, -0.6, 2.4): Return: 0.12%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(65, 1.6, -0.6, 2.5): Return: 0.12%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(65, 1.6, -0.6, 2.6): Return: 0.12%, Hit Ratio: 56.1%, Max Drawdown: 0.04%
(65, 1.6, -0.6, 2.7): Return: 0.12%, Hit Ratio: 56.1%, Max Drawdown: 0.04%
(65, 1.6, -0.5, 2.3): Return: 0.12%, Hit Ratio: 52.5%, Max Drawdown: 0.03%
(65, 1.6, -0.5, 2.4): Return: 0.12%, Hit Ratio: 52.63%, Max Drawdown: 0.03%
(65, 1.6, -0.5, 2.5): Return: 0.12%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(65, 1.6, -0.5, 2.7): Return: 0.12%, Hit Ratio: 58.54%, Max Drawdown: 0.04%
(60, 1.4, -0.5, 2.3): Return: 0.12%, Hit Ratio: 59.32%, Max Drawdown: 0.04%
(60, 1.4, -0.5, 2.4): Return: 0.12%, Hit Ratio: 59.32%, Max Drawdown: 0.04%
(60, 1.4, -0.5, 2.7): Return: 0.12%, Hit Ratio: 61.67%, Max Drawdown: 0.03%
(60, 1.5, -0.6, 2.3): Return: 0.12%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
