(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (65, 1.6, 0.1, 2.9), Return: 0.16%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.6, 0.1, 2.9): Return: 0.16%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.7, 0.0, 2.9): Return: 0.16%, Hit Ratio: 62.16%, Max Drawdown: 0.04%
(65, 1.7, 0.1, 2.8): Return: 0.16%, Hit Ratio: 59.46%, Max Drawdown: 0.03%
(65, 1.7, 0.1, 2.9): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.03%
(65, 1.7, 0.1, 3.0): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(65, 1.7, 0.1, 3.1): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 2.9): Return: 0.16%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(60, 1.7, 0.0, 2.9): Return: 0.16%, Hit Ratio: 59.46%, Max Drawdown: 0.04%
(60, 1.7, 0.0, 3.0): Return: 0.16%, Hit Ratio: 59.46%, Max Drawdown: 0.04%
(60, 1.7, 0.0, 3.1): Return: 0.16%, Hit Ratio: 59.46%, Max Drawdown: 0.04%
(60, 1.7, 0.1, 2.9): Return: 0.16%, Hit Ratio: 57.89%, Max Drawdown: 0.04%
(60, 1.7, 0.1, 3.0): Return: 0.16%, Hit Ratio: 57.89%, Max Drawdown: 0.04%
(60, 1.7, 0.1, 3.1): Return: 0.16%, Hit Ratio: 57.89%, Max Drawdown: 0.04%
(60, 1.7, 0.1, 3.2): Return: 0.16%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(60, 1.7, 0.2, 2.9): Return: 0.16%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(60, 1.7, 0.2, 3.0): Return: 0.16%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(60, 1.7, 0.2, 3.1): Return: 0.16%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(65, 1.6, 0.1, 2.9): Return: 0.16%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.7, 0.0, 2.9): Return: 0.16%, Hit Ratio: 62.16%, Max Drawdown: 0.04%
(65, 1.7, 0.1, 2.8): Return: 0.16%, Hit Ratio: 59.46%, Max Drawdown: 0.03%
(65, 1.7, 0.1, 2.9): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.03%
(65, 1.7, 0.1, 3.0): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(65, 1.7, 0.1, 3.1): Return: 0.16%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 2.9): Return: 0.16%, Hit Ratio: 56.41%, Max Drawdown: 0.03%
(50, 1.5, 0.1, 3.0): Return: 0.15%, Hit Ratio: 61.82%, Max Drawdown: 0.03%
(50, 1.6, 0.1, 3.0): Return: 0.15%, Hit Ratio: 65.96%, Max Drawdown: 0.03%
(50, 1.6, 0.1, 3.1): Return: 0.15%, Hit Ratio: 64.58%, Max Drawdown: 0.03%
(50, 1.6, 0.1, 3.2): Return: 0.15%, Hit Ratio: 65.31%, Max Drawdown: 0.03%
(50, 1.6, 0.2, 3.0): Return: 0.15%, Hit Ratio: 57.14%, Max Drawdown: 0.03%
(65, 1.6, -0.1, 2.9): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.03%
(65, 1.6, 0.0, 2.9): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(65, 1.6, 0.1, 2.8): Return: 0.15%, Hit Ratio: 54.35%, Max Drawdown: 0.03%
(65, 1.6, 0.1, 3.0): Return: 0.15%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.6, 0.1, 3.1): Return: 0.15%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.6, 0.2, 2.9): Return: 0.15%, Hit Ratio: 51.06%, Max Drawdown: 0.03%
(65, 1.7, -0.1, 2.9): Return: 0.15%, Hit Ratio: 65.71%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 2.8): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 3.0): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 3.1): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 2.8): Return: 0.15%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(65, 1.7, 0.2, 3.0): Return: 0.15%, Hit Ratio: 56.41%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 3.1): Return: 0.15%, Hit Ratio: 56.41%, Max Drawdown: 0.04%
(60, 1.5, 0.1, 3.0): Return: 0.15%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(60, 1.5, 0.1, 3.1): Return: 0.15%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(60, 1.6, 0.0, 2.9): Return: 0.15%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(60, 1.6, 0.0, 3.0): Return: 0.15%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(60, 1.6, 0.0, 3.1): Return: 0.15%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(60, 1.6, 0.0, 3.2): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(60, 1.6, 0.1, 2.9): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(60, 1.6, 0.1, 3.0): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(60, 1.6, 0.1, 3.1): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(60, 1.6, 0.1, 3.2): Return: 0.15%, Hit Ratio: 56.52%, Max Drawdown: 0.04%
(60, 1.7, 0.0, 3.2): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.03%
(60, 1.7, 0.1, 2.8): Return: 0.15%, Hit Ratio: 55.56%, Max Drawdown: 0.04%
(60, 1.7, 0.2, 3.2): Return: 0.15%, Hit Ratio: 53.85%, Max Drawdown: 0.03%
(65, 1.6, -0.1, 2.9): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.03%
(65, 1.6, 0.0, 2.9): Return: 0.15%, Hit Ratio: 57.78%, Max Drawdown: 0.04%
(65, 1.6, 0.1, 2.8): Return: 0.15%, Hit Ratio: 54.35%, Max Drawdown: 0.03%
(65, 1.6, 0.1, 3.0): Return: 0.15%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.6, 0.1, 3.1): Return: 0.15%, Hit Ratio: 56.52%, Max Drawdown: 0.03%
(65, 1.6, 0.2, 2.9): Return: 0.15%, Hit Ratio: 51.06%, Max Drawdown: 0.03%
(65, 1.7, -0.1, 2.9): Return: 0.15%, Hit Ratio: 65.71%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 2.8): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 3.0): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.04%
(65, 1.7, 0.0, 3.1): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 2.8): Return: 0.15%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(65, 1.7, 0.2, 3.0): Return: 0.15%, Hit Ratio: 56.41%, Max Drawdown: 0.04%
(65, 1.7, 0.2, 3.1): Return: 0.15%, Hit Ratio: 56.41%, Max Drawdown: 0.04%
(70, 1.5, -0.2, 3.0): Return: 0.15%, Hit Ratio: 70.83%, Max Drawdown: 0.03%
(70, 1.5, -0.2, 3.1): Return: 0.15%, Hit Ratio: 70.83%, Max Drawdown: 0.03%
(70, 1.5, 0.0, 3.0): Return: 0.15%, Hit Ratio: 59.62%, Max Drawdown: 0.04%
(70, 1.5, 0.0, 3.1): Return: 0.15%, Hit Ratio: 59.62%, Max Drawdown: 0.04%
(70, 1.5, 0.1, 3.0): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.04%
(70, 1.5, 0.1, 3.1): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.04%
