(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.8, -0.7, 2.5), Return: 0.05%, Hit Ratio: 46.15%, Max Drawdown: 0.07%
(60, 1.8, -0.7, 2.5): Return: 0.05%, Hit Ratio: 46.15%, Max Drawdown: 0.07%
(60, 1.8, -0.7, 2.6): Return: 0.05%, Hit Ratio: 46.15%, Max Drawdown: 0.07%
(50, 2.0, -0.6, 2.3): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(50, 2.0, -0.6, 2.4): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(50, 2.0, -0.5, 2.3): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(50, 2.0, -0.5, 2.4): Return: 0.04%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(65, 1.8, -0.7, 2.3): Return: 0.04%, Hit Ratio: 45.45%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.4): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.5): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.6): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(60, 1.8, -0.7, 2.3): Return: 0.04%, Hit Ratio: 41.67%, Max Drawdown: 0.07%
(60, 1.8, -0.7, 2.4): Return: 0.04%, Hit Ratio: 41.67%, Max Drawdown: 0.07%
(60, 1.8, -0.7, 2.7): Return: 0.04%, Hit Ratio: 42.86%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.3): Return: 0.04%, Hit Ratio: 45.45%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.4): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.5): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.8, -0.7, 2.6): Return: 0.04%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(50, 2.0, -0.6, 2.6): Return: 0.03%, Hit Ratio: 55.56%, Max Drawdown: 0.06%
(50, 2.0, -0.6, 2.7): Return: 0.03%, Hit Ratio: 55.56%, Max Drawdown: 0.06%
