(Lookback, Entry, Exit, Stop-loss)
Best HPs: (90, 1.2, -0.7, 3.1), Return: 0.46%, Hit Ratio: 63.46%, Max Drawdown: 0.1%
(90, 1.2, -0.7, 3.1): Return: 0.46%, Hit Ratio: 63.46%, Max Drawdown: 0.1%
(90, 1.2, -0.7, 3.2): Return: 0.46%, Hit Ratio: 63.46%, Max Drawdown: 0.1%
(90, 1.2, -0.7, 2.8): Return: 0.44%, Hit Ratio: 62.26%, Max Drawdown: 0.1%
(90, 1.2, -0.7, 2.9): Return: 0.44%, Hit Ratio: 62.26%, Max Drawdown: 0.1%
(90, 1.2, -0.7, 3.0): Return: 0.44%, Hit Ratio: 62.26%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 2.9): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.0): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.1): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.2): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 2.9): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.0): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.1): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 3.2): Return: 0.42%, Hit Ratio: 60.61%, Max Drawdown: 0.1%
(90, 1.0, -0.7, 3.1): Return: 0.41%, Hit Ratio: 61.67%, Max Drawdown: 0.11%
(90, 1.0, -0.7, 3.2): Return: 0.41%, Hit Ratio: 61.67%, Max Drawdown: 0.11%
(90, 1.2, -0.3, 3.1): Return: 0.4%, Hit Ratio: 58.73%, Max Drawdown: 0.08%
(90, 1.2, -0.3, 3.2): Return: 0.4%, Hit Ratio: 58.73%, Max Drawdown: 0.08%
(105, 1.0, -0.6, 2.8): Return: 0.4%, Hit Ratio: 59.7%, Max Drawdown: 0.1%
(105, 1.2, -0.4, 2.9): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.0): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.1): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.2): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(100, 1.0, -0.6, 3.0): Return: 0.4%, Hit Ratio: 65.15%, Max Drawdown: 0.1%
(100, 1.0, -0.6, 3.1): Return: 0.4%, Hit Ratio: 65.15%, Max Drawdown: 0.1%
(100, 1.0, -0.6, 3.2): Return: 0.4%, Hit Ratio: 65.15%, Max Drawdown: 0.1%
(105, 1.0, -0.6, 2.8): Return: 0.4%, Hit Ratio: 59.7%, Max Drawdown: 0.1%
(105, 1.2, -0.4, 2.9): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.0): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.1): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(105, 1.2, -0.4, 3.2): Return: 0.4%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(90, 0.9, -0.7, 3.1): Return: 0.39%, Hit Ratio: 58.82%, Max Drawdown: 0.14%
(90, 0.9, -0.7, 3.2): Return: 0.39%, Hit Ratio: 58.82%, Max Drawdown: 0.14%
(90, 0.8, -0.7, 3.1): Return: 0.38%, Hit Ratio: 58.67%, Max Drawdown: 0.14%
(90, 0.8, -0.7, 3.2): Return: 0.38%, Hit Ratio: 58.67%, Max Drawdown: 0.14%
(90, 1.0, -0.7, 2.8): Return: 0.38%, Hit Ratio: 60.66%, Max Drawdown: 0.11%
(90, 1.0, -0.7, 2.9): Return: 0.38%, Hit Ratio: 60.66%, Max Drawdown: 0.11%
(90, 1.0, -0.7, 3.0): Return: 0.38%, Hit Ratio: 60.66%, Max Drawdown: 0.11%
(90, 1.1, -0.7, 3.1): Return: 0.38%, Hit Ratio: 60.71%, Max Drawdown: 0.12%
(90, 1.1, -0.7, 3.2): Return: 0.38%, Hit Ratio: 60.71%, Max Drawdown: 0.12%
(105, 1.0, -0.5, 2.9): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.0): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.1): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.2): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(100, 1.0, -0.5, 3.0): Return: 0.38%, Hit Ratio: 57.97%, Max Drawdown: 0.12%
(100, 1.0, -0.5, 3.1): Return: 0.38%, Hit Ratio: 57.97%, Max Drawdown: 0.12%
(100, 1.0, -0.5, 3.2): Return: 0.38%, Hit Ratio: 57.97%, Max Drawdown: 0.12%
(105, 1.0, -0.5, 2.9): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.0): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.1): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(105, 1.0, -0.5, 3.2): Return: 0.38%, Hit Ratio: 59.42%, Max Drawdown: 0.13%
(90, 1.2, -0.5, 3.1): Return: 0.37%, Hit Ratio: 59.32%, Max Drawdown: 0.1%
(90, 1.2, -0.5, 3.2): Return: 0.37%, Hit Ratio: 59.32%, Max Drawdown: 0.1%
(90, 1.2, -0.3, 2.8): Return: 0.37%, Hit Ratio: 57.81%, Max Drawdown: 0.08%
(90, 1.2, -0.3, 2.9): Return: 0.37%, Hit Ratio: 57.81%, Max Drawdown: 0.08%
(90, 1.2, -0.3, 3.0): Return: 0.37%, Hit Ratio: 57.81%, Max Drawdown: 0.08%
(105, 1.0, -0.7, 2.9): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.0): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.1): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.2): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.2, -0.4, 2.8): Return: 0.37%, Hit Ratio: 61.11%, Max Drawdown: 0.15%
(105, 1.2, -0.3, 2.9): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.0): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.1): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.2): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(100, 1.0, -0.7, 3.0): Return: 0.37%, Hit Ratio: 60.94%, Max Drawdown: 0.1%
(100, 1.0, -0.7, 3.1): Return: 0.37%, Hit Ratio: 60.94%, Max Drawdown: 0.1%
(100, 1.0, -0.7, 3.2): Return: 0.37%, Hit Ratio: 60.94%, Max Drawdown: 0.1%
(100, 1.0, -0.6, 2.8): Return: 0.37%, Hit Ratio: 64.18%, Max Drawdown: 0.1%
(100, 1.0, -0.6, 2.9): Return: 0.37%, Hit Ratio: 64.18%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 2.9): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.0): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.1): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, -0.7, 3.2): Return: 0.37%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.2, -0.4, 2.8): Return: 0.37%, Hit Ratio: 61.11%, Max Drawdown: 0.15%
(105, 1.2, -0.3, 2.9): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.0): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.1): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(105, 1.2, -0.3, 3.2): Return: 0.37%, Hit Ratio: 58.93%, Max Drawdown: 0.13%
(110, 1.2, -0.4, 2.9): Return: 0.37%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(110, 1.2, -0.4, 3.0): Return: 0.37%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(110, 1.2, -0.4, 3.1): Return: 0.37%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(110, 1.2, -0.4, 3.2): Return: 0.37%, Hit Ratio: 62.26%, Max Drawdown: 0.14%
(90, 0.8, -0.7, 2.8): Return: 0.36%, Hit Ratio: 57.89%, Max Drawdown: 0.14%
