,date,open,high,low,close,volume,average,barCount
0,2020-11-04 09:30:00,2.58,2.58,2.58,2.58,65,2.58,17
1,2020-11-04 09:31:00,2.58,2.58,2.58,2.58,0,2.58,0
2,2020-11-04 09:32:00,2.58,2.58,2.58,2.58,0,2.58,0
3,2020-11-04 09:33:00,2.58,2.58,2.58,2.58,0,2.58,0
4,2020-11-04 09:34:00,2.58,2.58,2.58,2.58,0,2.58,0
5,2020-11-04 09:35:00,2.57,2.57,2.561,2.565,28,2.56411,8
6,2020-11-04 09:36:00,2.56,2.565,2.56,2.565,6,2.56417,4
7,2020-11-04 09:37:00,2.565,2.565,2.565,2.565,0,2.565,0
8,2020-11-04 09:38:00,2.555,2.555,2.555,2.555,1,2.555,1
9,2020-11-04 09:39:00,2.555,2.555,2.555,2.555,0,2.555,0
10,2020-11-04 09:40:00,2.56,2.56,2.555,2.555,3,2.55833,2
11,2020-11-04 09:41:00,2.555,2.555,2.555,2.555,0,2.555,0
12,2020-11-04 09:42:00,2.555,2.555,2.555,2.555,0,2.555,0
13,2020-11-04 09:43:00,2.555,2.56,2.555,2.56,11,2.55955,6
14,2020-11-04 09:44:00,2.56,2.56,2.56,2.56,0,2.56,0
15,2020-11-04 09:45:00,2.56,2.56,2.56,2.56,0,2.56,0
16,2020-11-04 09:46:00,2.56,2.56,2.56,2.56,0,2.56,0
17,2020-11-04 09:47:00,2.57,2.57,2.57,2.57,17,2.57,10
18,2020-11-04 09:48:00,2.58,2.58,2.58,2.58,1,2.58,1
19,2020-11-04 09:49:00,2.58,2.58,2.58,2.58,0,2.58,0
20,2020-11-04 09:50:00,2.58,2.58,2.58,2.58,0,2.58,0
21,2020-11-04 09:51:00,2.58,2.58,2.58,2.58,0,2.58,0
22,2020-11-04 09:52:00,2.58,2.58,2.58,2.58,0,2.58,0
23,2020-11-04 09:53:00,2.58,2.58,2.58,2.58,0,2.58,0
24,2020-11-04 09:54:00,2.58,2.58,2.58,2.58,0,2.58,0
25,2020-11-04 09:55:00,2.58,2.58,2.58,2.58,0,2.58,0
26,2020-11-04 09:56:00,2.58,2.58,2.58,2.58,0,2.58,0
27,2020-11-04 09:57:00,2.58,2.58,2.58,2.58,0,2.58,0
28,2020-11-04 09:58:00,2.58,2.58,2.58,2.58,0,2.58,0
29,2020-11-04 09:59:00,2.58,2.58,2.58,2.58,0,2.58,0
30,2020-11-04 10:00:00,2.5723,2.5723,2.57,2.57,2,2.57123,2
31,2020-11-04 10:01:00,2.57,2.57,2.57,2.57,0,2.57,0
32,2020-11-04 10:02:00,2.58,2.59,2.58,2.59,31,2.58113,14
33,2020-11-04 10:03:00,2.59,2.59,2.59,2.59,0,2.59,0
34,2020-11-04 10:04:00,2.585,2.585,2.585,2.585,1,2.585,1
35,2020-11-04 10:05:00,2.585,2.59,2.58,2.59,11,2.58364,6
36,2020-11-04 10:06:00,2.59,2.59,2.59,2.59,0,2.59,0
37,2020-11-04 10:07:00,2.58,2.59,2.58,2.59,8,2.585,4
38,2020-11-04 10:08:00,2.59,2.59,2.59,2.59,0,2.59,0
39,2020-11-04 10:09:00,2.59,2.59,2.59,2.59,0,2.59,0
40,2020-11-04 10:10:00,2.58,2.58,2.58,2.58,1,2.58,1
41,2020-11-04 10:11:00,2.58,2.58,2.58,2.58,0,2.58,0
42,2020-11-04 10:12:00,2.58,2.58,2.58,2.58,1,2.58,1
43,2020-11-04 10:13:00,2.58,2.58,2.58,2.58,0,2.58,0
44,2020-11-04 10:14:00,2.58,2.58,2.58,2.58,1,2.58,1
45,2020-11-04 10:15:00,2.58,2.58,2.58,2.58,0,2.58,0
46,2020-11-04 10:16:00,2.58,2.59,2.58,2.59,2,2.585,2
47,2020-11-04 10:17:00,2.59,2.59,2.59,2.59,0,2.59,0
48,2020-11-04 10:18:00,2.58,2.58,2.58,2.58,1,2.58,1
49,2020-11-04 10:19:00,2.58,2.58,2.58,2.58,0,2.58,0
50,2020-11-04 10:20:00,2.58,2.59,2.58,2.59,10,2.58743,3
51,2020-11-04 10:21:00,2.59,2.59,2.59,2.59,2,2.59,2
52,2020-11-04 10:22:00,2.59,2.59,2.59,2.59,0,2.59,0
53,2020-11-04 10:23:00,2.59,2.59,2.59,2.59,0,2.59,0
54,2020-11-04 10:24:00,2.58,2.58,2.58,2.58,3,2.58,1
55,2020-11-04 10:25:00,2.58,2.58,2.58,2.58,0,2.58,0
56,2020-11-04 10:26:00,2.585,2.585,2.585,2.585,1,2.585,1
57,2020-11-04 10:27:00,2.585,2.585,2.585,2.585,0,2.585,0
58,2020-11-04 10:28:00,2.585,2.585,2.585,2.585,0,2.585,0
59,2020-11-04 10:29:00,2.585,2.585,2.585,2.585,0,2.585,0
60,2020-11-04 10:30:00,2.585,2.585,2.585,2.585,0,2.585,0
61,2020-11-04 10:31:00,2.585,2.585,2.585,2.585,0,2.585,0
62,2020-11-04 10:32:00,2.585,2.59,2.585,2.59,2,2.5875,2
63,2020-11-04 10:33:00,2.59,2.59,2.59,2.59,0,2.59,0
64,2020-11-04 10:34:00,2.585,2.585,2.585,2.585,1,2.585,1
65,2020-11-04 10:35:00,2.585,2.585,2.585,2.585,1,2.585,1
66,2020-11-04 10:36:00,2.585,2.585,2.585,2.585,2,2.585,2
67,2020-11-04 10:37:00,2.585,2.59,2.585,2.59,3,2.58667,3
68,2020-11-04 10:38:00,2.58,2.58,2.58,2.58,1,2.58,1
69,2020-11-04 10:39:00,2.58,2.58,2.58,2.58,0,2.58,0
70,2020-11-04 10:40:00,2.58,2.58,2.58,2.58,0,2.58,0
71,2020-11-04 10:41:00,2.58,2.58,2.58,2.58,0,2.58,0
72,2020-11-04 10:42:00,2.58,2.58,2.58,2.58,0,2.58,0
73,2020-11-04 10:43:00,2.58,2.58,2.58,2.58,5,2.58,1
74,2020-11-04 10:44:00,2.58,2.58,2.58,2.58,0,2.58,0
75,2020-11-04 10:45:00,2.58,2.58,2.58,2.58,0,2.58,0
76,2020-11-04 10:46:00,2.58,2.58,2.58,2.58,0,2.58,0
77,2020-11-04 10:47:00,2.58,2.58,2.58,2.58,0,2.58,0
78,2020-11-04 10:48:00,2.58,2.58,2.58,2.58,0,2.58,0
79,2020-11-04 10:49:00,2.58,2.58,2.58,2.58,0,2.58,0
80,2020-11-04 10:50:00,2.58,2.58,2.58,2.58,0,2.58,0
81,2020-11-04 10:51:00,2.58,2.58,2.58,2.58,0,2.58,0
82,2020-11-04 10:52:00,2.58,2.58,2.58,2.58,0,2.58,0
83,2020-11-04 10:53:00,2.58,2.58,2.58,2.58,0,2.58,0
84,2020-11-04 10:54:00,2.58,2.58,2.58,2.58,0,2.58,0
85,2020-11-04 10:55:00,2.58,2.58,2.58,2.58,0,2.58,0
86,2020-11-04 10:56:00,2.58,2.585,2.58,2.585,24,2.58141,17
87,2020-11-04 10:57:00,2.585,2.585,2.585,2.585,0,2.585,0
88,2020-11-04 10:58:00,2.585,2.585,2.585,2.585,1,2.585,1
89,2020-11-04 10:59:00,2.585,2.585,2.585,2.585,0,2.585,0
90,2020-11-04 11:00:00,2.585,2.585,2.585,2.585,1,2.585,1
91,2020-11-04 11:01:00,2.585,2.585,2.585,2.585,0,2.585,0
92,2020-11-04 11:02:00,2.585,2.585,2.585,2.585,0,2.585,0
93,2020-11-04 11:03:00,2.585,2.585,2.585,2.585,1,2.585,1
94,2020-11-04 11:04:00,2.585,2.585,2.585,2.585,0,2.585,0
95,2020-11-04 11:05:00,2.585,2.585,2.585,2.585,0,2.585,0
96,2020-11-04 11:06:00,2.585,2.585,2.585,2.585,0,2.585,0
97,2020-11-04 11:07:00,2.585,2.585,2.585,2.585,0,2.585,0
98,2020-11-04 11:08:00,2.585,2.585,2.585,2.585,0,2.585,0
99,2020-11-04 11:09:00,2.585,2.585,2.585,2.585,0,2.585,0
100,2020-11-04 11:10:00,2.585,2.585,2.585,2.585,0,2.585,0
101,2020-11-04 11:11:00,2.585,2.585,2.585,2.585,0,2.585,0
102,2020-11-04 11:12:00,2.585,2.585,2.585,2.585,0,2.585,0
103,2020-11-04 11:13:00,2.585,2.585,2.585,2.585,0,2.585,0
104,2020-11-04 11:14:00,2.585,2.585,2.585,2.585,0,2.585,0
105,2020-11-04 11:15:00,2.58,2.585,2.58,2.585,193,2.5833,43
106,2020-11-04 11:16:00,2.585,2.59,2.585,2.585,39,2.58513,9
107,2020-11-04 11:17:00,2.585,2.585,2.585,2.585,10,2.585,7
108,2020-11-04 11:18:00,2.58,2.585,2.58,2.585,6,2.58333,6
109,2020-11-04 11:19:00,2.585,2.585,2.585,2.585,1,2.585,1
110,2020-11-04 11:20:00,2.585,2.585,2.58,2.585,6,2.58333,5
111,2020-11-04 11:21:00,2.585,2.59,2.58,2.585,12,2.58389,10
112,2020-11-04 11:22:00,2.585,2.585,2.585,2.585,1,2.585,1
113,2020-11-04 11:23:00,2.585,2.585,2.585,2.585,1,2.585,1
114,2020-11-04 11:24:00,2.585,2.585,2.585,2.585,2,2.585,2
115,2020-11-04 11:25:00,2.58,2.58,2.58,2.58,1,2.58,1
116,2020-11-04 11:26:00,2.58,2.58,2.58,2.58,1,2.58,1
117,2020-11-04 11:27:00,2.58,2.585,2.58,2.585,5,2.584,5
