(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 1.0, -0.5, 3.0), Return: 1.53%, Hit Ratio: 57.61%, Max Drawdown: 1.08%
(110, 1.0, -0.5, 3.0): Return: 1.53%, Hit Ratio: 57.61%, Max Drawdown: 1.08%
(110, 1.0, -0.5, 3.1): Return: 1.53%, Hit Ratio: 57.61%, Max Drawdown: 1.08%
(110, 1.0, -0.5, 3.2): Return: 1.53%, Hit Ratio: 57.61%, Max Drawdown: 1.08%
(110, 1.0, -0.5, 2.8): Return: 1.45%, Hit Ratio: 56.52%, Max Drawdown: 1.08%
(90, 1.1, -0.7, 2.9): Return: 1.42%, Hit Ratio: 58.44%, Max Drawdown: 1.37%
(90, 1.1, -0.7, 3.0): Return: 1.42%, Hit Ratio: 58.44%, Max Drawdown: 1.37%
(90, 1.1, -0.7, 3.1): Return: 1.42%, Hit Ratio: 58.44%, Max Drawdown: 1.37%
(110, 1.0, -0.5, 2.9): Return: 1.41%, Hit Ratio: 56.52%, Max Drawdown: 1.08%
(110, 1.0, -0.4, 3.0): Return: 1.39%, Hit Ratio: 53.19%, Max Drawdown: 1.08%
(110, 1.0, -0.4, 3.1): Return: 1.39%, Hit Ratio: 53.19%, Max Drawdown: 1.08%
(110, 1.0, -0.4, 3.2): Return: 1.39%, Hit Ratio: 53.19%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.0): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.1): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.2): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.0): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.1): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 3.2): Return: 1.34%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(110, 1.0, -0.4, 2.8): Return: 1.34%, Hit Ratio: 53.19%, Max Drawdown: 1.08%
(110, 1.0, -0.3, 3.0): Return: 1.34%, Hit Ratio: 56.25%, Max Drawdown: 1.08%
(110, 1.0, -0.3, 3.1): Return: 1.34%, Hit Ratio: 56.25%, Max Drawdown: 1.08%
(110, 1.0, -0.3, 3.2): Return: 1.34%, Hit Ratio: 56.25%, Max Drawdown: 1.08%
(100, 1.0, -0.5, 3.0): Return: 1.32%, Hit Ratio: 56.38%, Max Drawdown: 1.08%
(100, 1.0, -0.5, 3.1): Return: 1.32%, Hit Ratio: 56.38%, Max Drawdown: 1.08%
(100, 1.0, -0.5, 3.2): Return: 1.32%, Hit Ratio: 56.38%, Max Drawdown: 1.08%
(90, 1.0, -0.7, 2.9): Return: 1.3%, Hit Ratio: 58.82%, Max Drawdown: 1.08%
(90, 1.0, -0.7, 3.0): Return: 1.3%, Hit Ratio: 58.82%, Max Drawdown: 1.08%
(90, 1.0, -0.7, 3.1): Return: 1.3%, Hit Ratio: 58.82%, Max Drawdown: 1.08%
(110, 1.0, -0.4, 2.9): Return: 1.3%, Hit Ratio: 53.19%, Max Drawdown: 1.08%
(110, 1.0, -0.3, 2.8): Return: 1.29%, Hit Ratio: 56.25%, Max Drawdown: 1.08%
(90, 1.1, -0.7, 3.2): Return: 1.26%, Hit Ratio: 57.69%, Max Drawdown: 1.69%
(100, 1.0, -0.5, 2.9): Return: 1.26%, Hit Ratio: 56.38%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 2.8): Return: 1.25%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 2.9): Return: 1.25%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(100, 1.0, -0.6, 3.0): Return: 1.25%, Hit Ratio: 56.82%, Max Drawdown: 1.08%
(100, 1.0, -0.6, 3.1): Return: 1.25%, Hit Ratio: 56.82%, Max Drawdown: 1.08%
(100, 1.0, -0.6, 3.2): Return: 1.25%, Hit Ratio: 56.82%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 2.8): Return: 1.25%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(105, 1.0, -0.5, 2.9): Return: 1.25%, Hit Ratio: 55.91%, Max Drawdown: 1.08%
(110, 1.0, -0.3, 2.9): Return: 1.25%, Hit Ratio: 56.25%, Max Drawdown: 1.08%
(90, 1.0, -0.4, 2.9): Return: 1.24%, Hit Ratio: 55.79%, Max Drawdown: 1.08%
(90, 1.0, -0.4, 3.0): Return: 1.24%, Hit Ratio: 55.79%, Max Drawdown: 1.08%
(90, 1.0, -0.4, 3.1): Return: 1.24%, Hit Ratio: 55.79%, Max Drawdown: 1.08%
(100, 1.0, -0.5, 2.8): Return: 1.24%, Hit Ratio: 56.38%, Max Drawdown: 1.08%
(100, 1.0, -0.3, 3.0): Return: 1.23%, Hit Ratio: 55.1%, Max Drawdown: 1.08%
(100, 1.0, -0.3, 3.1): Return: 1.23%, Hit Ratio: 55.1%, Max Drawdown: 1.08%
(100, 1.0, -0.3, 3.2): Return: 1.23%, Hit Ratio: 55.1%, Max Drawdown: 1.08%
(90, 1.0, -0.5, 2.9): Return: 1.22%, Hit Ratio: 55.32%, Max Drawdown: 1.08%
(90, 1.0, -0.5, 3.0): Return: 1.22%, Hit Ratio: 55.32%, Max Drawdown: 1.08%
(90, 1.0, -0.5, 3.1): Return: 1.22%, Hit Ratio: 55.32%, Max Drawdown: 1.08%
(100, 1.0, -0.6, 2.9): Return: 1.19%, Hit Ratio: 56.82%, Max Drawdown: 1.08%
(100, 1.0, -0.4, 3.0): Return: 1.18%, Hit Ratio: 55.67%, Max Drawdown: 1.08%
(100, 1.0, -0.4, 3.1): Return: 1.18%, Hit Ratio: 55.67%, Max Drawdown: 1.08%
(100, 1.0, -0.4, 3.2): Return: 1.18%, Hit Ratio: 55.67%, Max Drawdown: 1.08%
(100, 1.0, -0.3, 2.9): Return: 1.17%, Hit Ratio: 55.1%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.0): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.1): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.2): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(100, 1.0, -0.3, 2.8): Return: 1.15%, Hit Ratio: 55.1%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.0): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.1): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 3.2): Return: 1.15%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(100, 1.0, -0.4, 2.9): Return: 1.12%, Hit Ratio: 55.67%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.0): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.1): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.2): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(100, 1.0, -0.6, 2.8): Return: 1.11%, Hit Ratio: 56.18%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.0): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.1): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 3.2): Return: 1.11%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(100, 1.0, -0.4, 2.8): Return: 1.1%, Hit Ratio: 55.67%, Max Drawdown: 1.08%
(90, 1.2, -0.7, 2.9): Return: 1.08%, Hit Ratio: 54.55%, Max Drawdown: 1.59%
(90, 1.2, -0.7, 3.0): Return: 1.08%, Hit Ratio: 54.55%, Max Drawdown: 1.59%
(90, 1.2, -0.7, 3.1): Return: 1.08%, Hit Ratio: 54.55%, Max Drawdown: 1.59%
(90, 1.0, -0.6, 2.9): Return: 1.07%, Hit Ratio: 55.06%, Max Drawdown: 1.08%
(90, 1.0, -0.6, 3.0): Return: 1.07%, Hit Ratio: 55.06%, Max Drawdown: 1.08%
(90, 1.0, -0.6, 3.1): Return: 1.07%, Hit Ratio: 55.06%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 2.8): Return: 1.06%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 2.9): Return: 1.06%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 2.8): Return: 1.06%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.4, 2.9): Return: 1.06%, Hit Ratio: 54.17%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.0): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.1): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.2): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.0): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.1): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.6, 3.2): Return: 1.04%, Hit Ratio: 55.29%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 2.8): Return: 1.03%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 2.9): Return: 1.03%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 2.8): Return: 1.03%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(105, 1.0, -0.3, 2.9): Return: 1.03%, Hit Ratio: 54.64%, Max Drawdown: 1.08%
(90, 1.0, -0.7, 3.2): Return: 1.02%, Hit Ratio: 57.65%, Max Drawdown: 1.39%
(90, 1.1, -0.7, 2.8): Return: 1.02%, Hit Ratio: 55.84%, Max Drawdown: 1.43%
(110, 1.0, -0.6, 3.0): Return: 1.02%, Hit Ratio: 56.47%, Max Drawdown: 1.08%
(110, 1.0, -0.6, 3.1): Return: 1.02%, Hit Ratio: 56.47%, Max Drawdown: 1.08%
(110, 1.0, -0.6, 3.2): Return: 1.02%, Hit Ratio: 56.47%, Max Drawdown: 1.08%
(110, 1.0, -0.7, 3.0): Return: 0.99%, Hit Ratio: 59.26%, Max Drawdown: 1.12%
(110, 1.0, -0.7, 3.1): Return: 0.99%, Hit Ratio: 59.26%, Max Drawdown: 1.12%
