(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 2.1, -0.2, 2.8), Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.15%
(30, 2.1, -0.2, 2.8): Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.15%
(30, 2.1, -0.2, 2.9): Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.15%
(30, 2.1, -0.2, 3.0): Return: 0.03%, Hit Ratio: 72.73%, Max Drawdown: 0.15%
(30, 2.1, -0.1, 2.8): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.1, -0.1, 2.9): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.1, -0.1, 3.0): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.1, 0.0, 2.8): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.1, 0.0, 2.9): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.1, 0.0, 3.0): Return: 0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.15%
(30, 2.2, -0.2, 2.8): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(30, 2.2, -0.2, 2.9): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(30, 2.2, -0.2, 3.0): Return: 0.02%, Hit Ratio: 75.0%, Max Drawdown: 0.11%
(30, 2.1, 0.1, 2.8): Return: 0.01%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.1, 0.1, 2.9): Return: 0.01%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.1, 0.1, 3.0): Return: 0.01%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.2, -0.1, 2.8): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.2, -0.1, 2.9): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.2, -0.1, 3.0): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.2, 0.0, 2.8): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.2, 0.0, 2.9): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.2, 0.0, 3.0): Return: 0.01%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.1, 0.2, 2.8): Return: 0.0%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.1, 0.2, 2.9): Return: 0.0%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.1, 0.2, 3.0): Return: 0.0%, Hit Ratio: 54.55%, Max Drawdown: 0.15%
(30, 2.2, 0.1, 2.8): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.13%
(30, 2.2, 0.1, 2.9): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.13%
(30, 2.2, 0.1, 3.0): Return: -0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.13%
(30, 2.0, -0.2, 2.8): Return: -0.01%, Hit Ratio: 66.67%, Max Drawdown: 0.15%
(30, 2.0, -0.2, 2.9): Return: -0.01%, Hit Ratio: 66.67%, Max Drawdown: 0.15%
(30, 2.0, -0.2, 3.0): Return: -0.01%, Hit Ratio: 66.67%, Max Drawdown: 0.15%
(30, 2.2, 0.2, 2.8): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.14%
(30, 2.2, 0.2, 2.9): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.14%
(30, 2.2, 0.2, 3.0): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.14%
(20, 2.1, -0.2, 2.8): Return: -0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.24%
(20, 2.1, -0.1, 2.8): Return: -0.02%, Hit Ratio: 63.64%, Max Drawdown: 0.24%
(35, 2.2, -0.2, 3.1): Return: -0.02%, Hit Ratio: 72.73%, Max Drawdown: 0.27%
(35, 2.2, -0.2, 3.2): Return: -0.02%, Hit Ratio: 72.73%, Max Drawdown: 0.27%
(35, 2.2, -0.1, 3.1): Return: -0.02%, Hit Ratio: 72.73%, Max Drawdown: 0.27%
(35, 2.2, -0.1, 3.2): Return: -0.02%, Hit Ratio: 72.73%, Max Drawdown: 0.27%
