(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.1, -0.7, 3.3), Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(20, 1.1, -0.7, 3.3): Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(20, 1.1, -0.7, 3.4): Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(20, 1.1, -0.7, 3.5): Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(20, 1.1, -0.7, 3.6): Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(20, 1.1, -0.7, 3.7): Return: 2.45%, Hit Ratio: 47.87%, Max Drawdown: 0.82%
(35, 1.1, -0.6, 3.3): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.4): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.5): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.6): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.3): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.4): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.5): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.6): Return: 2.44%, Hit Ratio: 52.81%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.3): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.4): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.5): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.6): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.3): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.4): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.5): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.0, -0.6, 3.6): Return: 2.33%, Hit Ratio: 56.12%, Max Drawdown: 0.78%
(35, 1.1, -0.6, 3.7): Return: 2.32%, Hit Ratio: 53.33%, Max Drawdown: 0.89%
(35, 1.1, -0.6, 3.7): Return: 2.32%, Hit Ratio: 53.33%, Max Drawdown: 0.89%
(35, 1.0, -0.6, 3.7): Return: 2.2%, Hit Ratio: 56.57%, Max Drawdown: 0.89%
