(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 0.8, -0.7, 3.3), Return: 4.83%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 0.8, -0.7, 3.3): Return: 4.83%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 0.8, -0.7, 3.4): Return: 4.83%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 0.8, -0.7, 3.5): Return: 4.82%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 0.8, -0.7, 3.6): Return: 4.82%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 0.8, -0.7, 3.7): Return: 4.82%, Hit Ratio: 53.61%, Max Drawdown: 0.75%
(20, 1.0, -0.7, 3.3): Return: 4.81%, Hit Ratio: 56.25%, Max Drawdown: 0.79%
(20, 1.0, -0.7, 3.4): Return: 4.81%, Hit Ratio: 56.25%, Max Drawdown: 0.79%
(20, 1.0, -0.7, 3.5): Return: 4.8%, Hit Ratio: 56.25%, Max Drawdown: 0.79%
(20, 1.0, -0.7, 3.6): Return: 4.8%, Hit Ratio: 56.25%, Max Drawdown: 0.79%
(20, 1.0, -0.7, 3.7): Return: 4.8%, Hit Ratio: 56.25%, Max Drawdown: 0.79%
(20, 0.9, -0.7, 3.3): Return: 4.63%, Hit Ratio: 56.47%, Max Drawdown: 0.66%
(20, 0.9, -0.7, 3.4): Return: 4.63%, Hit Ratio: 56.47%, Max Drawdown: 0.66%
(20, 0.9, -0.7, 3.5): Return: 4.62%, Hit Ratio: 56.47%, Max Drawdown: 0.66%
(20, 0.9, -0.7, 3.6): Return: 4.62%, Hit Ratio: 56.47%, Max Drawdown: 0.66%
(20, 0.9, -0.7, 3.7): Return: 4.62%, Hit Ratio: 56.47%, Max Drawdown: 0.66%
(20, 0.8, -0.5, 3.3): Return: 4.12%, Hit Ratio: 56.86%, Max Drawdown: 0.61%
(20, 0.8, -0.5, 3.4): Return: 4.12%, Hit Ratio: 56.86%, Max Drawdown: 0.61%
(20, 0.8, -0.5, 3.5): Return: 4.11%, Hit Ratio: 56.86%, Max Drawdown: 0.61%
(20, 0.8, -0.5, 3.6): Return: 4.11%, Hit Ratio: 56.86%, Max Drawdown: 0.61%
