,date,open,high,low,close,volume,average,barCount
0,2015-08-21 09:30:00,6.65,6.65,6.65,6.65,12,6.65,3
1,2015-08-21 09:31:00,6.64,6.64,6.63,6.63,6,6.638,5
2,2015-08-21 09:32:00,6.63,6.63,6.63,6.63,0,6.63,0
3,2015-08-21 09:33:00,6.63,6.64,6.63,6.64,20,6.638,8
4,2015-08-21 09:34:00,6.64,6.65,6.64,6.64,276,6.64,52
5,2015-08-21 09:35:00,6.64,6.64,6.64,6.64,77,6.64,32
6,2015-08-21 09:36:00,6.65,6.65,6.64,6.64,67,6.641,5
7,2015-08-21 09:37:00,6.64,6.65,6.64,6.65,43,6.645,24
8,2015-08-21 09:38:00,6.65,6.65,6.64,6.64,14,6.645,6
9,2015-08-21 09:39:00,6.65,6.66,6.65,6.66,29,6.658,12
10,2015-08-21 09:40:00,6.66,6.66,6.66,6.66,2,6.66,1
11,2015-08-21 09:41:00,6.66,6.66,6.65,6.66,55,6.659,1
12,2015-08-21 09:42:00,6.65,6.65,6.65,6.65,1,6.65,1
13,2015-08-21 09:43:00,6.65,6.65,6.64,6.64,13,6.649,4
14,2015-08-21 09:44:00,6.64,6.65,6.64,6.64,35,6.643,6
15,2015-08-21 09:45:00,6.65,6.65,6.62,6.63,115,6.635,28
16,2015-08-21 09:46:00,6.63,6.63,6.63,6.63,15,6.63,6
17,2015-08-21 09:47:00,6.64,6.64,6.63,6.64,75,6.639,14
18,2015-08-21 09:48:00,6.64,6.64,6.64,6.64,0,6.64,0
19,2015-08-21 09:49:00,6.64,6.64,6.64,6.64,0,6.64,0
20,2015-08-21 09:50:00,6.63,6.63,6.63,6.63,1,6.63,1
21,2015-08-21 09:51:00,6.63,6.64,6.63,6.63,8,6.634,1
22,2015-08-21 09:52:00,6.64,6.64,6.63,6.64,8,6.636,2
23,2015-08-21 09:53:00,6.64,6.64,6.64,6.64,0,6.64,0
24,2015-08-21 09:54:00,6.64,6.64,6.64,6.64,40,6.64,11
25,2015-08-21 09:55:00,6.64,6.64,6.64,6.64,0,6.64,0
26,2015-08-21 09:56:00,6.64,6.64,6.64,6.64,1,6.64,1
27,2015-08-21 09:57:00,6.64,6.65,6.64,6.64,3,6.645,1
28,2015-08-21 09:58:00,6.64,6.65,6.64,6.65,21,6.641,2
29,2015-08-21 09:59:00,6.65,6.65,6.64,6.64,12,6.643,2
30,2015-08-21 10:00:00,6.65,6.65,6.64,6.65,56,6.65,16
31,2015-08-21 10:01:00,6.66,6.66,6.65,6.66,6,6.656,2
32,2015-08-21 10:02:00,6.66,6.66,6.66,6.66,0,6.66,0
33,2015-08-21 10:03:00,6.66,6.66,6.66,6.66,0,6.66,0
34,2015-08-21 10:04:00,6.66,6.66,6.66,6.66,0,6.66,0
35,2015-08-21 10:05:00,6.65,6.66,6.65,6.66,4,6.658,4
36,2015-08-21 10:06:00,6.66,6.67,6.65,6.67,61,6.662,10
37,2015-08-21 10:07:00,6.67,6.67,6.65,6.66,57,6.665,16
38,2015-08-21 10:08:00,6.65,6.65,6.65,6.65,9,6.65,4
39,2015-08-21 10:09:00,6.65,6.65,6.65,6.65,2,6.65,1
40,2015-08-21 10:10:00,6.65,6.65,6.65,6.65,13,6.65,3
41,2015-08-21 10:11:00,6.65,6.65,6.64,6.64,52,6.642,3
42,2015-08-21 10:12:00,6.64,6.64,6.64,6.64,0,6.64,0
43,2015-08-21 10:13:00,6.64,6.64,6.64,6.64,0,6.64,0
44,2015-08-21 10:14:00,6.65,6.65,6.64,6.64,18,6.649,4
45,2015-08-21 10:15:00,6.65,6.65,6.64,6.65,3,6.648,3
46,2015-08-21 10:16:00,6.64,6.64,6.64,6.64,29,6.64,11
47,2015-08-21 10:17:00,6.64,6.64,6.64,6.64,0,6.64,0
48,2015-08-21 10:18:00,6.63,6.64,6.62,6.64,2430,6.63,525
49,2015-08-21 10:19:00,6.63,6.64,6.63,6.63,20,6.633,5
50,2015-08-21 10:20:00,6.63,6.64,6.63,6.63,101,6.639,6
51,2015-08-21 10:21:00,6.63,6.63,6.63,6.63,0,6.63,0
52,2015-08-21 10:22:00,6.63,6.63,6.63,6.63,0,6.63,0
53,2015-08-21 10:23:00,6.63,6.64,6.62,6.64,70,6.63,31
54,2015-08-21 10:24:00,6.63,6.64,6.63,6.63,5,6.631,2
