,date,open,high,low,close,volume,average,barCount
0,2015-04-10,783.0,787.8,777.3,777.3,55115800,781.725,22851
1,2015-04-13,780.0,780.7,768.5,771.4,37424300,772.35,19576
2,2015-04-14,768.0,781.0,767.0,780.0,36865900,776.825,19075
3,2015-04-15,775.7,786.7,773.5,783.7,42525700,782.25,18553
4,2015-04-16,782.1,805.3,780.1,805.3,108070300,793.89,35223
5,2015-04-17,808.0,826.8,800.6,822.0,158124300,817.6,57037
6,2015-04-20,809.0,836.7,803.7,826.4,116702400,824.56,44345
7,2015-04-21,836.0,855.4,835.3,854.0,127805700,848.6,41180
8,2015-04-22,858.1,887.8,857.9,879.2,166156400,878.465,61568
9,2015-04-23,889.9,895.0,850.7,861.7,148474100,872.575,67134
10,2015-04-24,857.6,872.0,854.5,856.8,72545100,861.56,35778
11,2015-04-27,857.6,863.0,842.2,851.1,78012400,849.9,39813
12,2015-04-28,861.5,863.0,851.5,855.7,57497300,855.525,27677
13,2015-04-30,850.2,858.8,841.5,855.9,90983700,850.47,44458
14,2015-05-01,848.0,852.0,831.1,842.2,93557100,839.45,44803
15,2015-05-07,839.0,842.5,830.2,836.4,72297600,836.89,38123
16,2015-05-08,841.0,883.7,837.4,882.8,114629200,866.06,46532
17,2015-05-11,900.0,911.6,868.6,872.0,136285700,887.58,64622
18,2015-05-12,868.0,874.0,855.0,864.7,80774600,863.175,39119
19,2015-05-13,859.1,868.9,852.7,865.2,71901100,860.19,41506
20,2015-05-14,856.6,863.4,842.9,844.0,93448100,850.16,36652
21,2015-05-15,853.1,881.7,840.3,871.9,134489600,859.04,61506
22,2015-05-18,883.0,911.8,883.0,911.8,186333500,898.68,65877
23,2015-05-19,908.0,909.0,896.6,899.1,123555300,902.445,53372
24,2015-05-20,906.5,912.8,896.8,898.7,122121100,903.76,49036
25,2015-05-21,900.7,919.7,899.5,906.8,116964900,909.84,43211
26,2015-05-22,902.6,907.4,891.6,899.5,103665000,899.515,38096
27,2015-05-25,908.0,909.2,903.0,905.4,45479400,906.785,19678
28,2015-05-26,905.6,908.8,900.8,900.8,47020900,903.405,21123
29,2015-05-27,895.9,905.5,891.1,896.6,79745000,898.88,35268
30,2015-05-28,908.0,926.6,901.2,917.3,155414400,913.865,63604
31,2015-05-29,925.4,931.3,913.8,921.2,103902800,921.41,46357
32,2015-06-01,911.6,936.8,909.2,935.0,71984200,923.85,32634
33,2015-06-02,935.0,935.1,911.9,914.0,90210600,920.835,40460
34,2015-06-03,914.1,921.8,908.1,913.7,66140500,915.625,35827
35,2015-06-04,916.1,932.4,913.4,924.3,74871400,924.03,31994
36,2015-06-05,915.0,916.0,900.0,906.4,98442700,906.485,40305
37,2015-06-08,918.0,918.0,896.2,900.8,82088300,908.095,38013
38,2015-06-09,892.0,903.6,884.2,884.3,75924400,894.56,35824
39,2015-06-10,883.0,894.3,876.1,877.0,88591900,884.66,46256
40,2015-06-11,886.6,903.3,886.0,891.9,85294200,894.53,38578
41,2015-06-12,890.8,894.7,881.3,890.0,100022900,888.225,33007
42,2015-06-15,885.2,893.2,881.5,889.5,49029100,888.4,22662
43,2015-06-16,885.5,886.8,871.3,875.5,69367900,877.945,27041
44,2015-06-17,880.5,881.5,864.1,867.9,57299400,870.82,26205
45,2015-06-18,868.4,870.6,851.0,854.5,62862900,859.75,34978
46,2015-06-19,870.5,872.3,855.8,860.0,56216500,864.895,28375
47,2015-06-22,870.0,891.8,868.3,889.0,75073200,882.91,33921
48,2015-06-23,906.0,913.5,899.6,906.5,84217000,907.235,35461
49,2015-06-24,912.6,916.3,905.0,912.2,69581000,912.57,28229
50,2015-06-25,904.8,912.4,903.4,905.0,44553600,907.08,22218
51,2015-06-26,904.2,916.4,898.2,915.5,65802600,908.035,26116
52,2015-06-29,880.0,893.9,877.8,885.8,88501500,887.145,41600
53,2015-06-30,881.7,885.7,865.6,879.8,96243700,875.355,47843
54,2015-07-01,880.1,894.3,875.0,888.0,45069800,886.435,23994
55,2015-07-02,899.5,901.8,892.6,892.7,44225200,897.06,24222
56,2015-07-03,896.9,907.6,893.1,903.5,63983300,902.3,30504
57,2015-07-06,885.0,890.0,870.4,876.3,89780200,879.18,41323
58,2015-07-07,885.0,892.4,878.0,880.2,64005000,885.28,28069
59,2015-07-08,875.0,877.8,840.5,840.5,95539200,855.95,47272
60,2015-07-09,815.0,841.8,803.7,838.2,136543500,821.785,80502
61,2015-07-10,839.4,868.0,838.6,857.3,97590000,853.925,54797
62,2015-07-13,870.0,874.6,859.6,872.0,59915300,867.415,31146
