The return of ADR_underlying pairs trading for NMR_8604 from Japan is 15.649445712992064%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 7.939749512257432%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 7.939749512257432%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 7.939749512257432%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 4.36181918924705%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 4.36181918924705%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 4.36181918924705%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 15.649445712992064%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 15.649445712992064%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 15.649445712992064%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 7.081329292681127%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 7.081329292681127%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 7.081329292681127%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 8.725485211795021%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 8.725485211795021%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 8.725485211795021%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 10.714189494555612%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 10.714189494555612%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 10.714189494555612%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: -0.7430869885143766%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: -0.7430869885143766%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: -0.7430869885143766%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 4.006655880597856%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 4.006655880597856%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 4.006655880597856%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 5.143294325781244%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 5.143294325781244%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 5.143294325781244%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 11.192394335362332%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 11.192394335362332%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 11.192394335362332%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 3.216289453721372%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3	Return: 3.216289453721372%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 3.216289453721372%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 7.293975227846124%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 7.293975227846124%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 7.293975227846124%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 5.006007123803443%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 5.006007123803443%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 5.006007123803443%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: -0.09179490585962777%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: -0.09179490585962777%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: -0.09179490585962777%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 4.621070097535994%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 4.621070097535994%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 4.621070097535994%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 2.9246299098631425%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 2.9246299098631425%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 2.9246299098631425%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 0.6850313762062288%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3	Return: 0.6850313762062288%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 0.6850313762062288%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 1.2475297034182005%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 1.2475297034182005%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 1.2475297034182005%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 10.897741690569585%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 10.897741690569585%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 10.897741690569585%
