(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 2.0, -0.6, 2.5), Return: 0.11%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(100, 2.0, -0.6, 2.5): Return: 0.11%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(100, 2.0, -0.6, 2.6): Return: 0.11%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
(100, 2.0, -0.7, 2.5): Return: 0.1%, Hit Ratio: 75.0%, Max Drawdown: 0.06%
(100, 2.0, -0.7, 2.6): Return: 0.1%, Hit Ratio: 75.0%, Max Drawdown: 0.06%
(100, 2.0, -0.6, 2.3): Return: 0.1%, Hit Ratio: 83.33%, Max Drawdown: 0.05%
(100, 2.0, -0.6, 2.4): Return: 0.1%, Hit Ratio: 83.33%, Max Drawdown: 0.05%
(100, 2.0, -0.7, 2.3): Return: 0.09%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
(100, 2.0, -0.7, 2.4): Return: 0.09%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
(105, 2.1, -0.7, 2.3): Return: 0.08%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(105, 2.1, -0.7, 2.4): Return: 0.08%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(105, 2.1, -0.7, 2.5): Return: 0.08%, Hit Ratio: 66.67%, Max Drawdown: 0.07%
(105, 2.1, -0.7, 2.6): Return: 0.08%, Hit Ratio: 66.67%, Max Drawdown: 0.07%
(105, 2.1, -0.7, 2.3): Return: 0.08%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(105, 2.1, -0.7, 2.4): Return: 0.08%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(105, 2.1, -0.7, 2.5): Return: 0.08%, Hit Ratio: 66.67%, Max Drawdown: 0.07%
(105, 2.1, -0.7, 2.6): Return: 0.08%, Hit Ratio: 66.67%, Max Drawdown: 0.07%
(100, 2.0, -0.5, 2.5): Return: 0.07%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
(100, 2.0, -0.5, 2.6): Return: 0.07%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
(100, 2.0, -0.4, 2.5): Return: 0.07%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
(100, 2.0, -0.4, 2.6): Return: 0.07%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
(100, 2.0, -0.3, 2.5): Return: 0.07%, Hit Ratio: 87.5%, Max Drawdown: 0.05%
