(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 2.0, -0.5, 2.4), Return: 0.29%, Hit Ratio: 58.33%, Max Drawdown: 0.08%
(40, 2.0, -0.5, 2.4): Return: 0.29%, Hit Ratio: 58.33%, Max Drawdown: 0.08%
(30, 2.0, -0.7, 2.4): Return: 0.28%, Hit Ratio: 68.75%, Max Drawdown: 0.09%
(30, 2.0, -0.5, 2.4): Return: 0.28%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
(40, 2.0, -0.6, 2.4): Return: 0.28%, Hit Ratio: 58.33%, Max Drawdown: 0.08%
(40, 2.0, -0.4, 2.4): Return: 0.28%, Hit Ratio: 66.67%, Max Drawdown: 0.07%
(35, 2.0, -0.7, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.7, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(35, 2.0, -0.6, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.6, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.05%
(35, 2.0, -0.5, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.5, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.05%
(35, 2.1, -0.7, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.7, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(35, 2.1, -0.6, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.6, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.05%
(35, 2.1, -0.5, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.5, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.05%
(30, 2.0, -0.6, 2.4): Return: 0.27%, Hit Ratio: 68.75%, Max Drawdown: 0.09%
(35, 2.0, -0.7, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.7, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(35, 2.0, -0.6, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.6, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.05%
(35, 2.0, -0.5, 2.3): Return: 0.27%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(35, 2.0, -0.5, 2.4): Return: 0.27%, Hit Ratio: 61.54%, Max Drawdown: 0.05%
(35, 2.1, -0.7, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.7, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(35, 2.1, -0.6, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.6, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.05%
(35, 2.1, -0.5, 2.3): Return: 0.27%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(35, 2.1, -0.5, 2.4): Return: 0.27%, Hit Ratio: 63.64%, Max Drawdown: 0.05%
(40, 2.0, -0.6, 2.5): Return: 0.27%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(40, 2.0, -0.5, 2.5): Return: 0.27%, Hit Ratio: 56.25%, Max Drawdown: 0.1%
(40, 2.1, -0.7, 2.4): Return: 0.27%, Hit Ratio: 71.43%, Max Drawdown: 0.04%
(40, 2.1, -0.6, 2.4): Return: 0.27%, Hit Ratio: 71.43%, Max Drawdown: 0.04%
(40, 2.1, -0.5, 2.4): Return: 0.27%, Hit Ratio: 71.43%, Max Drawdown: 0.04%
(35, 1.9, -0.5, 2.3): Return: 0.26%, Hit Ratio: 56.25%, Max Drawdown: 0.13%
(35, 1.9, -0.5, 2.4): Return: 0.26%, Hit Ratio: 57.89%, Max Drawdown: 0.13%
(35, 2.0, -0.4, 2.3): Return: 0.26%, Hit Ratio: 70.0%, Max Drawdown: 0.04%
(35, 2.1, -0.4, 2.3): Return: 0.26%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
(30, 1.9, -0.7, 2.4): Return: 0.26%, Hit Ratio: 63.16%, Max Drawdown: 0.11%
(30, 1.9, -0.5, 2.4): Return: 0.26%, Hit Ratio: 68.42%, Max Drawdown: 0.1%
(35, 1.9, -0.5, 2.3): Return: 0.26%, Hit Ratio: 56.25%, Max Drawdown: 0.13%
(35, 1.9, -0.5, 2.4): Return: 0.26%, Hit Ratio: 57.89%, Max Drawdown: 0.13%
(35, 2.0, -0.4, 2.3): Return: 0.26%, Hit Ratio: 70.0%, Max Drawdown: 0.04%
(35, 2.1, -0.4, 2.3): Return: 0.26%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
(40, 2.0, -0.7, 2.4): Return: 0.26%, Hit Ratio: 50.0%, Max Drawdown: 0.1%
(40, 2.0, -0.6, 2.3): Return: 0.26%, Hit Ratio: 54.55%, Max Drawdown: 0.1%
(40, 2.0, -0.5, 2.3): Return: 0.26%, Hit Ratio: 54.55%, Max Drawdown: 0.1%
(40, 2.1, -0.6, 2.5): Return: 0.26%, Hit Ratio: 63.64%, Max Drawdown: 0.07%
(40, 2.1, -0.5, 2.5): Return: 0.26%, Hit Ratio: 63.64%, Max Drawdown: 0.07%
(40, 2.1, -0.4, 2.4): Return: 0.26%, Hit Ratio: 71.43%, Max Drawdown: 0.04%
(35, 1.9, -0.6, 2.4): Return: 0.25%, Hit Ratio: 57.89%, Max Drawdown: 0.12%
(35, 1.9, -0.4, 2.3): Return: 0.25%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(30, 2.0, -0.7, 2.3): Return: 0.25%, Hit Ratio: 69.23%, Max Drawdown: 0.1%
(35, 1.9, -0.6, 2.4): Return: 0.25%, Hit Ratio: 57.89%, Max Drawdown: 0.12%
(35, 1.9, -0.4, 2.3): Return: 0.25%, Hit Ratio: 62.5%, Max Drawdown: 0.12%
(40, 2.0, -0.7, 2.5): Return: 0.25%, Hit Ratio: 50.0%, Max Drawdown: 0.12%
(40, 2.0, -0.4, 2.3): Return: 0.25%, Hit Ratio: 63.64%, Max Drawdown: 0.1%
(40, 2.1, -0.7, 2.5): Return: 0.25%, Hit Ratio: 63.64%, Max Drawdown: 0.08%
(40, 2.1, -0.6, 2.3): Return: 0.25%, Hit Ratio: 66.67%, Max Drawdown: 0.06%
