(Lookback, Entry, Exit, Stop-loss)
Best HPs: (35, 1.4, -0.7, 3.0), Return: 4.35%, Hit Ratio: 65.79%, Max Drawdown: 0.85%
(35, 1.4, -0.7, 3.0): Return: 4.35%, Hit Ratio: 65.79%, Max Drawdown: 0.85%
(35, 1.4, -0.6, 3.0): Return: 4.35%, Hit Ratio: 63.16%, Max Drawdown: 0.85%
(35, 1.4, -0.7, 3.0): Return: 4.35%, Hit Ratio: 65.79%, Max Drawdown: 0.85%
(35, 1.4, -0.6, 3.0): Return: 4.35%, Hit Ratio: 63.16%, Max Drawdown: 0.85%
(35, 1.4, -0.5, 3.0): Return: 4.34%, Hit Ratio: 65.85%, Max Drawdown: 0.85%
(35, 1.4, -0.5, 3.0): Return: 4.34%, Hit Ratio: 65.85%, Max Drawdown: 0.85%
(35, 1.4, -0.6, 2.9): Return: 4.33%, Hit Ratio: 63.16%, Max Drawdown: 0.85%
(35, 1.4, -0.6, 2.9): Return: 4.33%, Hit Ratio: 63.16%, Max Drawdown: 0.85%
(35, 1.4, -0.7, 2.9): Return: 4.32%, Hit Ratio: 65.79%, Max Drawdown: 0.85%
(35, 1.4, -0.7, 2.9): Return: 4.32%, Hit Ratio: 65.79%, Max Drawdown: 0.85%
(35, 1.4, -0.5, 2.9): Return: 4.31%, Hit Ratio: 65.85%, Max Drawdown: 0.85%
(35, 1.4, -0.5, 2.9): Return: 4.31%, Hit Ratio: 65.85%, Max Drawdown: 0.85%
(40, 1.4, -0.7, 2.9): Return: 4.29%, Hit Ratio: 74.29%, Max Drawdown: 0.86%
(40, 1.4, -0.7, 2.8): Return: 4.26%, Hit Ratio: 74.29%, Max Drawdown: 0.86%
(40, 1.5, -0.7, 2.9): Return: 4.25%, Hit Ratio: 74.29%, Max Drawdown: 0.86%
(40, 1.4, -0.6, 2.9): Return: 4.24%, Hit Ratio: 71.43%, Max Drawdown: 0.86%
(40, 1.5, -0.7, 2.8): Return: 4.22%, Hit Ratio: 74.29%, Max Drawdown: 0.86%
(40, 1.4, -0.7, 3.0): Return: 4.21%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.4, -0.7, 3.1): Return: 4.21%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.4, -0.7, 3.2): Return: 4.21%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.4, -0.6, 2.8): Return: 4.21%, Hit Ratio: 71.43%, Max Drawdown: 0.86%
(40, 1.5, -0.6, 2.9): Return: 4.2%, Hit Ratio: 71.43%, Max Drawdown: 0.86%
(40, 1.4, -0.6, 3.0): Return: 4.17%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.4, -0.6, 3.1): Return: 4.17%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.4, -0.6, 3.2): Return: 4.17%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.5, -0.7, 3.0): Return: 4.17%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.5, -0.7, 3.1): Return: 4.17%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.5, -0.7, 3.2): Return: 4.17%, Hit Ratio: 72.97%, Max Drawdown: 0.86%
(40, 1.5, -0.6, 2.8): Return: 4.17%, Hit Ratio: 71.43%, Max Drawdown: 0.86%
(30, 1.4, -0.6, 3.0): Return: 4.15%, Hit Ratio: 65.85%, Max Drawdown: 0.86%
(30, 1.4, -0.6, 3.1): Return: 4.15%, Hit Ratio: 65.85%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 2.8): Return: 4.14%, Hit Ratio: 61.11%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 2.8): Return: 4.14%, Hit Ratio: 61.11%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 2.8): Return: 4.13%, Hit Ratio: 63.89%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 2.8): Return: 4.13%, Hit Ratio: 63.89%, Max Drawdown: 0.86%
(40, 1.5, -0.6, 3.0): Return: 4.13%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.5, -0.6, 3.1): Return: 4.13%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.5, -0.6, 3.2): Return: 4.13%, Hit Ratio: 70.27%, Max Drawdown: 0.86%
(40, 1.6, -0.7, 3.0): Return: 4.13%, Hit Ratio: 81.25%, Max Drawdown: 0.86%
(40, 1.6, -0.7, 3.1): Return: 4.13%, Hit Ratio: 81.25%, Max Drawdown: 0.86%
(40, 1.6, -0.7, 3.2): Return: 4.13%, Hit Ratio: 81.25%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 2.8): Return: 4.12%, Hit Ratio: 64.1%, Max Drawdown: 0.85%
(35, 1.5, -0.6, 3.0): Return: 4.12%, Hit Ratio: 66.67%, Max Drawdown: 0.86%
(35, 1.6, -0.6, 3.0): Return: 4.12%, Hit Ratio: 75.0%, Max Drawdown: 0.86%
(30, 1.4, -0.6, 2.9): Return: 4.12%, Hit Ratio: 65.85%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 2.8): Return: 4.12%, Hit Ratio: 64.1%, Max Drawdown: 0.85%
(35, 1.5, -0.6, 3.0): Return: 4.12%, Hit Ratio: 66.67%, Max Drawdown: 0.86%
(35, 1.6, -0.6, 3.0): Return: 4.12%, Hit Ratio: 75.0%, Max Drawdown: 0.86%
(35, 1.5, -0.7, 3.0): Return: 4.11%, Hit Ratio: 69.44%, Max Drawdown: 0.86%
(35, 1.6, -0.7, 3.0): Return: 4.11%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(35, 1.5, -0.7, 3.0): Return: 4.11%, Hit Ratio: 69.44%, Max Drawdown: 0.86%
(35, 1.6, -0.7, 3.0): Return: 4.11%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 3.1): Return: 4.09%, Hit Ratio: 63.16%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 3.2): Return: 4.09%, Hit Ratio: 63.16%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 3.1): Return: 4.09%, Hit Ratio: 60.53%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 3.2): Return: 4.09%, Hit Ratio: 60.53%, Max Drawdown: 0.86%
(35, 1.5, -0.7, 2.9): Return: 4.09%, Hit Ratio: 69.44%, Max Drawdown: 0.86%
(35, 1.5, -0.6, 2.9): Return: 4.09%, Hit Ratio: 66.67%, Max Drawdown: 0.86%
(35, 1.6, -0.7, 2.9): Return: 4.09%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(35, 1.6, -0.6, 2.9): Return: 4.09%, Hit Ratio: 75.0%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 3.1): Return: 4.09%, Hit Ratio: 63.16%, Max Drawdown: 0.86%
(35, 1.4, -0.7, 3.2): Return: 4.09%, Hit Ratio: 63.16%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 3.1): Return: 4.09%, Hit Ratio: 60.53%, Max Drawdown: 0.86%
(35, 1.4, -0.6, 3.2): Return: 4.09%, Hit Ratio: 60.53%, Max Drawdown: 0.86%
(35, 1.5, -0.7, 2.9): Return: 4.09%, Hit Ratio: 69.44%, Max Drawdown: 0.86%
(35, 1.5, -0.6, 2.9): Return: 4.09%, Hit Ratio: 66.67%, Max Drawdown: 0.86%
(35, 1.6, -0.7, 2.9): Return: 4.09%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(35, 1.6, -0.6, 2.9): Return: 4.09%, Hit Ratio: 75.0%, Max Drawdown: 0.86%
(40, 1.6, -0.6, 3.0): Return: 4.09%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(40, 1.6, -0.6, 3.1): Return: 4.09%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(40, 1.6, -0.6, 3.2): Return: 4.09%, Hit Ratio: 78.12%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 3.1): Return: 4.08%, Hit Ratio: 63.41%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 3.2): Return: 4.08%, Hit Ratio: 63.41%, Max Drawdown: 0.86%
(30, 1.5, -0.7, 3.0): Return: 4.08%, Hit Ratio: 67.65%, Max Drawdown: 0.86%
(30, 1.5, -0.7, 3.1): Return: 4.08%, Hit Ratio: 67.65%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 3.1): Return: 4.08%, Hit Ratio: 63.41%, Max Drawdown: 0.86%
(35, 1.4, -0.5, 3.2): Return: 4.08%, Hit Ratio: 63.41%, Max Drawdown: 0.86%
(30, 1.4, -0.5, 3.0): Return: 4.07%, Hit Ratio: 64.29%, Max Drawdown: 0.86%
