(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (50, 1.5, -0.5, 3.3), Return: 1.05%, Hit Ratio: 67.24%, Max Drawdown: 0.35%
(50, 1.5, -0.5, 3.3): Return: 1.05%, Hit Ratio: 67.24%, Max Drawdown: 0.35%
(50, 1.5, -0.6, 3.3): Return: 1.03%, Hit Ratio: 66.67%, Max Drawdown: 0.35%
(70, 1.5, -0.6, 3.6): Return: 1.02%, Hit Ratio: 64.29%, Max Drawdown: 0.35%
(60, 1.4, -0.6, 3.5): Return: 1.01%, Hit Ratio: 60.0%, Max Drawdown: 0.35%
(70, 1.5, -0.6, 3.3): Return: 1.01%, Hit Ratio: 63.64%, Max Drawdown: 0.35%
(70, 1.5, -0.6, 3.4): Return: 1.01%, Hit Ratio: 63.64%, Max Drawdown: 0.35%
(70, 1.5, -0.6, 3.5): Return: 1.01%, Hit Ratio: 63.64%, Max Drawdown: 0.35%
(50, 1.5, -0.7, 3.3): Return: 1.0%, Hit Ratio: 64.91%, Max Drawdown: 0.35%
(60, 1.4, -0.6, 3.3): Return: 1.0%, Hit Ratio: 59.32%, Max Drawdown: 0.35%
(60, 1.4, -0.6, 3.4): Return: 1.0%, Hit Ratio: 59.32%, Max Drawdown: 0.35%
(70, 1.4, -0.6, 3.6): Return: 1.0%, Hit Ratio: 61.9%, Max Drawdown: 0.35%
(65, 1.5, -0.6, 3.6): Return: 0.99%, Hit Ratio: 63.64%, Max Drawdown: 0.35%
(60, 1.5, -0.6, 3.5): Return: 0.99%, Hit Ratio: 63.16%, Max Drawdown: 0.35%
(65, 1.5, -0.6, 3.6): Return: 0.99%, Hit Ratio: 63.64%, Max Drawdown: 0.35%
(70, 1.4, -0.6, 3.3): Return: 0.99%, Hit Ratio: 61.29%, Max Drawdown: 0.35%
(70, 1.4, -0.6, 3.4): Return: 0.99%, Hit Ratio: 61.29%, Max Drawdown: 0.35%
(70, 1.4, -0.6, 3.5): Return: 0.99%, Hit Ratio: 61.29%, Max Drawdown: 0.35%
(70, 1.5, -0.7, 3.6): Return: 0.99%, Hit Ratio: 65.45%, Max Drawdown: 0.35%
(50, 1.5, -0.5, 3.4): Return: 0.98%, Hit Ratio: 65.52%, Max Drawdown: 0.35%
(50, 1.5, -0.5, 3.5): Return: 0.98%, Hit Ratio: 65.52%, Max Drawdown: 0.35%
