(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.4, -0.4, 3.4), Return: 3.22%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.4, 3.4): Return: 3.22%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.4, 3.5): Return: 3.22%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.4, 3.6): Return: 3.22%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.4, 3.7): Return: 3.22%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.4, 3.3): Return: 3.09%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.6, 3.4): Return: 3.04%, Hit Ratio: 53.62%, Max Drawdown: 1.04%
(20, 1.4, -0.6, 3.5): Return: 3.04%, Hit Ratio: 53.62%, Max Drawdown: 1.04%
(20, 1.4, -0.6, 3.6): Return: 3.04%, Hit Ratio: 53.62%, Max Drawdown: 1.04%
(20, 1.4, -0.6, 3.7): Return: 3.04%, Hit Ratio: 53.62%, Max Drawdown: 1.04%
(20, 1.4, -0.5, 3.4): Return: 3.04%, Hit Ratio: 52.17%, Max Drawdown: 1.03%
(20, 1.4, -0.5, 3.5): Return: 3.04%, Hit Ratio: 52.17%, Max Drawdown: 1.03%
(20, 1.4, -0.5, 3.6): Return: 3.04%, Hit Ratio: 52.17%, Max Drawdown: 1.03%
(20, 1.4, -0.5, 3.7): Return: 3.04%, Hit Ratio: 52.17%, Max Drawdown: 1.03%
(20, 1.4, -0.6, 3.3): Return: 2.91%, Hit Ratio: 53.62%, Max Drawdown: 1.05%
(20, 1.4, -0.5, 3.3): Return: 2.91%, Hit Ratio: 52.17%, Max Drawdown: 1.03%
(20, 1.4, -0.7, 3.4): Return: 2.89%, Hit Ratio: 55.88%, Max Drawdown: 1.05%
(20, 1.4, -0.7, 3.5): Return: 2.89%, Hit Ratio: 55.88%, Max Drawdown: 1.05%
(20, 1.4, -0.7, 3.6): Return: 2.89%, Hit Ratio: 55.88%, Max Drawdown: 1.05%
(20, 1.4, -0.7, 3.7): Return: 2.89%, Hit Ratio: 55.88%, Max Drawdown: 1.05%
(20, 1.4, -0.3, 3.4): Return: 2.88%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.3, 3.5): Return: 2.88%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.3, 3.6): Return: 2.88%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.4, -0.3, 3.7): Return: 2.88%, Hit Ratio: 55.07%, Max Drawdown: 1.07%
(20, 1.3, -0.4, 3.4): Return: 2.86%, Hit Ratio: 54.32%, Max Drawdown: 1.11%
(20, 1.3, -0.4, 3.5): Return: 2.86%, Hit Ratio: 54.32%, Max Drawdown: 1.11%
(20, 1.3, -0.4, 3.6): Return: 2.86%, Hit Ratio: 54.32%, Max Drawdown: 1.11%
(20, 1.3, -0.4, 3.7): Return: 2.86%, Hit Ratio: 54.32%, Max Drawdown: 1.11%
(20, 1.3, -0.6, 3.4): Return: 2.76%, Hit Ratio: 53.09%, Max Drawdown: 1.11%
(20, 1.3, -0.6, 3.5): Return: 2.76%, Hit Ratio: 53.09%, Max Drawdown: 1.11%
