(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1.6, -0.5, 3.1), Return: 1.71%, Hit Ratio: 62.16%, Max Drawdown: 1.42%
(100, 1.6, -0.5, 3.1): Return: 1.71%, Hit Ratio: 62.16%, Max Drawdown: 1.42%
(100, 1.6, -0.5, 3.0): Return: 1.69%, Hit Ratio: 61.11%, Max Drawdown: 1.42%
(100, 1.6, -0.6, 3.1): Return: 1.66%, Hit Ratio: 62.16%, Max Drawdown: 1.42%
(100, 1.6, -0.5, 2.9): Return: 1.65%, Hit Ratio: 61.11%, Max Drawdown: 1.42%
(100, 1.6, -0.6, 3.0): Return: 1.63%, Hit Ratio: 61.11%, Max Drawdown: 1.42%
(100, 1.6, -0.6, 2.9): Return: 1.6%, Hit Ratio: 61.11%, Max Drawdown: 1.42%
(100, 1.6, -0.5, 2.8): Return: 1.54%, Hit Ratio: 60.0%, Max Drawdown: 1.42%
(100, 1.5, -0.6, 3.1): Return: 1.52%, Hit Ratio: 60.87%, Max Drawdown: 1.42%
(100, 1.5, -0.6, 3.0): Return: 1.5%, Hit Ratio: 60.0%, Max Drawdown: 1.42%
(100, 1.6, -0.6, 2.8): Return: 1.49%, Hit Ratio: 60.0%, Max Drawdown: 1.42%
(90, 1.4, -0.7, 2.9): Return: 1.46%, Hit Ratio: 58.82%, Max Drawdown: 1.43%
(90, 1.4, -0.7, 3.0): Return: 1.46%, Hit Ratio: 58.82%, Max Drawdown: 1.43%
(100, 1.5, -0.6, 2.9): Return: 1.46%, Hit Ratio: 60.0%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 3.1): Return: 1.42%, Hit Ratio: 58.33%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 3.1): Return: 1.42%, Hit Ratio: 58.33%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 3.0): Return: 1.4%, Hit Ratio: 57.45%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 3.0): Return: 1.4%, Hit Ratio: 57.45%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 2.9): Return: 1.37%, Hit Ratio: 57.45%, Max Drawdown: 1.42%
(105, 1.5, -0.6, 2.9): Return: 1.37%, Hit Ratio: 57.45%, Max Drawdown: 1.42%
(90, 1.4, -0.7, 3.1): Return: 1.36%, Hit Ratio: 57.69%, Max Drawdown: 1.53%
(90, 1.4, -0.7, 3.2): Return: 1.36%, Hit Ratio: 57.69%, Max Drawdown: 1.53%
(100, 1.6, -0.5, 3.2): Return: 1.36%, Hit Ratio: 57.89%, Max Drawdown: 1.42%
(100, 1.5, -0.6, 2.8): Return: 1.35%, Hit Ratio: 59.09%, Max Drawdown: 1.42%
(100, 1.6, -0.4, 3.1): Return: 1.35%, Hit Ratio: 62.16%, Max Drawdown: 1.42%
(100, 1.6, -0.4, 3.0): Return: 1.32%, Hit Ratio: 61.11%, Max Drawdown: 1.42%
