,date,open,high,low,close,volume,average,barCount
0,2015-10-01 09:30:00,7.76,7.8,7.76,7.78,110,7.765,11
1,2015-10-01 09:31:00,7.79,7.8,7.79,7.8,14,7.793,7
2,2015-10-01 09:32:00,7.79,7.8,7.78,7.8,69,7.789,23
3,2015-10-01 09:33:00,7.79,7.79,7.78,7.79,35,7.789,4
4,2015-10-01 09:34:00,7.79,7.79,7.79,7.79,27,7.79,10
5,2015-10-01 09:35:00,7.79,7.79,7.78,7.79,1,7.785,1
6,2015-10-01 09:36:00,7.79,7.79,7.79,7.79,0,7.79,0
7,2015-10-01 09:37:00,7.77,7.77,7.77,7.77,5,7.77,4
8,2015-10-01 09:38:00,7.77,7.77,7.75,7.75,83,7.763,21
9,2015-10-01 09:39:00,7.76,7.76,7.76,7.76,11,7.76,6
10,2015-10-01 09:40:00,7.77,7.77,7.77,7.77,1,7.77,1
11,2015-10-01 09:41:00,7.77,7.77,7.76,7.77,77,7.761,28
12,2015-10-01 09:42:00,7.76,7.77,7.76,7.77,5,7.762,2
13,2015-10-01 09:43:00,7.76,7.77,7.75,7.75,4,7.759,4
14,2015-10-01 09:44:00,7.75,7.75,7.75,7.75,0,7.75,0
15,2015-10-01 09:45:00,7.76,7.77,7.75,7.77,5,7.76,5
16,2015-10-01 09:46:00,7.77,7.77,7.77,7.77,0,7.77,0
17,2015-10-01 09:47:00,7.77,7.77,7.77,7.77,0,7.77,0
18,2015-10-01 09:48:00,7.77,7.77,7.77,7.77,0,7.77,0
19,2015-10-01 09:49:00,7.77,7.77,7.76,7.77,29,7.769,14
20,2015-10-01 09:50:00,7.77,7.77,7.77,7.77,0,7.77,0
21,2015-10-01 09:51:00,7.77,7.77,7.77,7.77,0,7.77,0
22,2015-10-01 09:52:00,7.78,7.79,7.77,7.77,98,7.779,37
23,2015-10-01 09:53:00,7.78,7.78,7.78,7.78,7,7.78,4
24,2015-10-01 09:54:00,7.78,7.78,7.78,7.78,0,7.78,0
25,2015-10-01 09:55:00,7.77,7.77,7.76,7.77,65,7.769,18
26,2015-10-01 09:56:00,7.77,7.77,7.76,7.76,60,7.763,7
27,2015-10-01 09:57:00,7.76,7.76,7.75,7.76,4,7.757,2
28,2015-10-01 09:58:00,7.75,7.75,7.75,7.75,47,7.75,10
29,2015-10-01 09:59:00,7.75,7.75,7.75,7.75,0,7.75,0
30,2015-10-01 10:00:00,7.74,7.74,7.73,7.74,13,7.739,6
31,2015-10-01 10:01:00,7.73,7.73,7.72,7.73,135,7.73,49
32,2015-10-01 10:02:00,7.73,7.73,7.72,7.73,16,7.729,8
33,2015-10-01 10:03:00,7.74,7.75,7.74,7.75,34,7.744,4
34,2015-10-01 10:04:00,7.75,7.75,7.75,7.75,4,7.75,3
35,2015-10-01 10:05:00,7.74,7.74,7.74,7.74,9,7.74,3
36,2015-10-01 10:06:00,7.75,7.75,7.75,7.75,8,7.75,4
37,2015-10-01 10:07:00,7.75,7.75,7.75,7.75,0,7.75,0
38,2015-10-01 10:08:00,7.75,7.75,7.74,7.74,31,7.747,14
39,2015-10-01 10:09:00,7.74,7.74,7.74,7.74,0,7.74,0
40,2015-10-01 10:10:00,7.75,7.75,7.75,7.75,16,7.75,8
41,2015-10-01 10:11:00,7.76,7.76,7.76,7.76,14,7.76,5
42,2015-10-01 10:12:00,7.77,7.77,7.77,7.77,6,7.77,2
43,2015-10-01 10:13:00,7.77,7.77,7.77,7.77,0,7.77,0
44,2015-10-01 10:14:00,7.76,7.77,7.76,7.76,10,7.766,3
45,2015-10-01 10:15:00,7.76,7.77,7.76,7.77,13,7.765,11
46,2015-10-01 10:16:00,7.78,7.78,7.77,7.77,22,7.772,10
