,date,open,high,low,close,volume,average,barCount
0,2015-04-10,4706.5,4758.0,4662.0,4708.0,6899400,4716.67,14223
1,2015-04-13,4699.5,4738.0,4680.0,4730.5,3731500,4714.385,9782
2,2015-04-14,4731.5,4771.0,4711.0,4749.0,3702200,4737.69,8551
3,2015-04-15,4715.0,4732.5,4691.0,4724.0,4727500,4711.965,9894
4,2015-04-16,4716.0,4906.0,4712.0,4905.0,12041700,4834.91,19738
5,2015-04-17,4906.0,5020.0,4862.0,4951.5,13876500,4964.71,25799
6,2015-04-20,4860.0,5015.0,4851.0,4958.0,10764500,4962.49,17579
7,2015-04-21,4982.0,5087.0,4976.0,5050.0,10064100,5045.725,14035
8,2015-04-22,5100.0,5300.0,5099.0,5241.0,16648500,5240.475,23869
9,2015-04-23,5279.0,5324.0,5142.0,5219.0,12495500,5239.415,20936
10,2015-04-24,5214.0,5285.0,5177.0,5237.0,8377000,5238.925,14912
11,2015-04-27,5283.0,5293.0,5195.0,5259.0,5749300,5238.39,10607
12,2015-04-28,5285.0,5300.0,5269.0,5300.0,5336400,5288.535,8562
13,2015-04-30,5210.0,5293.0,5191.0,5242.0,10603500,5235.965,18878
14,2015-05-01,5180.0,5197.0,5105.0,5165.0,8620500,5145.135,14941
15,2015-05-07,5135.0,5165.0,5092.0,5121.0,8122000,5125.725,13810
16,2015-05-08,5158.0,5375.0,5138.0,5357.0,12900500,5300.345,19589
17,2015-05-11,5469.0,5566.0,5364.0,5380.0,11334300,5454.285,19356
18,2015-05-12,5386.0,5433.0,5288.0,5400.0,7051700,5355.195,13070
19,2015-05-13,5352.0,5361.0,5232.0,5258.0,12038100,5281.17,21866
20,2015-05-14,5150.0,5207.0,5068.0,5110.0,12294900,5120.59,20036
21,2015-05-15,5130.0,5192.0,5055.0,5140.0,12377800,5115.245,20099
22,2015-05-18,5150.0,5332.0,5143.0,5322.0,12550400,5264.805,20109
23,2015-05-19,5322.0,5357.0,5272.0,5313.0,7973900,5315.635,13378
24,2015-05-20,5430.0,5480.0,5345.0,5345.0,10979300,5421.2,17763
25,2015-05-21,5380.0,5485.0,5361.0,5405.0,7802000,5422.73,13310
26,2015-05-22,5406.0,5418.0,5346.0,5395.0,5907100,5386.06,10313
27,2015-05-25,5450.0,5476.0,5418.0,5446.0,4712300,5446.645,8181
28,2015-05-26,5454.0,5468.0,5427.0,5445.0,4362400,5447.09,7405
29,2015-05-27,5439.0,5565.0,5400.0,5522.0,10899400,5505.36,16410
30,2015-05-28,5580.0,5698.0,5548.0,5675.0,12499600,5634.555,18590
31,2015-05-29,5676.0,5744.0,5619.0,5670.0,10485100,5684.16,16925
32,2015-06-01,5600.0,5747.0,5587.0,5747.0,6792100,5676.995,12596
33,2015-06-02,5732.0,5743.0,5587.0,5595.0,9409500,5650.11,15085
34,2015-06-03,5594.0,5657.0,5558.0,5574.0,6966700,5595.97,11927
35,2015-06-04,5623.0,5733.0,5604.0,5677.0,8518600,5677.32,14922
36,2015-06-05,5611.0,5633.0,5538.0,5591.0,6599000,5581.84,10756
37,2015-06-08,5690.0,5690.0,5561.0,5597.0,7302500,5620.61,13098
38,2015-06-09,5534.0,5590.0,5485.0,5496.0,6192200,5541.775,11911
39,2015-06-10,5500.0,5582.0,5456.0,5488.0,8050000,5511.68,16273
40,2015-06-11,5495.0,5556.0,5492.0,5510.0,7437200,5526.83,12079
41,2015-06-12,5530.0,5535.0,5471.0,5523.0,8512000,5515.025,10741
42,2015-06-15,5502.0,5562.0,5464.0,5521.0,7236700,5524.91,11591
43,2015-06-16,5485.0,5490.0,5340.0,5342.0,11299300,5383.8,13834
44,2015-06-17,5321.0,5331.0,5222.0,5247.0,10704600,5270.355,16115
45,2015-06-18,5289.0,5300.0,5192.0,5227.0,6664200,5241.125,12181
46,2015-06-19,5283.0,5295.0,5202.0,5241.0,6135200,5246.015,10097
47,2015-06-22,5250.0,5403.0,5250.0,5380.0,7429200,5351.88,13516
48,2015-06-23,5450.0,5539.0,5418.0,5487.0,9437100,5481.635,16994
49,2015-06-24,5533.0,5595.0,5520.0,5522.0,7013600,5556.985,12079
50,2015-06-25,5500.0,5565.0,5470.0,5513.0,4992200,5523.38,8757
51,2015-06-26,5515.0,5574.0,5462.0,5565.0,5567600,5527.345,9866
