,date,open,high,low,close,volume,average,barCount
0,2015-04-09,29.74,30.01,29.52,29.9,12972,29.7925,5776
1,2015-04-10,30.55,30.69,30.43,30.56,15259,30.518,6217
2,2015-04-13,30.46,30.65,30.31,30.37,9648,30.454,4561
3,2015-04-14,31.28,31.35,30.85,31.13,25464,31.077,12017
4,2015-04-15,31.63,31.77,31.39,31.75,23912,31.616,10591
5,2015-04-16,30.9,31.18,30.83,31.08,19527,31.029,10115
6,2015-04-17,29.77,30.17,29.7,30.01,27712,29.955,13436
7,2015-04-20,30.46,30.51,30.25,30.36,8843,30.338,4427
8,2015-04-21,30.92,30.95,30.71,30.88,11124,30.7985,5522
9,2015-04-22,32.1,32.6,31.98,32.35,32183,32.37,16696
10,2015-04-23,30.23,30.99,30.17,30.72,32931,30.6375,17749
11,2015-04-24,31.45,31.53,31.18,31.34,15325,31.3675,8067
12,2015-04-27,31.33,31.39,31.13,31.19,10688,31.2495,5532
13,2015-04-28,30.88,31.09,30.8,31.01,7456,30.9795,4023
14,2015-04-29,30.74,30.92,30.43,30.7,10190,30.6805,5639
15,2015-04-30,30.3,30.37,29.78,30.23,11489,30.1305,6963
16,2015-05-01,30.31,31.1,30.3,30.91,12890,30.737,6459
17,2015-05-04,30.91,31.22,30.9,31.15,9157,31.113,4511
18,2015-05-05,30.91,31.06,30.32,30.33,15418,30.6445,7701
19,2015-05-06,30.27,30.35,29.77,29.96,17888,29.9425,7851
20,2015-05-07,30.11,30.34,30.06,30.3,6799,30.191,3976
21,2015-05-08,30.51,30.74,30.47,30.64,8379,30.6305,4415
22,2015-05-11,31.13,31.2,30.82,30.84,7203,30.9825,3858
23,2015-05-12,31.72,31.76,31.47,31.51,25778,31.5785,11878
24,2015-05-13,32.43,32.45,31.85,32.0,30743,32.095,14659
25,2015-05-14,32.03,32.21,31.92,32.19,13574,32.063,7519
26,2015-05-15,32.58,32.77,32.44,32.74,13516,32.6205,6824
27,2015-05-18,32.58,32.65,32.4,32.45,5665,32.4925,3247
28,2015-05-19,32.95,32.95,32.57,32.61,12251,32.701,7038
29,2015-05-20,32.39,32.42,32.11,32.17,8829,32.207,4086
30,2015-05-21,31.84,31.86,31.66,31.81,8926,31.7765,4499
31,2015-05-22,31.69,31.87,31.66,31.72,9600,31.736,4460
32,2015-05-26,31.87,31.88,31.45,31.63,11137,31.6265,5914
33,2015-05-27,31.3,31.35,31.02,31.24,8988,31.178,5507
34,2015-05-28,31.02,31.27,30.95,31.18,13771,31.171,6866
35,2015-05-29,30.9,31.1,30.77,30.92,6452,30.937,3733
36,2015-06-01,30.86,31.02,30.61,30.8,10053,30.8435,5736
37,2015-06-02,30.5,30.68,30.42,30.54,14299,30.55,7600
38,2015-06-03,30.28,30.56,30.27,30.43,10271,30.4625,6374
39,2015-06-04,30.25,30.33,29.84,30.02,11706,30.057,6055
40,2015-06-05,29.81,30.15,29.77,30.05,8927,30.048,5159
41,2015-06-08,29.47,29.62,29.17,29.27,11568,29.3325,5820
42,2015-06-09,29.02,29.22,28.8,29.14,11455,29.043,5655
43,2015-06-10,29.77,30.16,29.73,29.98,8024,30.003,4033
44,2015-06-11,30.53,30.69,30.4,30.51,6858,30.525,3458
45,2015-06-12,30.37,30.53,30.34,30.44,5710,30.4255,3240
46,2015-06-15,30.65,30.9,30.45,30.68,9270,30.656,4676
47,2015-06-16,30.4,30.6,30.32,30.44,6957,30.411,4371
48,2015-06-17,29.87,30.02,29.78,29.95,9288,29.901,5225
49,2015-06-18,29.96,30.24,29.96,30.19,5024,30.1655,3064
50,2015-06-19,29.87,29.97,29.63,29.67,6677,29.761,3796
51,2015-06-22,30.32,30.57,30.27,30.5,6973,30.489,3823
52,2015-06-23,30.85,31.05,30.84,31.01,6644,30.9365,3073
53,2015-06-24,30.6,30.71,30.46,30.51,6709,30.5285,3799
54,2015-06-25,31.39,31.7,31.12,31.15,10338,31.2945,5230
