(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 1.0, -0.5, 3.3), Return: 9.49%, Hit Ratio: 55.42%, Max Drawdown: 8.68%
(110, 1.0, -0.5, 3.3): Return: 9.49%, Hit Ratio: 55.42%, Max Drawdown: 8.68%
(110, 1.0, -0.5, 3.4): Return: 9.49%, Hit Ratio: 55.42%, Max Drawdown: 8.68%
(110, 1.0, -0.5, 3.5): Return: 9.49%, Hit Ratio: 55.42%, Max Drawdown: 8.68%
(110, 1.0, -0.5, 3.6): Return: 9.49%, Hit Ratio: 55.42%, Max Drawdown: 8.68%
(100, 1.0, -0.5, 3.3): Return: 9.04%, Hit Ratio: 57.14%, Max Drawdown: 8.26%
(100, 1.0, -0.5, 3.4): Return: 9.04%, Hit Ratio: 57.14%, Max Drawdown: 8.26%
(100, 1.0, -0.5, 3.5): Return: 9.04%, Hit Ratio: 57.14%, Max Drawdown: 8.26%
(110, 1.0, -0.5, 3.7): Return: 9.04%, Hit Ratio: 55.42%, Max Drawdown: 9.09%
(90, 1.0, -0.5, 3.3): Return: 8.94%, Hit Ratio: 54.76%, Max Drawdown: 7.81%
(90, 1.0, -0.5, 3.4): Return: 8.9%, Hit Ratio: 55.29%, Max Drawdown: 7.82%
(90, 1.0, -0.5, 3.5): Return: 8.9%, Hit Ratio: 55.29%, Max Drawdown: 7.82%
(110, 0.9, -0.5, 3.3): Return: 8.71%, Hit Ratio: 57.14%, Max Drawdown: 7.75%
(110, 0.9, -0.5, 3.4): Return: 8.71%, Hit Ratio: 57.14%, Max Drawdown: 7.75%
(110, 0.9, -0.5, 3.5): Return: 8.71%, Hit Ratio: 57.14%, Max Drawdown: 7.75%
(110, 0.9, -0.5, 3.6): Return: 8.71%, Hit Ratio: 57.14%, Max Drawdown: 7.75%
(90, 0.9, -0.5, 3.3): Return: 8.65%, Hit Ratio: 54.84%, Max Drawdown: 8.16%
(90, 0.9, -0.5, 3.4): Return: 8.62%, Hit Ratio: 55.32%, Max Drawdown: 8.16%
(90, 0.9, -0.5, 3.5): Return: 8.62%, Hit Ratio: 55.32%, Max Drawdown: 8.16%
(100, 0.8, -0.5, 3.3): Return: 8.62%, Hit Ratio: 58.42%, Max Drawdown: 7.41%
(100, 0.8, -0.5, 3.4): Return: 8.62%, Hit Ratio: 58.42%, Max Drawdown: 7.41%
(100, 0.8, -0.5, 3.5): Return: 8.62%, Hit Ratio: 58.42%, Max Drawdown: 7.41%
(100, 1.0, -0.5, 3.6): Return: 8.59%, Hit Ratio: 57.14%, Max Drawdown: 8.67%
(100, 1.0, -0.5, 3.7): Return: 8.59%, Hit Ratio: 57.14%, Max Drawdown: 8.67%
(105, 0.8, -0.5, 3.3): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 0.8, -0.5, 3.4): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 0.8, -0.5, 3.5): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 0.8, -0.5, 3.3): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 0.8, -0.5, 3.4): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 0.8, -0.5, 3.5): Return: 8.57%, Hit Ratio: 56.86%, Max Drawdown: 6.97%
(105, 1.0, -0.5, 3.3): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(105, 1.0, -0.5, 3.4): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(105, 1.0, -0.5, 3.5): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(105, 1.0, -0.5, 3.3): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(105, 1.0, -0.5, 3.4): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(105, 1.0, -0.5, 3.5): Return: 8.56%, Hit Ratio: 55.95%, Max Drawdown: 8.7%
(90, 1.0, -0.5, 3.6): Return: 8.45%, Hit Ratio: 55.29%, Max Drawdown: 8.23%
(90, 1.0, -0.5, 3.7): Return: 8.45%, Hit Ratio: 55.29%, Max Drawdown: 8.23%
(110, 1.1, -0.5, 3.3): Return: 8.4%, Hit Ratio: 53.25%, Max Drawdown: 8.71%
(110, 1.1, -0.5, 3.4): Return: 8.4%, Hit Ratio: 53.25%, Max Drawdown: 8.71%
(110, 1.1, -0.5, 3.5): Return: 8.4%, Hit Ratio: 53.25%, Max Drawdown: 8.71%
(110, 1.1, -0.5, 3.6): Return: 8.4%, Hit Ratio: 53.25%, Max Drawdown: 8.71%
(110, 0.9, -0.5, 3.7): Return: 8.26%, Hit Ratio: 57.14%, Max Drawdown: 8.16%
(90, 0.9, -0.5, 3.6): Return: 8.16%, Hit Ratio: 55.32%, Max Drawdown: 8.58%
(90, 0.9, -0.5, 3.7): Return: 8.16%, Hit Ratio: 55.32%, Max Drawdown: 8.58%
(100, 0.8, -0.5, 3.6): Return: 8.16%, Hit Ratio: 58.42%, Max Drawdown: 7.82%
(100, 0.8, -0.5, 3.7): Return: 8.16%, Hit Ratio: 58.42%, Max Drawdown: 7.82%
(100, 1.1, -0.6, 3.3): Return: 8.14%, Hit Ratio: 54.29%, Max Drawdown: 7.98%
(100, 1.1, -0.6, 3.4): Return: 8.14%, Hit Ratio: 54.29%, Max Drawdown: 7.98%
(100, 1.1, -0.6, 3.5): Return: 8.14%, Hit Ratio: 54.29%, Max Drawdown: 7.98%
(105, 0.8, -0.5, 3.6): Return: 8.12%, Hit Ratio: 56.86%, Max Drawdown: 7.38%
(105, 0.8, -0.5, 3.7): Return: 8.12%, Hit Ratio: 56.86%, Max Drawdown: 7.38%
(105, 0.8, -0.5, 3.6): Return: 8.12%, Hit Ratio: 56.86%, Max Drawdown: 7.38%
(105, 0.8, -0.5, 3.7): Return: 8.12%, Hit Ratio: 56.86%, Max Drawdown: 7.38%
(105, 1.0, -0.5, 3.6): Return: 8.1%, Hit Ratio: 55.95%, Max Drawdown: 9.11%
(105, 1.0, -0.5, 3.7): Return: 8.1%, Hit Ratio: 55.95%, Max Drawdown: 9.11%
(105, 1.0, -0.5, 3.6): Return: 8.1%, Hit Ratio: 55.95%, Max Drawdown: 9.11%
(105, 1.0, -0.5, 3.7): Return: 8.1%, Hit Ratio: 55.95%, Max Drawdown: 9.11%
(110, 1.1, -0.6, 3.3): Return: 7.96%, Hit Ratio: 54.05%, Max Drawdown: 8.9%
(110, 1.1, -0.6, 3.4): Return: 7.96%, Hit Ratio: 54.05%, Max Drawdown: 8.9%
(110, 1.1, -0.6, 3.5): Return: 7.96%, Hit Ratio: 54.05%, Max Drawdown: 8.9%
(110, 1.1, -0.6, 3.6): Return: 7.96%, Hit Ratio: 54.05%, Max Drawdown: 8.9%
(110, 1.1, -0.5, 3.7): Return: 7.94%, Hit Ratio: 53.25%, Max Drawdown: 9.13%
(110, 0.8, -0.5, 3.3): Return: 7.8%, Hit Ratio: 55.88%, Max Drawdown: 7.47%
(110, 0.8, -0.5, 3.4): Return: 7.8%, Hit Ratio: 55.88%, Max Drawdown: 7.47%
(110, 0.8, -0.5, 3.5): Return: 7.8%, Hit Ratio: 55.88%, Max Drawdown: 7.47%
(110, 0.8, -0.5, 3.6): Return: 7.8%, Hit Ratio: 55.88%, Max Drawdown: 7.47%
(105, 1.1, -0.5, 3.3): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(105, 1.1, -0.5, 3.4): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(105, 1.1, -0.5, 3.5): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(105, 1.1, -0.5, 3.3): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(105, 1.1, -0.5, 3.4): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(105, 1.1, -0.5, 3.5): Return: 7.76%, Hit Ratio: 53.25%, Max Drawdown: 8.69%
(100, 1.1, -0.7, 3.3): Return: 7.73%, Hit Ratio: 55.07%, Max Drawdown: 7.97%
