(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 2.2, 0.3, 3.5), Return: 4.66%, Hit Ratio: 50.0%, Max Drawdown: 2.3%
(40, 2.2, 0.3, 3.5): Return: 4.66%, Hit Ratio: 50.0%, Max Drawdown: 2.3%
(40, 2.2, 0.3, 3.6): Return: 4.66%, Hit Ratio: 50.0%, Max Drawdown: 2.3%
(40, 2.2, 0.4, 3.5): Return: 4.39%, Hit Ratio: 50.0%, Max Drawdown: 2.56%
(40, 2.2, 0.4, 3.6): Return: 4.39%, Hit Ratio: 50.0%, Max Drawdown: 2.56%
(40, 2.2, 0.3, 3.7): Return: 4.06%, Hit Ratio: 48.15%, Max Drawdown: 2.88%
(40, 2.2, 0.5, 3.5): Return: 3.87%, Hit Ratio: 50.0%, Max Drawdown: 2.82%
(40, 2.2, 0.5, 3.6): Return: 3.87%, Hit Ratio: 50.0%, Max Drawdown: 2.82%
(40, 2.2, 0.4, 3.7): Return: 3.79%, Hit Ratio: 48.15%, Max Drawdown: 3.15%
(40, 2.2, 0.6, 3.5): Return: 3.59%, Hit Ratio: 50.0%, Max Drawdown: 2.82%
(40, 2.2, 0.6, 3.6): Return: 3.59%, Hit Ratio: 50.0%, Max Drawdown: 2.82%
(40, 2.2, 0.7, 3.5): Return: 3.56%, Hit Ratio: 46.15%, Max Drawdown: 2.85%
(40, 2.2, 0.7, 3.6): Return: 3.56%, Hit Ratio: 46.15%, Max Drawdown: 2.85%
(40, 2.2, 0.7, 3.7): Return: 3.44%, Hit Ratio: 44.44%, Max Drawdown: 2.96%
(40, 2.2, 0.3, 3.3): Return: 3.37%, Hit Ratio: 50.0%, Max Drawdown: 3.15%
(40, 2.2, 0.3, 3.4): Return: 3.37%, Hit Ratio: 50.0%, Max Drawdown: 3.15%
(40, 2.2, 0.5, 3.7): Return: 3.27%, Hit Ratio: 48.15%, Max Drawdown: 3.41%
(40, 2.2, 0.4, 3.3): Return: 3.1%, Hit Ratio: 50.0%, Max Drawdown: 3.42%
(40, 2.2, 0.4, 3.4): Return: 3.1%, Hit Ratio: 50.0%, Max Drawdown: 3.42%
(40, 2.2, 0.6, 3.7): Return: 2.99%, Hit Ratio: 48.15%, Max Drawdown: 3.41%
(40, 2.2, 0.5, 3.3): Return: 2.58%, Hit Ratio: 50.0%, Max Drawdown: 3.68%
(40, 2.2, 0.5, 3.4): Return: 2.58%, Hit Ratio: 50.0%, Max Drawdown: 3.68%
(40, 2.2, 0.6, 3.3): Return: 2.3%, Hit Ratio: 50.0%, Max Drawdown: 3.95%
(40, 2.2, 0.6, 3.4): Return: 2.3%, Hit Ratio: 50.0%, Max Drawdown: 3.95%
(40, 2.2, 0.7, 3.3): Return: 2.27%, Hit Ratio: 45.83%, Max Drawdown: 3.98%
(40, 2.2, 0.7, 3.4): Return: 2.27%, Hit Ratio: 45.83%, Max Drawdown: 3.98%
(35, 2.2, 0.3, 3.4): Return: 2.03%, Hit Ratio: 44.83%, Max Drawdown: 4.47%
(35, 2.2, 0.3, 3.5): Return: 2.03%, Hit Ratio: 44.83%, Max Drawdown: 4.47%
(35, 2.2, 0.3, 3.4): Return: 2.03%, Hit Ratio: 44.83%, Max Drawdown: 4.47%
(35, 2.2, 0.3, 3.5): Return: 2.03%, Hit Ratio: 44.83%, Max Drawdown: 4.47%
(35, 2.2, 0.4, 3.4): Return: 1.76%, Hit Ratio: 44.83%, Max Drawdown: 4.74%
(35, 2.2, 0.4, 3.5): Return: 1.76%, Hit Ratio: 44.83%, Max Drawdown: 4.74%
(35, 2.2, 0.4, 3.4): Return: 1.76%, Hit Ratio: 44.83%, Max Drawdown: 4.74%
(35, 2.2, 0.4, 3.5): Return: 1.76%, Hit Ratio: 44.83%, Max Drawdown: 4.74%
(35, 2.2, 0.3, 3.6): Return: 1.64%, Hit Ratio: 44.83%, Max Drawdown: 4.86%
(35, 2.2, 0.3, 3.7): Return: 1.64%, Hit Ratio: 44.83%, Max Drawdown: 4.86%
(35, 2.2, 0.3, 3.6): Return: 1.64%, Hit Ratio: 44.83%, Max Drawdown: 4.86%
(35, 2.2, 0.3, 3.7): Return: 1.64%, Hit Ratio: 44.83%, Max Drawdown: 4.86%
(35, 2.2, 0.3, 3.3): Return: 1.63%, Hit Ratio: 42.86%, Max Drawdown: 4.86%
(35, 2.2, 0.3, 3.3): Return: 1.63%, Hit Ratio: 42.86%, Max Drawdown: 4.86%
(35, 2.2, 0.5, 3.4): Return: 1.55%, Hit Ratio: 44.83%, Max Drawdown: 4.95%
(35, 2.2, 0.5, 3.5): Return: 1.55%, Hit Ratio: 44.83%, Max Drawdown: 4.95%
(35, 2.2, 0.5, 3.4): Return: 1.55%, Hit Ratio: 44.83%, Max Drawdown: 4.95%
(35, 2.2, 0.5, 3.5): Return: 1.55%, Hit Ratio: 44.83%, Max Drawdown: 4.95%
(30, 2.0, 0.3, 3.3): Return: 1.51%, Hit Ratio: 47.22%, Max Drawdown: 3.22%
(30, 2.0, 0.3, 3.4): Return: 1.51%, Hit Ratio: 47.22%, Max Drawdown: 3.22%
