,date,open,high,low,close,volume,average,barCount
0,2015-10-01 09:30:00,24.8,24.81,24.75,24.77,134,24.791,17
1,2015-10-01 09:31:00,24.8,24.8,24.8,24.8,4,24.8,4
2,2015-10-01 09:32:00,24.81,24.81,24.81,24.81,4,24.81,2
3,2015-10-01 09:33:00,24.83,24.86,24.82,24.82,45,24.841,13
4,2015-10-01 09:34:00,24.82,24.84,24.82,24.84,9,24.83,6
5,2015-10-01 09:35:00,24.84,24.84,24.78,24.78,35,24.818,14
6,2015-10-01 09:36:00,24.77,24.78,24.76,24.76,30,24.778,11
7,2015-10-01 09:37:00,24.77,24.77,24.77,24.77,32,24.77,5
8,2015-10-01 09:38:00,24.76,24.76,24.67,24.67,15,24.728,11
9,2015-10-01 09:39:00,24.68,24.68,24.68,24.68,1,24.68,1
10,2015-10-01 09:40:00,24.69,24.71,24.69,24.71,14,24.704,6
11,2015-10-01 09:41:00,24.72,24.73,24.71,24.72,23,24.722,10
12,2015-10-01 09:42:00,24.73,24.73,24.72,24.73,8,24.729,1
13,2015-10-01 09:43:00,24.71,24.71,24.7,24.7,17,24.709,6
14,2015-10-01 09:44:00,24.7,24.7,24.7,24.7,1,24.7,1
15,2015-10-01 09:45:00,24.7,24.71,24.7,24.71,4,24.708,3
16,2015-10-01 09:46:00,24.71,24.71,24.69,24.69,3,24.7,3
17,2015-10-01 09:47:00,24.7,24.71,24.7,24.7,8,24.701,7
18,2015-10-01 09:48:00,24.72,24.74,24.72,24.74,29,24.724,18
19,2015-10-01 09:49:00,24.74,24.76,24.73,24.75,71,24.742,51
20,2015-10-01 09:50:00,24.76,24.76,24.74,24.74,30,24.75,16
21,2015-10-01 09:51:00,24.75,24.75,24.74,24.75,6,24.748,5
22,2015-10-01 09:52:00,24.76,24.78,24.75,24.77,16,24.763,9
23,2015-10-01 09:53:00,24.76,24.77,24.76,24.77,24,24.761,7
24,2015-10-01 09:54:00,24.76,24.76,24.75,24.75,8,24.756,7
25,2015-10-01 09:55:00,24.75,24.75,24.71,24.71,25,24.727,14
26,2015-10-01 09:56:00,24.72,24.74,24.71,24.71,18,24.726,17
27,2015-10-01 09:57:00,24.7,24.7,24.7,24.7,1,24.7,1
28,2015-10-01 09:58:00,24.71,24.71,24.69,24.69,2,24.7,2
29,2015-10-01 09:59:00,24.69,24.69,24.69,24.69,0,24.69,0
30,2015-10-01 10:00:00,24.68,24.68,24.63,24.65,24,24.661,10
31,2015-10-01 10:01:00,24.63,24.63,24.61,24.62,6,24.62,6
32,2015-10-01 10:02:00,24.6,24.65,24.6,24.65,43,24.628,32
33,2015-10-01 10:03:00,24.65,24.68,24.65,24.68,8,24.655,6
34,2015-10-01 10:04:00,24.7,24.7,24.69,24.69,5,24.698,3
35,2015-10-01 10:05:00,24.67,24.71,24.67,24.71,7,24.689,6
36,2015-10-01 10:06:00,24.71,24.72,24.71,24.72,4,24.718,4
37,2015-10-01 10:07:00,24.73,24.75,24.73,24.75,32,24.746,9
38,2015-10-01 10:08:00,24.75,24.76,24.75,24.76,25,24.75,4
39,2015-10-01 10:09:00,24.75,24.75,24.74,24.74,23,24.744,17
40,2015-10-01 10:10:00,24.74,24.74,24.74,24.74,0,24.74,0
41,2015-10-01 10:11:00,24.76,24.76,24.75,24.75,23,24.757,14
42,2015-10-01 10:12:00,24.76,24.79,24.75,24.79,123,24.765,61
43,2015-10-01 10:13:00,24.79,24.79,24.77,24.77,10,24.775,9
44,2015-10-01 10:14:00,24.76,24.76,24.73,24.73,19,24.751,19
45,2015-10-01 10:15:00,24.73,24.78,24.73,24.78,57,24.775,42
46,2015-10-01 10:16:00,24.79,24.82,24.78,24.8,19,24.807,16
47,2015-10-01 10:17:00,24.8,24.82,24.8,24.8,20,24.811,8
48,2015-10-01 10:18:00,24.81,24.82,24.81,24.81,7,24.814,7
49,2015-10-01 10:19:00,24.81,24.81,24.81,24.81,1,24.81,1
50,2015-10-01 10:20:00,24.8,24.81,24.8,24.8,12,24.801,6
51,2015-10-01 10:21:00,24.82,24.82,24.8,24.8,14,24.809,13
52,2015-10-01 10:22:00,24.78,24.79,24.78,24.78,7,24.782,5
53,2015-10-01 10:23:00,24.77,24.77,24.77,24.77,7,24.77,5
54,2015-10-01 10:24:00,24.75,24.75,24.74,24.74,9,24.743,8
55,2015-10-01 10:25:00,24.75,24.76,24.75,24.76,17,24.757,8
56,2015-10-01 10:26:00,24.77,24.77,24.76,24.76,9,24.761,7
57,2015-10-01 10:27:00,24.77,24.81,24.77,24.81,20,24.781,17
58,2015-10-01 10:28:00,24.83,24.84,24.82,24.82,20,24.832,18
59,2015-10-01 10:29:00,24.82,24.82,24.82,24.82,6,24.82,5
60,2015-10-01 10:30:00,24.82,24.82,24.82,24.82,0,24.82,0
61,2015-10-01 10:31:00,24.83,24.83,24.83,24.83,1,24.83,1
62,2015-10-01 10:32:00,24.81,24.81,24.74,24.74,67,24.763,41
63,2015-10-01 10:33:00,24.73,24.73,24.73,24.73,12,24.73,6
64,2015-10-01 10:34:00,24.71,24.72,24.7,24.7,20,24.709,10
65,2015-10-01 10:35:00,24.69,24.7,24.69,24.7,11,24.699,9
66,2015-10-01 10:36:00,24.71,24.74,24.71,24.74,4,24.723,4
67,2015-10-01 10:37:00,24.73,24.73,24.71,24.72,7,24.722,7
68,2015-10-01 10:38:00,24.73,24.75,24.73,24.75,5,24.74,5
69,2015-10-01 10:39:00,24.74,24.77,24.74,24.77,18,24.755,9
70,2015-10-01 10:40:00,24.77,24.77,24.76,24.76,15,24.765,8
71,2015-10-01 10:41:00,24.77,24.77,24.76,24.76,5,24.768,5
72,2015-10-01 10:42:00,24.78,24.78,24.77,24.78,10,24.78,1
73,2015-10-01 10:43:00,24.77,24.77,24.73,24.73,5,24.751,5
74,2015-10-01 10:44:00,24.73,24.73,24.73,24.73,1,24.73,1
75,2015-10-01 10:45:00,24.74,24.76,24.74,24.76,8,24.751,7
76,2015-10-01 10:46:00,24.76,24.76,24.76,24.76,2,24.76,2
77,2015-10-01 10:47:00,24.77,24.78,24.76,24.78,32,24.779,9
78,2015-10-01 10:48:00,24.78,24.78,24.77,24.78,10,24.779,5
79,2015-10-01 10:49:00,24.78,24.78,24.76,24.77,16,24.768,14
80,2015-10-01 10:50:00,24.76,24.77,24.76,24.77,8,24.766,8
81,2015-10-01 10:51:00,24.76,24.76,24.76,24.76,3,24.76,3
82,2015-10-01 10:52:00,24.76,24.76,24.73,24.73,15,24.74,12
83,2015-10-01 10:53:00,24.73,24.73,24.73,24.73,1,24.73,1
84,2015-10-01 10:54:00,24.73,24.73,24.7,24.7,21,24.715,15
85,2015-10-01 10:55:00,24.7,24.7,24.69,24.7,7,24.698,5
86,2015-10-01 10:56:00,24.71,24.73,24.71,24.72,13,24.716,12
87,2015-10-01 10:57:00,24.72,24.72,24.71,24.71,16,24.711,11
88,2015-10-01 10:58:00,24.7,24.72,24.69,24.72,26,24.693,18
89,2015-10-01 10:59:00,24.7,24.7,24.68,24.68,18,24.688,10
90,2015-10-01 11:00:00,24.67,24.67,24.66,24.66,11,24.664,9
91,2015-10-01 11:01:00,24.66,24.69,24.66,24.69,14,24.673,13
92,2015-10-01 11:02:00,24.68,24.68,24.67,24.68,9,24.68,7
93,2015-10-01 11:03:00,24.68,24.68,24.68,24.68,5,24.68,2
94,2015-10-01 11:04:00,24.69,24.7,24.69,24.7,6,24.698,2
95,2015-10-01 11:05:00,24.69,24.69,24.68,24.68,3,24.683,3
96,2015-10-01 11:06:00,24.69,24.69,24.69,24.69,5,24.69,5
97,2015-10-01 11:07:00,24.71,24.71,24.71,24.71,2,24.71,2
98,2015-10-01 11:08:00,24.72,24.73,24.72,24.73,4,24.723,3
99,2015-10-01 11:09:00,24.72,24.72,24.72,24.72,3,24.72,3
100,2015-10-01 11:10:00,24.72,24.74,24.72,24.73,7,24.728,7
101,2015-10-01 11:11:00,24.73,24.73,24.72,24.72,21,24.729,13
102,2015-10-01 11:12:00,24.72,24.72,24.72,24.72,2,24.72,2
103,2015-10-01 11:13:00,24.71,24.72,24.71,24.71,4,24.714,4
104,2015-10-01 11:14:00,24.7,24.7,24.7,24.7,2,24.7,1
105,2015-10-01 11:15:00,24.7,24.72,24.7,24.72,52,24.709,29
106,2015-10-01 11:16:00,24.71,24.71,24.7,24.71,19,24.71,16
107,2015-10-01 11:17:00,24.7,24.71,24.69,24.71,216,24.7,44
108,2015-10-01 11:18:00,24.71,24.72,24.69,24.69,40,24.712,12
109,2015-10-01 11:19:00,24.68,24.68,24.68,24.68,17,24.68,9
110,2015-10-01 11:20:00,24.68,24.69,24.68,24.69,40,24.682,19
111,2015-10-01 11:21:00,24.7,24.7,24.69,24.7,12,24.7,10
112,2015-10-01 11:22:00,24.7,24.71,24.7,24.7,14,24.701,10
113,2015-10-01 11:23:00,24.7,24.72,24.7,24.72,32,24.715,26
114,2015-10-01 11:24:00,24.71,24.71,24.69,24.69,5,24.702,5
115,2015-10-01 11:25:00,24.69,24.7,24.69,24.7,6,24.692,5
116,2015-10-01 11:26:00,24.71,24.71,24.7,24.71,13,24.708,6
117,2015-10-01 11:27:00,24.72,24.73,24.72,24.73,10,24.727,8
118,2015-10-01 11:28:00,24.73,24.73,24.7,24.7,40,24.723,17
119,2015-10-01 11:29:00,24.71,24.71,24.7,24.7,7,24.708,6
120,2015-10-01 11:30:00,24.69,24.7,24.69,24.7,3,24.693,3
121,2015-10-01 11:31:00,24.71,24.71,24.7,24.7,29,24.707,17
122,2015-10-01 11:32:00,24.7,24.7,24.69,24.69,51,24.693,29
123,2015-10-01 11:33:00,24.69,24.69,24.67,24.69,62,24.675,40
124,2015-10-01 11:34:00,24.68,24.68,24.67,24.68,94,24.673,31
125,2015-10-01 11:35:00,24.69,24.7,24.69,24.69,21,24.697,14
126,2015-10-01 11:36:00,24.69,24.7,24.69,24.69,41,24.69,28
127,2015-10-01 11:37:00,24.7,24.71,24.69,24.69,195,24.699,90
128,2015-10-01 11:38:00,24.69,24.69,24.68,24.68,79,24.684,34
129,2015-10-01 11:39:00,24.67,24.68,24.67,24.68,123,24.678,63
130,2015-10-01 11:40:00,24.67,24.67,24.67,24.67,55,24.67,17
131,2015-10-01 11:41:00,24.67,24.67,24.67,24.67,115,24.67,54
132,2015-10-01 11:42:00,24.67,24.67,24.65,24.66,40,24.667,26
133,2015-10-01 11:43:00,24.66,24.67,24.66,24.67,28,24.665,16
134,2015-10-01 11:44:00,24.67,24.67,24.65,24.65,6,24.653,6
135,2015-10-01 11:45:00,24.65,24.66,24.63,24.64,50,24.649,29
136,2015-10-01 11:46:00,24.63,24.63,24.58,24.58,16,24.611,10
137,2015-10-01 11:47:00,24.58,24.61,24.58,24.6,66,24.593,23
138,2015-10-01 11:48:00,24.59,24.61,24.59,24.61,34,24.596,8
139,2015-10-01 11:49:00,24.61,24.61,24.59,24.61,6,24.605,5
140,2015-10-01 11:50:00,24.61,24.61,24.61,24.61,0,24.61,0
141,2015-10-01 11:51:00,24.61,24.61,24.6,24.6,5,24.608,2
142,2015-10-01 11:52:00,24.6,24.6,24.6,24.6,0,24.6,0
143,2015-10-01 11:53:00,24.59,24.59,24.59,24.59,7,24.59,6
144,2015-10-01 11:54:00,24.58,24.58,24.56,24.56,6,24.577,5
145,2015-10-01 11:55:00,24.56,24.57,24.55,24.55,249,24.56,127
146,2015-10-01 11:56:00,24.55,24.56,24.55,24.55,17,24.55,9
147,2015-10-01 11:57:00,24.55,24.56,24.55,24.56,33,24.556,28
148,2015-10-01 11:58:00,24.56,24.56,24.56,24.56,1,24.56,1
149,2015-10-01 11:59:00,24.55,24.56,24.55,24.56,13,24.558,9
150,2015-10-01 12:00:00,24.56,24.56,24.56,24.56,49,24.56,28
151,2015-10-01 12:01:00,24.56,24.56,24.56,24.56,0,24.56,0
152,2015-10-01 12:02:00,24.56,24.56,24.55,24.56,52,24.558,40
153,2015-10-01 12:03:00,24.56,24.56,24.56,24.56,2,24.56,1
154,2015-10-01 12:04:00,24.56,24.56,24.56,24.56,6,24.56,4
155,2015-10-01 12:05:00,24.55,24.56,24.55,24.56,36,24.55,15
156,2015-10-01 12:06:00,24.56,24.56,24.56,24.56,0,24.56,0
157,2015-10-01 12:07:00,24.55,24.55,24.55,24.55,3,24.55,3
158,2015-10-01 12:08:00,24.56,24.56,24.54,24.54,23,24.55,10
159,2015-10-01 12:09:00,24.54,24.54,24.53,24.54,16,24.539,16
160,2015-10-01 12:10:00,24.53,24.53,24.53,24.53,2,24.53,1
161,2015-10-01 12:11:00,24.54,24.54,24.54,24.54,12,24.54,10
162,2015-10-01 12:12:00,24.55,24.55,24.54,24.55,5,24.547,1
163,2015-10-01 12:13:00,24.54,24.55,24.54,24.55,12,24.549,12
164,2015-10-01 12:14:00,24.55,24.55,24.55,24.55,14,24.55,9
165,2015-10-01 12:15:00,24.55,24.55,24.55,24.55,4,24.55,4
166,2015-10-01 12:16:00,24.55,24.55,24.54,24.54,8,24.547,8
167,2015-10-01 12:17:00,24.54,24.54,24.54,24.54,5,24.54,5
168,2015-10-01 12:18:00,24.54,24.54,24.54,24.54,0,24.54,0
169,2015-10-01 12:19:00,24.55,24.55,24.54,24.55,18,24.549,15
170,2015-10-01 12:20:00,24.55,24.56,24.55,24.55,5,24.551,5
171,2015-10-01 12:21:00,24.55,24.55,24.55,24.55,0,24.55,0
172,2015-10-01 12:22:00,24.54,24.55,24.54,24.55,36,24.543,18
173,2015-10-01 12:23:00,24.56,24.56,24.55,24.56,10,24.56,2
174,2015-10-01 12:24:00,24.56,24.56,24.53,24.53,18,24.536,12
175,2015-10-01 12:25:00,24.54,24.54,24.53,24.54,4,24.536,4
176,2015-10-01 12:26:00,24.54,24.55,24.53,24.55,16,24.543,15
177,2015-10-01 12:27:00,24.56,24.58,24.56,24.58,11,24.567,10
178,2015-10-01 12:28:00,24.6,24.6,24.6,24.6,2,24.6,1
179,2015-10-01 12:29:00,24.6,24.61,24.6,24.6,19,24.601,14
180,2015-10-01 12:30:00,24.61,24.61,24.61,24.61,5,24.61,5
181,2015-10-01 12:31:00,24.62,24.62,24.61,24.61,5,24.612,5
182,2015-10-01 12:32:00,24.6,24.6,24.6,24.6,6,24.6,6
183,2015-10-01 12:33:00,24.6,24.6,24.6,24.6,1,24.6,1
184,2015-10-01 12:34:00,24.62,24.62,24.62,24.62,4,24.62,4
185,2015-10-01 12:35:00,24.63,24.63,24.62,24.62,9,24.621,5
186,2015-10-01 12:36:00,24.62,24.62,24.62,24.62,9,24.62,9
187,2015-10-01 12:37:00,24.63,24.63,24.63,24.63,6,24.63,4
188,2015-10-01 12:38:00,24.64,24.65,24.63,24.65,9,24.642,9
189,2015-10-01 12:39:00,24.65,24.65,24.65,24.65,3,24.65,2
190,2015-10-01 12:40:00,24.64,24.64,24.64,24.64,6,24.64,6
191,2015-10-01 12:41:00,24.64,24.64,24.64,24.64,0,24.64,0
192,2015-10-01 12:42:00,24.65,24.65,24.64,24.64,18,24.649,11
193,2015-10-01 12:43:00,24.63,24.64,24.63,24.64,26,24.637,15
194,2015-10-01 12:44:00,24.64,24.64,24.64,24.64,0,24.64,0
195,2015-10-01 12:45:00,24.64,24.64,24.64,24.64,3,24.64,3
196,2015-10-01 12:46:00,24.64,24.64,24.64,24.64,0,24.64,0
197,2015-10-01 12:47:00,24.62,24.63,24.62,24.62,1,24.62,1
198,2015-10-01 12:48:00,24.62,24.62,24.62,24.62,0,24.62,0
199,2015-10-01 12:49:00,24.63,24.63,24.62,24.62,6,24.624,6
200,2015-10-01 12:50:00,24.62,24.62,24.61,24.62,1,24.615,1
201,2015-10-01 12:51:00,24.62,24.62,24.61,24.62,10,24.619,8
202,2015-10-01 12:52:00,24.62,24.63,24.62,24.63,10,24.627,10
203,2015-10-01 12:53:00,24.64,24.64,24.64,24.64,1,24.64,1
204,2015-10-01 12:54:00,24.64,24.65,24.62,24.62,22,24.638,20
205,2015-10-01 12:55:00,24.62,24.64,24.62,24.64,5,24.628,5
206,2015-10-01 12:56:00,24.63,24.64,24.63,24.64,14,24.631,3
207,2015-10-01 12:57:00,24.64,24.65,24.63,24.65,9,24.641,9
208,2015-10-01 12:58:00,24.64,24.64,24.64,24.64,2,24.64,2
209,2015-10-01 12:59:00,24.64,24.64,24.63,24.63,9,24.638,7
210,2015-10-01 13:00:00,24.62,24.62,24.62,24.62,3,24.62,3
211,2015-10-01 13:01:00,24.61,24.61,24.59,24.59,4,24.598,4
212,2015-10-01 13:02:00,24.58,24.59,24.58,24.59,27,24.585,9
213,2015-10-01 13:03:00,24.6,24.6,24.6,24.6,14,24.6,13
214,2015-10-01 13:04:00,24.6,24.6,24.59,24.59,10,24.594,5
215,2015-10-01 13:05:00,24.59,24.6,24.59,24.59,4,24.594,3
216,2015-10-01 13:06:00,24.59,24.59,24.59,24.59,8,24.59,7
217,2015-10-01 13:07:00,24.59,24.59,24.59,24.59,0,24.59,0
218,2015-10-01 13:08:00,24.6,24.6,24.6,24.6,10,24.6,8
219,2015-10-01 13:09:00,24.61,24.61,24.6,24.61,5,24.61,5
220,2015-10-01 13:10:00,24.62,24.62,24.61,24.61,19,24.614,14
221,2015-10-01 13:11:00,24.61,24.61,24.6,24.61,1,24.605,1
222,2015-10-01 13:12:00,24.61,24.61,24.61,24.61,0,24.61,0
223,2015-10-01 13:13:00,24.6,24.6,24.59,24.6,24,24.6,17
224,2015-10-01 13:14:00,24.59,24.59,24.59,24.59,9,24.59,8
225,2015-10-01 13:15:00,24.59,24.6,24.58,24.6,27,24.593,24
226,2015-10-01 13:16:00,24.61,24.62,24.61,24.62,5,24.615,5
227,2015-10-01 13:17:00,24.63,24.64,24.63,24.64,6,24.637,4
228,2015-10-01 13:18:00,24.64,24.65,24.64,24.64,6,24.641,6
229,2015-10-01 13:19:00,24.64,24.64,24.63,24.63,7,24.634,5
230,2015-10-01 13:20:00,24.62,24.62,24.62,24.62,34,24.62,13
