(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.3, -0.1, 2.4), Return: 1.23%, Hit Ratio: 40.0%, Max Drawdown: 0.56%
(50, 1.3, -0.1, 2.4): Return: 1.23%, Hit Ratio: 40.0%, Max Drawdown: 0.56%
(50, 1.3, -0.1, 2.5): Return: 1.23%, Hit Ratio: 41.18%, Max Drawdown: 0.56%
(50, 1.3, -0.1, 2.3): Return: 1.17%, Hit Ratio: 38.78%, Max Drawdown: 0.62%
(60, 1.5, 0.1, 2.3): Return: 1.09%, Hit Ratio: 50.0%, Max Drawdown: 0.39%
(50, 1.3, 0.1, 2.4): Return: 1.03%, Hit Ratio: 43.14%, Max Drawdown: 0.55%
(50, 1.3, 0.1, 2.5): Return: 1.03%, Hit Ratio: 44.23%, Max Drawdown: 0.55%
(65, 1.6, 0.1, 2.3): Return: 1.03%, Hit Ratio: 55.56%, Max Drawdown: 0.39%
(65, 1.6, 0.1, 2.3): Return: 1.03%, Hit Ratio: 55.56%, Max Drawdown: 0.39%
(60, 1.5, 0.0, 2.3): Return: 1.01%, Hit Ratio: 47.22%, Max Drawdown: 0.39%
(50, 1.3, 0.0, 2.5): Return: 0.99%, Hit Ratio: 42.31%, Max Drawdown: 0.59%
(50, 1.3, -0.1, 2.6): Return: 0.98%, Hit Ratio: 38.89%, Max Drawdown: 0.86%
(50, 1.3, 0.0, 2.4): Return: 0.98%, Hit Ratio: 41.18%, Max Drawdown: 0.59%
(50, 1.3, 0.1, 2.3): Return: 0.97%, Hit Ratio: 42.0%, Max Drawdown: 0.61%
(60, 1.6, 0.1, 2.3): Return: 0.96%, Hit Ratio: 55.56%, Max Drawdown: 0.39%
(65, 1.7, 0.1, 2.3): Return: 0.93%, Hit Ratio: 65.0%, Max Drawdown: 0.39%
(60, 1.5, 0.2, 2.3): Return: 0.93%, Hit Ratio: 50.0%, Max Drawdown: 0.49%
(65, 1.7, 0.1, 2.3): Return: 0.93%, Hit Ratio: 65.0%, Max Drawdown: 0.39%
(50, 1.3, 0.0, 2.3): Return: 0.92%, Hit Ratio: 40.0%, Max Drawdown: 0.65%
(60, 1.5, -0.1, 2.3): Return: 0.92%, Hit Ratio: 42.86%, Max Drawdown: 0.44%
(65, 1.6, -0.2, 2.3): Return: 0.91%, Hit Ratio: 50.0%, Max Drawdown: 0.4%
(65, 1.6, -0.2, 2.3): Return: 0.91%, Hit Ratio: 50.0%, Max Drawdown: 0.4%
(60, 1.5, 0.1, 2.5): Return: 0.89%, Hit Ratio: 51.28%, Max Drawdown: 0.49%
(60, 1.5, 0.1, 2.6): Return: 0.89%, Hit Ratio: 51.28%, Max Drawdown: 0.49%
(60, 1.5, 0.1, 2.7): Return: 0.89%, Hit Ratio: 51.28%, Max Drawdown: 0.49%
(60, 1.6, 0.0, 2.3): Return: 0.89%, Hit Ratio: 51.85%, Max Drawdown: 0.39%
(65, 1.6, -0.1, 2.3): Return: 0.88%, Hit Ratio: 53.85%, Max Drawdown: 0.42%
(65, 1.6, -0.1, 2.3): Return: 0.88%, Hit Ratio: 53.85%, Max Drawdown: 0.42%
(50, 1.3, 0.2, 2.4): Return: 0.87%, Hit Ratio: 43.14%, Max Drawdown: 0.55%
(50, 1.3, 0.2, 2.5): Return: 0.87%, Hit Ratio: 44.23%, Max Drawdown: 0.55%
