(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 0.9, -0.1, 3.0), Return: 13.69%, Hit Ratio: 46.53%, Max Drawdown: 2.15%
(100, 0.9, -0.1, 3.0): Return: 13.69%, Hit Ratio: 46.53%, Max Drawdown: 2.15%
(100, 0.9, -0.1, 3.1): Return: 13.69%, Hit Ratio: 46.53%, Max Drawdown: 2.15%
(100, 0.9, -0.1, 2.9): Return: 13.64%, Hit Ratio: 46.85%, Max Drawdown: 2.15%
(100, 1.1, -0.1, 2.9): Return: 13.59%, Hit Ratio: 48.28%, Max Drawdown: 1.92%
(100, 1.1, -0.1, 3.0): Return: 13.52%, Hit Ratio: 47.86%, Max Drawdown: 1.92%
(100, 1.1, -0.1, 3.1): Return: 13.52%, Hit Ratio: 47.86%, Max Drawdown: 1.92%
(100, 0.9, -0.1, 2.8): Return: 13.37%, Hit Ratio: 46.53%, Max Drawdown: 2.15%
(100, 1.1, -0.1, 2.8): Return: 13.32%, Hit Ratio: 47.86%, Max Drawdown: 1.92%
(100, 1.2, 0.2, 2.9): Return: 13.15%, Hit Ratio: 52.78%, Max Drawdown: 2.35%
(90, 1.2, 0.0, 3.0): Return: 13.14%, Hit Ratio: 48.57%, Max Drawdown: 1.8%
(105, 1.1, -0.1, 2.9): Return: 13.08%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(105, 1.1, -0.1, 2.9): Return: 13.08%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(90, 1.2, 0.2, 3.0): Return: 13.07%, Hit Ratio: 50.91%, Max Drawdown: 2.35%
(105, 1.1, -0.1, 3.0): Return: 13.03%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(105, 1.1, -0.1, 3.0): Return: 13.03%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(105, 1.1, -0.1, 3.1): Return: 13.02%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(105, 1.1, 0.1, 3.0): Return: 13.02%, Hit Ratio: 48.33%, Max Drawdown: 2.79%
(105, 1.1, -0.1, 3.1): Return: 13.02%, Hit Ratio: 44.25%, Max Drawdown: 1.92%
(105, 1.1, 0.1, 3.0): Return: 13.02%, Hit Ratio: 48.33%, Max Drawdown: 2.79%
(110, 1.1, -0.1, 2.9): Return: 13.02%, Hit Ratio: 44.55%, Max Drawdown: 1.93%
(105, 1.1, 0.1, 3.1): Return: 13.01%, Hit Ratio: 48.33%, Max Drawdown: 2.79%
(105, 1.1, 0.1, 3.1): Return: 13.01%, Hit Ratio: 48.33%, Max Drawdown: 2.79%
(110, 1.1, -0.1, 3.0): Return: 13.0%, Hit Ratio: 44.14%, Max Drawdown: 1.93%
(100, 1.2, 0.2, 2.8): Return: 12.97%, Hit Ratio: 51.4%, Max Drawdown: 2.35%
(100, 1.1, 0.0, 2.9): Return: 12.96%, Hit Ratio: 47.06%, Max Drawdown: 1.81%
(110, 1.1, -0.1, 3.1): Return: 12.95%, Hit Ratio: 44.14%, Max Drawdown: 1.93%
