,date,open,high,low,close,volume,average,barCount
0,2020-12-11 09:30:00,18.62,18.67,18.62,18.66,354,18.624,21
1,2020-12-11 09:31:00,18.68,18.68,18.65,18.66,62,18.67,31
2,2020-12-11 09:32:00,18.67,18.68,18.66,18.67,83,18.672,49
3,2020-12-11 09:33:00,18.68,18.68,18.66,18.67,47,18.668,27
4,2020-12-11 09:34:00,18.68,18.68,18.66,18.67,76,18.675,54
5,2020-12-11 09:35:00,18.67,18.68,18.67,18.68,40,18.672,20
6,2020-12-11 09:36:00,18.68,18.68,18.66,18.66,57,18.672,45
7,2020-12-11 09:37:00,18.66,18.7,18.66,18.69,172,18.679,124
8,2020-12-11 09:38:00,18.68,18.73,18.68,18.71,439,18.705,313
9,2020-12-11 09:39:00,18.71,18.72,18.71,18.71,72,18.714,49
10,2020-12-11 09:40:00,18.72,18.72,18.71,18.71,129,18.718,81
11,2020-12-11 09:41:00,18.72,18.73,18.71,18.71,179,18.72,125
12,2020-12-11 09:42:00,18.72,18.75,18.71,18.72,271,18.734,214
13,2020-12-11 09:43:00,18.73,18.76,18.72,18.75,198,18.746,131
14,2020-12-11 09:44:00,18.75,18.77,18.74,18.77,166,18.758,75
15,2020-12-11 09:45:00,18.77,18.82,18.77,18.81,88,18.79,48
16,2020-12-11 09:46:00,18.82,18.86,18.81,18.86,192,18.843,129
17,2020-12-11 09:47:00,18.86,18.91,18.86,18.9,323,18.888,174
18,2020-12-11 09:48:00,18.9,18.94,18.9,18.94,266,18.924,125
19,2020-12-11 09:49:00,18.94,18.95,18.93,18.94,104,18.944,49
20,2020-12-11 09:50:00,18.95,18.95,18.92,18.93,208,18.941,104
21,2020-12-11 09:51:00,18.94,18.96,18.93,18.95,241,18.946,87
22,2020-12-11 09:52:00,18.96,18.98,18.96,18.98,67,18.968,44
23,2020-12-11 09:53:00,18.98,18.98,18.97,18.98,49,18.976,24
24,2020-12-11 09:54:00,18.98,18.99,18.97,18.98,78,18.978,52
25,2020-12-11 09:55:00,18.97,18.99,18.95,18.96,92,18.972,30
26,2020-12-11 09:56:00,18.96,18.98,18.94,18.95,148,18.953,75
27,2020-12-11 09:57:00,18.94,18.96,18.94,18.95,58,18.953,28
28,2020-12-11 09:58:00,18.95,18.95,18.92,18.93,17,18.943,16
29,2020-12-11 09:59:00,18.92,18.92,18.9,18.9,85,18.909,61
30,2020-12-11 10:00:00,18.91,18.91,18.9,18.91,38,18.907,20
31,2020-12-11 10:01:00,18.91,18.92,18.9,18.91,36,18.913,24
32,2020-12-11 10:02:00,18.92,18.93,18.9,18.91,36,18.911,20
33,2020-12-11 10:03:00,18.9,18.91,18.9,18.91,17,18.902,9
34,2020-12-11 10:04:00,18.91,18.91,18.9,18.9,44,18.907,30
35,2020-12-11 10:05:00,18.9,18.91,18.88,18.89,42,18.891,28
36,2020-12-11 10:06:00,18.88,18.89,18.88,18.89,4,18.884,2
37,2020-12-11 10:07:00,18.88,18.89,18.88,18.89,33,18.888,14
38,2020-12-11 10:08:00,18.9,18.91,18.9,18.91,56,18.905,32
39,2020-12-11 10:09:00,18.89,18.9,18.87,18.88,16,18.886,13
40,2020-12-11 10:10:00,18.87,18.88,18.85,18.85,107,18.865,41
41,2020-12-11 10:11:00,18.85,18.86,18.84,18.86,22,18.854,16
42,2020-12-11 10:12:00,18.86,18.88,18.86,18.87,31,18.867,22
43,2020-12-11 10:13:00,18.88,18.88,18.87,18.88,17,18.879,16
44,2020-12-11 10:14:00,18.88,18.9,18.88,18.89,82,18.886,49
45,2020-12-11 10:15:00,18.88,18.89,18.87,18.88,38,18.879,20
46,2020-12-11 10:16:00,18.88,18.88,18.87,18.88,4,18.879,4
47,2020-12-11 10:17:00,18.88,18.88,18.87,18.88,80,18.872,36
48,2020-12-11 10:18:00,18.88,18.9,18.88,18.89,28,18.888,18
49,2020-12-11 10:19:00,18.9,18.91,18.89,18.9,65,18.902,25
50,2020-12-11 10:20:00,18.9,18.9,18.89,18.9,9,18.896,7
51,2020-12-11 10:21:00,18.89,18.9,18.89,18.89,41,18.891,5
52,2020-12-11 10:22:00,18.9,18.91,18.9,18.91,42,18.906,31
53,2020-12-11 10:23:00,18.91,18.92,18.91,18.91,3,18.912,3
54,2020-12-11 10:24:00,18.92,18.93,18.91,18.91,55,18.919,32
55,2020-12-11 10:25:00,18.92,18.92,18.91,18.91,62,18.916,33
56,2020-12-11 10:26:00,18.92,18.94,18.91,18.93,100,18.926,61
57,2020-12-11 10:27:00,18.94,18.95,18.92,18.93,118,18.937,70
58,2020-12-11 10:28:00,18.93,18.95,18.92,18.94,68,18.937,36
59,2020-12-11 10:29:00,18.94,18.97,18.94,18.96,119,18.959,63
60,2020-12-11 10:30:00,18.96,18.97,18.95,18.96,17,18.961,12
61,2020-12-11 10:31:00,18.96,18.98,18.96,18.98,17,18.972,13
62,2020-12-11 10:32:00,18.98,18.98,18.96,18.96,75,18.966,40
63,2020-12-11 10:33:00,18.96,18.97,18.94,18.95,99,18.958,50
64,2020-12-11 10:34:00,18.95,18.96,18.94,18.96,58,18.949,36
65,2020-12-11 10:35:00,18.96,18.96,18.94,18.95,8,18.951,4
66,2020-12-11 10:36:00,18.95,18.97,18.94,18.95,71,18.956,39
67,2020-12-11 10:37:00,18.95,18.96,18.95,18.96,5,18.952,4
68,2020-12-11 10:38:00,18.96,18.97,18.95,18.96,11,18.96,9
69,2020-12-11 10:39:00,18.96,18.97,18.95,18.96,21,18.962,7
70,2020-12-11 10:40:00,18.96,18.96,18.95,18.96,3,18.955,3
