,date,open,high,low,close,volume,average,barCount
0,2015-06-03 20:00:00,6044.0,6044.0,6035.0,6035.0,125500,6043.81,19
1,2015-06-03 20:01:00,6034.0,6034.0,6021.0,6021.0,6300,6027.11,26
2,2015-06-03 20:02:00,6024.0,6029.0,6022.0,6025.0,2700,6026.07,13
3,2015-06-03 20:03:00,6025.0,6025.0,6015.0,6020.0,7700,6019.66,27
4,2015-06-03 20:04:00,6018.0,6020.0,6014.0,6019.0,5800,6016.81,15
5,2015-06-03 20:05:00,6016.0,6018.0,6009.0,6015.0,40200,6012.43,80
6,2015-06-03 20:06:00,6012.0,6013.0,6010.0,6010.0,9000,6011.76,23
7,2015-06-03 20:07:00,6008.0,6009.0,6006.0,6009.0,20300,6007.48,29
8,2015-06-03 20:08:00,6008.0,6008.0,6001.0,6002.0,24300,6003.16,72
9,2015-06-03 20:09:00,6003.0,6004.0,5997.0,5998.0,47300,5999.85,78
10,2015-06-03 20:10:00,5998.0,6001.0,5998.0,6001.0,6400,5999.06,23
11,2015-06-03 20:11:00,6002.0,6005.0,6000.0,6005.0,5400,6002.24,17
12,2015-06-03 20:12:00,6007.0,6007.0,6001.0,6001.0,10300,6004.21,30
13,2015-06-03 20:13:00,6001.0,6003.0,6001.0,6003.0,300,6002.33,3
14,2015-06-03 20:14:00,6004.0,6005.0,6002.0,6002.0,4800,6003.48,17
15,2015-06-03 20:15:00,6001.0,6001.0,5999.0,5999.0,6000,6000.2,16
16,2015-06-03 20:16:00,6000.0,6001.0,6000.0,6001.0,1900,6000.42,7
17,2015-06-03 20:17:00,6000.0,6001.0,5999.0,6000.0,4500,6000.13,13
18,2015-06-03 20:18:00,6001.0,6002.0,6001.0,6001.0,3800,6001.37,16
19,2015-06-03 20:19:00,6002.0,6002.0,5994.0,5995.0,44600,5997.06,43
20,2015-06-03 20:20:00,5995.0,5998.0,5995.0,5998.0,11100,5996.15,23
21,2015-06-03 20:21:00,5998.0,5999.0,5998.0,5998.0,2700,5998.67,9
22,2015-06-03 20:22:00,5998.0,5998.0,5995.0,5997.0,6300,5997.32,17
23,2015-06-03 20:23:00,5997.0,5998.0,5997.0,5998.0,1900,5997.32,9
24,2015-06-03 20:24:00,5998.0,5998.0,5996.0,5998.0,1300,5997.08,6
25,2015-06-03 20:25:00,5998.0,5999.0,5998.0,5999.0,3000,5998.47,11
26,2015-06-03 20:26:00,5999.0,5999.0,5997.0,5998.0,2300,5998.13,9
27,2015-06-03 20:27:00,5998.0,5999.0,5995.0,5997.0,6900,5997.35,23
28,2015-06-03 20:28:00,5997.0,5998.0,5996.0,5998.0,6000,5997.45,15
29,2015-06-03 20:29:00,5998.0,5999.0,5998.0,5999.0,700,5998.14,4
30,2015-06-03 20:30:00,5999.0,6000.0,5999.0,5999.0,5300,5999.87,12
31,2015-06-03 20:31:00,6000.0,6000.0,5999.0,5999.0,1300,5999.92,7
32,2015-06-03 20:32:00,6000.0,6002.0,5999.0,6002.0,3300,6000.33,18
33,2015-06-03 20:33:00,6002.0,6003.0,6001.0,6001.0,3800,6002.18,9
34,2015-06-03 20:34:00,6001.0,6001.0,6001.0,6001.0,0,6001.0,0
35,2015-06-03 20:35:00,6002.0,6004.0,6002.0,6004.0,6800,6002.97,18
36,2015-06-03 20:36:00,6003.0,6003.0,6000.0,6002.0,2700,6001.63,10
37,2015-06-03 20:37:00,6002.0,6003.0,6002.0,6003.0,700,6002.43,3
38,2015-06-03 20:38:00,6004.0,6005.0,6003.0,6003.0,5900,6004.34,17
39,2015-06-03 20:39:00,6005.0,6005.0,6002.0,6002.0,1700,6002.82,7
40,2015-06-03 20:40:00,6003.0,6003.0,6002.0,6003.0,800,6002.88,5
41,2015-06-03 20:41:00,6004.0,6005.0,6003.0,6005.0,1100,6004.0,7
42,2015-06-03 20:42:00,6005.0,6009.0,6003.0,6003.0,4900,6005.65,21
43,2015-06-03 20:43:00,6006.0,6009.0,6006.0,6009.0,2400,6006.71,8
44,2015-06-03 20:44:00,6009.0,6009.0,6009.0,6009.0,100,6009.0,1
45,2015-06-03 20:45:00,6009.0,6010.0,6008.0,6008.0,2200,6008.82,8
46,2015-06-03 20:46:00,6009.0,6012.0,6009.0,6012.0,2600,6010.96,7
47,2015-06-03 20:47:00,6012.0,6012.0,6012.0,6012.0,0,6012.0,0
48,2015-06-03 20:48:00,6013.0,6015.0,6013.0,6014.0,6000,6014.1,26
49,2015-06-03 20:49:00,6013.0,6013.0,6007.0,6009.0,2900,6010.76,13
50,2015-06-03 20:50:00,6008.0,6008.0,6006.0,6006.0,1600,6007.13,9
51,2015-06-03 20:51:00,6005.0,6007.0,6005.0,6006.0,800,6006.0,6
52,2015-06-03 20:52:00,6007.0,6008.0,6005.0,6007.0,2400,6006.46,14
53,2015-06-03 20:53:00,6005.0,6006.0,6003.0,6004.0,2500,6004.52,11
54,2015-06-03 20:54:00,6005.0,6005.0,6003.0,6005.0,700,6003.86,5
55,2015-06-03 20:55:00,6004.0,6004.0,6000.0,6000.0,5200,6001.96,11
56,2015-06-03 20:56:00,6000.0,6000.0,6000.0,6000.0,200,6000.0,1
57,2015-06-03 20:57:00,6000.0,6003.0,6000.0,6003.0,400,6001.5,3
58,2015-06-03 20:58:00,6003.0,6003.0,6001.0,6001.0,400,6002.0,3
59,2015-06-03 20:59:00,6002.0,6003.0,6001.0,6002.0,2200,6001.59,12
60,2015-06-03 21:00:00,6003.0,6003.0,6000.0,6000.0,800,6001.25,4
61,2015-06-03 21:01:00,6002.0,6002.0,6001.0,6002.0,1800,6001.61,10
62,2015-06-03 21:02:00,6001.0,6003.0,6001.0,6002.0,2900,6001.86,15
63,2015-06-03 21:03:00,6002.0,6003.0,6000.0,6000.0,3600,6001.08,13
64,2015-06-03 21:04:00,6002.0,6002.0,6002.0,6002.0,100,6002.0,1
65,2015-06-03 21:05:00,6001.0,6002.0,6000.0,6002.0,1600,6001.25,10
66,2015-06-03 21:06:00,6002.0,6002.0,6000.0,6002.0,600,6001.0,5
67,2015-06-03 21:07:00,6001.0,6001.0,6001.0,6001.0,100,6001.0,1
68,2015-06-03 21:08:00,6001.0,6001.0,6001.0,6001.0,600,6001.0,5
69,2015-06-03 21:09:00,6001.0,6003.0,6001.0,6003.0,1800,6002.11,7
70,2015-06-03 21:10:00,6002.0,6002.0,6001.0,6001.0,1300,6001.85,3
71,2015-06-03 21:11:00,6002.0,6004.0,6002.0,6004.0,2200,6002.73,6
72,2015-06-03 21:12:00,6002.0,6004.0,6002.0,6004.0,1300,6002.77,3
73,2015-06-03 21:13:00,6003.0,6004.0,6003.0,6004.0,300,6003.33,3
74,2015-06-03 21:14:00,6004.0,6004.0,6004.0,6004.0,1000,6004.0,4
75,2015-06-03 21:15:00,6005.0,6005.0,6003.0,6003.0,1100,6004.82,6
76,2015-06-03 21:16:00,6004.0,6006.0,6004.0,6006.0,1300,6004.77,11
77,2015-06-03 21:17:00,6006.0,6006.0,6006.0,6006.0,0,6006.0,0
78,2015-06-03 21:18:00,6006.0,6007.0,6006.0,6007.0,1100,6006.18,7
79,2015-06-03 21:19:00,6006.0,6007.0,6006.0,6007.0,1100,6006.27,4
80,2015-06-03 21:20:00,6007.0,6007.0,6007.0,6007.0,400,6007.0,3
81,2015-06-03 21:21:00,6007.0,6009.0,6007.0,6008.0,3100,6007.84,15
82,2015-06-03 21:22:00,6008.0,6009.0,6004.0,6004.0,6100,6005.25,12
83,2015-06-03 21:23:00,6005.0,6005.0,6005.0,6005.0,300,6005.0,3
84,2015-06-03 21:24:00,6004.0,6005.0,6002.0,6004.0,1800,6003.61,8
85,2015-06-03 21:25:00,6002.0,6002.0,6001.0,6002.0,1500,6001.67,5
86,2015-06-03 21:26:00,6002.0,6002.0,6001.0,6001.0,200,6001.5,2
87,2015-06-03 21:27:00,6002.0,6002.0,6002.0,6002.0,300,6002.0,2
88,2015-06-03 21:28:00,6002.0,6003.0,6002.0,6003.0,1000,6002.1,4
89,2015-06-03 21:29:00,6003.0,6003.0,6002.0,6002.0,1200,6002.83,10
90,2015-06-03 21:30:00,6002.0,6002.0,6000.0,6001.0,2400,6001.58,10
91,2015-06-03 21:31:00,6000.0,6001.0,6000.0,6001.0,1200,6000.25,8
92,2015-06-03 21:32:00,6001.0,6001.0,6000.0,6000.0,5700,6000.05,14
93,2015-06-03 21:33:00,6000.0,6000.0,6000.0,6000.0,200,6000.0,2
94,2015-06-03 21:34:00,5999.0,6001.0,5999.0,6001.0,1400,5999.71,10
95,2015-06-03 21:35:00,6001.0,6002.0,6001.0,6002.0,2100,6001.1,8
96,2015-06-03 21:36:00,6002.0,6002.0,6002.0,6002.0,0,6002.0,0
97,2015-06-03 21:37:00,6001.0,6003.0,6001.0,6003.0,1900,6001.89,7
98,2015-06-03 21:38:00,6002.0,6003.0,6002.0,6003.0,2200,6002.23,5
99,2015-06-03 21:39:00,6003.0,6003.0,6003.0,6003.0,100,6003.0,1
100,2015-06-03 21:40:00,6003.0,6003.0,6001.0,6001.0,2300,6001.74,5
