(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (100, 2, 1.5, -0.5, 0.5, 3, 2.5), Return: 0.84%, Hit Ratio: 51.28%, Max Drawdown: 0.4%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: -2.62%, Hit Ratio: 34.71%, Max Drawdown: 2.81%
(30, 1, 1, -0.5, -0.5, 2.5, 3): Return: -2.68%, Hit Ratio: 34.43%, Max Drawdown: 2.87%
(30, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: -2.68%, Hit Ratio: 34.43%, Max Drawdown: 2.87%
(30, 1, 1, -0.5, -0.5, 3, 2.5): Return: -2.71%, Hit Ratio: 34.71%, Max Drawdown: 2.9%
(30, 1, 1, -0.5, -0.5, 3, 3): Return: -2.76%, Hit Ratio: 34.43%, Max Drawdown: 2.95%
(30, 1, 1, -0.5, -0.5, 3, 3.5): Return: -2.76%, Hit Ratio: 34.43%, Max Drawdown: 2.95%
(30, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: -2.69%, Hit Ratio: 34.71%, Max Drawdown: 2.9%
(30, 1, 1, -0.5, -0.5, 3.5, 3): Return: -2.74%, Hit Ratio: 34.43%, Max Drawdown: 2.95%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: -2.74%, Hit Ratio: 34.43%, Max Drawdown: 2.95%
(30, 1, 1, -0.5, 0, 2.5, 2.5): Return: -3.16%, Hit Ratio: 33.33%, Max Drawdown: 3.48%
(30, 1, 1, -0.5, 0, 2.5, 3): Return: -3.33%, Hit Ratio: 33.08%, Max Drawdown: 3.64%
(30, 1, 1, -0.5, 0, 2.5, 3.5): Return: -3.33%, Hit Ratio: 33.08%, Max Drawdown: 3.64%
(30, 1, 1, -0.5, 0, 3, 2.5): Return: -3.26%, Hit Ratio: 33.08%, Max Drawdown: 3.58%
(30, 1, 1, -0.5, 0, 3, 3): Return: -3.43%, Hit Ratio: 32.84%, Max Drawdown: 3.74%
(30, 1, 1, -0.5, 0, 3, 3.5): Return: -3.43%, Hit Ratio: 32.84%, Max Drawdown: 3.74%
(30, 1, 1, -0.5, 0, 3.5, 2.5): Return: -3.26%, Hit Ratio: 33.08%, Max Drawdown: 3.58%
(30, 1, 1, -0.5, 0, 3.5, 3): Return: -3.43%, Hit Ratio: 32.84%, Max Drawdown: 3.74%
(30, 1, 1, -0.5, 0, 3.5, 3.5): Return: -3.43%, Hit Ratio: 32.84%, Max Drawdown: 3.74%
(30, 1, 1, -0.5, 0.5, 2.5, 2.5): Return: -2.84%, Hit Ratio: 34.06%, Max Drawdown: 3.14%
(30, 1, 1, -0.5, 0.5, 2.5, 3): Return: -3.0%, Hit Ratio: 33.81%, Max Drawdown: 3.3%
(30, 1, 1, -0.5, 0.5, 2.5, 3.5): Return: -3.0%, Hit Ratio: 33.81%, Max Drawdown: 3.3%
(30, 1, 1, -0.5, 0.5, 3, 2.5): Return: -2.93%, Hit Ratio: 33.81%, Max Drawdown: 3.24%
(30, 1, 1, -0.5, 0.5, 3, 3): Return: -3.1%, Hit Ratio: 33.57%, Max Drawdown: 3.4%
(30, 1, 1, -0.5, 0.5, 3, 3.5): Return: -3.1%, Hit Ratio: 33.57%, Max Drawdown: 3.4%
(30, 1, 1, -0.5, 0.5, 3.5, 2.5): Return: -2.93%, Hit Ratio: 33.81%, Max Drawdown: 3.24%
(30, 1, 1, -0.5, 0.5, 3.5, 3): Return: -3.1%, Hit Ratio: 33.57%, Max Drawdown: 3.4%
(30, 1, 1, -0.5, 0.5, 3.5, 3.5): Return: -3.1%, Hit Ratio: 33.57%, Max Drawdown: 3.4%
(30, 1, 1, 0, -0.5, 2.5, 2.5): Return: -2.63%, Hit Ratio: 35.16%, Max Drawdown: 2.68%
(30, 1, 1, 0, -0.5, 2.5, 3): Return: -2.98%, Hit Ratio: 34.88%, Max Drawdown: 3.03%
(30, 1, 1, 0, -0.5, 2.5, 3.5): Return: -2.98%, Hit Ratio: 34.88%, Max Drawdown: 3.03%
(30, 1, 1, 0, -0.5, 3, 2.5): Return: -2.63%, Hit Ratio: 35.16%, Max Drawdown: 2.68%
(30, 1, 1, 0, -0.5, 3, 3): Return: -2.98%, Hit Ratio: 34.88%, Max Drawdown: 3.03%
(30, 1, 1, 0, -0.5, 3, 3.5): Return: -2.98%, Hit Ratio: 34.88%, Max Drawdown: 3.03%
(30, 1, 1, 0, -0.5, 3.5, 2.5): Return: -2.61%, Hit Ratio: 35.16%, Max Drawdown: 2.66%
(30, 1, 1, 0, -0.5, 3.5, 3): Return: -2.96%, Hit Ratio: 34.88%, Max Drawdown: 3.01%
(30, 1, 1, 0, -0.5, 3.5, 3.5): Return: -2.96%, Hit Ratio: 34.88%, Max Drawdown: 3.01%
(30, 1, 1, 0, 0, 2.5, 2.5): Return: -3.11%, Hit Ratio: 34.81%, Max Drawdown: 3.26%
(30, 1, 1, 0, 0, 2.5, 3): Return: -3.28%, Hit Ratio: 34.56%, Max Drawdown: 3.42%
(30, 1, 1, 0, 0, 2.5, 3.5): Return: -3.28%, Hit Ratio: 34.56%, Max Drawdown: 3.42%
(30, 1, 1, 0, 0, 3, 2.5): Return: -3.16%, Hit Ratio: 34.07%, Max Drawdown: 3.3%
(30, 1, 1, 0, 0, 3, 3): Return: -3.32%, Hit Ratio: 33.82%, Max Drawdown: 3.47%
(30, 1, 1, 0, 0, 3, 3.5): Return: -3.32%, Hit Ratio: 33.82%, Max Drawdown: 3.47%
(30, 1, 1, 0, 0, 3.5, 2.5): Return: -3.16%, Hit Ratio: 34.07%, Max Drawdown: 3.3%
(30, 1, 1, 0, 0, 3.5, 3): Return: -3.32%, Hit Ratio: 33.82%, Max Drawdown: 3.47%
(30, 1, 1, 0, 0, 3.5, 3.5): Return: -3.32%, Hit Ratio: 33.82%, Max Drawdown: 3.47%
(30, 1, 1, 0, 0.5, 2.5, 2.5): Return: -2.95%, Hit Ratio: 35.97%, Max Drawdown: 3.11%
(30, 1, 1, 0, 0.5, 2.5, 3): Return: -3.11%, Hit Ratio: 35.71%, Max Drawdown: 3.28%
(30, 1, 1, 0, 0.5, 2.5, 3.5): Return: -3.11%, Hit Ratio: 35.71%, Max Drawdown: 3.28%
(30, 1, 1, 0, 0.5, 3, 2.5): Return: -2.99%, Hit Ratio: 35.25%, Max Drawdown: 3.16%
(30, 1, 1, 0, 0.5, 3, 3): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3, 3.5): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3.5, 2.5): Return: -2.99%, Hit Ratio: 35.25%, Max Drawdown: 3.16%
(30, 1, 1, 0, 0.5, 3.5, 3): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
(30, 1, 1, 0, 0.5, 3.5, 3.5): Return: -3.16%, Hit Ratio: 35.0%, Max Drawdown: 3.32%
