(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.8, 0.5, 2.9), Return: 1.4%, Hit Ratio: 50.0%, Max Drawdown: 0.8%
(50, 1.8, 0.5, 2.9): Return: 1.4%, Hit Ratio: 50.0%, Max Drawdown: 0.8%
(50, 1.8, 0.5, 3.0): Return: 1.4%, Hit Ratio: 50.0%, Max Drawdown: 0.8%
(50, 1.8, 0.5, 3.1): Return: 1.4%, Hit Ratio: 50.0%, Max Drawdown: 0.8%
(50, 1.8, 0.5, 2.8): Return: 1.33%, Hit Ratio: 50.0%, Max Drawdown: 0.8%
(50, 1.8, 0.7, 2.9): Return: 1.11%, Hit Ratio: 42.86%, Max Drawdown: 0.99%
(50, 1.8, 0.7, 3.0): Return: 1.11%, Hit Ratio: 42.86%, Max Drawdown: 0.99%
(50, 1.8, 0.7, 3.1): Return: 1.11%, Hit Ratio: 42.86%, Max Drawdown: 0.99%
(50, 1.8, 0.7, 2.8): Return: 1.04%, Hit Ratio: 42.86%, Max Drawdown: 0.99%
(60, 1.8, 0.5, 3.0): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.5, 3.1): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.5, 3.2): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.6, 3.0): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.6, 3.1): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.6, 3.2): Return: 1.04%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(50, 1.8, 0.6, 2.9): Return: 1.02%, Hit Ratio: 42.86%, Max Drawdown: 1.18%
(50, 1.8, 0.6, 3.0): Return: 1.02%, Hit Ratio: 42.86%, Max Drawdown: 1.18%
(50, 1.8, 0.6, 3.1): Return: 1.02%, Hit Ratio: 42.86%, Max Drawdown: 1.18%
(60, 1.8, 0.5, 2.8): Return: 0.97%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.5, 2.9): Return: 0.97%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.6, 2.8): Return: 0.97%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(60, 1.8, 0.6, 2.9): Return: 0.97%, Hit Ratio: 43.75%, Max Drawdown: 1.21%
(50, 1.8, 0.6, 2.8): Return: 0.95%, Hit Ratio: 42.86%, Max Drawdown: 1.18%
(50, 1.8, 0.4, 2.9): Return: 0.94%, Hit Ratio: 42.86%, Max Drawdown: 1.12%
(50, 1.8, 0.4, 3.0): Return: 0.94%, Hit Ratio: 42.86%, Max Drawdown: 1.12%
(50, 1.8, 0.4, 3.1): Return: 0.94%, Hit Ratio: 42.86%, Max Drawdown: 1.12%
(50, 1.8, 0.4, 2.8): Return: 0.86%, Hit Ratio: 42.86%, Max Drawdown: 1.12%
(65, 1.8, 0.6, 3.1): Return: 0.86%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 3.2): Return: 0.86%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 3.1): Return: 0.86%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 3.2): Return: 0.86%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 2.8): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 2.9): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 3.0): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 2.8): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 2.9): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(65, 1.8, 0.6, 3.0): Return: 0.78%, Hit Ratio: 41.18%, Max Drawdown: 1.21%
(60, 1.8, 0.7, 3.0): Return: 0.75%, Hit Ratio: 37.5%, Max Drawdown: 1.5%
(60, 1.8, 0.7, 3.1): Return: 0.75%, Hit Ratio: 37.5%, Max Drawdown: 1.5%
(60, 1.8, 0.7, 3.2): Return: 0.75%, Hit Ratio: 37.5%, Max Drawdown: 1.5%
(50, 1.8, 0.5, 3.2): Return: 0.71%, Hit Ratio: 46.67%, Max Drawdown: 1.13%
(60, 1.8, 0.7, 2.8): Return: 0.67%, Hit Ratio: 37.5%, Max Drawdown: 1.5%
(60, 1.8, 0.7, 2.9): Return: 0.67%, Hit Ratio: 37.5%, Max Drawdown: 1.5%
(50, 1.8, 0.3, 2.9): Return: 0.66%, Hit Ratio: 35.71%, Max Drawdown: 1.39%
(50, 1.8, 0.3, 3.0): Return: 0.66%, Hit Ratio: 35.71%, Max Drawdown: 1.39%
(50, 1.8, 0.3, 3.1): Return: 0.66%, Hit Ratio: 35.71%, Max Drawdown: 1.39%
(50, 1.8, 0.3, 2.8): Return: 0.59%, Hit Ratio: 35.71%, Max Drawdown: 1.39%
(60, 1.8, 0.4, 3.0): Return: 0.57%, Hit Ratio: 37.5%, Max Drawdown: 1.53%
(60, 1.8, 0.4, 3.1): Return: 0.57%, Hit Ratio: 37.5%, Max Drawdown: 1.53%
(60, 1.8, 0.4, 3.2): Return: 0.57%, Hit Ratio: 37.5%, Max Drawdown: 1.53%
(65, 1.8, 0.7, 3.1): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(65, 1.8, 0.7, 3.2): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(65, 1.8, 0.7, 3.1): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(65, 1.8, 0.7, 3.2): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(70, 1.8, 0.7, 3.0): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(70, 1.8, 0.7, 3.1): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(70, 1.8, 0.7, 3.2): Return: 0.56%, Hit Ratio: 35.29%, Max Drawdown: 1.5%
(65, 2.0, 0.7, 3.1): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(65, 2.0, 0.7, 3.2): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(60, 1.9, 0.7, 3.0): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(60, 1.9, 0.7, 3.1): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(60, 1.9, 0.7, 3.2): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(65, 2.0, 0.7, 3.1): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(65, 2.0, 0.7, 3.2): Return: 0.53%, Hit Ratio: 44.44%, Max Drawdown: 0.66%
(70, 2.0, 0.7, 3.0): Return: 0.53%, Hit Ratio: 37.5%, Max Drawdown: 0.66%
(70, 2.0, 0.7, 3.1): Return: 0.53%, Hit Ratio: 37.5%, Max Drawdown: 0.66%
(70, 2.0, 0.7, 3.2): Return: 0.53%, Hit Ratio: 37.5%, Max Drawdown: 0.66%
(70, 2.1, 0.6, 3.0): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.6, 3.1): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.6, 3.2): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.7, 3.0): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.7, 3.1): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.7, 3.2): Return: 0.53%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
(70, 2.1, 0.3, 3.0): Return: 0.51%, Hit Ratio: 42.86%, Max Drawdown: 0.66%
