The return of ADR_underlying pairs trading for TM_7203 from Japan is 17.569355575240216%
Hyperparameters: Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 15.439986246324727%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 15.439986246324727%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 15.439986246324727%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 10.92426567181939%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 10.92426567181939%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 10.92426567181939%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 8.91155749999589%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 8.91155749999589%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 8.91155749999589%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 7.246762700421051%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 7.246762700421051%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 7.246762700421051%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 5.194716038422543%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 5.194716038422543%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 5.194716038422543%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 3.588832972935226%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 3.588832972935226%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 3.588832972935226%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 2.017295174655068%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 2.017295174655068%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 2.017295174655068%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 0.137487925222551%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 0.137487925222551%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 0.137487925222551%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 2.09712584023572%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 2.09712584023572%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 2.09712584023572%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 17.569355575240216%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 17.569355575240216%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 17.569355575240216%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 14.050835167933867%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3	Return: 14.050835167933867%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 14.050835167933867%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 15.457869590808054%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 15.457869590808054%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 15.457869590808054%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 3.678746573282944%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 3.678746573282944%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 3.678746573282944%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 0.6561379862798203%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 0.6561379862798203%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 0.6561379862798203%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 3.114624249847737%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 3.114624249847737%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 3.114624249847737%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 0.3521543044461869%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 0.3521543044461869%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 0.3521543044461869%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: -0.5575268818514741%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3	Return: -0.5575268818514741%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: -0.5575268818514741%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 1.9632307983285864%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 1.9632307983285864%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 1.9632307983285864%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 12.80512456703186%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 12.80512456703186%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 12.80512456703186%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 11.901740550191986%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3	Return: 11.901740550191986%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 11.901740550191986%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 8.832811099511863%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 8.832811099511863%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 8.832811099511863%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 4.862054136352497%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 4.862054136352497%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 4.862054136352497%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 2.449440141672443%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 2.449440141672443%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 2.449440141672443%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 4.091262609711601%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 4.091262609711601%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 4.091262609711601%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 1.6479054255675294%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 1.6479054255675294%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 1.6479054255675294%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 0.8339915129687578%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 0.8339915129687578%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 0.8339915129687578%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 2.625817929168552%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 2.625817929168552%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 2.625817929168552%
