(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 1.8, -0.4, 2.5), Return: 3.35%, Hit Ratio: 56.67%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.5): Return: 3.35%, Hit Ratio: 56.67%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.6): Return: 3.35%, Hit Ratio: 58.06%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.7): Return: 3.35%, Hit Ratio: 58.06%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.5): Return: 3.35%, Hit Ratio: 56.67%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.6): Return: 3.35%, Hit Ratio: 58.06%, Max Drawdown: 1.01%
(65, 1.8, -0.4, 2.7): Return: 3.35%, Hit Ratio: 58.06%, Max Drawdown: 1.01%
(65, 1.8, -0.3, 2.5): Return: 3.32%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(65, 1.8, -0.3, 2.5): Return: 3.32%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(65, 1.8, -0.3, 2.6): Return: 3.31%, Hit Ratio: 58.06%, Max Drawdown: 1.13%
(65, 1.8, -0.3, 2.7): Return: 3.31%, Hit Ratio: 58.06%, Max Drawdown: 1.13%
(65, 1.8, -0.3, 2.6): Return: 3.31%, Hit Ratio: 58.06%, Max Drawdown: 1.13%
(65, 1.8, -0.3, 2.7): Return: 3.31%, Hit Ratio: 58.06%, Max Drawdown: 1.13%
(60, 1.8, -0.5, 2.5): Return: 3.27%, Hit Ratio: 56.67%, Max Drawdown: 1.1%
(60, 1.8, -0.5, 2.6): Return: 3.24%, Hit Ratio: 56.67%, Max Drawdown: 1.1%
(60, 1.8, -0.5, 2.7): Return: 3.24%, Hit Ratio: 58.06%, Max Drawdown: 1.1%
(65, 1.8, -0.5, 2.5): Return: 3.23%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.6): Return: 3.23%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.7): Return: 3.23%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.5): Return: 3.23%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.6): Return: 3.23%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.7): Return: 3.23%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(60, 1.8, -0.3, 2.5): Return: 3.2%, Hit Ratio: 56.67%, Max Drawdown: 1.05%
(60, 1.8, -0.3, 2.6): Return: 3.17%, Hit Ratio: 56.67%, Max Drawdown: 1.05%
(60, 1.8, -0.3, 2.7): Return: 3.17%, Hit Ratio: 58.06%, Max Drawdown: 1.05%
(65, 1.8, -0.6, 2.4): Return: 3.11%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.6, 2.4): Return: 3.11%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(70, 1.8, -0.4, 2.6): Return: 3.11%, Hit Ratio: 54.55%, Max Drawdown: 1.2%
(70, 1.8, -0.4, 2.7): Return: 3.11%, Hit Ratio: 54.55%, Max Drawdown: 1.2%
(70, 1.8, -0.3, 2.6): Return: 3.08%, Hit Ratio: 54.55%, Max Drawdown: 1.32%
(70, 1.8, -0.3, 2.7): Return: 3.08%, Hit Ratio: 54.55%, Max Drawdown: 1.32%
(65, 1.8, -0.4, 2.4): Return: 3.07%, Hit Ratio: 56.67%, Max Drawdown: 1.03%
(65, 1.8, -0.4, 2.4): Return: 3.07%, Hit Ratio: 56.67%, Max Drawdown: 1.03%
(65, 1.8, -0.6, 2.5): Return: 3.04%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.6, 2.6): Return: 3.04%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.6, 2.7): Return: 3.04%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.3, 2.4): Return: 3.04%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(65, 1.8, -0.6, 2.5): Return: 3.04%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.6, 2.6): Return: 3.04%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.6, 2.7): Return: 3.04%, Hit Ratio: 58.06%, Max Drawdown: 1.18%
(65, 1.8, -0.3, 2.4): Return: 3.04%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(60, 1.8, -0.4, 2.5): Return: 3.02%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(60, 1.8, -0.4, 2.6): Return: 2.99%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(60, 1.8, -0.4, 2.7): Return: 2.99%, Hit Ratio: 58.06%, Max Drawdown: 1.13%
(60, 1.8, -0.5, 2.4): Return: 2.96%, Hit Ratio: 55.17%, Max Drawdown: 1.1%
(65, 1.8, -0.5, 2.4): Return: 2.95%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.5, 2.4): Return: 2.95%, Hit Ratio: 56.67%, Max Drawdown: 1.18%
(65, 1.8, -0.7, 2.4): Return: 2.94%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.4): Return: 2.94%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(60, 1.8, -0.3, 2.4): Return: 2.9%, Hit Ratio: 55.17%, Max Drawdown: 1.05%
(70, 1.8, -0.5, 2.5): Return: 2.9%, Hit Ratio: 53.12%, Max Drawdown: 1.2%
(65, 1.8, -0.7, 2.5): Return: 2.87%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.6): Return: 2.87%, Hit Ratio: 58.06%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.7): Return: 2.87%, Hit Ratio: 58.06%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.5): Return: 2.87%, Hit Ratio: 56.67%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.6): Return: 2.87%, Hit Ratio: 58.06%, Max Drawdown: 1.14%
(65, 1.8, -0.7, 2.7): Return: 2.87%, Hit Ratio: 58.06%, Max Drawdown: 1.14%
(70, 1.8, -0.6, 2.5): Return: 2.85%, Hit Ratio: 53.12%, Max Drawdown: 1.4%
(60, 1.9, -0.5, 2.5): Return: 2.84%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(70, 1.8, -0.4, 2.5): Return: 2.84%, Hit Ratio: 53.12%, Max Drawdown: 1.22%
(70, 1.8, -0.5, 2.4): Return: 2.83%, Hit Ratio: 51.61%, Max Drawdown: 1.22%
(70, 1.8, -0.5, 2.6): Return: 2.82%, Hit Ratio: 54.55%, Max Drawdown: 1.26%
(70, 1.8, -0.5, 2.7): Return: 2.82%, Hit Ratio: 54.55%, Max Drawdown: 1.26%
(50, 1.8, -0.5, 2.3): Return: 2.81%, Hit Ratio: 60.0%, Max Drawdown: 0.69%
(60, 1.9, -0.5, 2.6): Return: 2.81%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 1.9, -0.5, 2.7): Return: 2.81%, Hit Ratio: 68.18%, Max Drawdown: 0.69%
(50, 1.8, -0.5, 2.5): Return: 2.8%, Hit Ratio: 62.96%, Max Drawdown: 0.69%
(70, 1.8, -0.3, 2.5): Return: 2.8%, Hit Ratio: 53.12%, Max Drawdown: 1.32%
(50, 1.8, -0.4, 2.5): Return: 2.78%, Hit Ratio: 62.96%, Max Drawdown: 0.82%
(65, 2.0, -0.5, 2.5): Return: 2.78%, Hit Ratio: 68.75%, Max Drawdown: 0.69%
(60, 1.9, -0.4, 2.5): Return: 2.78%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(65, 2.0, -0.5, 2.5): Return: 2.78%, Hit Ratio: 68.75%, Max Drawdown: 0.69%
(70, 1.8, -0.6, 2.4): Return: 2.78%, Hit Ratio: 51.61%, Max Drawdown: 1.4%
(50, 1.8, -0.5, 2.4): Return: 2.77%, Hit Ratio: 61.54%, Max Drawdown: 0.69%
(70, 1.8, -0.6, 2.6): Return: 2.77%, Hit Ratio: 54.55%, Max Drawdown: 1.4%
(70, 1.8, -0.6, 2.7): Return: 2.77%, Hit Ratio: 54.55%, Max Drawdown: 1.4%
(70, 1.8, -0.4, 2.4): Return: 2.77%, Hit Ratio: 51.61%, Max Drawdown: 1.28%
(60, 1.9, -0.3, 2.5): Return: 2.76%, Hit Ratio: 66.67%, Max Drawdown: 0.51%
(50, 1.8, -0.4, 2.4): Return: 2.75%, Hit Ratio: 61.54%, Max Drawdown: 0.82%
(60, 1.9, -0.4, 2.6): Return: 2.75%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 1.9, -0.4, 2.7): Return: 2.75%, Hit Ratio: 68.18%, Max Drawdown: 0.69%
(70, 1.8, -0.3, 2.4): Return: 2.74%, Hit Ratio: 51.61%, Max Drawdown: 1.32%
(65, 2.0, -0.4, 2.5): Return: 2.72%, Hit Ratio: 68.75%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.5): Return: 2.72%, Hit Ratio: 68.75%, Max Drawdown: 0.48%
(60, 1.8, -0.7, 2.4): Return: 2.72%, Hit Ratio: 55.17%, Max Drawdown: 1.13%
(60, 1.8, -0.6, 2.4): Return: 2.72%, Hit Ratio: 55.17%, Max Drawdown: 1.13%
(60, 1.9, -0.3, 2.6): Return: 2.72%, Hit Ratio: 66.67%, Max Drawdown: 0.51%
(60, 1.9, -0.3, 2.7): Return: 2.72%, Hit Ratio: 68.18%, Max Drawdown: 0.51%
(65, 2.0, -0.4, 2.5): Return: 2.72%, Hit Ratio: 68.75%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.5): Return: 2.72%, Hit Ratio: 68.75%, Max Drawdown: 0.48%
(65, 2.0, -0.5, 2.6): Return: 2.71%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(65, 2.0, -0.5, 2.7): Return: 2.71%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 1.8, -0.4, 2.4): Return: 2.71%, Hit Ratio: 55.17%, Max Drawdown: 1.16%
(65, 2.0, -0.5, 2.6): Return: 2.71%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(65, 2.0, -0.5, 2.7): Return: 2.71%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(65, 1.8, -0.6, 2.3): Return: 2.7%, Hit Ratio: 53.57%, Max Drawdown: 1.22%
(65, 1.8, -0.6, 2.3): Return: 2.7%, Hit Ratio: 53.57%, Max Drawdown: 1.22%
(50, 1.8, -0.3, 2.5): Return: 2.69%, Hit Ratio: 62.96%, Max Drawdown: 0.85%
(60, 1.8, -0.7, 2.5): Return: 2.69%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(60, 1.8, -0.6, 2.5): Return: 2.68%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(50, 1.8, -0.3, 2.4): Return: 2.66%, Hit Ratio: 61.54%, Max Drawdown: 0.85%
(65, 1.8, -0.4, 2.3): Return: 2.66%, Hit Ratio: 53.57%, Max Drawdown: 1.11%
(60, 1.8, -0.7, 2.7): Return: 2.66%, Hit Ratio: 58.06%, Max Drawdown: 1.12%
(60, 2.0, -0.5, 2.5): Return: 2.66%, Hit Ratio: 64.29%, Max Drawdown: 0.69%
(60, 2.0, -0.4, 2.5): Return: 2.66%, Hit Ratio: 64.29%, Max Drawdown: 0.69%
(60, 2.0, -0.3, 2.5): Return: 2.66%, Hit Ratio: 64.29%, Max Drawdown: 0.26%
(65, 1.8, -0.4, 2.3): Return: 2.66%, Hit Ratio: 53.57%, Max Drawdown: 1.11%
(70, 2.1, -0.6, 2.5): Return: 2.66%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(70, 2.1, -0.5, 2.5): Return: 2.66%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(70, 2.1, -0.4, 2.5): Return: 2.66%, Hit Ratio: 66.67%, Max Drawdown: 0.5%
(70, 2.1, -0.3, 2.5): Return: 2.66%, Hit Ratio: 66.67%, Max Drawdown: 0.5%
(60, 1.8, -0.7, 2.6): Return: 2.65%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(60, 1.8, -0.6, 2.6): Return: 2.65%, Hit Ratio: 56.67%, Max Drawdown: 1.13%
(60, 1.8, -0.6, 2.7): Return: 2.65%, Hit Ratio: 58.06%, Max Drawdown: 1.12%
(60, 2.0, -0.5, 2.4): Return: 2.65%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 2.0, -0.4, 2.4): Return: 2.65%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 2.0, -0.3, 2.4): Return: 2.65%, Hit Ratio: 66.67%, Max Drawdown: 0.26%
(65, 2.0, -0.4, 2.6): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.4, 2.7): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.6): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.7): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.4, 2.6): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.4, 2.7): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.6): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(65, 2.0, -0.3, 2.7): Return: 2.64%, Hit Ratio: 66.67%, Max Drawdown: 0.48%
(50, 1.8, -0.7, 2.3): Return: 2.63%, Hit Ratio: 60.0%, Max Drawdown: 0.69%
(65, 1.8, -0.3, 2.3): Return: 2.63%, Hit Ratio: 53.57%, Max Drawdown: 1.17%
(60, 2.0, -0.5, 2.7): Return: 2.63%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 2.0, -0.4, 2.7): Return: 2.63%, Hit Ratio: 66.67%, Max Drawdown: 0.69%
(60, 2.0, -0.3, 2.7): Return: 2.63%, Hit Ratio: 66.67%, Max Drawdown: 0.26%
(65, 1.8, -0.3, 2.3): Return: 2.63%, Hit Ratio: 53.57%, Max Drawdown: 1.17%
(50, 1.8, -0.7, 2.5): Return: 2.62%, Hit Ratio: 62.96%, Max Drawdown: 0.69%
(60, 2.0, -0.5, 2.6): Return: 2.62%, Hit Ratio: 64.29%, Max Drawdown: 0.69%
(60, 2.0, -0.4, 2.6): Return: 2.62%, Hit Ratio: 64.29%, Max Drawdown: 0.69%
