,date,open,high,low,close,volume,average,barCount
0,2015-04-10,8351.0,8411.0,8321.0,8352.5,-1,-1.0,-1
1,2015-04-13,8239.2,8350.0,8202.0,8240.7,-1,-1.0,-1
2,2015-04-14,8268.5,8296.0,8210.0,8269.9,-1,-1.0,-1
3,2015-04-15,8268.1,8312.0,8232.0,8269.6,-1,-1.0,-1
4,2015-04-16,8274.0,8320.0,8246.0,8275.6,-1,-1.0,-1
5,2015-04-17,8329.4,8405.0,8273.0,8331.2,-1,-1.0,-1
6,2015-04-20,8260.4,8311.0,8175.0,8262.3,-1,-1.0,-1
7,2015-04-21,8390.5,8440.0,8285.0,8391.9,-1,-1.0,-1
8,2015-04-22,8452.7,8524.0,8397.0,8454.4,-1,-1.0,-1
9,2015-04-23,8464.3,8520.0,8403.0,8465.9,-1,-1.0,-1
10,2015-04-24,8420.2,8469.0,8387.0,8421.9,-1,-1.0,-1
11,2015-04-27,8345.5,8423.0,8316.0,8347.1,-1,-1.0,-1
12,2015-04-28,8480.7,8535.0,8380.0,8482.2,-1,-1.0,-1
13,2015-04-30,8386.9,8440.0,8334.0,8388.6,-1,-1.0,-1
14,2015-05-01,8262.2,8312.0,8212.0,8263.9,-1,-1.0,-1
15,2015-05-07,8222.0,8266.0,8204.0,8223.4,-1,-1.0,-1
16,2015-05-08,8255.0,8348.0,8190.0,8256.6,-1,-1.0,-1
17,2015-05-11,8287.7,8400.0,8215.0,8289.3,-1,-1.0,-1
18,2015-05-12,8226.2,8276.0,8192.0,8227.7,-1,-1.0,-1
19,2015-05-13,8184.2,8230.0,8152.0,8185.7,-1,-1.0,-1
20,2015-05-14,8168.5,8188.0,8150.0,8170.1,-1,-1.0,-1
21,2015-05-15,8228.5,8294.0,8169.0,8230.1,-1,-1.0,-1
22,2015-05-18,8317.4,8345.0,8261.0,8319.0,-1,-1.0,-1
23,2015-05-19,8377.7,8399.0,8328.0,8379.1,-1,-1.0,-1
24,2015-05-20,8440.0,8475.0,8399.0,8441.6,-1,-1.0,-1
25,2015-05-21,8423.2,8450.0,8370.0,8424.7,-1,-1.0,-1
26,2015-05-22,8360.9,8439.0,8336.0,8362.4,-1,-1.0,-1
27,2015-05-25,8440.6,8465.0,8378.0,8442.1,-1,-1.0,-1
28,2015-05-26,8442.1,8494.0,8413.0,8443.7,-1,-1.0,-1
29,2015-05-27,8498.0,8525.0,8463.0,8499.4,-1,-1.0,-1
30,2015-05-28,8635.1,8700.0,8551.0,8636.7,-1,-1.0,-1
31,2015-05-29,8624.5,8685.0,8590.0,8626.3,-1,-1.0,-1
32,2015-06-01,8512.2,8581.0,8490.0,8514.0,-1,-1.0,-1
33,2015-06-02,8544.5,8593.0,8508.0,8546.1,-1,-1.0,-1
34,2015-06-03,8511.6,8548.0,8447.0,8513.4,-1,-1.0,-1
35,2015-06-04,8541.2,8564.0,8483.0,8542.8,-1,-1.0,-1
36,2015-06-05,8447.8,8479.0,8427.0,8449.4,-1,-1.0,-1
37,2015-06-08,8381.1,8472.0,8352.0,8382.6,-1,-1.0,-1
38,2015-06-09,8279.6,8345.0,8215.0,8281.1,-1,-1.0,-1
39,2015-06-10,8240.8,8294.0,8171.0,8242.6,-1,-1.0,-1
40,2015-06-11,8299.6,8327.0,8239.0,8301.4,-1,-1.0,-1
41,2015-06-12,8370.5,8390.0,8329.0,8372.2,-1,-1.0,-1
42,2015-06-15,8385.7,8419.0,8305.0,8387.2,-1,-1.0,-1
43,2015-06-16,8375.6,8455.0,8325.0,8377.2,-1,-1.0,-1
44,2015-06-17,8340.7,8432.0,8305.0,8342.4,-1,-1.0,-1
45,2015-06-18,8255.2,8359.0,8190.0,8256.9,-1,-1.0,-1
46,2015-06-19,8255.6,8290.0,8194.0,8257.3,-1,-1.0,-1
47,2015-06-22,8251.2,8304.0,8180.0,8252.8,-1,-1.0,-1
48,2015-06-23,8436.8,8470.0,8335.0,8438.5,-1,-1.0,-1
49,2015-06-24,8477.0,8512.0,8450.0,8478.6,-1,-1.0,-1
50,2015-06-25,8364.4,8398.0,8330.0,8366.0,-1,-1.0,-1
51,2015-06-26,8310.8,8375.0,8260.0,8312.5,-1,-1.0,-1
52,2015-06-29,8177.3,8220.0,8094.0,8179.6,-1,-1.0,-1
53,2015-06-30,8170.4,8204.0,8136.0,8172.2,-1,-1.0,-1
54,2015-07-01,8143.8,8192.0,8126.0,8145.3,-1,-1.0,-1
55,2015-07-02,8185.3,8243.0,8150.0,8186.8,-1,-1.0,-1
56,2015-07-03,8179.2,8219.0,8130.0,8180.9,-1,-1.0,-1
57,2015-07-06,8086.6,8119.0,8060.0,8088.5,-1,-1.0,-1
58,2015-07-07,8113.3,8136.0,8101.0,8114.8,-1,-1.0,-1
59,2015-07-08,8012.1,8104.0,7935.0,8014.2,-1,-1.0,-1
60,2015-07-09,7785.5,7906.0,7630.0,7787.8,-1,-1.0,-1
61,2015-07-10,7922.9,8019.0,7847.0,7925.1,-1,-1.0,-1
62,2015-07-13,8092.6,8130.0,8033.0,8094.4,-1,-1.0,-1
63,2015-07-14,8201.5,8248.0,8161.0,8203.1,-1,-1.0,-1
64,2015-07-15,8239.6,8274.0,8190.0,8241.3,-1,-1.0,-1
65,2015-07-16,8412.3,8444.0,8317.0,8414.0,-1,-1.0,-1
66,2015-07-17,8324.8,8400.0,8300.0,8326.2,-1,-1.0,-1
67,2015-07-21,8355.7,8423.0,8332.0,8357.3,-1,-1.0,-1
68,2015-07-22,8293.7,8356.0,8273.0,8295.3,-1,-1.0,-1
69,2015-07-23,8272.7,8339.0,8246.0,8274.2,-1,-1.0,-1
70,2015-07-24,8274.5,8314.0,8217.0,8276.3,-1,-1.0,-1
71,2015-07-27,8203.6,8267.0,8165.0,8205.2,-1,-1.0,-1
72,2015-07-28,8090.5,8153.0,8033.0,8092.5,-1,-1.0,-1
73,2015-07-29,8121.8,8199.0,8096.0,8123.6,-1,-1.0,-1
74,2015-07-30,8175.1,8204.0,8140.0,8176.8,-1,-1.0,-1
75,2015-07-31,8218.4,8250.0,8175.0,8220.1,-1,-1.0,-1
76,2015-08-03,8191.8,8240.0,8161.0,8193.7,-1,-1.0,-1
77,2015-08-04,8109.6,8146.0,8083.0,8111.3,-1,-1.0,-1
78,2015-08-05,7931.5,8001.0,7864.0,7933.1,-1,-1.0,-1
79,2015-08-06,8042.2,8068.0,8005.0,8043.8,-1,-1.0,-1
80,2015-08-07,8061.3,8126.0,7985.0,8062.9,-1,-1.0,-1
81,2015-08-10,8080.6,8143.0,8005.0,8082.2,-1,-1.0,-1
82,2015-08-11,8147.2,8204.0,8083.0,8148.9,-1,-1.0,-1
83,2015-08-12,8007.3,8077.0,7966.0,8009.3,-1,-1.0,-1
84,2015-08-13,7929.8,7959.0,7903.0,7931.8,-1,-1.0,-1
85,2015-08-14,7947.8,7981.0,7921.0,7949.6,-1,-1.0,-1
86,2015-08-17,7935.0,7971.0,7920.0,7936.7,-1,-1.0,-1
87,2015-08-18,7958.7,7987.0,7917.0,7960.5,-1,-1.0,-1
88,2015-08-19,7934.1,7971.0,7900.0,7935.8,-1,-1.0,-1
89,2015-08-20,7773.0,7854.0,7735.0,7774.8,-1,-1.0,-1
90,2015-08-21,7535.8,7585.0,7480.0,7538.0,-1,-1.0,-1
91,2015-08-24,7126.4,7350.0,7000.0,7128.6,-1,-1.0,-1
92,2015-08-25,6940.0,7196.0,6650.0,6943.8,-1,-1.0,-1
93,2015-08-26,6906.6,6980.0,6788.0,6909.9,-1,-1.0,-1
94,2015-08-27,7109.7,7200.0,7007.0,7112.1,-1,-1.0,-1
95,2015-08-28,7309.8,7390.0,7171.0,7311.9,-1,-1.0,-1
96,2015-08-31,7205.0,7328.0,7146.0,7207.1,-1,-1.0,-1
97,2015-09-01,7099.1,7178.0,7000.0,7101.5,-1,-1.0,-1
98,2015-09-02,7050.7,7169.0,6840.0,7053.6,-1,-1.0,-1
99,2015-09-03,7253.3,7355.0,7091.0,7255.4,-1,-1.0,-1
100,2015-09-04,7051.1,7259.0,6911.0,7053.8,-1,-1.0,-1
101,2015-09-07,7014.0,7109.0,6846.0,7016.9,-1,-1.0,-1
102,2015-09-08,7103.4,7165.0,7030.0,7105.6,-1,-1.0,-1
103,2015-09-09,7370.0,7488.0,7200.0,7372.0,-1,-1.0,-1
104,2015-09-10,7204.8,7341.0,7102.0,7207.1,-1,-1.0,-1
105,2015-09-11,7074.0,7154.0,7001.0,7076.0,-1,-1.0,-1
106,2015-09-14,7043.5,7145.0,7004.0,7045.6,-1,-1.0,-1
107,2015-09-15,7212.3,7276.0,7042.0,7214.4,-1,-1.0,-1
108,2015-09-16,7303.3,7368.0,7201.0,7305.1,-1,-1.0,-1
109,2015-09-17,7342.3,7434.0,7275.0,7344.0,-1,-1.0,-1
110,2015-09-18,7224.9,7284.0,7160.0,7226.8,-1,-1.0,-1
111,2015-09-24,7152.5,7222.0,7110.0,7154.2,-1,-1.0,-1
112,2015-09-25,7139.0,7270.0,7037.0,7141.3,-1,-1.0,-1
113,2015-09-28,7088.6,7250.0,7016.0,7090.6,-1,-1.0,-1
114,2015-09-29,6759.5,6922.0,6669.0,6761.4,-1,-1.0,-1
115,2015-09-30,6952.1,7039.0,6780.0,6954.0,-1,-1.0,-1
116,2015-10-01,7149.1,7238.0,6961.0,7150.9,-1,-1.0,-1
117,2015-10-02,7201.0,7276.0,7017.0,7202.9,-1,-1.0,-1
118,2015-10-05,7268.5,7360.0,7226.0,7270.3,-1,-1.0,-1
119,2015-10-06,7287.7,7377.0,7196.0,7289.4,-1,-1.0,-1
120,2015-10-07,7314.6,7372.0,7250.0,7316.4,-1,-1.0,-1
121,2015-10-08,7372.8,7444.0,7296.0,7374.7,-1,-1.0,-1
122,2015-10-09,7465.0,7500.0,7371.0,7466.7,-1,-1.0,-1
123,2015-10-13,7303.7,7405.0,7260.0,7305.3,-1,-1.0,-1
124,2015-10-14,7182.9,7256.0,7136.0,7184.4,-1,-1.0,-1
125,2015-10-15,7221.8,7272.0,7100.0,7223.7,-1,-1.0,-1
126,2015-10-16,7371.4,7418.0,7268.0,7372.9,-1,-1.0,-1
127,2015-10-19,7345.4,7420.0,7280.0,7347.2,-1,-1.0,-1
128,2015-10-20,7328.8,7401.0,7302.0,7330.5,-1,-1.0,-1
129,2015-10-21,7428.9,7469.0,7340.0,7430.5,-1,-1.0,-1
130,2015-10-22,7449.1,7484.0,7394.0,7450.8,-1,-1.0,-1
131,2015-10-23,7542.9,7628.0,7495.0,7544.4,-1,-1.0,-1
132,2015-10-26,7590.0,7668.0,7559.0,7591.5,-1,-1.0,-1
133,2015-10-27,7529.0,7620.0,7488.0,7530.5,-1,-1.0,-1
134,2015-10-28,7529.5,7564.0,7507.0,7530.9,-1,-1.0,-1
135,2015-10-29,7445.9,7588.0,7388.0,7447.4,-1,-1.0,-1
136,2015-10-30,7436.2,7512.0,7341.0,7438.1,-1,-1.0,-1
137,2015-11-02,7388.9,7439.0,7333.0,7390.8,-1,-1.0,-1
138,2015-11-04,7482.9,7523.0,7431.0,7484.5,-1,-1.0,-1
139,2015-11-05,7481.4,7525.0,7421.0,7482.9,-1,-1.0,-1
140,2015-11-06,7490.2,7561.0,7420.0,7491.7,-1,-1.0,-1
141,2015-11-09,7613.6,7643.0,7550.0,7615.2,-1,-1.0,-1
142,2015-11-10,7613.2,7638.0,7575.0,7614.9,-1,-1.0,-1
143,2015-11-11,7596.6,7625.0,7566.0,7598.2,-1,-1.0,-1
144,2015-11-12,7594.3,7624.0,7568.0,7595.9,-1,-1.0,-1
145,2015-11-13,7527.7,7574.0,7492.0,7529.3,-1,-1.0,-1
146,2015-11-16,7402.1,7432.0,7331.0,7403.7,-1,-1.0,-1
147,2015-11-17,7565.0,7595.0,7487.0,7566.4,-1,-1.0,-1
148,2015-11-18,7610.9,7627.0,7575.0,7612.2,-1,-1.0,-1
149,2015-11-19,7635.1,7673.0,7580.0,7636.5,-1,-1.0,-1
150,2015-11-20,7553.5,7600.0,7521.0,7554.8,-1,-1.0,-1
151,2015-11-24,7608.2,7658.0,7531.0,7609.6,-1,-1.0,-1
152,2015-11-25,7600.7,7630.0,7570.0,7602.1,-1,-1.0,-1
