,date,open,high,low,close,volume,average,barCount
5,2018-06-27 19:57:00,0.73878,0.73885,0.73871,0.73881,-1,-1.0,-1
6,2018-06-27 19:58:00,0.7387,0.73884,0.73866,0.73872,-1,-1.0,-1
7,2018-06-27 19:59:00,0.73866,0.73872,0.73855,0.73868,-1,-1.0,-1
8,2018-06-27 20:00:00,0.73885,0.73903,0.73858,0.73887,-1,-1.0,-1
9,2018-06-27 20:01:00,0.73899,0.73908,0.73896,0.73902,-1,-1.0,-1
0,2018-06-28 09:27:00,0.73551,0.73555,0.73549,0.73554,-1,-1.0,-1
1,2018-06-28 09:28:00,0.73552,0.73558,0.7355,0.73554,-1,-1.0,-1
2,2018-06-28 09:29:00,0.73564,0.73569,0.73555,0.73566,-1,-1.0,-1
3,2018-06-28 09:30:00,0.73564,0.73566,0.73563,0.73565,-1,-1.0,-1
4,2018-06-28 09:31:00,0.73558,0.73565,0.7355,0.73561,-1,-1.0,-1
15,2018-06-28 19:57:00,0.73507,0.73517,0.73496,0.73509,-1,-1.0,-1
16,2018-06-28 19:58:00,0.73509,0.73517,0.73503,0.73512,-1,-1.0,-1
17,2018-06-28 19:59:00,0.73499,0.73509,0.73494,0.73501,-1,-1.0,-1
18,2018-06-28 20:00:00,0.73492,0.735,0.73481,0.73493,-1,-1.0,-1
19,2018-06-28 20:01:00,0.73491,0.735,0.73479,0.73492,-1,-1.0,-1
10,2018-06-29 09:27:00,0.73796,0.73805,0.73789,0.73799,-1,-1.0,-1
11,2018-06-29 09:28:00,0.73793,0.73799,0.73789,0.73796,-1,-1.0,-1
12,2018-06-29 09:29:00,0.738,0.73817,0.73792,0.73804,-1,-1.0,-1
13,2018-06-29 09:30:00,0.73812,0.73819,0.73805,0.73815,-1,-1.0,-1
14,2018-06-29 09:31:00,0.73823,0.73839,0.73804,0.73827,-1,-1.0,-1
25,2018-06-29 19:57:00,0.73897,0.73912,0.73884,0.739,-1,-1.0,-1
26,2018-06-29 19:58:00,0.7388,0.7389,0.73864,0.73883,-1,-1.0,-1
27,2018-06-29 19:59:00,0.73871,0.73882,0.73864,0.73873,-1,-1.0,-1
28,2018-06-29 20:00:00,0.73896,0.73912,0.73876,0.73899,-1,-1.0,-1
29,2018-06-29 20:01:00,0.73906,0.73918,0.73897,0.73909,-1,-1.0,-1
35,2018-06-30 02:25:00,0.74056,0.74079,0.74033,0.74067,-1,-1.0,-1
20,2018-06-30 02:25:00,0.74056,0.74079,0.74033,0.74067,-1,-1.0,-1
21,2018-06-30 02:26:00,0.74054,0.74081,0.74038,0.74067,-1,-1.0,-1
36,2018-06-30 02:26:00,0.74054,0.74081,0.74038,0.74067,-1,-1.0,-1
22,2018-06-30 02:27:00,0.74066,0.74082,0.74059,0.74079,-1,-1.0,-1
37,2018-06-30 02:27:00,0.74066,0.74082,0.74059,0.74079,-1,-1.0,-1
23,2018-06-30 02:28:00,0.74056,0.74085,0.7404,0.74082,-1,-1.0,-1
38,2018-06-30 02:28:00,0.74056,0.74085,0.7404,0.74082,-1,-1.0,-1
24,2018-06-30 02:29:00,0.7404,0.74085,0.74028,0.74083,-1,-1.0,-1
39,2018-06-30 02:29:00,0.7404,0.74085,0.74028,0.74083,-1,-1.0,-1
30,2018-07-02 09:27:00,0.73755,0.73759,0.7375,0.73757,-1,-1.0,-1
31,2018-07-02 09:28:00,0.73752,0.7376,0.73745,0.73754,-1,-1.0,-1
32,2018-07-02 09:29:00,0.73747,0.73758,0.73744,0.7375,-1,-1.0,-1
33,2018-07-02 09:30:00,0.73759,0.73773,0.73752,0.73761,-1,-1.0,-1
34,2018-07-02 09:31:00,0.7377,0.73776,0.73763,0.73771,-1,-1.0,-1
45,2018-07-02 19:57:00,0.73431,0.73443,0.73423,0.73434,-1,-1.0,-1
46,2018-07-02 19:58:00,0.73431,0.73439,0.73427,0.73433,-1,-1.0,-1
47,2018-07-02 19:59:00,0.7343,0.7344,0.73423,0.73433,-1,-1.0,-1
48,2018-07-02 20:00:00,0.73428,0.73437,0.7342,0.73431,-1,-1.0,-1
49,2018-07-02 20:01:00,0.73429,0.73439,0.73421,0.73432,-1,-1.0,-1
40,2018-07-03 09:27:00,0.73383,0.73392,0.73367,0.73386,-1,-1.0,-1
41,2018-07-03 09:28:00,0.73365,0.73377,0.73353,0.73368,-1,-1.0,-1
42,2018-07-03 09:29:00,0.73361,0.7337,0.73353,0.73365,-1,-1.0,-1
43,2018-07-03 09:30:00,0.73368,0.73377,0.73357,0.73371,-1,-1.0,-1
44,2018-07-03 09:31:00,0.73351,0.73367,0.73341,0.73355,-1,-1.0,-1
55,2018-07-03 19:57:00,0.73877,0.73886,0.7387,0.7388,-1,-1.0,-1
56,2018-07-03 19:58:00,0.73877,0.73883,0.73875,0.7388,-1,-1.0,-1
57,2018-07-03 19:59:00,0.73876,0.73882,0.73873,0.73879,-1,-1.0,-1
58,2018-07-03 20:00:00,0.73872,0.7388,0.73868,0.73874,-1,-1.0,-1
59,2018-07-03 20:01:00,0.73868,0.73873,0.73866,0.73871,-1,-1.0,-1
50,2018-07-04 09:27:00,0.74012,0.74022,0.74007,0.74015,-1,-1.0,-1
51,2018-07-04 09:28:00,0.74013,0.74019,0.74011,0.74017,-1,-1.0,-1
52,2018-07-04 09:29:00,0.74015,0.7402,0.74008,0.74019,-1,-1.0,-1
53,2018-07-04 09:30:00,0.74022,0.74036,0.74013,0.74026,-1,-1.0,-1
54,2018-07-04 09:31:00,0.74025,0.7404,0.74017,0.74028,-1,-1.0,-1
65,2018-07-04 19:57:00,0.73828,0.73836,0.73822,0.73831,-1,-1.0,-1
66,2018-07-04 19:58:00,0.73833,0.73841,0.73826,0.73837,-1,-1.0,-1
67,2018-07-04 19:59:00,0.73844,0.73851,0.73833,0.73846,-1,-1.0,-1
68,2018-07-04 20:00:00,0.73831,0.73848,0.73822,0.73835,-1,-1.0,-1
69,2018-07-04 20:01:00,0.73821,0.73832,0.73812,0.73824,-1,-1.0,-1
60,2018-07-05 09:27:00,0.73764,0.73773,0.73753,0.73767,-1,-1.0,-1
61,2018-07-05 09:28:00,0.7377,0.73778,0.73768,0.73773,-1,-1.0,-1
62,2018-07-05 09:29:00,0.73768,0.73783,0.73764,0.73772,-1,-1.0,-1
63,2018-07-05 09:30:00,0.73773,0.73783,0.73769,0.73776,-1,-1.0,-1
64,2018-07-05 09:31:00,0.73768,0.73777,0.73765,0.73771,-1,-1.0,-1
75,2018-07-05 19:57:00,0.73981,0.73989,0.73977,0.73984,-1,-1.0,-1
76,2018-07-05 19:58:00,0.73974,0.73981,0.73966,0.73977,-1,-1.0,-1
77,2018-07-05 19:59:00,0.73969,0.73978,0.73962,0.73972,-1,-1.0,-1
78,2018-07-05 20:00:00,0.73967,0.73972,0.73965,0.7397,-1,-1.0,-1
79,2018-07-05 20:01:00,0.73967,0.73972,0.73964,0.7397,-1,-1.0,-1
70,2018-07-06 09:27:00,0.73858,0.73862,0.73855,0.73861,-1,-1.0,-1
71,2018-07-06 09:28:00,0.73853,0.7386,0.73846,0.73856,-1,-1.0,-1
72,2018-07-06 09:29:00,0.73844,0.7385,0.73843,0.73847,-1,-1.0,-1
73,2018-07-06 09:30:00,0.73853,0.73858,0.73845,0.73857,-1,-1.0,-1
