,date,open,high,low,close,volume,average,barCount
5,2020-05-16 02:25:00,7.75074,7.75129,7.75069,7.75125,-1,-1.0,-1
6,2020-05-16 02:26:00,7.75069,7.75129,7.75069,7.75128,-1,-1.0,-1
7,2020-05-16 02:27:00,7.75069,7.75131,7.75069,7.75129,-1,-1.0,-1
8,2020-05-16 02:28:00,7.75069,7.75131,7.75069,7.7513,-1,-1.0,-1
9,2020-05-16 02:29:00,7.75068,7.75163,7.75059,7.75133,-1,-1.0,-1
0,2020-05-18 09:27:00,7.75166,7.75174,7.75161,7.75169,-1,-1.0,-1
1,2020-05-18 09:28:00,7.75172,7.75179,7.75165,7.75174,-1,-1.0,-1
2,2020-05-18 09:29:00,7.75171,7.75175,7.75169,7.75174,-1,-1.0,-1
3,2020-05-18 09:30:00,7.75173,7.75176,7.75172,7.75176,-1,-1.0,-1
4,2020-05-18 09:31:00,7.75172,7.75176,7.75172,7.75176,-1,-1.0,-1
15,2020-05-18 21:27:00,7.75141,7.75146,7.7514,7.75146,-1,-1.0,-1
16,2020-05-18 21:28:00,7.75141,7.75146,7.75141,7.75146,-1,-1.0,-1
17,2020-05-18 21:29:00,7.75141,7.75148,7.75141,7.75147,-1,-1.0,-1
18,2020-05-18 21:30:00,7.75143,7.75152,7.75141,7.75149,-1,-1.0,-1
19,2020-05-18 21:31:00,7.75147,7.75152,7.75146,7.75151,-1,-1.0,-1
10,2020-05-19 09:27:00,7.75087,7.75091,7.75087,7.75091,-1,-1.0,-1
11,2020-05-19 09:28:00,7.75087,7.75092,7.75087,7.75091,-1,-1.0,-1
12,2020-05-19 09:29:00,7.75087,7.75092,7.75086,7.75091,-1,-1.0,-1
13,2020-05-19 09:30:00,7.75087,7.75091,7.75087,7.75091,-1,-1.0,-1
14,2020-05-19 09:31:00,7.75087,7.75091,7.75085,7.75091,-1,-1.0,-1
25,2020-05-19 21:27:00,7.75087,7.75091,7.75087,7.75091,-1,-1.0,-1
26,2020-05-19 21:28:00,7.75087,7.75094,7.75087,7.75091,-1,-1.0,-1
27,2020-05-19 21:29:00,7.75087,7.75091,7.75087,7.7509,-1,-1.0,-1
28,2020-05-19 21:30:00,7.75089,7.75094,7.75089,7.75092,-1,-1.0,-1
29,2020-05-19 21:31:00,7.75089,7.75092,7.75089,7.75092,-1,-1.0,-1
20,2020-05-20 09:27:00,7.7503,7.75034,7.7503,7.75034,-1,-1.0,-1
21,2020-05-20 09:28:00,7.7503,7.75034,7.7503,7.75034,-1,-1.0,-1
22,2020-05-20 09:29:00,7.7503,7.75034,7.7503,7.75034,-1,-1.0,-1
23,2020-05-20 09:30:00,7.7503,7.75034,7.7503,7.75034,-1,-1.0,-1
24,2020-05-20 09:31:00,7.7503,7.75034,7.7503,7.75034,-1,-1.0,-1
35,2020-05-20 21:27:00,7.75013,7.75018,7.75013,7.75017,-1,-1.0,-1
36,2020-05-20 21:28:00,7.75013,7.75018,7.75013,7.75017,-1,-1.0,-1
37,2020-05-20 21:29:00,7.75013,7.75018,7.75013,7.75017,-1,-1.0,-1
38,2020-05-20 21:30:00,7.75013,7.75018,7.75013,7.75017,-1,-1.0,-1
39,2020-05-20 21:31:00,7.75013,7.75018,7.75013,7.75017,-1,-1.0,-1
30,2020-05-21 09:27:00,7.75024,7.75029,7.75024,7.75029,-1,-1.0,-1
31,2020-05-21 09:28:00,7.75024,7.75029,7.75021,7.75029,-1,-1.0,-1
32,2020-05-21 09:29:00,7.75024,7.75029,7.75023,7.75029,-1,-1.0,-1
33,2020-05-21 09:30:00,7.75024,7.7503,7.75024,7.75028,-1,-1.0,-1
34,2020-05-21 09:31:00,7.75024,7.75029,7.75021,7.75026,-1,-1.0,-1
45,2020-05-21 21:27:00,7.755,7.75509,7.75498,7.75502,-1,-1.0,-1
46,2020-05-21 21:28:00,7.75501,7.75507,7.75499,7.75505,-1,-1.0,-1
47,2020-05-21 21:29:00,7.75502,7.75507,7.75502,7.75505,-1,-1.0,-1
48,2020-05-21 21:30:00,7.75503,7.75507,7.75502,7.75506,-1,-1.0,-1
49,2020-05-21 21:31:00,7.75501,7.75506,7.75501,7.75506,-1,-1.0,-1
40,2020-05-22 09:27:00,7.75305,7.75323,7.75293,7.75306,-1,-1.0,-1
41,2020-05-22 09:28:00,7.75316,7.75323,7.75311,7.75317,-1,-1.0,-1
42,2020-05-22 09:29:00,7.75317,7.75323,7.75316,7.75319,-1,-1.0,-1
43,2020-05-22 09:30:00,7.75321,7.75329,7.75319,7.75324,-1,-1.0,-1
44,2020-05-22 09:31:00,7.75325,7.75332,7.75325,7.7533,-1,-1.0,-1
55,2020-05-22 21:27:00,7.75596,7.75606,7.75591,7.75602,-1,-1.0,-1
56,2020-05-22 21:28:00,7.75597,7.75604,7.75597,7.75603,-1,-1.0,-1
57,2020-05-22 21:29:00,7.75604,7.75633,7.75597,7.75607,-1,-1.0,-1
58,2020-05-22 21:30:00,7.75611,7.75625,7.7561,7.75615,-1,-1.0,-1
59,2020-05-22 21:31:00,7.7561,7.75617,7.7561,7.75616,-1,-1.0,-1
65,2020-05-23 02:25:00,7.757,7.75781,7.757,7.75781,-1,-1.0,-1
50,2020-05-23 02:25:00,7.757,7.75781,7.757,7.75781,-1,-1.0,-1
66,2020-05-23 02:26:00,7.757,7.75781,7.757,7.75781,-1,-1.0,-1
51,2020-05-23 02:26:00,7.757,7.75781,7.757,7.75781,-1,-1.0,-1
52,2020-05-23 02:27:00,7.75692,7.75781,7.75673,7.75738,-1,-1.0,-1
67,2020-05-23 02:27:00,7.75692,7.75781,7.75673,7.75738,-1,-1.0,-1
53,2020-05-23 02:28:00,7.75673,7.75739,7.75673,7.75737,-1,-1.0,-1
68,2020-05-23 02:28:00,7.75673,7.75739,7.75673,7.75737,-1,-1.0,-1
69,2020-05-23 02:29:00,7.75669,7.75794,7.75647,7.75778,-1,-1.0,-1
54,2020-05-23 02:29:00,7.75669,7.75794,7.75647,7.75778,-1,-1.0,-1
60,2020-05-25 09:27:00,7.75565,7.75572,7.75565,7.7557,-1,-1.0,-1
61,2020-05-25 09:28:00,7.75565,7.75572,7.75565,7.75572,-1,-1.0,-1
62,2020-05-25 09:29:00,7.75568,7.75573,7.75566,7.75572,-1,-1.0,-1
63,2020-05-25 09:30:00,7.75568,7.75573,7.75567,7.75572,-1,-1.0,-1
64,2020-05-25 09:31:00,7.75569,7.75573,7.75568,7.75573,-1,-1.0,-1
75,2020-05-25 21:27:00,7.75344,7.75348,7.75344,7.75348,-1,-1.0,-1
76,2020-05-25 21:28:00,7.75344,7.75349,7.75344,7.75349,-1,-1.0,-1
77,2020-05-25 21:29:00,7.75344,7.75349,7.75344,7.75348,-1,-1.0,-1
78,2020-05-25 21:30:00,7.75344,7.75349,7.75344,7.75349,-1,-1.0,-1
79,2020-05-25 21:31:00,7.75344,7.7535,7.75344,7.75349,-1,-1.0,-1
70,2020-05-26 09:27:00,7.75257,7.75264,7.75255,7.75262,-1,-1.0,-1
71,2020-05-26 09:28:00,7.75258,7.75264,7.75257,7.75263,-1,-1.0,-1
72,2020-05-26 09:29:00,7.75258,7.75264,7.75256,7.75261,-1,-1.0,-1
73,2020-05-26 09:30:00,7.75255,7.75261,7.75255,7.75261,-1,-1.0,-1
74,2020-05-26 09:31:00,7.75257,7.75261,7.75255,7.75261,-1,-1.0,-1
85,2020-05-26 21:27:00,7.75256,7.75266,7.75252,7.75262,-1,-1.0,-1
86,2020-05-26 21:28:00,7.75261,7.75265,7.7526,7.75265,-1,-1.0,-1
87,2020-05-26 21:29:00,7.75262,7.75265,7.75262,7.75265,-1,-1.0,-1
88,2020-05-26 21:30:00,7.75263,7.75271,7.75261,7.75267,-1,-1.0,-1
89,2020-05-26 21:31:00,7.75271,7.75283,7.75263,7.75274,-1,-1.0,-1
80,2020-05-27 09:27:00,7.75227,7.7523,7.75224,7.7523,-1,-1.0,-1
81,2020-05-27 09:28:00,7.75226,7.7523,7.75224,7.7523,-1,-1.0,-1
82,2020-05-27 09:29:00,7.7523,7.75233,7.75225,7.75233,-1,-1.0,-1
83,2020-05-27 09:30:00,7.75231,7.75234,7.7523,7.75233,-1,-1.0,-1
84,2020-05-27 09:31:00,7.75231,7.75235,7.7523,7.75235,-1,-1.0,-1
95,2020-05-27 21:27:00,7.75267,7.75276,7.75263,7.75273,-1,-1.0,-1
