,date,open,high,low,close,volume,average,barCount
5,2019-11-19 18:57:00,108.727,108.731,108.722,108.729,-1,-1.0,-1
6,2019-11-19 18:58:00,108.735,108.738,108.728,108.736,-1,-1.0,-1
7,2019-11-19 18:59:00,108.733,108.746,108.729,108.735,-1,-1.0,-1
8,2019-11-19 19:00:00,108.732,108.746,108.725,108.734,-1,-1.0,-1
9,2019-11-19 19:01:00,108.729,108.735,108.724,108.73,-1,-1.0,-1
0,2019-11-20 09:27:00,108.476,108.482,108.474,108.477,-1,-1.0,-1
1,2019-11-20 09:28:00,108.477,108.483,108.475,108.478,-1,-1.0,-1
2,2019-11-20 09:29:00,108.479,108.482,108.475,108.48,-1,-1.0,-1
3,2019-11-20 09:30:00,108.476,108.482,108.474,108.478,-1,-1.0,-1
4,2019-11-20 09:31:00,108.475,108.479,108.475,108.477,-1,-1.0,-1
15,2019-11-20 18:57:00,108.517,108.526,108.509,108.518,-1,-1.0,-1
16,2019-11-20 18:58:00,108.512,108.518,108.51,108.513,-1,-1.0,-1
17,2019-11-20 18:59:00,108.512,108.516,108.51,108.513,-1,-1.0,-1
18,2019-11-20 19:00:00,108.516,108.526,108.508,108.517,-1,-1.0,-1
19,2019-11-20 19:01:00,108.531,108.541,108.52,108.532,-1,-1.0,-1
10,2019-11-21 09:27:00,108.519,108.525,108.511,108.52,-1,-1.0,-1
11,2019-11-21 09:28:00,108.518,108.528,108.511,108.52,-1,-1.0,-1
12,2019-11-21 09:29:00,108.523,108.529,108.514,108.525,-1,-1.0,-1
13,2019-11-21 09:30:00,108.525,108.533,108.521,108.527,-1,-1.0,-1
14,2019-11-21 09:31:00,108.529,108.533,108.527,108.531,-1,-1.0,-1
25,2019-11-21 18:57:00,108.604,108.608,108.601,108.605,-1,-1.0,-1
26,2019-11-21 18:58:00,108.603,108.613,108.598,108.604,-1,-1.0,-1
27,2019-11-21 18:59:00,108.606,108.62,108.602,108.608,-1,-1.0,-1
28,2019-11-21 19:00:00,108.598,108.62,108.584,108.602,-1,-1.0,-1
29,2019-11-21 19:01:00,108.599,108.639,108.587,108.601,-1,-1.0,-1
20,2019-11-22 09:27:00,108.632,108.634,108.631,108.633,-1,-1.0,-1
21,2019-11-22 09:28:00,108.634,108.637,108.633,108.635,-1,-1.0,-1
22,2019-11-22 09:29:00,108.636,108.642,108.634,108.637,-1,-1.0,-1
23,2019-11-22 09:30:00,108.635,108.642,108.633,108.636,-1,-1.0,-1
24,2019-11-22 09:31:00,108.634,108.639,108.634,108.635,-1,-1.0,-1
35,2019-11-22 18:57:00,108.539,108.544,108.538,108.54,-1,-1.0,-1
36,2019-11-22 18:58:00,108.544,108.547,108.54,108.545,-1,-1.0,-1
37,2019-11-22 18:59:00,108.545,108.551,108.544,108.546,-1,-1.0,-1
38,2019-11-22 19:00:00,108.558,108.566,108.546,108.559,-1,-1.0,-1
39,2019-11-22 19:01:00,108.571,108.579,108.561,108.572,-1,-1.0,-1
30,2019-11-23 03:25:00,108.638,108.656,108.629,108.65,-1,-1.0,-1
45,2019-11-23 03:25:00,108.638,108.656,108.629,108.65,-1,-1.0,-1
46,2019-11-23 03:26:00,108.641,108.659,108.639,108.654,-1,-1.0,-1
