,date,open,high,low,close,volume,average,barCount
0,2015-04-17,0.24,0.25,0.23,0.25,220999,0.239,36
1,2015-04-20,0.24,0.25,0.23,0.24,322834,0.24,28
2,2015-04-21,0.24,0.24,0.23,0.24,37988,0.2395,9
3,2015-04-22,0.25,0.25,0.24,0.25,179114,0.2485,19
4,2015-04-23,0.24,0.25,0.24,0.24,205716,0.2495,30
5,2015-04-24,0.24,0.25,0.24,0.24,168087,0.241,18
6,2015-04-27,0.24,0.24,0.24,0.24,62094,0.24,9
7,2015-04-28,0.24,0.24,0.23,0.23,215327,0.234,23
8,2015-04-29,0.23,0.24,0.23,0.23,13300,0.2315,4
9,2015-04-30,0.23,0.25,0.23,0.23,87110,0.235,15
10,2015-05-01,0.23,0.24,0.23,0.24,129414,0.2325,19
11,2015-05-04,0.24,0.24,0.22,0.22,219908,0.231,28
12,2015-05-05,0.22,0.22,0.21,0.22,406743,0.2175,44
13,2015-05-06,0.21,0.21,0.18,0.21,680608,0.1975,84
14,2015-05-07,0.21,0.21,0.2,0.21,67570,0.2065,15
15,2015-05-08,0.21,0.21,0.21,0.21,170455,0.21,25
16,2015-05-11,0.21,0.24,0.21,0.23,743486,0.232,106
17,2015-05-12,0.22,0.24,0.22,0.22,164652,0.229,22
18,2015-05-13,0.22,0.23,0.21,0.22,155892,0.22,28
19,2015-05-14,0.21,0.26,0.21,0.23,743120,0.2355,97
20,2015-05-15,0.23,0.23,0.22,0.23,238350,0.225,31
21,2015-05-18,0.23,0.23,0.22,0.22,232802,0.225,32
22,2015-05-19,0.29,0.39,0.29,0.34,10969989,0.3485,1389
23,2015-05-20,0.49,0.65,0.49,0.55,9728654,0.537,1319
24,2015-05-21,1.5,1.9,1.3,1.6,21866138,1.541,6055
25,2015-05-22,1.05,1.05,0.85,0.91,13528462,0.9315,3575
26,2015-05-25,1.15,1.35,1.05,1.2,6418423,1.1835,1546
27,2015-05-26,1.2,1.3,1.15,1.3,4366281,1.231,1108
28,2015-05-27,1.15,1.3,1.1,1.25,2012741,1.174,892
29,2015-05-28,1.2,1.2,1.08,1.1,2163051,1.117,383
30,2015-05-29,1.05,1.05,0.96,1.05,2685002,1.005,608
31,2015-06-01,0.99,1.0,0.92,0.98,2112270,0.967,527
