,date,open,high,low,close,volume,average,barCount
0,2015-11-08 18:04:00,17.84,17.94,17.8,17.94,4331,17.8402,30
1,2015-11-08 18:05:00,17.94,17.94,17.94,17.94,0,17.94,0
2,2015-11-08 18:06:00,17.91,17.91,17.82,17.9,13235,17.8373,42
3,2015-11-08 18:07:00,17.89,17.89,17.75,17.81,4399,17.8163,32
4,2015-11-08 18:08:00,17.81,17.81,17.81,17.81,0,17.81,0
5,2015-11-08 18:09:00,17.78,17.81,17.78,17.8,3757,17.7931,25
6,2015-11-08 18:10:00,17.81,17.86,17.81,17.86,2644,17.8269,19
7,2015-11-08 18:11:00,17.89,17.92,17.86,17.92,9546,17.9044,43
8,2015-11-08 18:12:00,17.91,17.93,17.85,17.85,4734,17.9003,35
9,2015-11-08 18:13:00,17.85,17.85,17.83,17.835,1306,17.8448,10
10,2015-11-08 18:14:00,17.835,17.85,17.835,17.85,1103,17.8403,12
11,2015-11-08 18:15:00,17.86,17.86,17.85,17.85,95,17.8544,9
12,2015-11-08 18:16:00,17.85,17.855,17.85,17.85,2221,17.8501,20
13,2015-11-08 18:17:00,17.85,17.91,17.85,17.9,4863,17.876,37
14,2015-11-08 18:18:00,17.91,17.94,17.91,17.91,824,17.9172,15
15,2015-11-08 18:19:00,17.9,17.9,17.83,17.87,2561,17.8575,22
16,2015-11-08 18:20:00,17.85,17.91,17.845,17.89,7775,17.8715,48
17,2015-11-08 18:21:00,17.89,17.95,17.88,17.95,1125,17.8958,19
18,2015-11-08 18:22:00,17.94,17.96,17.91,17.91,8864,17.921,39
19,2015-11-08 18:23:00,17.905,17.905,17.87,17.89,3161,17.8779,26
20,2015-11-08 18:24:00,17.88,17.91,17.88,17.9,3281,17.8868,18
21,2015-11-08 18:25:00,17.9,17.9,17.85,17.85,1919,17.8893,22
22,2015-11-08 18:26:00,17.86,17.91,17.86,17.91,2975,17.8881,23
23,2015-11-08 18:27:00,17.92,17.93,17.92,17.93,498,17.9265,3
24,2015-11-08 18:28:00,17.935,17.935,17.91,17.91,1117,17.9272,16
25,2015-11-08 18:29:00,17.9,17.9,17.875,17.89,2994,17.8812,14
26,2015-11-08 18:30:00,17.89,17.9,17.885,17.89,784,17.8889,10
27,2015-11-08 18:31:00,17.89,17.89,17.86,17.86,582,17.8766,8
28,2015-11-08 18:32:00,17.87,17.88,17.86,17.88,2647,17.8641,22
29,2015-11-08 18:33:00,17.87,17.87,17.86,17.86,147,17.8693,7
30,2015-11-08 18:34:00,17.86,17.87,17.85,17.85,330,17.8547,12
31,2015-11-08 18:35:00,17.84,17.84,17.83,17.83,405,17.8365,8
32,2015-11-08 18:36:00,17.83,17.85,17.83,17.85,3060,17.834,23
33,2015-11-08 18:37:00,17.85,17.85,17.83,17.83,956,17.8352,14
34,2015-11-08 18:38:00,17.825,17.86,17.81,17.86,10273,17.8325,65
35,2015-11-08 18:39:00,17.86,17.86,17.85,17.86,3384,17.8534,27
36,2015-11-08 18:40:00,17.855,17.855,17.85,17.85,434,17.8508,11
37,2015-11-08 18:41:00,17.85,17.85,17.84,17.84,72,17.846,5
38,2015-11-08 18:42:00,17.845,17.85,17.83,17.84,2432,17.8382,24
39,2015-11-08 18:43:00,17.835,17.845,17.835,17.845,237,17.843,5
40,2015-11-08 18:44:00,17.84,17.84,17.84,17.84,73,17.84,2
41,2015-11-08 18:45:00,17.84,17.84,17.825,17.825,598,17.8299,7
42,2015-11-08 18:46:00,17.82,17.82,17.81,17.81,410,17.8194,5
43,2015-11-08 18:47:00,17.805,17.805,17.795,17.795,559,17.8007,7
44,2015-11-08 18:48:00,17.79,17.83,17.79,17.83,5617,17.805,44
45,2015-11-08 18:49:00,17.835,17.835,17.8,17.82,7062,17.8118,48
46,2015-11-08 18:50:00,17.81,17.81,17.81,17.81,403,17.81,1
47,2015-11-08 18:51:00,17.82,17.82,17.82,17.82,6,17.82,1
48,2015-11-08 18:52:00,17.81,17.815,17.81,17.81,985,17.8102,8
49,2015-11-08 18:53:00,17.82,17.86,17.815,17.84,7740,17.8338,41
50,2015-11-08 18:54:00,17.84,17.84,17.82,17.82,2405,17.8265,18
51,2015-11-08 18:55:00,17.82,17.82,17.82,17.82,89,17.82,1
52,2015-11-08 18:56:00,17.83,17.84,17.8,17.8,445,17.8326,11
53,2015-11-08 18:57:00,17.81,17.81,17.81,17.81,636,17.81,3
54,2015-11-08 18:58:00,17.83,17.83,17.81,17.82,634,17.8196,9
55,2015-11-08 18:59:00,17.82,17.83,17.81,17.81,1126,17.8166,13
56,2015-11-08 19:00:00,17.81,17.87,17.81,17.86,7042,17.8387,49
57,2015-11-08 19:01:00,17.86,17.86,17.86,17.86,0,17.86,0
58,2015-11-08 19:02:00,17.86,17.86,17.86,17.86,0,17.86,0
59,2015-11-08 19:03:00,17.87,17.87,17.85,17.85,3738,17.8626,43
60,2015-11-08 19:04:00,17.85,17.85,17.83,17.84,1619,17.8479,10
61,2015-11-08 19:05:00,17.84,17.86,17.83,17.86,3180,17.8452,28
62,2015-11-08 19:06:00,17.87,17.87,17.84,17.84,4760,17.854,40
63,2015-11-08 19:07:00,17.84,17.85,17.825,17.83,3974,17.8344,22
64,2015-11-08 19:08:00,17.83,17.83,17.83,17.83,0,17.83,0
65,2015-11-08 19:09:00,17.83,17.83,17.81,17.81,886,17.8145,12
66,2015-11-08 19:10:00,17.82,17.82,17.815,17.82,2020,17.8195,15
67,2015-11-08 19:11:00,17.82,17.83,17.8,17.8,9189,17.8199,58
68,2015-11-08 19:12:00,17.805,17.81,17.8,17.81,1150,17.8061,10
69,2015-11-08 19:13:00,17.8,17.81,17.78,17.81,5989,17.7944,37
70,2015-11-08 19:14:00,17.81,17.81,17.8,17.8,1564,17.802,13
