,date,open,high,low,close,volume,average,barCount
0,2015-04-10,15.73,15.84,15.65,15.78,689857,15.7637,2936
1,2015-04-13,15.83,15.92,15.725,15.78,515105,15.80535,3139
2,2015-04-14,15.76,16.01,15.76,15.98,561540,15.92315,2772
3,2015-04-15,16.06,16.13,15.83,16.11,1305562,16.00675,4727
4,2015-04-16,16.11,16.16,15.95,16.02,1120226,16.04715,4685
5,2015-04-17,16.11,16.19,15.87,15.89,948236,15.9727,4540
6,2015-04-20,15.78,15.78,15.53,15.53,853366,15.58605,3452
7,2015-04-21,15.66,15.71,15.52,15.67,802215,15.6274,4360
8,2015-04-22,15.89,15.89,15.38,15.44,1474820,15.5369,6308
9,2015-04-23,15.4,15.6,15.22,15.57,833078,15.4938,5045
10,2015-04-24,15.6,15.9,15.55,15.69,1396700,15.765,7247
11,2015-04-27,15.99,16.03,15.58,15.62,1508720,15.7874,6047
12,2015-04-28,15.62,15.66,15.07,15.11,1888937,15.23755,7619
13,2015-04-29,14.85,14.96,14.4,14.4,2949060,14.6182,10440
14,2015-04-30,14.17,14.66,14.145,14.61,1626281,14.48385,8216
15,2015-05-01,14.52,14.84,14.37,14.74,1417963,14.7019,5474
16,2015-05-04,15.17,15.19,14.96,15.06,1665231,15.0839,5546
17,2015-05-05,15.19,15.25,14.77,14.83,956888,14.93565,5287
18,2015-05-06,14.55,15.06,14.53,15.04,2048807,14.88225,8612
19,2015-05-07,14.97,14.97,14.58,14.77,1765257,14.73835,9744
20,2015-05-08,14.77,15.02,14.77,14.93,1037099,14.92895,6369
21,2015-05-11,15.05,15.05,14.62,14.76,1056002,14.73495,5778
22,2015-05-12,14.67,15.24,14.66,15.22,990636,15.09835,5961
23,2015-05-13,15.32,15.41,15.08,15.3,1138634,15.2444,6124
24,2015-05-14,15.08,15.37,15.03,15.32,912391,15.23915,4438
25,2015-05-15,15.65,15.65,15.51,15.63,1124479,15.60265,4826
26,2015-05-18,15.67,15.74,15.19,15.19,1274106,15.32355,5431
27,2015-05-19,15.34,15.43,15.05,15.07,1595942,15.2149,8009
28,2015-05-20,15.13,15.48,15.13,15.22,1277233,15.2615,8198
29,2015-05-21,16.3,17.14,16.14,16.99,3126920,16.72975,10666
30,2015-05-22,17.2,17.21,16.68,16.84,2264405,16.85255,9334
31,2015-05-25,16.8,17.47,16.77,17.25,1984962,17.2403,7522
32,2015-05-26,17.2,17.415,17.03,17.37,1610481,17.257,8781
33,2015-05-27,17.2,17.74,17.175,17.58,2913747,17.58855,11925
34,2015-05-28,17.79,17.85,17.36,17.45,1429114,17.5218,6076
