,date,open,high,low,close,volume,average,barCount
0,2021-01-22 09:30:00,9.35,9.38,9.35,9.38,47,9.351,2
1,2021-01-22 09:31:00,9.39,9.4,9.39,9.39,1,9.392,1
2,2021-01-22 09:32:00,9.39,9.39,9.39,9.39,0,9.39,0
3,2021-01-22 09:33:00,9.38,9.43,9.37,9.42,3,9.391,2
4,2021-01-22 09:34:00,9.41,9.44,9.4,9.44,4,9.413,2
5,2021-01-22 09:35:00,9.42,9.43,9.42,9.42,1,9.421,1
6,2021-01-22 09:36:00,9.42,9.42,9.42,9.42,0,9.42,0
7,2021-01-22 09:37:00,9.41,9.41,9.4,9.4,8,9.401,4
8,2021-01-22 09:38:00,9.4,9.45,9.4,9.45,8,9.425,2
9,2021-01-22 09:39:00,9.44,9.44,9.44,9.44,4,9.44,1
10,2021-01-22 09:40:00,9.4,9.4,9.39,9.4,1,9.397,1
11,2021-01-22 09:41:00,9.39,9.4,9.39,9.39,5,9.391,1
12,2021-01-22 09:42:00,9.39,9.39,9.39,9.39,0,9.39,0
13,2021-01-22 09:43:00,9.39,9.39,9.39,9.39,0,9.39,0
14,2021-01-22 09:44:00,9.39,9.39,9.39,9.39,0,9.39,0
15,2021-01-22 09:45:00,9.39,9.39,9.39,9.39,0,9.39,0
16,2021-01-22 09:46:00,9.45,9.48,9.45,9.48,22,9.477,4
17,2021-01-22 09:47:00,9.47,9.5,9.47,9.49,6,9.492,4
18,2021-01-22 09:48:00,9.47,9.48,9.45,9.45,5,9.455,2
19,2021-01-22 09:49:00,9.45,9.45,9.45,9.45,0,9.45,0
20,2021-01-22 09:50:00,9.47,9.49,9.46,9.49,4,9.477,3
21,2021-01-22 09:51:00,9.49,9.49,9.49,9.49,0,9.49,0
22,2021-01-22 09:52:00,9.47,9.48,9.47,9.47,1,9.475,1
23,2021-01-22 09:53:00,9.47,9.5,9.46,9.46,25,9.493,13
24,2021-01-22 09:54:00,9.46,9.46,9.46,9.46,2,9.46,1
25,2021-01-22 09:55:00,9.46,9.46,9.46,9.46,0,9.46,0
26,2021-01-22 09:56:00,9.46,9.46,9.46,9.46,0,9.46,0
27,2021-01-22 09:57:00,9.46,9.46,9.46,9.46,0,9.46,0
28,2021-01-22 09:58:00,9.46,9.46,9.46,9.46,0,9.46,0
29,2021-01-22 09:59:00,9.48,9.49,9.48,9.49,8,9.483,2
30,2021-01-22 10:00:00,9.49,9.49,9.49,9.49,0,9.49,0
31,2021-01-22 10:01:00,9.49,9.49,9.49,9.49,0,9.49,0
32,2021-01-22 10:02:00,9.5,9.5,9.5,9.5,4,9.5,1
33,2021-01-22 10:03:00,9.5,9.5,9.5,9.5,0,9.5,0
34,2021-01-22 10:04:00,9.5,9.5,9.5,9.5,0,9.5,0
35,2021-01-22 10:05:00,9.5,9.5,9.48,9.5,23,9.495,14
36,2021-01-22 10:06:00,9.53,9.53,9.52,9.53,1,9.525,1
37,2021-01-22 10:07:00,9.5,9.51,9.5,9.5,41,9.5,9
38,2021-01-22 10:08:00,9.53,9.53,9.52,9.53,13,9.53,2
39,2021-01-22 10:09:00,9.53,9.53,9.53,9.53,0,9.53,0
40,2021-01-22 10:10:00,9.53,9.53,9.53,9.53,0,9.53,0
41,2021-01-22 10:11:00,9.55,9.55,9.55,9.55,10,9.55,1
42,2021-01-22 10:12:00,9.55,9.55,9.55,9.55,0,9.55,0
43,2021-01-22 10:13:00,9.53,9.54,9.53,9.53,1,9.53,1
44,2021-01-22 10:14:00,9.53,9.53,9.53,9.53,4,9.53,2
45,2021-01-22 10:15:00,9.52,9.53,9.51,9.52,5,9.517,5
