,date,open,high,low,close,volume,average,barCount
0,2015-04-13,30.36,30.36,30.06,30.13,795,30.1735,489
1,2015-04-14,30.2,30.37,30.07,30.36,1195,30.2885,719
2,2015-04-15,29.93,30.2,29.76,30.09,1353,29.9915,824
3,2015-04-16,30.48,30.69,30.36,30.6,1023,30.526,526
4,2015-04-17,30.28,30.28,29.95,30.07,768,30.058,442
5,2015-04-20,30.25,30.25,30.08,30.18,636,30.157,432
6,2015-04-21,30.08,30.13,29.87,29.92,598,29.991,363
7,2015-04-22,29.88,29.93,29.64,29.89,938,29.854,602
8,2015-04-23,29.56,30.01,29.56,29.92,1053,29.8765,692
9,2015-04-24,30.17,30.32,30.07,30.26,1035,30.211,600
10,2015-04-27,30.61,30.74,30.5,30.54,780,30.6275,514
11,2015-04-28,30.61,30.77,30.51,30.77,859,30.676,455
12,2015-04-29,30.3,30.57,30.14,30.23,4374,30.3015,1928
13,2015-04-30,28.85,28.91,28.6,28.86,3000,28.7825,1319
14,2015-05-01,29.1,29.1,28.86,28.99,1306,28.952,665
15,2015-05-04,27.97,28.28,27.67,27.89,2548,27.967,1392
16,2015-05-05,27.83,27.91,27.75,27.82,1704,27.811,879
17,2015-05-06,27.23,27.28,26.88,27.03,1717,27.063,955
18,2015-05-07,27.04,27.04,26.7,26.72,1769,26.807,987
19,2015-05-08,27.16,27.33,27.03,27.27,1244,27.176,656
20,2015-05-11,26.87,26.95,26.69,26.74,2123,26.768,898
21,2015-05-12,26.13,26.59,26.13,26.59,3383,26.4055,1952
22,2015-05-13,26.89,26.97,26.73,26.81,2184,26.8085,1250
23,2015-05-14,26.9,26.97,26.67,26.77,1136,26.7575,684
24,2015-05-15,26.49,26.67,26.43,26.67,976,26.5805,484
25,2015-05-18,25.88,26.09,25.78,25.86,2285,25.877,986
26,2015-05-19,25.83,25.83,25.15,25.34,5925,25.3495,3530
27,2015-05-20,25.35,25.57,25.35,25.47,1534,25.4635,870
28,2015-05-21,25.68,25.77,25.59,25.75,1847,25.681,1037
29,2015-05-22,25.59,25.59,25.47,25.51,1172,25.5315,577
30,2015-05-26,25.99,26.09,25.68,25.75,2487,25.807,1276
31,2015-05-27,25.56,25.78,25.56,25.73,1562,25.6995,819
32,2015-05-28,25.39,25.51,25.29,25.47,2191,25.4175,1318
33,2015-05-29,25.64,25.74,25.27,25.53,2090,25.5495,1400
34,2015-06-01,25.56,25.56,25.13,25.27,2113,25.3005,872
35,2015-06-02,25.15,25.31,25.01,25.19,2614,25.1685,1466
36,2015-06-03,25.01,25.19,24.87,25.08,5254,25.0905,2317
37,2015-06-04,24.4,24.44,23.9,23.99,7819,24.09,2654
38,2015-06-05,23.83,24.0,23.72,23.92,2564,23.8645,1305
39,2015-06-08,23.93,24.22,23.9,24.0,3385,24.0425,1707
40,2015-06-09,24.1,24.2,23.93,23.97,2568,24.0295,1581
41,2015-06-10,24.46,24.81,24.31,24.49,2357,24.473,1236
42,2015-06-11,24.77,24.93,24.66,24.88,2009,24.8155,1247
43,2015-06-12,24.43,24.59,24.31,24.48,1564,24.487,1020
44,2015-06-15,24.5,24.72,24.5,24.61,1940,24.6165,1318
45,2015-06-16,24.98,25.23,24.97,25.16,2632,25.1485,1346
46,2015-06-17,25.23,25.44,25.01,25.31,3399,25.238,1821
47,2015-06-18,25.48,25.77,25.48,25.64,2813,25.6445,1966
48,2015-06-19,25.51,25.58,25.36,25.36,2003,25.439,1240
49,2015-06-22,25.81,25.91,25.61,25.71,1576,25.732,983
50,2015-06-23,25.8,26.06,25.8,26.05,1364,25.987,767
51,2015-06-24,26.02,26.06,25.9,25.93,1193,25.9675,626
52,2015-06-25,25.74,25.81,25.59,25.61,1212,25.6885,779
53,2015-06-26,25.43,25.47,25.33,25.38,1609,25.38,958
54,2015-06-29,24.88,24.92,24.47,24.51,1895,24.625,1115
55,2015-06-30,24.79,24.84,24.6,24.74,1640,24.738,962
56,2015-07-01,25.0,25.0,24.81,24.92,1340,24.9115,749
57,2015-07-02,25.1,25.22,25.04,25.19,986,25.1675,597
58,2015-07-06,24.63,24.68,24.51,24.55,2038,24.59,1181
59,2015-07-07,24.81,25.2,24.54,25.14,2164,24.9105,1189
60,2015-07-08,24.64,24.7,24.45,24.45,1338,24.5565,806
61,2015-07-09,24.73,24.75,24.55,24.58,2738,24.622,1679
62,2015-07-10,24.9,24.98,24.79,24.9,1172,24.8925,719
63,2015-07-13,24.87,24.91,24.75,24.87,2163,24.839,1311
64,2015-07-14,25.08,25.16,24.95,25.12,1664,25.0755,959
65,2015-07-15,25.2,25.35,25.0,25.06,1460,25.1565,975
66,2015-07-16,25.69,25.75,25.54,25.57,1806,25.649,958
67,2015-07-17,25.57,25.61,25.32,25.44,720,25.3915,449
68,2015-07-20,25.39,25.66,25.37,25.55,1123,25.5535,604
69,2015-07-21,25.58,25.84,25.58,25.79,1296,25.772,751
70,2015-07-22,25.36,25.43,25.23,25.33,829,25.308,500
71,2015-07-23,25.17,25.32,25.04,25.07,1151,25.127,625
72,2015-07-24,24.99,24.99,24.61,24.66,815,24.735,362
73,2015-07-27,24.9,24.93,24.55,24.7,2489,24.719,1341
74,2015-07-28,24.89,25.24,24.87,25.23,1887,25.097,779
75,2015-07-29,25.19,25.44,25.19,25.29,1068,25.297,474
76,2015-07-30,25.32,25.36,25.2,25.3,618,25.2915,342
77,2015-07-31,25.58,25.71,25.44,25.49,1012,25.581,637
78,2015-08-03,25.43,25.53,25.18,25.37,1089,25.316,469
79,2015-08-04,25.67,25.79,25.47,25.54,2078,25.6065,1172
80,2015-08-05,25.51,25.58,25.27,25.31,975,25.3745,538
81,2015-08-06,24.48,24.58,24.26,24.4,1979,24.393,1167
82,2015-08-07,24.0,24.04,23.81,24.02,1683,23.9255,873
83,2015-08-10,24.19,24.27,24.09,24.18,4280,24.182,2416
84,2015-08-11,23.37,23.4,23.11,23.3,2872,23.2555,1260
85,2015-08-12,23.1,23.65,22.9,23.52,3850,23.264,1803
86,2015-08-13,23.4,23.75,23.26,23.57,6164,23.5625,3640
87,2015-08-14,23.2,23.29,23.07,23.24,2316,23.176,943
88,2015-08-17,23.41,23.72,23.28,23.62,2946,23.5115,648
89,2015-08-18,23.27,23.47,23.25,23.34,2197,23.375,1186
90,2015-08-19,23.83,24.03,23.63,23.83,2039,23.835,1080
91,2015-08-20,23.32,23.51,23.18,23.19,4070,23.2835,2505
92,2015-08-21,23.0,23.04,22.33,22.35,2611,22.678,1058
93,2015-08-24,20.12,21.63,20.12,20.43,5521,20.7275,2498
94,2015-08-25,22.7,22.7,21.34,21.46,15042,21.976,6352
95,2015-08-26,22.37,22.4,21.61,22.2,10532,21.943,5283
96,2015-08-27,22.52,23.1,22.37,22.98,2646,22.87,1584
97,2015-08-28,22.5,22.79,22.36,22.74,2136,22.6385,888
98,2015-08-31,22.34,22.39,21.93,22.08,2609,22.104,1480
99,2015-09-01,21.2,21.27,20.86,20.95,3825,21.075,1762
100,2015-09-02,21.42,21.82,21.31,21.68,2391,21.5435,1170
101,2015-09-03,21.34,21.62,21.3,21.36,2515,21.417,1258
102,2015-09-04,20.82,20.97,20.58,20.69,4877,20.786,2222
103,2015-09-08,21.5,21.58,21.29,21.55,3706,21.444,1995
104,2015-09-09,22.29,22.35,21.69,21.77,4285,21.891,2948
105,2015-09-10,21.49,21.83,21.44,21.7,2033,21.6195,821
106,2015-09-11,21.61,21.71,21.46,21.67,909,21.608,560
107,2015-09-14,21.95,22.02,21.75,21.91,4293,21.865,2457
108,2015-09-15,21.54,21.77,21.47,21.76,3374,21.607,1650
109,2015-09-16,22.19,22.61,22.1,22.53,2218,22.406,920
110,2015-09-17,22.33,22.92,22.31,22.47,2928,22.5035,1778
111,2015-09-18,22.52,22.69,22.3,22.43,3101,22.4625,1382
