,date,open,high,low,close,volume,average,barCount
0,2015-07-13 09:30:00,24.87,24.87,24.84,24.85,120,24.868,14
1,2015-07-13 09:31:00,24.84,24.84,24.84,24.84,3,24.84,3
2,2015-07-13 09:32:00,24.84,24.84,24.83,24.83,3,24.835,2
3,2015-07-13 09:33:00,24.83,24.83,24.83,24.83,0,24.83,0
4,2015-07-13 09:34:00,24.8,24.8,24.8,24.8,8,24.8,1
5,2015-07-13 09:35:00,24.8,24.8,24.79,24.8,1,24.796,1
6,2015-07-13 09:36:00,24.84,24.84,24.83,24.84,1,24.84,1
7,2015-07-13 09:37:00,24.84,24.84,24.84,24.84,0,24.84,0
8,2015-07-13 09:38:00,24.8,24.8,24.8,24.8,9,24.8,8
9,2015-07-13 09:39:00,24.8,24.8,24.8,24.8,0,24.8,0
10,2015-07-13 09:40:00,24.81,24.81,24.77,24.79,4,24.785,3
11,2015-07-13 09:41:00,24.79,24.79,24.79,24.79,0,24.79,0
12,2015-07-13 09:42:00,24.79,24.79,24.79,24.79,4,24.79,2
13,2015-07-13 09:43:00,24.8,24.81,24.79,24.81,9,24.802,5
14,2015-07-13 09:44:00,24.82,24.82,24.82,24.82,2,24.82,2
15,2015-07-13 09:45:00,24.82,24.82,24.82,24.82,0,24.82,0
16,2015-07-13 09:46:00,24.82,24.82,24.82,24.82,0,24.82,0
17,2015-07-13 09:47:00,24.82,24.82,24.82,24.82,0,24.82,0
18,2015-07-13 09:48:00,24.81,24.86,24.81,24.85,33,24.822,9
19,2015-07-13 09:49:00,24.85,24.85,24.85,24.85,0,24.85,0
20,2015-07-13 09:50:00,24.86,24.89,24.86,24.86,26,24.865,17
21,2015-07-13 09:51:00,24.86,24.86,24.86,24.86,0,24.86,0
22,2015-07-13 09:52:00,24.85,24.85,24.84,24.84,7,24.849,5
23,2015-07-13 09:53:00,24.84,24.84,24.84,24.84,0,24.84,0
24,2015-07-13 09:54:00,24.84,24.84,24.84,24.84,0,24.84,0
25,2015-07-13 09:55:00,24.84,24.84,24.84,24.84,0,24.84,0
26,2015-07-13 09:56:00,24.82,24.83,24.82,24.82,15,24.821,6
27,2015-07-13 09:57:00,24.82,24.85,24.82,24.85,10,24.835,4
28,2015-07-13 09:58:00,24.85,24.86,24.82,24.85,8,24.847,7
29,2015-07-13 09:59:00,24.86,24.88,24.83,24.83,4,24.859,3
30,2015-07-13 10:00:00,24.83,24.83,24.83,24.83,0,24.83,0
31,2015-07-13 10:01:00,24.84,24.85,24.84,24.85,2,24.845,2
32,2015-07-13 10:02:00,24.85,24.85,24.85,24.85,0,24.85,0
33,2015-07-13 10:03:00,24.85,24.85,24.85,24.85,0,24.85,0
34,2015-07-13 10:04:00,24.85,24.85,24.85,24.85,0,24.85,0
35,2015-07-13 10:05:00,24.83,24.83,24.82,24.82,3,24.827,3
36,2015-07-13 10:06:00,24.81,24.81,24.8,24.8,14,24.809,8
37,2015-07-13 10:07:00,24.82,24.82,24.8,24.82,4,24.815,3
38,2015-07-13 10:08:00,24.81,24.82,24.81,24.82,17,24.815,6
39,2015-07-13 10:09:00,24.82,24.82,24.82,24.82,0,24.82,0
40,2015-07-13 10:10:00,24.81,24.81,24.81,24.81,6,24.81,5
41,2015-07-13 10:11:00,24.81,24.81,24.81,24.81,0,24.81,0
42,2015-07-13 10:12:00,24.82,24.82,24.81,24.81,10,24.817,5
43,2015-07-13 10:13:00,24.81,24.81,24.81,24.81,4,24.81,4
44,2015-07-13 10:14:00,24.82,24.82,24.81,24.82,9,24.819,8
45,2015-07-13 10:15:00,24.81,24.82,24.81,24.81,4,24.813,4
46,2015-07-13 10:16:00,24.82,24.82,24.81,24.81,13,24.819,12
47,2015-07-13 10:17:00,24.81,24.82,24.81,24.81,5,24.814,4
48,2015-07-13 10:18:00,24.82,24.82,24.82,24.82,11,24.82,2
49,2015-07-13 10:19:00,24.83,24.83,24.83,24.83,1,24.83,1
50,2015-07-13 10:20:00,24.83,24.83,24.81,24.82,13,24.822,10
51,2015-07-13 10:21:00,24.84,24.84,24.84,24.84,1,24.84,1
52,2015-07-13 10:22:00,24.82,24.82,24.82,24.82,4,24.82,4
53,2015-07-13 10:23:00,24.82,24.82,24.82,24.82,0,24.82,0
54,2015-07-13 10:24:00,24.82,24.82,24.82,24.82,0,24.82,0
55,2015-07-13 10:25:00,24.81,24.81,24.81,24.81,1,24.81,1
56,2015-07-13 10:26:00,24.81,24.81,24.81,24.81,0,24.81,0
57,2015-07-13 10:27:00,24.81,24.81,24.81,24.81,0,24.81,0
58,2015-07-13 10:28:00,24.81,24.81,24.81,24.81,0,24.81,0
59,2015-07-13 10:29:00,24.78,24.82,24.78,24.82,4,24.797,2
60,2015-07-13 10:30:00,24.78,24.78,24.78,24.78,2,24.78,1
61,2015-07-13 10:31:00,24.79,24.79,24.78,24.78,5,24.788,4
62,2015-07-13 10:32:00,24.78,24.78,24.78,24.78,5,24.78,1
63,2015-07-13 10:33:00,24.78,24.78,24.78,24.78,0,24.78,0
64,2015-07-13 10:34:00,24.8,24.8,24.8,24.8,3,24.8,1
65,2015-07-13 10:35:00,24.78,24.78,24.78,24.78,1,24.78,1
66,2015-07-13 10:36:00,24.78,24.78,24.78,24.78,1,24.78,1
67,2015-07-13 10:37:00,24.78,24.78,24.78,24.78,0,24.78,0
68,2015-07-13 10:38:00,24.78,24.78,24.78,24.78,2,24.78,2
69,2015-07-13 10:39:00,24.78,24.78,24.78,24.78,0,24.78,0
70,2015-07-13 10:40:00,24.78,24.78,24.78,24.78,1,24.78,1
71,2015-07-13 10:41:00,24.78,24.78,24.78,24.78,10,24.78,10
72,2015-07-13 10:42:00,24.78,24.78,24.78,24.78,4,24.78,4
73,2015-07-13 10:43:00,24.78,24.78,24.78,24.78,1,24.78,1
74,2015-07-13 10:44:00,24.79,24.81,24.78,24.81,39,24.796,19
75,2015-07-13 10:45:00,24.82,24.82,24.81,24.81,6,24.818,6
76,2015-07-13 10:46:00,24.78,24.8,24.78,24.78,5,24.783,5
77,2015-07-13 10:47:00,24.79,24.79,24.79,24.79,2,24.79,2
78,2015-07-13 10:48:00,24.79,24.79,24.79,24.79,0,24.79,0
79,2015-07-13 10:49:00,24.79,24.79,24.79,24.79,0,24.79,0
80,2015-07-13 10:50:00,24.8,24.8,24.8,24.8,2,24.8,1
81,2015-07-13 10:51:00,24.8,24.8,24.8,24.8,0,24.8,0
82,2015-07-13 10:52:00,24.8,24.8,24.8,24.8,0,24.8,0
83,2015-07-13 10:53:00,24.8,24.8,24.8,24.8,1,24.8,1
84,2015-07-13 10:54:00,24.8,24.8,24.8,24.8,3,24.8,1
85,2015-07-13 10:55:00,24.8,24.8,24.8,24.8,0,24.8,0
86,2015-07-13 10:56:00,24.8,24.8,24.8,24.8,0,24.8,0
87,2015-07-13 10:57:00,24.8,24.8,24.8,24.8,0,24.8,0
88,2015-07-13 10:58:00,24.79,24.8,24.78,24.8,29,24.786,7
89,2015-07-13 10:59:00,24.79,24.8,24.79,24.79,11,24.791,5
90,2015-07-13 11:00:00,24.78,24.78,24.77,24.78,3,24.78,1
91,2015-07-13 11:01:00,24.78,24.78,24.78,24.78,0,24.78,0
92,2015-07-13 11:02:00,24.78,24.78,24.78,24.78,0,24.78,0
93,2015-07-13 11:03:00,24.78,24.81,24.78,24.79,16,24.794,13
94,2015-07-13 11:04:00,24.78,24.79,24.78,24.78,1,24.785,1
95,2015-07-13 11:05:00,24.8,24.8,24.79,24.8,21,24.798,1
96,2015-07-13 11:06:00,24.79,24.79,24.78,24.78,5,24.783,5
97,2015-07-13 11:07:00,24.78,24.78,24.78,24.78,0,24.78,0
98,2015-07-13 11:08:00,24.77,24.77,24.77,24.77,1,24.77,1
99,2015-07-13 11:09:00,24.77,24.77,24.77,24.77,0,24.77,0
100,2015-07-13 11:10:00,24.76,24.8,24.76,24.79,4,24.786,3
101,2015-07-13 11:11:00,24.76,24.79,24.76,24.79,6,24.784,2
102,2015-07-13 11:12:00,24.79,24.79,24.76,24.78,31,24.784,3
103,2015-07-13 11:13:00,24.78,24.78,24.78,24.78,0,24.78,0
104,2015-07-13 11:14:00,24.76,24.79,24.75,24.75,5,24.767,5
105,2015-07-13 11:15:00,24.75,24.75,24.75,24.75,0,24.75,0
106,2015-07-13 11:16:00,24.77,24.77,24.77,24.77,1,24.77,1
107,2015-07-13 11:17:00,24.77,24.77,24.77,24.77,0,24.77,0
108,2015-07-13 11:18:00,24.77,24.77,24.77,24.77,1,24.77,1
109,2015-07-13 11:19:00,24.77,24.77,24.77,24.77,0,24.77,0
110,2015-07-13 11:20:00,24.77,24.77,24.77,24.77,0,24.77,0
111,2015-07-13 11:21:00,24.78,24.78,24.76,24.78,17,24.776,17
112,2015-07-13 11:22:00,24.77,24.78,24.77,24.78,2,24.775,2
113,2015-07-13 11:23:00,24.78,24.78,24.78,24.78,1,24.78,1
