,date,open,high,low,close,volume,average,barCount
0,2015-06-03 09:30:00,14.73,14.73,14.72,14.72,72,14.73,3
1,2015-06-03 09:31:00,14.72,14.72,14.72,14.72,0,14.72,0
2,2015-06-03 09:32:00,14.7,14.72,14.7,14.7,8,14.705,5
3,2015-06-03 09:33:00,14.71,14.71,14.71,14.71,3,14.71,2
4,2015-06-03 09:34:00,14.71,14.71,14.71,14.71,6,14.71,5
5,2015-06-03 09:35:00,14.7,14.71,14.7,14.71,13,14.705,4
6,2015-06-03 09:36:00,14.7,14.71,14.7,14.7,2,14.702,1
7,2015-06-03 09:37:00,14.7,14.7,14.7,14.7,0,14.7,0
8,2015-06-03 09:38:00,14.71,14.71,14.7,14.71,3,14.705,1
9,2015-06-03 09:39:00,14.71,14.73,14.7,14.73,95,14.723,41
10,2015-06-03 09:40:00,14.71,14.73,14.7,14.73,28,14.706,16
11,2015-06-03 09:41:00,14.72,14.72,14.72,14.72,2,14.72,1
12,2015-06-03 09:42:00,14.71,14.74,14.71,14.74,30,14.721,16
13,2015-06-03 09:43:00,14.73,14.73,14.72,14.72,6,14.728,4
14,2015-06-03 09:44:00,14.72,14.72,14.72,14.72,4,14.72,4
15,2015-06-03 09:45:00,14.73,14.73,14.72,14.73,29,14.729,19
16,2015-06-03 09:46:00,14.74,14.74,14.73,14.73,43,14.73,11
17,2015-06-03 09:47:00,14.73,14.73,14.73,14.73,7,14.73,2
18,2015-06-03 09:48:00,14.73,14.73,14.73,14.73,0,14.73,0
19,2015-06-03 09:49:00,14.73,14.73,14.73,14.73,0,14.73,0
20,2015-06-03 09:50:00,14.73,14.73,14.73,14.73,0,14.73,0
21,2015-06-03 09:51:00,14.74,14.74,14.73,14.74,13,14.735,1
22,2015-06-03 09:52:00,14.74,14.74,14.74,14.74,0,14.74,0
23,2015-06-03 09:53:00,14.74,14.74,14.74,14.74,1,14.74,1
24,2015-06-03 09:54:00,14.74,14.74,14.74,14.74,0,14.74,0
25,2015-06-03 09:55:00,14.74,14.74,14.74,14.74,0,14.74,0
26,2015-06-03 09:56:00,14.74,14.74,14.74,14.74,1,14.74,1
27,2015-06-03 09:57:00,14.74,14.74,14.74,14.74,1,14.74,1
28,2015-06-03 09:58:00,14.74,14.74,14.74,14.74,0,14.74,0
29,2015-06-03 09:59:00,14.74,14.74,14.74,14.74,0,14.74,0
30,2015-06-03 10:00:00,14.74,14.74,14.74,14.74,0,14.74,0
31,2015-06-03 10:01:00,14.74,14.74,14.74,14.74,0,14.74,0
32,2015-06-03 10:02:00,14.74,14.74,14.74,14.74,0,14.74,0
33,2015-06-03 10:03:00,14.74,14.74,14.74,14.74,2,14.74,2
34,2015-06-03 10:04:00,14.74,14.74,14.74,14.74,6,14.74,2
35,2015-06-03 10:05:00,14.74,14.74,14.74,14.74,0,14.74,0
36,2015-06-03 10:06:00,14.74,14.75,14.74,14.75,2,14.745,2
37,2015-06-03 10:07:00,14.74,14.75,14.74,14.75,5,14.746,3
38,2015-06-03 10:08:00,14.75,14.75,14.75,14.75,2,14.75,1
39,2015-06-03 10:09:00,14.75,14.75,14.75,14.75,0,14.75,0
40,2015-06-03 10:10:00,14.75,14.75,14.75,14.75,2,14.75,2
41,2015-06-03 10:11:00,14.75,14.75,14.75,14.75,0,14.75,0
42,2015-06-03 10:12:00,14.75,14.75,14.75,14.75,0,14.75,0
43,2015-06-03 10:13:00,14.75,14.75,14.75,14.75,0,14.75,0
44,2015-06-03 10:14:00,14.75,14.75,14.75,14.75,0,14.75,0
45,2015-06-03 10:15:00,14.75,14.75,14.75,14.75,0,14.75,0
46,2015-06-03 10:16:00,14.77,14.77,14.77,14.77,1,14.77,1
47,2015-06-03 10:17:00,14.77,14.77,14.77,14.77,0,14.77,0
48,2015-06-03 10:18:00,14.77,14.77,14.77,14.77,0,14.77,0
49,2015-06-03 10:19:00,14.77,14.77,14.77,14.77,0,14.77,0
50,2015-06-03 10:20:00,14.78,14.78,14.78,14.78,1,14.78,1
51,2015-06-03 10:21:00,14.78,14.78,14.78,14.78,0,14.78,0
52,2015-06-03 10:22:00,14.78,14.78,14.78,14.78,0,14.78,0
53,2015-06-03 10:23:00,14.78,14.78,14.77,14.78,20,14.777,2
54,2015-06-03 10:24:00,14.78,14.78,14.78,14.78,0,14.78,0
55,2015-06-03 10:25:00,14.77,14.77,14.76,14.76,8,14.769,5
56,2015-06-03 10:26:00,14.76,14.76,14.76,14.76,0,14.76,0
