,date,open,high,low,close,volume,average,barCount
0,2015-02-02 20:30:00,3.48,3.48,3.46,3.46,84000,3.4671,4
1,2015-02-02 20:31:00,3.46,3.46,3.46,3.46,14000,3.46,2
2,2015-02-02 20:32:00,3.43,3.45,3.43,3.45,16000,3.4475,4
3,2015-02-02 20:33:00,3.45,3.45,3.45,3.45,92000,3.45,2
4,2015-02-02 20:34:00,3.43,3.43,3.43,3.43,2000,3.43,1
5,2015-02-02 20:35:00,3.44,3.45,3.44,3.45,202000,3.4499,2
6,2015-02-02 20:36:00,3.45,3.45,3.44,3.44,152000,3.4499,2
7,2015-02-02 20:37:00,3.44,3.44,3.44,3.44,10000,3.44,1
8,2015-02-02 20:38:00,3.44,3.44,3.43,3.43,252000,3.4304,4
9,2015-02-02 20:39:00,3.43,3.43,3.43,3.43,10000,3.43,1
10,2015-02-02 20:40:00,3.42,3.44,3.42,3.44,310000,3.4263,7
11,2015-02-02 20:41:00,3.44,3.45,3.44,3.45,214000,3.4445,8
12,2015-02-02 20:42:00,3.44,3.45,3.44,3.45,42000,3.4476,4
13,2015-02-02 20:43:00,3.45,3.45,3.45,3.45,18000,3.45,4
14,2015-02-02 20:44:00,3.45,3.45,3.45,3.45,0,3.45,0
15,2015-02-02 20:45:00,3.45,3.45,3.45,3.45,128000,3.45,3
16,2015-02-02 20:46:00,3.46,3.46,3.46,3.46,2000,3.46,1
17,2015-02-02 20:47:00,3.46,3.46,3.46,3.46,50000,3.46,1
18,2015-02-02 20:48:00,3.46,3.46,3.46,3.46,12000,3.46,1
19,2015-02-02 20:49:00,3.46,3.46,3.46,3.46,20000,3.46,1
20,2015-02-02 20:50:00,3.46,3.46,3.46,3.46,6000,3.46,1
21,2015-02-02 20:51:00,3.46,3.46,3.46,3.46,4000,3.46,2
22,2015-02-02 20:52:00,3.45,3.45,3.45,3.45,8000,3.45,1
23,2015-02-02 20:53:00,3.45,3.45,3.45,3.45,6000,3.45,1
24,2015-02-02 20:54:00,3.45,3.45,3.45,3.45,10000,3.45,2
25,2015-02-02 20:55:00,3.46,3.46,3.45,3.45,234000,3.4504,2
26,2015-02-02 20:56:00,3.44,3.44,3.44,3.44,32000,3.44,3
27,2015-02-02 20:57:00,3.44,3.44,3.44,3.44,32000,3.44,4
28,2015-02-02 20:58:00,3.44,3.44,3.44,3.44,24000,3.44,1
29,2015-02-02 20:59:00,3.44,3.44,3.44,3.44,0,3.44,0
