,date,open,high,low,close,volume,average,barCount
0,2015-04-13,5.05,5.15,4.96,5.1,63790000,5.07405,2038
1,2015-04-14,5.0,5.1,4.85,4.89,46120000,4.99785,2064
2,2015-04-15,4.89,5.03,4.73,4.84,46626000,4.8745,1941
3,2015-04-16,4.81,5.08,4.77,5.0,41196000,4.96495,1529
4,2015-04-17,5.02,5.41,5.0,5.25,70138000,5.23955,2722
5,2015-04-20,5.3,5.32,4.89,4.91,56124000,5.06905,2263
6,2015-04-21,4.96,5.05,4.79,4.84,52980000,4.8566,1601
7,2015-04-22,4.87,5.05,4.81,5.03,78852000,4.92155,1911
8,2015-04-23,5.02,5.27,4.96,5.18,100686000,5.1223,3112
9,2015-04-24,5.18,5.21,5.0,5.12,36054000,5.12725,1641
10,2015-04-27,5.18,5.39,5.13,5.38,72168000,5.26625,2601
11,2015-04-28,5.31,5.62,5.24,5.43,72124000,5.42635,2208
12,2015-04-29,5.45,5.45,5.15,5.18,47728000,5.2889,1924
13,2015-04-30,5.13,5.22,4.95,5.0,59222000,5.0096,2293
14,2015-05-04,5.04,5.4,5.03,5.32,46958000,5.2635,1823
15,2015-05-05,5.38,5.38,5.09,5.14,37890000,5.18865,1902
16,2015-05-06,5.14,5.27,5.0,5.09,38456000,5.16785,1398
17,2015-05-07,5.0,5.1,4.66,4.73,38294000,4.82215,1302
18,2015-05-08,4.79,4.9,4.71,4.74,25806000,4.7887,954
19,2015-05-11,4.83,4.88,4.66,4.78,27488000,4.77775,1605
20,2015-05-12,4.8,4.8,4.68,4.73,22056000,4.722,884
21,2015-05-13,4.73,4.75,4.6,4.7,14670000,4.6794,974
22,2015-05-14,4.78,5.25,4.71,5.14,83224000,5.0567,3219
23,2015-05-15,5.25,5.45,5.15,5.2,121084000,5.29115,4433
24,2015-05-18,5.0,5.02,4.83,4.9,37356000,4.91885,1421
25,2015-05-19,4.9,4.99,4.9,4.96,30134000,4.9487,1329
26,2015-05-20,5.02,5.03,4.86,4.88,24922000,4.93155,1036
27,2015-05-21,4.85,4.9,4.81,4.82,14216000,4.85305,1130
28,2015-05-22,4.85,4.97,4.85,4.93,17574000,4.93675,969
29,2015-05-26,5.03,5.16,4.95,4.97,20938000,5.0036,1247
30,2015-05-27,4.94,4.97,4.79,4.89,20720000,4.8749,1200
31,2015-05-28,4.9,4.92,4.63,4.67,29266000,4.74215,1271
32,2015-05-29,4.68,4.82,4.62,4.67,23908000,4.71735,1072
33,2015-06-01,4.65,4.81,4.62,4.72,16810000,4.7355,734
34,2015-06-02,4.72,4.72,4.54,4.56,28296000,4.6016,1324
35,2015-06-03,4.61,4.71,4.52,4.54,18724000,4.619,860
36,2015-06-04,4.57,4.63,4.43,4.54,21056000,4.5456,1021
37,2015-06-05,4.57,4.63,4.48,4.52,14130000,4.53745,881
38,2015-06-08,4.52,4.64,4.5,4.63,17124000,4.5894,845
39,2015-06-09,4.57,4.63,4.29,4.32,35142000,4.3808,1397
40,2015-06-10,4.32,4.44,4.26,4.33,14276000,4.36625,837
41,2015-06-11,4.35,4.42,4.26,4.29,18762000,4.31665,821
42,2015-06-12,4.32,4.42,4.27,4.4,17544000,4.3511,886
43,2015-06-15,4.38,4.45,4.3,4.35,14090000,4.37475,1011
44,2015-06-16,4.3,4.31,4.1,4.14,25156000,4.1732,986
45,2015-06-17,4.2,4.25,4.08,4.21,37008000,4.1675,1183
46,2015-06-18,4.22,4.24,4.05,4.12,24194000,4.15405,846
47,2015-06-19,4.18,4.18,4.0,4.04,20992000,4.0673,1008
48,2015-06-22,4.03,4.08,3.96,3.99,15822000,3.99825,976
49,2015-06-23,4.0,4.12,4.0,4.05,22000000,4.06925,1024
50,2015-06-24,4.1,4.1,4.03,4.07,12636000,4.07135,900
51,2015-06-25,4.08,4.16,4.03,4.03,15962000,4.09535,746
52,2015-06-26,4.05,4.15,3.87,3.94,20028000,3.99,1017
53,2015-06-29,3.97,4.0,3.7,3.86,24922000,3.8492,1192
54,2015-06-30,3.84,3.97,3.76,3.91,30432000,3.8662,1453
55,2015-07-02,3.91,3.92,3.79,3.81,35734000,3.84835,1292
