,date,open,high,low,close,volume,average,barCount
0,2015-04-13,5.91,5.91,5.91,5.91,0,5.91,0
1,2015-04-14,5.91,5.91,5.91,5.91,0,5.91,0
2,2015-04-15,5.91,5.91,5.91,5.91,0,5.91,0
3,2015-04-16,5.91,5.91,5.91,5.91,0,5.91,0
4,2015-04-17,5.91,5.91,5.91,5.91,0,5.91,0
5,2015-04-20,5.91,5.91,5.91,5.91,0,5.91,0
6,2015-04-21,5.91,5.91,5.91,5.91,0,5.91,0
7,2015-04-22,5.91,5.91,5.91,5.91,0,5.91,0
8,2015-04-23,5.91,5.91,5.91,5.91,0,5.91,0
9,2015-04-24,6.6,6.65,5.65,6.18,103890000,6.10305,4842
10,2015-04-27,6.24,6.26,5.78,6.0,63790000,6.00185,3033
11,2015-04-28,6.08,6.09,5.82,5.83,36030000,5.95365,1624
12,2015-04-29,5.95,5.95,5.71,5.73,26770000,5.797,1284
13,2015-04-30,5.85,6.1,5.8,5.99,45410000,5.95825,3206
14,2015-05-04,6.05,6.1,5.9,5.96,14498000,5.96265,1833
15,2015-05-05,6.1,6.1,5.54,5.72,28102000,5.7414,1866
16,2015-05-06,5.6,5.8,5.38,5.4,20096000,5.60065,1126
17,2015-05-07,5.38,5.45,5.02,5.18,34846000,5.13405,2622
18,2015-05-08,5.39,5.67,5.3,5.65,25912000,5.535,1793
19,2015-05-11,5.72,5.85,5.46,5.6,17082000,5.5624,928
20,2015-05-12,5.55,5.85,5.55,5.8,18592000,5.763,1317
21,2015-05-13,5.79,5.79,5.22,5.59,10536000,5.6134,1094
22,2015-05-14,5.62,5.73,5.48,5.56,12380000,5.54755,1017
23,2015-05-15,5.55,5.63,5.46,5.54,13084000,5.5266,1470
24,2015-05-18,5.54,5.55,5.42,5.46,7118000,5.47955,468
25,2015-05-19,5.41,5.62,5.38,5.48,28742000,5.4624,1596
26,2015-05-20,5.62,5.85,5.56,5.82,37564000,5.68345,2144
27,2015-05-21,5.76,5.92,5.65,5.78,10486000,5.7805,1033
28,2015-05-22,5.68,5.8,5.64,5.69,10732000,5.68915,1136
29,2015-05-26,5.89,6.2,5.88,6.07,23328000,6.00815,1540
30,2015-05-27,6.12,6.38,6.09,6.2,32118000,6.202,1776
31,2015-05-28,6.3,6.3,5.55,5.87,18376000,5.92905,1436
32,2015-05-29,5.85,6.1,5.84,6.04,14790000,5.9991,1080
33,2015-06-01,5.96,6.16,5.76,5.92,26240000,5.9332,1274
34,2015-06-02,6.0,6.07,5.89,6.0,12344000,5.9916,981
35,2015-06-03,6.02,6.13,5.9,5.95,11056000,6.03585,880
36,2015-06-04,6.09,6.16,5.87,6.13,14564000,6.0674,1759
37,2015-06-05,6.17,6.2,5.97,6.1,11884000,6.05565,1898
38,2015-06-08,6.13,6.56,5.94,6.43,31620000,6.402,1831
39,2015-06-09,6.33,6.43,6.06,6.17,21678000,6.1931,1713
40,2015-06-10,6.19,6.56,6.02,6.28,27084000,6.34205,1863
41,2015-06-11,6.25,6.39,6.03,6.09,13700000,6.14445,957
42,2015-06-12,6.09,6.18,6.05,6.18,8278000,6.1188,840
43,2015-06-15,6.1,6.47,6.01,6.29,23142000,6.2885,1983
44,2015-06-16,6.3,6.42,5.95,5.96,27408000,6.14415,1802
45,2015-06-17,5.96,6.21,5.96,6.21,9882000,6.10375,1031
46,2015-06-18,6.3,6.89,6.22,6.5,57420000,6.6013,3707
47,2015-06-19,6.5,6.77,6.48,6.62,26380000,6.58935,2507
48,2015-06-22,6.45,6.65,6.45,6.62,9880000,6.5689,710
49,2015-06-23,6.63,7.2,6.63,7.06,19832000,6.9573,1131
50,2015-06-24,7.06,7.56,7.01,7.1,24122000,7.24905,1825
51,2015-06-25,7.25,7.25,6.76,7.03,25218000,7.0003,1650
52,2015-06-26,6.8,6.95,6.46,6.61,22902000,6.6478,1623
53,2015-06-29,6.7,6.78,5.96,6.15,43362000,6.22935,3256
54,2015-06-30,6.24,6.56,6.01,6.49,21888000,6.3441,1617
55,2015-07-02,6.3,6.47,6.11,6.15,31070000,6.237,1509
56,2015-07-03,6.15,6.39,5.98,6.16,37966000,6.1899,2298
57,2015-07-06,6.4,6.5,4.9,5.81,51116000,5.583,3388
58,2015-07-07,5.76,6.06,5.42,5.55,72300000,5.6527,3348
59,2015-07-08,5.39,5.4,4.2,5.15,90104000,5.1006,6037
60,2015-07-09,5.25,6.23,5.24,5.95,42910000,5.87785,2332
61,2015-07-10,5.93,6.42,5.93,6.1,38462000,6.1883,1833
62,2015-07-13,6.1,6.49,6.05,6.46,23622000,6.3585,1684
63,2015-07-14,6.46,6.46,6.15,6.21,24122000,6.24965,1653
64,2015-07-15,6.2,6.27,5.82,5.85,14122000,5.94955,1062
65,2015-07-16,6.08,6.6,5.99,6.4,80762000,6.3668,4387
66,2015-07-17,6.55,6.98,6.48,6.82,32482000,6.74925,2019
67,2015-07-20,6.94,6.98,6.78,6.93,18598000,6.91555,1367
68,2015-07-21,6.9,7.07,6.83,7.06,22518000,6.943,1881
69,2015-07-22,7.01,7.06,6.75,6.9,21686000,6.919,1658
70,2015-07-23,6.9,6.9,6.9,6.9,0,6.9,0
71,2015-07-24,6.9,6.9,6.9,6.9,0,6.9,0
72,2015-07-27,6.9,6.9,6.9,6.9,0,6.9,0
73,2015-07-28,6.23,7.02,6.18,6.6,63940000,6.62135,4449
74,2015-07-29,6.75,6.92,6.41,6.47,36402000,6.62735,3079
75,2015-07-30,6.57,6.58,6.15,6.25,27268000,6.37155,2235
