,date,open,high,low,close,volume,average,barCount
0,2015-04-08,9.57,9.69,9.26,9.62,45544000,9.44315,2936
1,2015-04-09,9.73,10.16,9.65,9.97,49976000,9.83385,4104
2,2015-04-10,10.08,10.16,9.76,9.83,31274000,9.889,2704
3,2015-04-13,9.98,10.0,9.51,9.54,39146000,9.64475,3795
4,2015-04-14,9.57,10.3,9.57,10.1,61320000,10.05725,3191
5,2015-04-15,10.22,10.28,9.67,9.71,34086000,9.81055,2541
6,2015-04-16,9.79,10.0,9.74,9.98,23824000,9.8563,2052
7,2015-04-17,10.1,10.28,9.8,9.84,24818000,9.9001,2015
8,2015-04-20,9.72,10.08,9.51,9.89,27132000,9.8553,2087
9,2015-04-21,9.95,10.22,9.78,10.16,28650000,10.0151,2729
10,2015-04-22,10.88,11.8,10.62,11.66,80950000,11.37785,4264
11,2015-04-23,11.6,11.66,11.06,11.12,29988000,11.2616,2063
12,2015-04-24,11.34,11.44,10.92,11.3,22956000,11.1508,2525
13,2015-04-27,11.3,11.48,11.16,11.36,19688000,11.32765,1776
14,2015-04-28,11.4,11.46,11.02,11.18,14592000,11.15805,1509
15,2015-04-29,11.1,11.24,10.84,11.0,19980000,10.9744,2236
16,2015-04-30,10.86,11.14,10.68,11.1,19376000,10.9355,1372
17,2015-05-04,11.1,11.84,10.9,11.76,30388000,11.5459,1877
18,2015-05-05,11.82,11.9,10.92,11.12,17670000,11.2226,1446
19,2015-05-06,11.12,11.12,10.58,10.7,15186000,10.8301,1166
20,2015-05-07,10.7,10.9,10.48,10.62,13926000,10.67505,1027
21,2015-05-08,10.62,11.04,10.56,10.88,12016000,10.8318,1160
22,2015-05-11,10.84,11.18,10.74,11.16,23936000,11.02535,1867
23,2015-05-12,11.04,11.16,10.72,10.86,21458000,10.92135,2170
24,2015-05-13,10.82,10.9,10.26,10.38,30742000,10.4284,2281
25,2015-05-14,10.22,10.44,10.12,10.42,26832000,10.29755,1566
26,2015-05-15,10.56,10.58,10.26,10.54,14794000,10.4398,1107
27,2015-05-18,10.6,10.84,10.6,10.72,15688000,10.7472,1126
28,2015-05-19,10.72,10.98,10.7,10.86,12794000,10.8669,1752
29,2015-05-20,10.88,10.98,10.64,10.72,14228000,10.80815,1420
30,2015-05-21,10.9,10.9,10.48,10.56,11200000,10.5782,1167
31,2015-05-22,10.56,10.66,10.44,10.56,18524000,10.5318,1478
32,2015-05-26,11.0,11.08,10.78,10.9,21846000,10.97705,1798
33,2015-05-27,10.88,11.18,10.82,11.06,14214000,11.0926,1467
34,2015-05-28,11.02,11.06,10.4,10.6,25092000,10.6895,1933
35,2015-05-29,10.58,10.64,10.24,10.38,31528000,10.45285,1600
36,2015-06-01,10.4,10.94,10.1,10.78,31786000,10.7489,1763
37,2015-06-02,10.7,10.92,10.58,10.82,15120000,10.78175,1353
38,2015-06-03,10.72,10.8,10.44,10.52,15180000,10.54805,1204
39,2015-06-04,10.52,10.66,10.14,10.42,16906000,10.4092,1280
40,2015-06-05,10.34,10.52,10.2,10.5,22516000,10.38105,1940
41,2015-06-08,10.46,10.78,10.36,10.68,16384000,10.652,1727
42,2015-06-09,10.68,10.7,10.32,10.54,19868000,10.5,1188
43,2015-06-10,10.38,10.54,10.28,10.32,12602000,10.37745,912
44,2015-06-11,10.36,10.42,10.14,10.28,15076000,10.23195,1325
45,2015-06-12,10.3,10.54,10.26,10.48,16980000,10.3875,1333
46,2015-06-15,10.26,10.42,10.12,10.22,13698000,10.21955,1327
47,2015-06-16,10.12,10.3,9.92,9.97,20706000,10.0157,1650
48,2015-06-17,10.04,10.34,9.91,10.2,20920000,10.1012,1955
49,2015-06-18,10.1,10.36,10.08,10.12,10038000,10.18645,1162
50,2015-06-19,10.16,10.32,10.0,10.12,12580000,10.16185,1103
51,2015-06-22,10.06,10.18,9.95,10.14,8894000,10.07125,1189
52,2015-06-23,10.22,10.62,10.22,10.54,18268000,10.504,1601
53,2015-06-24,10.58,10.94,10.54,10.84,20678000,10.84745,1548
54,2015-06-25,10.84,10.94,10.72,10.84,19930000,10.83755,1926
55,2015-06-26,10.36,10.84,10.34,10.54,15152000,10.6318,1480
56,2015-06-29,10.66,10.78,10.4,10.64,28092000,10.59455,2108
57,2015-06-30,10.6,11.08,10.46,10.8,32254000,10.8257,2020
58,2015-07-02,10.36,10.6,9.82,9.89,23326000,10.0292,1730
59,2015-07-03,9.89,9.89,9.51,9.66,16636000,9.64365,1462
60,2015-07-06,9.88,9.9,9.09,9.23,30996000,9.28845,2311
61,2015-07-07,9.25,9.38,8.87,9.12,27204000,9.06655,2148
62,2015-07-08,9.2,9.21,8.44,8.75,40860000,8.82425,3059
63,2015-07-09,8.83,9.48,8.75,9.31,41182000,9.24195,3008
64,2015-07-10,9.25,9.6,9.22,9.41,27188000,9.434,2364
65,2015-07-13,9.21,9.78,9.11,9.55,28358000,9.4822,2563
66,2015-07-14,9.47,9.58,9.18,9.34,37764000,9.2825,2865
67,2015-07-15,9.31,9.53,9.16,9.28,15226000,9.295,1527
68,2015-07-16,9.28,9.61,9.23,9.44,20012000,9.48265,1349
69,2015-07-17,9.7,10.0,9.63,9.8,21590000,9.8513,2001
70,2015-07-20,9.89,9.92,9.56,9.62,16026000,9.6692,1774
71,2015-07-21,9.74,9.91,9.67,9.82,15602000,9.8202,1337
72,2015-07-22,9.68,9.92,9.62,9.7,24048000,9.74235,1486
73,2015-07-23,9.75,9.9,9.65,9.75,13100000,9.79185,1103
74,2015-07-24,9.77,9.83,9.62,9.65,6698000,9.673,1009
75,2015-07-27,9.52,9.62,9.26,9.38,20420000,9.36035,2224
76,2015-07-28,9.22,9.46,9.13,9.23,17808000,9.27865,2020
77,2015-07-29,9.31,9.59,9.21,9.57,17414000,9.4222,1786
78,2015-07-30,9.56,9.56,9.21,9.36,14958000,9.31425,1358
79,2015-07-31,9.34,9.56,9.28,9.48,10954000,9.44555,966
80,2015-08-03,9.38,9.53,9.32,9.49,11444000,9.43945,1063
81,2015-08-04,9.4,9.76,9.37,9.65,14366000,9.64635,1504
82,2015-08-05,9.65,9.83,9.55,9.68,11676000,9.7109,1161
83,2015-08-06,9.56,9.56,9.19,9.22,33836000,9.30255,2313
84,2015-08-07,9.28,9.55,9.26,9.5,18548000,9.47965,1598
85,2015-08-10,9.4,9.68,9.3,9.47,9526000,9.4777,943
