,date,open,high,low,close,volume,average,barCount
0,2021-01-22 09:30:00,11.26,11.3,11.26,11.3,175,11.261,5
1,2021-01-22 09:31:00,11.3,11.3,11.3,11.3,0,11.3,0
2,2021-01-22 09:32:00,11.28,11.29,11.27,11.28,65,11.273,8
3,2021-01-22 09:33:00,11.29,11.29,11.27,11.27,14,11.284,10
4,2021-01-22 09:34:00,11.28,11.28,11.27,11.28,1,11.276,1
5,2021-01-22 09:35:00,11.28,11.29,11.28,11.29,9,11.282,4
6,2021-01-22 09:36:00,11.29,11.29,11.29,11.29,4,11.29,1
7,2021-01-22 09:37:00,11.29,11.29,11.29,11.29,7,11.29,6
8,2021-01-22 09:38:00,11.29,11.29,11.29,11.29,0,11.29,0
9,2021-01-22 09:39:00,11.29,11.29,11.29,11.29,0,11.29,0
10,2021-01-22 09:40:00,11.29,11.29,11.29,11.29,1,11.29,1
11,2021-01-22 09:41:00,11.29,11.3,11.29,11.3,39,11.296,17
12,2021-01-22 09:42:00,11.3,11.3,11.3,11.3,0,11.3,0
13,2021-01-22 09:43:00,11.3,11.3,11.3,11.3,0,11.3,0
14,2021-01-22 09:44:00,11.3,11.3,11.3,11.3,0,11.3,0
15,2021-01-22 09:45:00,11.3,11.31,11.3,11.31,26,11.301,14
16,2021-01-22 09:46:00,11.32,11.32,11.32,11.32,13,11.32,1
17,2021-01-22 09:47:00,11.31,11.31,11.31,11.31,13,11.31,9
18,2021-01-22 09:48:00,11.31,11.31,11.3,11.3,13,11.301,7
19,2021-01-22 09:49:00,11.29,11.3,11.29,11.3,2,11.295,2
20,2021-01-22 09:50:00,11.29,11.3,11.29,11.3,8,11.296,5
21,2021-01-22 09:51:00,11.29,11.3,11.29,11.29,1,11.295,1
22,2021-01-22 09:52:00,11.29,11.29,11.29,11.29,0,11.29,0
23,2021-01-22 09:53:00,11.29,11.3,11.29,11.29,3,11.295,2
24,2021-01-22 09:54:00,11.29,11.29,11.29,11.29,0,11.29,0
25,2021-01-22 09:55:00,11.29,11.29,11.29,11.29,0,11.29,0
26,2021-01-22 09:56:00,11.29,11.29,11.29,11.29,0,11.29,0
27,2021-01-22 09:57:00,11.29,11.29,11.29,11.29,0,11.29,0
28,2021-01-22 09:58:00,11.3,11.3,11.3,11.3,4,11.3,3
29,2021-01-22 09:59:00,11.29,11.3,11.29,11.3,8,11.299,7
30,2021-01-22 10:00:00,11.29,11.3,11.29,11.29,7,11.292,6
31,2021-01-22 10:01:00,11.29,11.3,11.29,11.29,5,11.295,5
32,2021-01-22 10:02:00,11.29,11.29,11.29,11.29,2,11.29,2
33,2021-01-22 10:03:00,11.29,11.3,11.29,11.29,3,11.293,3
34,2021-01-22 10:04:00,11.29,11.3,11.29,11.3,4,11.297,3
35,2021-01-22 10:05:00,11.3,11.3,11.29,11.29,33,11.297,4
36,2021-01-22 10:06:00,11.29,11.29,11.29,11.29,0,11.29,0
37,2021-01-22 10:07:00,11.29,11.29,11.29,11.29,0,11.29,0
38,2021-01-22 10:08:00,11.3,11.3,11.3,11.3,1,11.3,1
39,2021-01-22 10:09:00,11.3,11.3,11.29,11.29,2,11.298,2
40,2021-01-22 10:10:00,11.29,11.29,11.29,11.29,0,11.29,0
41,2021-01-22 10:11:00,11.29,11.29,11.29,11.29,0,11.29,0
42,2021-01-22 10:12:00,11.29,11.29,11.29,11.29,2,11.29,1
43,2021-01-22 10:13:00,11.29,11.29,11.29,11.29,4,11.29,3
44,2021-01-22 10:14:00,11.29,11.3,11.29,11.29,1,11.295,1
45,2021-01-22 10:15:00,11.3,11.3,11.3,11.3,10,11.3,1
46,2021-01-22 10:16:00,11.3,11.3,11.3,11.3,0,11.3,0
47,2021-01-22 10:17:00,11.29,11.3,11.29,11.3,26,11.291,4
48,2021-01-22 10:18:00,11.29,11.3,11.29,11.29,1,11.295,1
49,2021-01-22 10:19:00,11.29,11.3,11.29,11.29,40,11.294,4
50,2021-01-22 10:20:00,11.29,11.3,11.29,11.29,34,11.295,5
51,2021-01-22 10:21:00,11.29,11.29,11.29,11.29,0,11.29,0
52,2021-01-22 10:22:00,11.29,11.29,11.29,11.29,0,11.29,0
53,2021-01-22 10:23:00,11.29,11.29,11.29,11.29,2,11.29,1
54,2021-01-22 10:24:00,11.29,11.29,11.29,11.29,0,11.29,0
55,2021-01-22 10:25:00,11.29,11.29,11.29,11.29,0,11.29,0
56,2021-01-22 10:26:00,11.29,11.29,11.29,11.29,0,11.29,0
57,2021-01-22 10:27:00,11.29,11.29,11.29,11.29,37,11.29,7
58,2021-01-22 10:28:00,11.28,11.28,11.28,11.28,29,11.28,7
59,2021-01-22 10:29:00,11.28,11.28,11.28,11.28,1,11.28,1
60,2021-01-22 10:30:00,11.28,11.28,11.28,11.28,0,11.28,0
61,2021-01-22 10:31:00,11.28,11.28,11.28,11.28,0,11.28,0
62,2021-01-22 10:32:00,11.27,11.28,11.27,11.27,2,11.271,1
63,2021-01-22 10:33:00,11.27,11.27,11.27,11.27,0,11.27,0
64,2021-01-22 10:34:00,11.28,11.28,11.27,11.28,1,11.275,1
65,2021-01-22 10:35:00,11.28,11.28,11.28,11.28,0,11.28,0
66,2021-01-22 10:36:00,11.28,11.28,11.28,11.28,0,11.28,0
67,2021-01-22 10:37:00,11.27,11.27,11.27,11.27,33,11.27,14
68,2021-01-22 10:38:00,11.27,11.27,11.27,11.27,0,11.27,0
69,2021-01-22 10:39:00,11.27,11.27,11.27,11.27,0,11.27,0
70,2021-01-22 10:40:00,11.27,11.27,11.27,11.27,0,11.27,0
71,2021-01-22 10:41:00,11.27,11.27,11.27,11.27,0,11.27,0
72,2021-01-22 10:42:00,11.27,11.27,11.26,11.27,5,11.265,1
73,2021-01-22 10:43:00,11.27,11.27,11.27,11.27,0,11.27,0
74,2021-01-22 10:44:00,11.27,11.27,11.27,11.27,0,11.27,0
75,2021-01-22 10:45:00,11.27,11.27,11.27,11.27,0,11.27,0
76,2021-01-22 10:46:00,11.27,11.27,11.27,11.27,0,11.27,0
77,2021-01-22 10:47:00,11.27,11.27,11.27,11.27,0,11.27,0
78,2021-01-22 10:48:00,11.27,11.27,11.27,11.27,2,11.27,2
79,2021-01-22 10:49:00,11.26,11.26,11.26,11.26,2,11.26,1
80,2021-01-22 10:50:00,11.27,11.27,11.26,11.27,10,11.265,2
81,2021-01-22 10:51:00,11.27,11.27,11.26,11.27,5,11.265,1
82,2021-01-22 10:52:00,11.26,11.27,11.26,11.27,4,11.268,4
83,2021-01-22 10:53:00,11.27,11.27,11.27,11.27,0,11.27,0
84,2021-01-22 10:54:00,11.26,11.26,11.26,11.26,5,11.26,5
85,2021-01-22 10:55:00,11.26,11.26,11.26,11.26,0,11.26,0
86,2021-01-22 10:56:00,11.27,11.27,11.26,11.27,1,11.265,1
87,2021-01-22 10:57:00,11.27,11.27,11.27,11.27,0,11.27,0
88,2021-01-22 10:58:00,11.26,11.29,11.26,11.29,149,11.275,73
89,2021-01-22 10:59:00,11.29,11.29,11.29,11.29,0,11.29,0
90,2021-01-22 11:00:00,11.29,11.29,11.28,11.29,50,11.281,10
91,2021-01-22 11:01:00,11.29,11.29,11.29,11.29,0,11.29,0
92,2021-01-22 11:02:00,11.29,11.29,11.29,11.29,0,11.29,0
93,2021-01-22 11:03:00,11.29,11.29,11.29,11.29,0,11.29,0
94,2021-01-22 11:04:00,11.29,11.29,11.28,11.29,3,11.285,1
95,2021-01-22 11:05:00,11.29,11.29,11.29,11.29,0,11.29,0
96,2021-01-22 11:06:00,11.29,11.29,11.29,11.29,0,11.29,0
97,2021-01-22 11:07:00,11.29,11.29,11.29,11.29,0,11.29,0
98,2021-01-22 11:08:00,11.29,11.29,11.29,11.29,0,11.29,0
99,2021-01-22 11:09:00,11.29,11.29,11.29,11.29,0,11.29,0
100,2021-01-22 11:10:00,11.29,11.29,11.29,11.29,0,11.29,0
101,2021-01-22 11:11:00,11.29,11.29,11.29,11.29,1,11.29,1
