,date,open,high,low,close,volume,average,barCount
0,2015-12-14 20:30:00,5.0,5.02,4.98,5.01,790000,5.0068,49
1,2015-12-14 20:31:00,5.02,5.03,5.01,5.03,188000,5.0198,17
2,2015-12-14 20:32:00,5.03,5.03,5.02,5.03,98000,5.0298,3
3,2015-12-14 20:33:00,5.04,5.04,5.01,5.02,454000,5.0261,32
4,2015-12-14 20:34:00,5.02,5.02,5.02,5.02,150000,5.02,5
5,2015-12-14 20:35:00,5.03,5.03,5.02,5.02,214000,5.0212,10
6,2015-12-14 20:36:00,5.02,5.02,5.02,5.02,36000,5.02,4
7,2015-12-14 20:37:00,5.03,5.04,5.03,5.04,256000,5.0323,12
8,2015-12-14 20:38:00,5.04,5.04,5.03,5.04,324000,5.0399,15
9,2015-12-14 20:39:00,5.03,5.05,5.03,5.05,140000,5.0416,12
10,2015-12-14 20:40:00,5.05,5.05,5.04,5.05,90000,5.0496,6
11,2015-12-14 20:41:00,5.05,5.06,5.05,5.06,262000,5.0514,12
12,2015-12-14 20:42:00,5.06,5.07,5.06,5.06,480000,5.0664,11
13,2015-12-14 20:43:00,5.06,5.07,5.05,5.06,208000,5.061,11
14,2015-12-14 20:44:00,5.06,5.06,5.06,5.06,148000,5.06,6
15,2015-12-14 20:45:00,5.05,5.07,5.05,5.05,962000,5.068,15
16,2015-12-14 20:46:00,5.06,5.07,5.06,5.07,124000,5.0608,3
17,2015-12-14 20:47:00,5.07,5.08,5.07,5.07,714000,5.0742,18
18,2015-12-14 20:48:00,5.08,5.08,5.06,5.06,1120000,5.0692,15
19,2015-12-14 20:49:00,5.06,5.07,5.06,5.07,36000,5.0633,3
20,2015-12-14 20:50:00,5.06,5.07,5.06,5.07,426000,5.0694,9
21,2015-12-14 20:51:00,5.07,5.07,5.06,5.07,292000,5.0698,5
22,2015-12-14 20:52:00,5.07,5.08,5.07,5.08,30000,5.0747,3
23,2015-12-14 20:53:00,5.08,5.08,5.07,5.08,290000,5.0799,10
24,2015-12-14 20:54:00,5.09,5.09,5.09,5.09,384000,5.09,5
25,2015-12-14 20:55:00,5.09,5.09,5.08,5.09,356000,5.0899,6
26,2015-12-14 20:56:00,5.09,5.09,5.09,5.09,188000,5.09,7
27,2015-12-14 20:57:00,5.09,5.1,5.09,5.09,166000,5.091,6
28,2015-12-14 20:58:00,5.09,5.09,5.08,5.09,170000,5.0899,7
29,2015-12-14 20:59:00,5.1,5.1,5.09,5.09,42000,5.0905,2
30,2015-12-14 21:00:00,5.09,5.1,5.08,5.08,8000,5.09,3
31,2015-12-14 21:01:00,5.09,5.09,5.08,5.08,28000,5.0857,5
32,2015-12-14 21:02:00,5.08,5.11,5.08,5.09,1630000,5.0999,21
33,2015-12-14 21:03:00,5.09,5.1,5.09,5.09,102000,5.0912,11
34,2015-12-14 21:04:00,5.09,5.09,5.08,5.08,72000,5.0858,5
35,2015-12-14 21:05:00,5.09,5.09,5.08,5.08,74000,5.0897,4
36,2015-12-14 21:06:00,5.09,5.09,5.09,5.09,18000,5.09,3
37,2015-12-14 21:07:00,5.09,5.1,5.09,5.1,338000,5.0908,8
38,2015-12-14 21:08:00,5.1,5.1,5.09,5.1,30000,5.0993,4
39,2015-12-14 21:09:00,5.1,5.1,5.08,5.08,848000,5.0875,8
40,2015-12-14 21:10:00,5.08,5.09,5.07,5.07,154000,5.0801,9
41,2015-12-14 21:11:00,5.08,5.08,5.07,5.08,202000,5.0747,5
42,2015-12-14 21:12:00,5.09,5.09,5.08,5.08,92000,5.0815,7
43,2015-12-14 21:13:00,5.07,5.07,5.07,5.07,6000,5.07,2
44,2015-12-14 21:14:00,5.08,5.09,5.08,5.09,112000,5.085,8
45,2015-12-14 21:15:00,5.09,5.09,5.08,5.08,250000,5.0894,7
46,2015-12-14 21:16:00,5.08,5.09,5.08,5.08,22000,5.0845,6
47,2015-12-14 21:17:00,5.08,5.09,5.08,5.08,8000,5.0825,4
48,2015-12-14 21:18:00,5.08,5.09,5.08,5.09,76000,5.0821,6
49,2015-12-14 21:19:00,5.09,5.09,5.08,5.08,22000,5.0891,2
50,2015-12-14 21:20:00,5.08,5.09,5.08,5.09,564000,5.0899,10
51,2015-12-14 21:21:00,5.09,5.09,5.08,5.08,22000,5.0891,3
52,2015-12-14 21:22:00,5.09,5.09,5.08,5.09,106000,5.0898,6
53,2015-12-14 21:23:00,5.09,5.09,5.08,5.08,26000,5.0877,5
54,2015-12-14 21:24:00,5.08,5.09,5.08,5.08,38000,5.0884,6
55,2015-12-14 21:25:00,5.09,5.09,5.09,5.09,166000,5.09,5
56,2015-12-14 21:26:00,5.09,5.1,5.09,5.1,8000,5.0925,3
57,2015-12-14 21:27:00,5.09,5.1,5.09,5.09,14000,5.0943,6
58,2015-12-14 21:28:00,5.09,5.1,5.09,5.1,34000,5.0965,8
59,2015-12-14 21:29:00,5.09,5.1,5.09,5.1,166000,5.0996,9
60,2015-12-14 21:30:00,5.11,5.12,5.11,5.11,158000,5.1108,8
61,2015-12-14 21:31:00,5.12,5.12,5.1,5.1,254000,5.11,7
62,2015-12-14 21:32:00,5.1,5.11,5.1,5.11,10000,5.108,3
63,2015-12-14 21:33:00,5.11,5.11,5.11,5.11,414000,5.11,9
64,2015-12-14 21:34:00,5.12,5.12,5.11,5.12,162000,5.1191,7
65,2015-12-14 21:35:00,5.12,5.12,5.11,5.12,72000,5.1197,7
66,2015-12-14 21:36:00,5.12,5.12,5.11,5.12,36000,5.1194,8
67,2015-12-14 21:37:00,5.12,5.12,5.12,5.12,90000,5.12,10
68,2015-12-14 21:38:00,5.12,5.12,5.11,5.11,32000,5.1188,5
69,2015-12-14 21:39:00,5.11,5.11,5.11,5.11,44000,5.11,3
70,2015-12-14 21:40:00,5.11,5.12,5.11,5.12,24000,5.1142,6
71,2015-12-14 21:41:00,5.11,5.12,5.1,5.1,606000,5.1093,20
72,2015-12-14 21:42:00,5.1,5.11,5.1,5.1,348000,5.1023,7
73,2015-12-14 21:43:00,5.1,5.11,5.1,5.1,16000,5.1013,4
74,2015-12-14 21:44:00,5.1,5.12,5.1,5.12,292000,5.1102,4
75,2015-12-14 21:45:00,5.12,5.12,5.12,5.12,34000,5.12,4
76,2015-12-14 21:46:00,5.11,5.12,5.11,5.12,60000,5.1193,5
77,2015-12-14 21:47:00,5.11,5.12,5.11,5.12,50000,5.1196,3
78,2015-12-14 21:48:00,5.12,5.12,5.11,5.11,4000,5.115,2
79,2015-12-14 21:49:00,5.12,5.12,5.1,5.1,360000,5.111,8
80,2015-12-14 21:50:00,5.1,5.11,5.1,5.1,62000,5.1074,5
81,2015-12-14 21:51:00,5.1,5.11,5.1,5.11,472000,5.1099,7
82,2015-12-14 21:52:00,5.11,5.11,5.11,5.11,24000,5.11,3
83,2015-12-14 21:53:00,5.12,5.12,5.12,5.12,712000,5.12,9
84,2015-12-14 21:54:00,5.12,5.12,5.11,5.11,20000,5.117,4
85,2015-12-14 21:55:00,5.11,5.11,5.11,5.11,14000,5.11,3
86,2015-12-14 21:56:00,5.11,5.11,5.11,5.11,26000,5.11,4
87,2015-12-14 21:57:00,5.11,5.11,5.11,5.11,20000,5.11,4
88,2015-12-14 21:58:00,5.11,5.11,5.11,5.11,6000,5.11,2
89,2015-12-14 21:59:00,5.11,5.12,5.11,5.11,18000,5.1122,5
90,2015-12-14 22:00:00,5.12,5.12,5.1,5.1,512000,5.11,10
91,2015-12-14 22:01:00,5.1,5.11,5.1,5.1,72000,5.1064,10
92,2015-12-14 22:02:00,5.1,5.1,5.1,5.1,556000,5.1,12
93,2015-12-14 22:03:00,5.1,5.11,5.1,5.11,12000,5.1017,4
94,2015-12-14 22:04:00,5.1,5.11,5.1,5.11,26000,5.1038,4
95,2015-12-14 22:05:00,5.1,5.1,5.1,5.1,8000,5.1,4
96,2015-12-14 22:06:00,5.1,5.11,5.1,5.11,26000,5.1085,4
97,2015-12-14 22:07:00,5.1,5.11,5.1,5.11,24000,5.1083,5
98,2015-12-14 22:08:00,5.1,5.11,5.1,5.11,36000,5.105,7
99,2015-12-14 22:09:00,5.11,5.11,5.1,5.11,22000,5.1073,6
100,2015-12-14 22:10:00,5.1,5.1,5.09,5.09,690000,5.0998,14
101,2015-12-14 22:11:00,5.09,5.09,5.09,5.09,6000,5.09,3
102,2015-12-14 22:12:00,5.09,5.1,5.09,5.1,64000,5.0994,5
103,2015-12-14 22:13:00,5.09,5.1,5.09,5.1,40000,5.099,6
104,2015-12-14 22:14:00,5.09,5.09,5.09,5.09,10000,5.09,2
105,2015-12-14 22:15:00,5.1,5.1,5.09,5.1,74000,5.0997,8
106,2015-12-14 22:16:00,5.1,5.11,5.1,5.11,372000,5.1028,5
107,2015-12-14 22:17:00,5.1,5.1,5.1,5.1,22000,5.1,2
108,2015-12-14 22:18:00,5.1,5.11,5.1,5.1,48000,5.1012,4
109,2015-12-14 22:19:00,5.1,5.1,5.1,5.1,4000,5.1,2
110,2015-12-14 22:20:00,5.1,5.11,5.1,5.1,100000,5.1002,6
111,2015-12-14 22:21:00,5.1,5.11,5.1,5.1,70000,5.1089,6
112,2015-12-14 22:22:00,5.11,5.11,5.1,5.1,16000,5.1075,5
113,2015-12-14 22:23:00,5.1,5.11,5.1,5.1,76000,5.1082,6
114,2015-12-14 22:24:00,5.1,5.11,5.1,5.11,426000,5.1097,13
115,2015-12-14 22:25:00,5.11,5.12,5.11,5.12,772000,5.1133,11
116,2015-12-14 22:26:00,5.12,5.12,5.12,5.12,262000,5.12,5
117,2015-12-14 22:27:00,5.13,5.13,5.12,5.12,142000,5.1207,4
118,2015-12-14 22:28:00,5.12,5.13,5.12,5.13,100000,5.1202,5
119,2015-12-14 22:29:00,5.12,5.12,5.12,5.12,22000,5.12,2
120,2015-12-14 22:30:00,5.12,5.12,5.12,5.12,20000,5.12,4
121,2015-12-14 22:31:00,5.12,5.12,5.11,5.11,266000,5.1198,8
122,2015-12-14 22:32:00,5.11,5.11,5.11,5.11,0,5.11,0
123,2015-12-14 22:33:00,5.11,5.12,5.11,5.11,42000,5.119,4
124,2015-12-14 22:34:00,5.11,5.11,5.11,5.11,14000,5.11,3
125,2015-12-14 22:35:00,5.12,5.12,5.11,5.12,24000,5.1192,4
126,2015-12-14 22:36:00,5.11,5.12,5.11,5.12,10000,5.114,4
127,2015-12-14 22:37:00,5.11,5.11,5.11,5.11,6000,5.11,2
128,2015-12-14 22:38:00,5.12,5.12,5.11,5.11,96000,5.1192,5
129,2015-12-14 22:39:00,5.11,5.12,5.11,5.12,30000,5.114,6
130,2015-12-14 22:40:00,5.11,5.11,5.11,5.11,12000,5.11,4
131,2015-12-14 22:41:00,5.11,5.12,5.11,5.12,52000,5.1188,6
132,2015-12-14 22:42:00,5.11,5.11,5.11,5.11,16000,5.11,6
133,2015-12-14 22:43:00,5.12,5.12,5.11,5.11,26000,5.1115,7
134,2015-12-14 22:44:00,5.11,5.12,5.11,5.11,78000,5.1187,7
135,2015-12-14 22:45:00,5.11,5.12,5.11,5.12,26000,5.1169,4
136,2015-12-14 22:46:00,5.12,5.12,5.11,5.11,12000,5.115,4
137,2015-12-14 22:47:00,5.11,5.12,5.11,5.11,22000,5.1164,7
138,2015-12-14 22:48:00,5.11,5.12,5.11,5.12,164000,5.1189,12
139,2015-12-14 22:49:00,5.12,5.12,5.12,5.12,74000,5.12,3
140,2015-12-14 22:50:00,5.12,5.13,5.12,5.13,106000,5.1253,4
141,2015-12-14 22:51:00,5.12,5.12,5.12,5.12,82000,5.12,3
142,2015-12-14 22:52:00,5.13,5.13,5.12,5.12,30000,5.1213,4
143,2015-12-14 22:53:00,5.12,5.12,5.12,5.12,114000,5.12,8
144,2015-12-14 22:54:00,5.12,5.12,5.11,5.11,32000,5.1194,4
145,2015-12-14 22:55:00,5.12,5.12,5.11,5.12,24000,5.1192,6
146,2015-12-14 22:56:00,5.11,5.12,5.11,5.11,8000,5.1125,4
147,2015-12-14 22:57:00,5.11,5.11,5.11,5.11,4000,5.11,2
148,2015-12-14 22:58:00,5.11,5.11,5.1,5.1,184000,5.1097,4
149,2015-12-14 22:59:00,5.1,5.11,5.1,5.1,44000,5.1005,9
150,2015-12-15 00:00:00,5.11,5.11,5.1,5.1,34000,5.1065,8
151,2015-12-15 00:01:00,5.1,5.11,5.1,5.1,422000,5.1002,7
152,2015-12-15 00:02:00,5.1,5.1,5.09,5.09,20000,5.095,3
153,2015-12-15 00:03:00,5.09,5.09,5.09,5.09,8000,5.09,4
154,2015-12-15 00:04:00,5.09,5.09,5.09,5.09,18000,5.09,2
155,2015-12-15 00:05:00,5.1,5.1,5.09,5.1,264000,5.0942,5
156,2015-12-15 00:06:00,5.09,5.1,5.09,5.1,12000,5.0983,2
157,2015-12-15 00:07:00,5.1,5.1,5.09,5.09,286000,5.092,11
158,2015-12-15 00:08:00,5.1,5.1,5.09,5.09,20000,5.099,2
159,2015-12-15 00:09:00,5.09,5.09,5.09,5.09,6000,5.09,1
