,date,open,high,low,close,volume,average,barCount
0,2015-07-13 21:30:00,3.59,3.59,3.54,3.54,122000,3.5685,22
1,2015-07-13 21:31:00,3.51,3.51,3.46,3.46,296000,3.5047,10
2,2015-07-13 21:32:00,3.47,3.47,3.45,3.45,60000,3.463,11
3,2015-07-13 21:33:00,3.46,3.48,3.46,3.48,150000,3.4676,12
4,2015-07-13 21:34:00,3.48,3.48,3.48,3.48,56000,3.48,3
5,2015-07-13 21:35:00,3.48,3.48,3.48,3.48,4000,3.48,2
6,2015-07-13 21:36:00,3.49,3.5,3.49,3.5,46000,3.4996,6
7,2015-07-13 21:37:00,3.5,3.5,3.49,3.49,14000,3.4986,3
8,2015-07-13 21:38:00,3.49,3.5,3.49,3.49,36000,3.4989,6
9,2015-07-13 21:39:00,3.49,3.49,3.49,3.49,10000,3.49,3
10,2015-07-13 21:40:00,3.5,3.5,3.49,3.5,24000,3.4925,5
11,2015-07-13 21:41:00,3.49,3.5,3.49,3.49,42000,3.4938,8
12,2015-07-13 21:42:00,3.49,3.5,3.49,3.49,150000,3.4913,11
13,2015-07-13 21:43:00,3.49,3.5,3.49,3.49,120000,3.4927,12
14,2015-07-13 21:44:00,3.5,3.5,3.49,3.5,394000,3.4969,8
15,2015-07-13 21:45:00,3.5,3.51,3.5,3.5,190000,3.5072,17
16,2015-07-13 21:46:00,3.51,3.53,3.51,3.53,42000,3.5224,7
17,2015-07-13 21:47:00,3.52,3.53,3.51,3.51,248000,3.5169,22
18,2015-07-13 21:48:00,3.52,3.52,3.51,3.51,148000,3.5105,19
19,2015-07-13 21:49:00,3.5,3.51,3.48,3.48,220000,3.4974,16
20,2015-07-13 21:50:00,3.48,3.49,3.48,3.48,56000,3.4811,7
21,2015-07-13 21:51:00,3.48,3.48,3.48,3.48,24000,3.48,3
22,2015-07-13 21:52:00,3.48,3.49,3.48,3.48,54000,3.4819,6
23,2015-07-13 21:53:00,3.48,3.49,3.48,3.49,44000,3.4891,5
24,2015-07-13 21:54:00,3.48,3.49,3.48,3.49,32000,3.4831,5
25,2015-07-13 21:55:00,3.48,3.49,3.48,3.48,42000,3.4829,7
26,2015-07-13 21:56:00,3.48,3.48,3.47,3.47,294000,3.4765,13
27,2015-07-13 21:57:00,3.46,3.46,3.43,3.43,316000,3.4467,20
28,2015-07-13 21:58:00,3.43,3.44,3.43,3.44,110000,3.4375,8
29,2015-07-13 21:59:00,3.45,3.45,3.44,3.44,22000,3.4491,2
30,2015-07-13 22:00:00,3.45,3.45,3.44,3.44,174000,3.4451,10
31,2015-07-13 22:01:00,3.45,3.45,3.43,3.43,32000,3.4363,2
32,2015-07-13 22:02:00,3.44,3.44,3.42,3.42,362000,3.4363,12
33,2015-07-13 22:03:00,3.42,3.42,3.42,3.42,76000,3.42,1
34,2015-07-13 22:04:00,3.42,3.43,3.4,3.42,522000,3.41,14
35,2015-07-13 22:05:00,3.42,3.42,3.42,3.42,204000,3.42,6
36,2015-07-13 22:06:00,3.42,3.43,3.42,3.43,102000,3.422,12
37,2015-07-13 22:07:00,3.43,3.43,3.4,3.4,302000,3.411,17
38,2015-07-13 22:08:00,3.41,3.41,3.4,3.4,24000,3.4042,2
39,2015-07-13 22:09:00,3.4,3.41,3.4,3.4,28000,3.405,3
