,date,open,high,low,close,volume,average,barCount
0,2015-04-22 21:30:00,7.07,7.14,7.05,7.09,2442000,7.0896,92
1,2015-04-22 21:31:00,7.08,7.08,7.07,7.08,330000,7.0789,17
2,2015-04-22 21:32:00,7.07,7.08,7.04,7.05,704000,7.0672,23
3,2015-04-22 21:33:00,7.05,7.05,7.03,7.04,858000,7.0347,19
4,2015-04-22 21:34:00,7.05,7.08,7.05,7.08,566000,7.0623,16
5,2015-04-22 21:35:00,7.08,7.08,7.07,7.08,138000,7.0746,10
6,2015-04-22 21:36:00,7.08,7.08,7.07,7.08,92000,7.0763,12
7,2015-04-22 21:37:00,7.08,7.08,7.07,7.07,44000,7.0705,3
8,2015-04-22 21:38:00,7.08,7.08,7.07,7.08,126000,7.076,13
9,2015-04-22 21:39:00,7.07,7.07,7.03,7.03,674000,7.0581,17
10,2015-04-22 21:40:00,7.05,7.05,7.04,7.04,12000,7.0417,2
11,2015-04-22 21:41:00,7.04,7.05,7.04,7.05,14000,7.0471,3
12,2015-04-22 21:42:00,7.05,7.07,7.05,7.07,524000,7.0567,9
13,2015-04-22 21:43:00,7.07,7.08,7.07,7.08,30000,7.0793,4
14,2015-04-22 21:44:00,7.08,7.08,7.06,7.07,582000,7.0665,13
15,2015-04-22 21:45:00,7.07,7.07,7.05,7.06,78000,7.0626,15
16,2015-04-22 21:46:00,7.06,7.08,7.06,7.08,458000,7.0743,11
17,2015-04-22 21:47:00,7.08,7.08,7.07,7.07,358000,7.0773,9
18,2015-04-22 21:48:00,7.07,7.08,7.07,7.08,72000,7.0744,7
19,2015-04-22 21:49:00,7.07,7.09,7.07,7.09,208000,7.0805,14
20,2015-04-22 21:50:00,7.08,7.1,7.08,7.1,278000,7.0915,25
21,2015-04-22 21:51:00,7.09,7.1,7.09,7.09,254000,7.0948,16
22,2015-04-22 21:52:00,7.09,7.1,7.08,7.09,870000,7.09,22
23,2015-04-22 21:53:00,7.09,7.09,7.09,7.09,2000,7.09,1
24,2015-04-22 21:54:00,7.09,7.09,7.08,7.09,240000,7.0891,12
25,2015-04-22 21:55:00,7.08,7.09,7.08,7.09,132000,7.0865,7
26,2015-04-22 21:56:00,7.09,7.09,7.08,7.09,334000,7.0898,26
27,2015-04-22 21:57:00,7.09,7.09,7.08,7.08,172000,7.0884,8
28,2015-04-22 21:58:00,7.09,7.09,7.09,7.09,12000,7.09,3
29,2015-04-22 21:59:00,7.09,7.09,7.08,7.08,150000,7.0827,16
30,2015-04-22 22:00:00,7.09,7.09,7.08,7.08,290000,7.0871,10
31,2015-04-22 22:01:00,7.08,7.09,7.08,7.09,78000,7.081,9
32,2015-04-22 22:02:00,7.09,7.09,7.08,7.08,210000,7.0804,17
33,2015-04-22 22:03:00,7.09,7.09,7.08,7.08,70000,7.0837,20
34,2015-04-22 22:04:00,7.09,7.09,7.08,7.09,220000,7.0847,14
35,2015-04-22 22:05:00,7.09,7.09,7.08,7.09,170000,7.0861,14
36,2015-04-22 22:06:00,7.08,7.09,7.08,7.08,456000,7.0852,26
37,2015-04-22 22:07:00,7.09,7.09,7.08,7.09,230000,7.087,11
38,2015-04-22 22:08:00,7.09,7.09,7.08,7.08,92000,7.083,19
39,2015-04-22 22:09:00,7.09,7.09,7.08,7.08,176000,7.081,22
40,2015-04-22 22:10:00,7.09,7.09,7.08,7.08,78000,7.0828,14
41,2015-04-22 22:11:00,7.08,7.11,7.08,7.11,4126000,7.0989,26
42,2015-04-22 22:12:00,7.11,7.12,7.11,7.12,476000,7.1185,14
43,2015-04-22 22:13:00,7.12,7.12,7.1,7.11,682000,7.1106,13
44,2015-04-22 22:14:00,7.11,7.11,7.1,7.11,404000,7.1035,11
45,2015-04-22 22:15:00,7.1,7.1,7.1,7.1,268000,7.1,9
46,2015-04-22 22:16:00,7.1,7.11,7.1,7.1,84000,7.1071,4
47,2015-04-22 22:17:00,7.1,7.11,7.1,7.1,1082000,7.1001,11
48,2015-04-22 22:18:00,7.1,7.11,7.1,7.1,696000,7.1017,16
49,2015-04-22 22:19:00,7.11,7.11,7.1,7.1,322000,7.1002,8
50,2015-04-22 22:20:00,7.11,7.12,7.11,7.11,1062000,7.1101,14
51,2015-04-22 22:21:00,7.11,7.12,7.11,7.12,32000,7.1106,4
52,2015-04-22 22:22:00,7.11,7.12,7.11,7.12,126000,7.1121,12
53,2015-04-22 22:23:00,7.11,7.12,7.1,7.11,352000,7.1102,16
54,2015-04-22 22:24:00,7.11,7.12,7.1,7.11,536000,7.1099,10
55,2015-04-22 22:25:00,7.11,7.12,7.1,7.12,174000,7.11,13
56,2015-04-22 22:26:00,7.12,7.12,7.11,7.11,104000,7.1146,15
57,2015-04-22 22:27:00,7.12,7.12,7.11,7.12,80000,7.1175,10
58,2015-04-22 22:28:00,7.12,7.14,7.11,7.14,2380000,7.1249,30
59,2015-04-22 22:29:00,7.13,7.14,7.13,7.13,1116000,7.1396,22
60,2015-04-22 22:30:00,7.14,7.14,7.12,7.12,2368000,7.129,8
61,2015-04-22 22:31:00,7.12,7.13,7.12,7.13,246000,7.1283,6
62,2015-04-22 22:32:00,7.13,7.13,7.13,7.13,24000,7.13,4
63,2015-04-22 22:33:00,7.13,7.13,7.12,7.13,814000,7.1289,15
64,2015-04-22 22:34:00,7.14,7.14,7.13,7.14,686000,7.1393,18
65,2015-04-22 22:35:00,7.14,7.15,7.13,7.13,130000,7.1383,14
66,2015-04-22 22:36:00,7.13,7.14,7.13,7.14,42000,7.1319,5
67,2015-04-22 22:37:00,7.13,7.15,7.13,7.15,1876000,7.1394,23
68,2015-04-22 22:38:00,7.14,7.15,7.14,7.15,402000,7.1454,12
69,2015-04-22 22:39:00,7.14,7.15,7.14,7.14,66000,7.1415,7
70,2015-04-22 22:40:00,7.15,7.15,7.14,7.14,220000,7.1474,13
71,2015-04-22 22:41:00,7.15,7.15,7.13,7.14,2906000,7.1384,39
72,2015-04-22 22:42:00,7.14,7.14,7.13,7.14,218000,7.1399,9
73,2015-04-22 22:43:00,7.13,7.14,7.13,7.14,326000,7.1364,11
74,2015-04-22 22:44:00,7.14,7.14,7.13,7.13,360000,7.1389,12
75,2015-04-22 22:45:00,7.14,7.14,7.13,7.14,426000,7.1399,14
