,date,open,high,low,close,volume,average,barCount
5,2020-02-20 18:57:00,0.66144,0.6615,0.66142,0.66145,-1,-1.0,-1
6,2020-02-20 18:58:00,0.66135,0.66144,0.66132,0.66137,-1,-1.0,-1
7,2020-02-20 18:59:00,0.66122,0.66137,0.66115,0.66123,-1,-1.0,-1
8,2020-02-20 19:00:00,0.66123,0.66127,0.66116,0.66124,-1,-1.0,-1
9,2020-02-20 19:01:00,0.66123,0.66135,0.66114,0.66124,-1,-1.0,-1
0,2020-02-21 09:27:00,0.66041,0.66048,0.66035,0.66043,-1,-1.0,-1
1,2020-02-21 09:28:00,0.66038,0.66041,0.66028,0.66039,-1,-1.0,-1
2,2020-02-21 09:29:00,0.66027,0.66031,0.66025,0.66029,-1,-1.0,-1
3,2020-02-21 09:30:00,0.66032,0.66043,0.66028,0.66034,-1,-1.0,-1
4,2020-02-21 09:31:00,0.66031,0.66043,0.66021,0.66033,-1,-1.0,-1
10,2020-02-21 16:55:00,0.66271,0.66277,0.66265,0.66275,-1,-1.0,-1
15,2020-02-21 16:55:00,0.66271,0.66277,0.66265,0.66275,-1,-1.0,-1
11,2020-02-21 16:56:00,0.66269,0.66277,0.66261,0.66275,-1,-1.0,-1
16,2020-02-21 16:56:00,0.66269,0.66277,0.66261,0.66275,-1,-1.0,-1
12,2020-02-21 16:57:00,0.6627,0.66281,0.66268,0.66276,-1,-1.0,-1
17,2020-02-21 16:57:00,0.6627,0.66281,0.66268,0.66276,-1,-1.0,-1
18,2020-02-21 16:58:00,0.66271,0.66283,0.66266,0.66277,-1,-1.0,-1
13,2020-02-21 16:58:00,0.66271,0.66283,0.66266,0.66277,-1,-1.0,-1
14,2020-02-21 16:59:00,0.66255,0.66315,0.662,0.66279,-1,-1.0,-1
19,2020-02-21 16:59:00,0.66255,0.66315,0.662,0.66279,-1,-1.0,-1
25,2020-02-23 18:57:00,0.66078,0.6609,0.66068,0.66079,-1,-1.0,-1
26,2020-02-23 18:58:00,0.66071,0.66075,0.66068,0.66072,-1,-1.0,-1
27,2020-02-23 18:59:00,0.66059,0.66073,0.66054,0.66061,-1,-1.0,-1
28,2020-02-23 19:00:00,0.66057,0.66063,0.6605,0.66059,-1,-1.0,-1
29,2020-02-23 19:01:00,0.66052,0.6606,0.66043,0.66054,-1,-1.0,-1
20,2020-02-24 09:27:00,0.66047,0.66056,0.66035,0.66048,-1,-1.0,-1
21,2020-02-24 09:28:00,0.66044,0.66058,0.66037,0.66046,-1,-1.0,-1
22,2020-02-24 09:29:00,0.66051,0.66058,0.66039,0.66052,-1,-1.0,-1
23,2020-02-24 09:30:00,0.66041,0.66056,0.66034,0.66042,-1,-1.0,-1
24,2020-02-24 09:31:00,0.66038,0.6605,0.66034,0.66039,-1,-1.0,-1
35,2020-02-24 18:57:00,0.66118,0.66123,0.66116,0.66121,-1,-1.0,-1
36,2020-02-24 18:58:00,0.66117,0.66127,0.66111,0.6612,-1,-1.0,-1
37,2020-02-24 18:59:00,0.66112,0.66119,0.66106,0.66114,-1,-1.0,-1
38,2020-02-24 19:00:00,0.66109,0.66115,0.66104,0.66111,-1,-1.0,-1
39,2020-02-24 19:01:00,0.66118,0.66124,0.66112,0.6612,-1,-1.0,-1
30,2020-02-25 09:27:00,0.65929,0.65934,0.65926,0.65931,-1,-1.0,-1
31,2020-02-25 09:28:00,0.65925,0.6593,0.65922,0.65927,-1,-1.0,-1
32,2020-02-25 09:29:00,0.65931,0.65939,0.65922,0.65932,-1,-1.0,-1
33,2020-02-25 09:30:00,0.65933,0.65952,0.65922,0.65935,-1,-1.0,-1
34,2020-02-25 09:31:00,0.65939,0.65952,0.65937,0.65941,-1,-1.0,-1
45,2020-02-25 18:57:00,0.66042,0.66046,0.66041,0.66045,-1,-1.0,-1
46,2020-02-25 18:58:00,0.66047,0.66053,0.66041,0.66049,-1,-1.0,-1
47,2020-02-25 18:59:00,0.6605,0.66054,0.66044,0.66051,-1,-1.0,-1
48,2020-02-25 19:00:00,0.6604,0.66054,0.66032,0.66043,-1,-1.0,-1
49,2020-02-25 19:01:00,0.66032,0.66043,0.66031,0.66034,-1,-1.0,-1
40,2020-02-26 09:27:00,0.65693,0.65717,0.65684,0.65695,-1,-1.0,-1
41,2020-02-26 09:28:00,0.65682,0.65691,0.65678,0.65684,-1,-1.0,-1
42,2020-02-26 09:29:00,0.6569,0.65695,0.65681,0.65692,-1,-1.0,-1
43,2020-02-26 09:30:00,0.65685,0.65695,0.65678,0.65687,-1,-1.0,-1
44,2020-02-26 09:31:00,0.65683,0.65692,0.65677,0.65685,-1,-1.0,-1
55,2020-02-26 18:57:00,0.65461,0.65477,0.65455,0.65463,-1,-1.0,-1
56,2020-02-26 18:58:00,0.65462,0.65472,0.65444,0.65464,-1,-1.0,-1
57,2020-02-26 18:59:00,0.65462,0.65477,0.65456,0.65463,-1,-1.0,-1
58,2020-02-26 19:00:00,0.65481,0.65497,0.65468,0.65483,-1,-1.0,-1
59,2020-02-26 19:01:00,0.65499,0.65509,0.65488,0.655,-1,-1.0,-1
50,2020-02-27 09:27:00,0.65803,0.65814,0.65797,0.65805,-1,-1.0,-1
51,2020-02-27 09:28:00,0.6582,0.65832,0.65809,0.65822,-1,-1.0,-1
52,2020-02-27 09:29:00,0.65826,0.65838,0.6581,0.65827,-1,-1.0,-1
53,2020-02-27 09:30:00,0.65794,0.65813,0.65784,0.65795,-1,-1.0,-1
54,2020-02-27 09:31:00,0.6578,0.65788,0.65773,0.65781,-1,-1.0,-1
65,2020-02-27 18:57:00,0.65806,0.65811,0.65803,0.65807,-1,-1.0,-1
66,2020-02-27 18:58:00,0.65805,0.65812,0.65796,0.65807,-1,-1.0,-1
67,2020-02-27 18:59:00,0.65803,0.65815,0.65795,0.65805,-1,-1.0,-1
68,2020-02-27 19:00:00,0.65802,0.65813,0.65786,0.65804,-1,-1.0,-1
69,2020-02-27 19:01:00,0.65819,0.65828,0.6581,0.65821,-1,-1.0,-1
60,2020-02-28 09:27:00,0.64968,0.64975,0.64958,0.6497,-1,-1.0,-1
61,2020-02-28 09:28:00,0.64969,0.64977,0.6496,0.64971,-1,-1.0,-1
62,2020-02-28 09:29:00,0.6498,0.64989,0.64967,0.64982,-1,-1.0,-1
63,2020-02-28 09:30:00,0.64983,0.64996,0.64975,0.64985,-1,-1.0,-1
64,2020-02-28 09:31:00,0.6497,0.64981,0.64964,0.64973,-1,-1.0,-1
