,date,open,high,low,close,volume,average,barCount
5,2015-05-31 21:27:00,7.7529,7.75296,7.7529,7.75296,-1,-1.0,-1
6,2015-05-31 21:28:00,7.7529,7.75296,7.7529,7.75295,-1,-1.0,-1
7,2015-05-31 21:29:00,7.7529,7.75295,7.7529,7.75294,-1,-1.0,-1
8,2015-05-31 21:30:00,7.7528,7.75295,7.75271,7.75287,-1,-1.0,-1
9,2015-05-31 21:31:00,7.75282,7.75291,7.75282,7.75291,-1,-1.0,-1
0,2015-06-01 09:27:00,7.75589,7.756,7.75588,7.75596,-1,-1.0,-1
1,2015-06-01 09:28:00,7.75588,7.75595,7.75588,7.75595,-1,-1.0,-1
2,2015-06-01 09:29:00,7.75588,7.75595,7.75583,7.75595,-1,-1.0,-1
3,2015-06-01 09:30:00,7.75588,7.75595,7.75588,7.75595,-1,-1.0,-1
4,2015-06-01 09:31:00,7.75591,7.756,7.75588,7.75599,-1,-1.0,-1
15,2015-06-01 21:27:00,7.75496,7.755,7.75494,7.755,-1,-1.0,-1
16,2015-06-01 21:28:00,7.75496,7.755,7.75496,7.755,-1,-1.0,-1
17,2015-06-01 21:29:00,7.75496,7.75501,7.75496,7.755,-1,-1.0,-1
18,2015-06-01 21:30:00,7.75496,7.755,7.75495,7.755,-1,-1.0,-1
19,2015-06-01 21:31:00,7.75493,7.75501,7.75491,7.75501,-1,-1.0,-1
10,2015-06-02 09:27:00,7.75584,7.7559,7.75584,7.7559,-1,-1.0,-1
11,2015-06-02 09:28:00,7.75584,7.75595,7.75584,7.75591,-1,-1.0,-1
12,2015-06-02 09:29:00,7.75584,7.75598,7.75584,7.75595,-1,-1.0,-1
13,2015-06-02 09:30:00,7.75585,7.75604,7.75584,7.75597,-1,-1.0,-1
14,2015-06-02 09:31:00,7.75589,7.75605,7.75589,7.75605,-1,-1.0,-1
25,2015-06-02 21:27:00,7.75541,7.7555,7.7554,7.75547,-1,-1.0,-1
26,2015-06-02 21:28:00,7.75543,7.75549,7.75541,7.75549,-1,-1.0,-1
27,2015-06-02 21:29:00,7.75543,7.75549,7.75541,7.75547,-1,-1.0,-1
28,2015-06-02 21:30:00,7.75544,7.75545,7.75544,7.75545,-1,-1.0,-1
29,2015-06-02 21:31:00,7.75544,7.75545,7.75544,7.75545,-1,-1.0,-1
20,2015-06-03 09:27:00,7.7533,7.75339,7.7533,7.75339,-1,-1.0,-1
21,2015-06-03 09:28:00,7.7533,7.75339,7.7533,7.75339,-1,-1.0,-1
22,2015-06-03 09:29:00,7.7533,7.75339,7.7533,7.75339,-1,-1.0,-1
23,2015-06-03 09:30:00,7.7533,7.75338,7.7533,7.75338,-1,-1.0,-1
24,2015-06-03 09:31:00,7.7533,7.75338,7.7533,7.75338,-1,-1.0,-1
35,2015-06-03 21:27:00,7.75327,7.75338,7.75325,7.75336,-1,-1.0,-1
36,2015-06-03 21:28:00,7.75329,7.75338,7.75328,7.75338,-1,-1.0,-1
37,2015-06-03 21:29:00,7.7533,7.75338,7.7533,7.75338,-1,-1.0,-1
38,2015-06-03 21:30:00,7.7533,7.75338,7.7533,7.75338,-1,-1.0,-1
39,2015-06-03 21:31:00,7.7533,7.75339,7.7533,7.75339,-1,-1.0,-1
30,2015-06-04 09:27:00,7.75221,7.75229,7.75221,7.75229,-1,-1.0,-1
31,2015-06-04 09:28:00,7.75221,7.75229,7.75221,7.75229,-1,-1.0,-1
32,2015-06-04 09:29:00,7.75221,7.75229,7.75221,7.75229,-1,-1.0,-1
33,2015-06-04 09:30:00,7.75221,7.75229,7.75221,7.75229,-1,-1.0,-1
34,2015-06-04 09:31:00,7.75221,7.75229,7.75221,7.75229,-1,-1.0,-1
45,2015-06-04 21:27:00,7.75205,7.75214,7.75205,7.75214,-1,-1.0,-1
46,2015-06-04 21:28:00,7.75209,7.75221,7.75205,7.75218,-1,-1.0,-1
47,2015-06-04 21:29:00,7.75216,7.75228,7.75209,7.75225,-1,-1.0,-1
48,2015-06-04 21:30:00,7.75218,7.75228,7.75216,7.75228,-1,-1.0,-1
49,2015-06-04 21:31:00,7.75216,7.75227,7.75216,7.75227,-1,-1.0,-1
40,2015-06-05 09:27:00,7.7531,7.75319,7.7531,7.75319,-1,-1.0,-1
41,2015-06-05 09:28:00,7.7531,7.75319,7.7531,7.75319,-1,-1.0,-1
42,2015-06-05 09:29:00,7.7531,7.75319,7.7531,7.75319,-1,-1.0,-1
43,2015-06-05 09:30:00,7.7531,7.75319,7.7531,7.75319,-1,-1.0,-1
44,2015-06-05 09:31:00,7.7531,7.75319,7.7531,7.75319,-1,-1.0,-1
50,2015-06-05 16:55:00,7.7518,7.75239,7.7518,7.75239,-1,-1.0,-1
55,2015-06-05 16:55:00,7.7518,7.75239,7.7518,7.75239,-1,-1.0,-1
51,2015-06-05 16:56:00,7.7518,7.75238,7.7518,7.75238,-1,-1.0,-1
56,2015-06-05 16:56:00,7.7518,7.75238,7.7518,7.75238,-1,-1.0,-1
57,2015-06-05 16:57:00,7.7518,7.75238,7.7518,7.75238,-1,-1.0,-1
