,date,open,high,low,close,volume,average,barCount
0,2015-04-10,120.38,120.635,120.055,120.384,-1,-1.0,-1
1,2015-04-13,120.337,120.847,119.705,120.34,-1,-1.0,-1
2,2015-04-14,119.69,120.18,119.071,119.693,-1,-1.0,-1
3,2015-04-15,119.405,119.748,118.79,119.408,-1,-1.0,-1
4,2015-04-16,119.139,119.475,118.795,119.142,-1,-1.0,-1
5,2015-04-17,118.934,119.267,118.57,118.937,-1,-1.0,-1
6,2015-04-20,118.999,119.437,118.53,119.002,-1,-1.0,-1
7,2015-04-21,119.481,119.835,119.176,119.483,-1,-1.0,-1
8,2015-04-22,119.677,119.964,119.345,119.68,-1,-1.0,-1
9,2015-04-23,119.847,120.095,119.426,119.849,-1,-1.0,-1
10,2015-04-24,119.325,119.664,118.828,119.328,-1,-1.0,-1
11,2015-04-27,119.08,119.435,118.776,119.083,-1,-1.0,-1
12,2015-04-28,119.002,119.204,118.775,119.005,-1,-1.0,-1
13,2015-04-29,118.956,119.363,118.61,118.959,-1,-1.0,-1
14,2015-04-30,119.122,119.895,118.495,119.125,-1,-1.0,-1
15,2015-05-01,119.847,120.29,119.383,119.851,-1,-1.0,-1
16,2015-05-04,120.143,120.277,119.995,120.146,-1,-1.0,-1
17,2015-05-05,120.107,120.507,119.725,120.11,-1,-1.0,-1
18,2015-05-06,119.715,120.048,119.206,119.718,-1,-1.0,-1
19,2015-05-07,119.48,119.865,119.056,119.483,-1,-1.0,-1
20,2015-05-08,119.865,120.24,119.592,119.868,-1,-1.0,-1
21,2015-05-11,119.924,120.155,119.67,119.927,-1,-1.0,-1
22,2015-05-12,120.036,120.28,119.785,120.038,-1,-1.0,-1
23,2015-05-13,119.59,119.975,119.035,119.593,-1,-1.0,-1
24,2015-05-14,119.169,119.34,118.887,119.172,-1,-1.0,-1
25,2015-05-15,119.444,119.93,119.14,119.447,-1,-1.0,-1
26,2015-05-18,119.7,120.038,119.295,119.702,-1,-1.0,-1
27,2015-05-19,120.212,120.74,119.83,120.214,-1,-1.0,-1
28,2015-05-20,120.971,121.483,120.58,120.973,-1,-1.0,-1
29,2015-05-21,121.094,121.4,120.846,121.097,-1,-1.0,-1
30,2015-05-22,121.097,121.573,120.64,121.1,-1,-1.0,-1
31,2015-05-25,121.567,121.78,121.446,121.571,-1,-1.0,-1
32,2015-05-26,122.43,123.327,121.47,122.433,-1,-1.0,-1
33,2015-05-27,123.373,124.072,122.776,123.375,-1,-1.0,-1
34,2015-05-28,123.95,124.464,123.493,123.953,-1,-1.0,-1
35,2015-05-29,123.881,124.185,123.601,123.884,-1,-1.0,-1
36,2015-06-01,124.295,124.919,123.853,124.298,-1,-1.0,-1
37,2015-06-02,124.509,125.061,123.753,124.512,-1,-1.0,-1
38,2015-06-03,124.187,124.685,123.79,124.19,-1,-1.0,-1
39,2015-06-04,124.327,124.687,123.778,124.33,-1,-1.0,-1
40,2015-06-05,124.928,125.859,124.325,124.932,-1,-1.0,-1
41,2015-06-08,125.242,125.688,124.295,125.245,-1,-1.0,-1
42,2015-06-09,124.371,124.741,123.861,124.374,-1,-1.0,-1
43,2015-06-10,123.281,124.623,122.457,123.285,-1,-1.0,-1
44,2015-06-11,123.343,124.19,122.595,123.346,-1,-1.0,-1
45,2015-06-12,123.523,123.818,123.138,123.526,-1,-1.0,-1
46,2015-06-15,123.445,123.665,123.165,123.448,-1,-1.0,-1
47,2015-06-16,123.467,123.807,123.291,123.47,-1,-1.0,-1
48,2015-06-17,123.702,124.462,123.209,123.705,-1,-1.0,-1
49,2015-06-18,123.01,123.612,122.48,123.013,-1,-1.0,-1
50,2015-06-19,122.92,123.22,122.558,122.924,-1,-1.0,-1
51,2015-06-22,123.039,123.42,122.56,123.042,-1,-1.0,-1
52,2015-06-23,123.705,124.188,123.34,123.708,-1,-1.0,-1
53,2015-06-24,123.949,124.379,123.716,123.952,-1,-1.0,-1
54,2015-06-25,123.682,123.961,123.32,123.685,-1,-1.0,-1
55,2015-06-26,123.604,123.992,123.225,123.607,-1,-1.0,-1
56,2015-06-29,122.733,123.195,122.109,122.737,-1,-1.0,-1
57,2015-06-30,122.366,122.73,121.94,122.369,-1,-1.0,-1
58,2015-07-01,122.793,123.239,122.354,122.796,-1,-1.0,-1
59,2015-07-02,123.283,123.752,122.954,123.286,-1,-1.0,-1
60,2015-07-03,122.93,123.189,122.6,122.935,-1,-1.0,-1
61,2015-07-06,122.533,122.933,121.86,122.537,-1,-1.0,-1
62,2015-07-07,122.537,122.884,122.01,122.54,-1,-1.0,-1
63,2015-07-08,121.574,122.595,120.415,121.577,-1,-1.0,-1
64,2015-07-09,121.214,121.579,120.465,121.217,-1,-1.0,-1
65,2015-07-10,122.226,122.883,121.27,122.23,-1,-1.0,-1
66,2015-07-13,123.055,123.538,122.265,123.058,-1,-1.0,-1
67,2015-07-14,123.402,123.734,122.921,123.406,-1,-1.0,-1
68,2015-07-15,123.587,123.974,123.26,123.59,-1,-1.0,-1
69,2015-07-16,123.954,124.184,123.738,123.957,-1,-1.0,-1
70,2015-07-17,124.071,124.234,123.916,124.074,-1,-1.0,-1
71,2015-07-20,124.208,124.394,123.995,124.211,-1,-1.0,-1
72,2015-07-21,124.222,124.478,123.758,124.225,-1,-1.0,-1
73,2015-07-22,123.851,124.153,123.571,123.854,-1,-1.0,-1
74,2015-07-23,123.924,124.19,123.675,123.927,-1,-1.0,-1
75,2015-07-24,123.885,124.099,123.597,123.888,-1,-1.0,-1
76,2015-07-27,123.4,123.843,123.008,123.403,-1,-1.0,-1
77,2015-07-28,123.516,123.795,123.075,123.52,-1,-1.0,-1
78,2015-07-29,123.648,124.027,123.33,123.652,-1,-1.0,-1
79,2015-07-30,124.2,124.584,123.876,124.204,-1,-1.0,-1
80,2015-07-31,124.029,124.379,123.518,124.033,-1,-1.0,-1
81,2015-08-03,124.033,124.274,123.84,124.036,-1,-1.0,-1
82,2015-08-04,124.034,124.405,123.8,124.037,-1,-1.0,-1
83,2015-08-05,124.514,125.015,124.02,124.517,-1,-1.0,-1
84,2015-08-06,124.778,124.965,124.541,124.781,-1,-1.0,-1
85,2015-08-07,124.61,125.073,124.105,124.613,-1,-1.0,-1
86,2015-08-10,124.5,124.79,124.125,124.503,-1,-1.0,-1
87,2015-08-11,124.841,125.21,124.522,124.844,-1,-1.0,-1
88,2015-08-12,124.579,125.283,123.79,124.582,-1,-1.0,-1
89,2015-08-13,124.406,124.63,124.068,124.408,-1,-1.0,-1
90,2015-08-14,124.32,124.536,124.055,124.323,-1,-1.0,-1
91,2015-08-17,124.399,124.577,124.14,124.403,-1,-1.0,-1
92,2015-08-18,124.382,124.515,124.181,124.385,-1,-1.0,-1
93,2015-08-19,124.236,124.475,123.69,124.239,-1,-1.0,-1
94,2015-08-20,123.812,124.165,123.329,123.814,-1,-1.0,-1
95,2015-08-21,122.78,123.501,121.814,122.783,-1,-1.0,-1
96,2015-08-24,120.186,122.038,116.134,120.19,-1,-1.0,-1
97,2015-08-25,119.502,120.402,118.245,119.506,-1,-1.0,-1
98,2015-08-26,119.385,120.02,118.45,119.389,-1,-1.0,-1
99,2015-08-27,120.389,121.403,119.793,120.392,-1,-1.0,-1
100,2015-08-28,121.063,121.755,120.65,121.066,-1,-1.0,-1
101,2015-08-31,121.22,121.642,120.88,121.224,-1,-1.0,-1
102,2015-09-01,120.303,121.29,119.253,120.307,-1,-1.0,-1
103,2015-09-02,120.046,120.474,119.221,120.049,-1,-1.0,-1
104,2015-09-03,120.286,120.7,119.642,120.29,-1,-1.0,-1
105,2015-09-04,119.339,120.19,118.579,119.342,-1,-1.0,-1
106,2015-09-07,119.301,119.594,118.8,119.305,-1,-1.0,-1
107,2015-09-08,119.656,120.23,118.854,119.659,-1,-1.0,-1
108,2015-09-09,120.546,121.2,119.76,120.549,-1,-1.0,-1
109,2015-09-10,120.648,121.36,119.976,120.652,-1,-1.0,-1
110,2015-09-11,120.671,120.971,120.362,120.674,-1,-1.0,-1
111,2015-09-14,120.294,120.845,119.853,120.296,-1,-1.0,-1
112,2015-09-15,120.083,120.655,119.401,120.086,-1,-1.0,-1
113,2015-09-16,120.43,120.729,120.107,120.433,-1,-1.0,-1
114,2015-09-17,120.678,120.997,119.793,120.681,-1,-1.0,-1
115,2015-09-18,119.731,120.415,119.053,119.735,-1,-1.0,-1
116,2015-09-21,120.197,120.66,119.726,120.201,-1,-1.0,-1
117,2015-09-22,120.18,120.622,119.695,120.183,-1,-1.0,-1
118,2015-09-23,120.115,120.548,119.624,120.119,-1,-1.0,-1
119,2015-09-24,119.894,120.394,119.225,119.897,-1,-1.0,-1
120,2015-09-25,120.559,121.239,120.023,120.562,-1,-1.0,-1
121,2015-09-28,120.162,120.603,119.697,120.165,-1,-1.0,-1
122,2015-09-29,119.756,120.163,119.25,119.759,-1,-1.0,-1
123,2015-09-30,119.958,120.351,119.549,119.961,-1,-1.0,-1
124,2015-10-01,119.939,120.278,119.492,119.942,-1,-1.0,-1
125,2015-10-02,119.855,120.407,118.682,119.858,-1,-1.0,-1
126,2015-10-05,120.174,120.555,119.87,120.177,-1,-1.0,-1
127,2015-10-06,120.351,120.57,120.109,120.354,-1,-1.0,-1
128,2015-10-07,120.056,120.362,119.747,120.059,-1,-1.0,-1
129,2015-10-08,119.884,120.112,119.626,119.887,-1,-1.0,-1
130,2015-10-09,120.126,120.349,119.837,120.129,-1,-1.0,-1
131,2015-10-12,120.104,120.275,119.891,120.107,-1,-1.0,-1
132,2015-10-13,119.821,120.083,119.551,119.823,-1,-1.0,-1
133,2015-10-14,119.435,119.8,118.625,119.438,-1,-1.0,-1
134,2015-10-15,118.673,119.172,118.064,118.676,-1,-1.0,-1
135,2015-10-16,119.171,119.663,118.831,119.174,-1,-1.0,-1
136,2015-10-19,119.396,119.62,119.139,119.399,-1,-1.0,-1
137,2015-10-20,119.645,119.965,119.413,119.647,-1,-1.0,-1
138,2015-10-21,119.932,120.094,119.756,119.935,-1,-1.0,-1
139,2015-10-22,120.054,120.773,119.615,120.056,-1,-1.0,-1
140,2015-10-23,120.852,121.492,120.222,120.855,-1,-1.0,-1
141,2015-10-26,121.068,121.53,120.6,121.072,-1,-1.0,-1
142,2015-10-27,120.544,121.09,120.161,120.547,-1,-1.0,-1
143,2015-10-28,120.49,121.262,119.956,120.493,-1,-1.0,-1
144,2015-10-29,120.917,121.185,120.587,120.92,-1,-1.0,-1
145,2015-10-30,120.756,121.49,120.28,120.759,-1,-1.0,-1
146,2015-11-02,120.558,120.813,120.256,120.56,-1,-1.0,-1
147,2015-11-03,120.872,121.232,120.598,120.875,-1,-1.0,-1
148,2015-11-04,121.3,121.721,121.0,121.302,-1,-1.0,-1
149,2015-11-05,121.655,122.004,121.386,121.658,-1,-1.0,-1
150,2015-11-06,122.273,123.27,121.631,122.276,-1,-1.0,-1
151,2015-11-09,123.318,123.607,122.977,123.32,-1,-1.0,-1
152,2015-11-10,123.205,123.44,123.028,123.207,-1,-1.0,-1
153,2015-11-11,122.986,123.229,122.738,122.989,-1,-1.0,-1
154,2015-11-12,122.871,123.074,122.555,122.874,-1,-1.0,-1
155,2015-11-13,122.694,122.99,122.43,122.696,-1,-1.0,-1
156,2015-11-16,122.821,123.28,122.224,122.824,-1,-1.0,-1
157,2015-11-17,123.336,123.49,123.183,123.339,-1,-1.0,-1
158,2015-11-18,123.408,123.766,123.22,123.411,-1,-1.0,-1
159,2015-11-19,123.145,123.635,122.621,123.148,-1,-1.0,-1
160,2015-11-20,122.864,123.054,122.72,122.867,-1,-1.0,-1
161,2015-11-23,123.046,123.262,122.781,123.048,-1,-1.0,-1
162,2015-11-24,122.622,122.965,122.307,122.625,-1,-1.0,-1
163,2015-11-25,122.563,122.939,122.258,122.565,-1,-1.0,-1
164,2015-11-26,122.601,122.775,122.5,122.604,-1,-1.0,-1
165,2015-11-27,122.645,122.881,122.305,122.647,-1,-1.0,-1
166,2015-11-30,122.958,123.343,122.685,122.96,-1,-1.0,-1
167,2015-12-01,122.984,123.277,122.64,122.987,-1,-1.0,-1
168,2015-12-02,123.159,123.674,122.827,123.161,-1,-1.0,-1
169,2015-12-03,123.178,123.564,122.298,123.18,-1,-1.0,-1
170,2015-12-04,122.852,123.376,122.476,122.854,-1,-1.0,-1
171,2015-12-07,123.311,123.478,123.152,123.314,-1,-1.0,-1
172,2015-12-08,123.068,123.397,122.722,123.07,-1,-1.0,-1
173,2015-12-09,122.367,123.049,121.074,122.369,-1,-1.0,-1
174,2015-12-10,121.569,121.869,121.245,121.571,-1,-1.0,-1
175,2015-12-11,121.533,122.23,120.581,121.536,-1,-1.0,-1
176,2015-12-14,120.945,121.356,120.343,120.948,-1,-1.0,-1
177,2015-12-15,121.193,121.795,120.575,121.196,-1,-1.0,-1
178,2015-12-16,121.862,122.437,121.38,121.865,-1,-1.0,-1
