,date,open,high,low,close,volume,average,barCount
5,2015-05-31 19:57:00,124.195,124.203,124.19,124.198,-1,-1.0,-1
6,2015-05-31 19:58:00,124.198,124.21,124.192,124.202,-1,-1.0,-1
7,2015-05-31 19:59:00,124.215,124.251,124.2,124.218,-1,-1.0,-1
8,2015-05-31 20:00:00,124.25,124.262,124.234,124.252,-1,-1.0,-1
9,2015-05-31 20:01:00,124.228,124.246,124.209,124.232,-1,-1.0,-1
0,2015-06-01 09:27:00,123.93,123.938,123.92,123.931,-1,-1.0,-1
1,2015-06-01 09:28:00,123.939,123.953,123.928,123.941,-1,-1.0,-1
2,2015-06-01 09:29:00,123.952,123.964,123.942,123.954,-1,-1.0,-1
3,2015-06-01 09:30:00,123.945,123.963,123.931,123.946,-1,-1.0,-1
4,2015-06-01 09:31:00,123.921,123.944,123.905,123.922,-1,-1.0,-1
15,2015-06-01 19:57:00,124.86,124.864,124.853,124.862,-1,-1.0,-1
16,2015-06-01 19:58:00,124.857,124.87,124.853,124.859,-1,-1.0,-1
17,2015-06-01 19:59:00,124.864,124.874,124.858,124.867,-1,-1.0,-1
18,2015-06-01 20:00:00,124.873,124.878,124.862,124.875,-1,-1.0,-1
19,2015-06-01 20:01:00,124.855,124.871,124.839,124.858,-1,-1.0,-1
10,2015-06-02 09:27:00,124.372,124.407,124.353,124.374,-1,-1.0,-1
11,2015-06-02 09:28:00,124.404,124.441,124.368,124.407,-1,-1.0,-1
12,2015-06-02 09:29:00,124.397,124.426,124.372,124.4,-1,-1.0,-1
13,2015-06-02 09:30:00,124.383,124.423,124.358,124.385,-1,-1.0,-1
14,2015-06-02 09:31:00,124.433,124.465,124.4,124.436,-1,-1.0,-1
25,2015-06-02 19:57:00,124.037,124.046,124.026,124.04,-1,-1.0,-1
26,2015-06-02 19:58:00,124.042,124.05,124.04,124.045,-1,-1.0,-1
27,2015-06-02 19:59:00,124.046,124.06,124.04,124.048,-1,-1.0,-1
28,2015-06-02 20:00:00,124.067,124.079,124.055,124.07,-1,-1.0,-1
29,2015-06-02 20:01:00,124.086,124.099,124.075,124.089,-1,-1.0,-1
20,2015-06-03 09:27:00,124.554,124.57,124.539,124.556,-1,-1.0,-1
21,2015-06-03 09:28:00,124.558,124.57,124.54,124.56,-1,-1.0,-1
22,2015-06-03 09:29:00,124.552,124.567,124.541,124.554,-1,-1.0,-1
23,2015-06-03 09:30:00,124.532,124.552,124.512,124.534,-1,-1.0,-1
24,2015-06-03 09:31:00,124.503,124.528,124.485,124.504,-1,-1.0,-1
35,2015-06-03 19:57:00,124.312,124.32,124.31,124.317,-1,-1.0,-1
36,2015-06-03 19:58:00,124.302,124.317,124.294,124.307,-1,-1.0,-1
37,2015-06-03 19:59:00,124.302,124.31,124.297,124.306,-1,-1.0,-1
38,2015-06-03 20:00:00,124.321,124.337,124.304,124.325,-1,-1.0,-1
39,2015-06-03 20:01:00,124.328,124.335,124.327,124.332,-1,-1.0,-1
30,2015-06-04 09:27:00,124.488,124.495,124.478,124.49,-1,-1.0,-1
31,2015-06-04 09:28:00,124.486,124.5,124.476,124.488,-1,-1.0,-1
32,2015-06-04 09:29:00,124.483,124.501,124.466,124.486,-1,-1.0,-1
33,2015-06-04 09:30:00,124.357,124.47,124.287,124.359,-1,-1.0,-1
34,2015-06-04 09:31:00,124.358,124.389,124.324,124.36,-1,-1.0,-1
45,2015-06-04 19:57:00,124.386,124.394,124.382,124.39,-1,-1.0,-1
46,2015-06-04 19:58:00,124.383,124.389,124.38,124.387,-1,-1.0,-1
47,2015-06-04 19:59:00,124.381,124.396,124.379,124.384,-1,-1.0,-1
48,2015-06-04 20:00:00,124.375,124.399,124.359,124.379,-1,-1.0,-1
49,2015-06-04 20:01:00,124.393,124.434,124.37,124.396,-1,-1.0,-1
40,2015-06-05 09:27:00,125.722,125.737,125.702,125.724,-1,-1.0,-1
41,2015-06-05 09:28:00,125.74,125.789,125.719,125.742,-1,-1.0,-1
42,2015-06-05 09:29:00,125.781,125.803,125.763,125.783,-1,-1.0,-1
43,2015-06-05 09:30:00,125.776,125.799,125.747,125.778,-1,-1.0,-1
44,2015-06-05 09:31:00,125.82,125.859,125.776,125.822,-1,-1.0,-1
50,2015-06-05 16:55:00,125.583,125.6,125.574,125.592,-1,-1.0,-1
55,2015-06-05 16:55:00,125.583,125.6,125.574,125.592,-1,-1.0,-1
51,2015-06-05 16:56:00,125.593,125.606,125.589,125.6,-1,-1.0,-1
56,2015-06-05 16:56:00,125.593,125.606,125.589,125.6,-1,-1.0,-1
57,2015-06-05 16:57:00,125.607,125.634,125.592,125.619,-1,-1.0,-1
52,2015-06-05 16:57:00,125.607,125.634,125.592,125.619,-1,-1.0,-1
53,2015-06-05 16:58:00,125.611,125.65,125.603,125.625,-1,-1.0,-1
58,2015-06-05 16:58:00,125.611,125.65,125.603,125.625,-1,-1.0,-1
59,2015-06-05 16:59:00,125.604,125.665,125.575,125.636,-1,-1.0,-1
54,2015-06-05 16:59:00,125.604,125.665,125.575,125.636,-1,-1.0,-1
65,2015-06-07 19:57:00,125.633,125.641,125.627,125.636,-1,-1.0,-1
66,2015-06-07 19:58:00,125.627,125.637,125.615,125.63,-1,-1.0,-1
67,2015-06-07 19:59:00,125.625,125.64,125.616,125.629,-1,-1.0,-1
68,2015-06-07 20:00:00,125.606,125.636,125.572,125.608,-1,-1.0,-1
69,2015-06-07 20:01:00,125.588,125.595,125.583,125.591,-1,-1.0,-1
60,2015-06-08 09:27:00,125.122,125.128,125.115,125.124,-1,-1.0,-1
61,2015-06-08 09:28:00,125.128,125.137,125.118,125.13,-1,-1.0,-1
62,2015-06-08 09:29:00,125.129,125.138,125.122,125.131,-1,-1.0,-1
63,2015-06-08 09:30:00,125.11,125.137,125.1,125.112,-1,-1.0,-1
64,2015-06-08 09:31:00,125.101,125.11,125.089,125.102,-1,-1.0,-1
75,2015-06-08 19:57:00,124.579,124.588,124.57,124.582,-1,-1.0,-1
76,2015-06-08 19:58:00,124.571,124.578,124.569,124.574,-1,-1.0,-1
77,2015-06-08 19:59:00,124.573,124.583,124.566,124.577,-1,-1.0,-1
78,2015-06-08 20:00:00,124.596,124.612,124.57,124.599,-1,-1.0,-1
79,2015-06-08 20:01:00,124.628,124.649,124.61,124.631,-1,-1.0,-1
70,2015-06-09 09:27:00,124.145,124.155,124.131,124.147,-1,-1.0,-1
71,2015-06-09 09:28:00,124.143,124.155,124.136,124.145,-1,-1.0,-1
72,2015-06-09 09:29:00,124.124,124.156,124.096,124.126,-1,-1.0,-1
73,2015-06-09 09:30:00,124.106,124.127,124.094,124.108,-1,-1.0,-1
74,2015-06-09 09:31:00,124.114,124.13,124.11,124.116,-1,-1.0,-1
85,2015-06-09 19:57:00,124.349,124.358,124.334,124.352,-1,-1.0,-1
86,2015-06-09 19:58:00,124.344,124.355,124.335,124.348,-1,-1.0,-1
87,2015-06-09 19:59:00,124.353,124.368,124.349,124.357,-1,-1.0,-1
88,2015-06-09 20:00:00,124.39,124.417,124.352,124.395,-1,-1.0,-1
89,2015-06-09 20:01:00,124.399,124.417,124.39,124.403,-1,-1.0,-1
80,2015-06-10 09:27:00,122.705,122.719,122.685,122.708,-1,-1.0,-1
81,2015-06-10 09:28:00,122.698,122.714,122.674,122.7,-1,-1.0,-1
82,2015-06-10 09:29:00,122.704,122.735,122.687,122.706,-1,-1.0,-1
83,2015-06-10 09:30:00,122.763,122.794,122.732,122.766,-1,-1.0,-1
84,2015-06-10 09:31:00,122.787,122.812,122.773,122.79,-1,-1.0,-1
95,2015-06-10 19:57:00,122.871,122.883,122.862,122.875,-1,-1.0,-1
96,2015-06-10 19:58:00,122.875,122.882,122.87,122.877,-1,-1.0,-1
97,2015-06-10 19:59:00,122.877,122.887,122.871,122.879,-1,-1.0,-1
98,2015-06-10 20:00:00,122.921,122.936,122.886,122.925,-1,-1.0,-1
99,2015-06-10 20:01:00,122.933,122.941,122.923,122.938,-1,-1.0,-1
90,2015-06-11 09:27:00,123.611,123.624,123.6,123.613,-1,-1.0,-1
91,2015-06-11 09:28:00,123.614,123.642,123.598,123.616,-1,-1.0,-1
92,2015-06-11 09:29:00,123.592,123.608,123.581,123.594,-1,-1.0,-1
93,2015-06-11 09:30:00,123.604,123.62,123.589,123.606,-1,-1.0,-1
94,2015-06-11 09:31:00,123.63,123.667,123.604,123.632,-1,-1.0,-1
105,2015-06-11 19:57:00,123.582,123.588,123.58,123.585,-1,-1.0,-1
106,2015-06-11 19:58:00,123.586,123.592,123.577,123.589,-1,-1.0,-1
107,2015-06-11 19:59:00,123.575,123.602,123.552,123.579,-1,-1.0,-1
108,2015-06-11 20:00:00,123.603,123.622,123.58,123.606,-1,-1.0,-1
109,2015-06-11 20:01:00,123.603,123.623,123.568,123.606,-1,-1.0,-1
100,2015-06-12 09:27:00,123.739,123.749,123.733,123.741,-1,-1.0,-1
101,2015-06-12 09:28:00,123.739,123.748,123.735,123.742,-1,-1.0,-1
102,2015-06-12 09:29:00,123.738,123.748,123.728,123.741,-1,-1.0,-1
103,2015-06-12 09:30:00,123.746,123.76,123.731,123.748,-1,-1.0,-1
104,2015-06-12 09:31:00,123.729,123.745,123.719,123.732,-1,-1.0,-1
110,2015-06-12 16:55:00,123.416,123.43,123.413,123.425,-1,-1.0,-1
115,2015-06-12 16:55:00,123.416,123.43,123.413,123.425,-1,-1.0,-1
116,2015-06-12 16:56:00,123.424,123.46,123.413,123.442,-1,-1.0,-1
111,2015-06-12 16:56:00,123.424,123.46,123.413,123.442,-1,-1.0,-1
112,2015-06-12 16:57:00,123.418,123.46,123.415,123.451,-1,-1.0,-1
117,2015-06-12 16:57:00,123.418,123.46,123.415,123.451,-1,-1.0,-1
118,2015-06-12 16:58:00,123.415,123.447,123.415,123.433,-1,-1.0,-1
113,2015-06-12 16:58:00,123.415,123.447,123.415,123.433,-1,-1.0,-1
114,2015-06-12 16:59:00,123.417,123.46,123.415,123.446,-1,-1.0,-1
119,2015-06-12 16:59:00,123.417,123.46,123.415,123.446,-1,-1.0,-1
125,2015-06-14 19:57:00,123.294,123.303,123.293,123.298,-1,-1.0,-1
126,2015-06-14 19:58:00,123.295,123.303,123.293,123.301,-1,-1.0,-1
127,2015-06-14 19:59:00,123.289,123.3,123.28,123.293,-1,-1.0,-1
128,2015-06-14 20:00:00,123.342,123.366,123.295,123.346,-1,-1.0,-1
129,2015-06-14 20:01:00,123.355,123.365,123.345,123.359,-1,-1.0,-1
120,2015-06-15 09:27:00,123.353,123.372,123.345,123.356,-1,-1.0,-1
121,2015-06-15 09:28:00,123.4,123.426,123.369,123.403,-1,-1.0,-1
122,2015-06-15 09:29:00,123.412,123.43,123.402,123.414,-1,-1.0,-1
123,2015-06-15 09:30:00,123.387,123.431,123.341,123.39,-1,-1.0,-1
124,2015-06-15 09:31:00,123.358,123.371,123.342,123.36,-1,-1.0,-1
135,2015-06-15 19:57:00,123.42,123.426,123.415,123.424,-1,-1.0,-1
136,2015-06-15 19:58:00,123.421,123.426,123.42,123.425,-1,-1.0,-1
137,2015-06-15 19:59:00,123.419,123.425,123.416,123.423,-1,-1.0,-1
138,2015-06-15 20:00:00,123.44,123.451,123.42,123.443,-1,-1.0,-1
139,2015-06-15 20:01:00,123.435,123.44,123.43,123.438,-1,-1.0,-1
130,2015-06-16 09:27:00,123.413,123.428,123.401,123.416,-1,-1.0,-1
131,2015-06-16 09:28:00,123.409,123.415,123.404,123.411,-1,-1.0,-1
132,2015-06-16 09:29:00,123.409,123.413,123.407,123.41,-1,-1.0,-1
133,2015-06-16 09:30:00,123.397,123.412,123.382,123.399,-1,-1.0,-1
134,2015-06-16 09:31:00,123.4,123.41,123.379,123.402,-1,-1.0,-1
145,2015-06-16 19:57:00,123.442,123.448,123.44,123.447,-1,-1.0,-1
146,2015-06-16 19:58:00,123.442,123.448,123.44,123.446,-1,-1.0,-1
147,2015-06-16 19:59:00,123.443,123.461,123.438,123.448,-1,-1.0,-1
148,2015-06-16 20:00:00,123.456,123.467,123.445,123.461,-1,-1.0,-1
149,2015-06-16 20:01:00,123.447,123.465,123.429,123.451,-1,-1.0,-1
140,2015-06-17 09:27:00,124.006,124.011,124.002,124.009,-1,-1.0,-1
141,2015-06-17 09:28:00,123.996,124.009,123.99,123.998,-1,-1.0,-1
142,2015-06-17 09:29:00,123.994,124.0,123.993,123.996,-1,-1.0,-1
143,2015-06-17 09:30:00,124.005,124.013,123.993,124.008,-1,-1.0,-1
144,2015-06-17 09:31:00,124.009,124.015,124.005,124.011,-1,-1.0,-1
155,2015-06-17 19:57:00,123.526,123.542,123.515,123.531,-1,-1.0,-1
156,2015-06-17 19:58:00,123.537,123.549,123.525,123.539,-1,-1.0,-1
157,2015-06-17 19:59:00,123.552,123.581,123.538,123.555,-1,-1.0,-1
158,2015-06-17 20:00:00,123.56,123.576,123.55,123.564,-1,-1.0,-1
159,2015-06-17 20:01:00,123.553,123.59,123.525,123.557,-1,-1.0,-1
150,2015-06-18 09:27:00,122.723,122.735,122.715,122.725,-1,-1.0,-1
151,2015-06-18 09:28:00,122.726,122.733,122.718,122.729,-1,-1.0,-1
152,2015-06-18 09:29:00,122.721,122.732,122.716,122.724,-1,-1.0,-1
153,2015-06-18 09:30:00,122.722,122.735,122.714,122.725,-1,-1.0,-1
154,2015-06-18 09:31:00,122.729,122.743,122.72,122.732,-1,-1.0,-1
165,2015-06-18 19:57:00,123.01,123.02,123.009,123.015,-1,-1.0,-1
166,2015-06-18 19:58:00,123.009,123.015,123.007,123.014,-1,-1.0,-1
167,2015-06-18 19:59:00,122.997,123.015,122.985,123.0,-1,-1.0,-1
168,2015-06-18 20:00:00,123.034,123.05,123.001,123.036,-1,-1.0,-1
169,2015-06-18 20:01:00,123.037,123.046,123.03,123.042,-1,-1.0,-1
160,2015-06-19 09:27:00,122.786,122.813,122.762,122.788,-1,-1.0,-1
161,2015-06-19 09:28:00,122.777,122.795,122.754,122.78,-1,-1.0,-1
162,2015-06-19 09:29:00,122.762,122.777,122.753,122.764,-1,-1.0,-1
163,2015-06-19 09:30:00,122.769,122.78,122.756,122.772,-1,-1.0,-1
164,2015-06-19 09:31:00,122.77,122.782,122.755,122.773,-1,-1.0,-1
170,2015-06-19 16:55:00,122.682,122.694,122.675,122.69,-1,-1.0,-1
175,2015-06-19 16:55:00,122.682,122.694,122.675,122.69,-1,-1.0,-1
171,2015-06-19 16:56:00,122.677,122.689,122.671,122.685,-1,-1.0,-1
176,2015-06-19 16:56:00,122.677,122.689,122.671,122.685,-1,-1.0,-1
172,2015-06-19 16:57:00,122.675,122.71,122.669,122.689,-1,-1.0,-1
177,2015-06-19 16:57:00,122.675,122.71,122.669,122.689,-1,-1.0,-1
178,2015-06-19 16:58:00,122.679,122.724,122.664,122.695,-1,-1.0,-1
173,2015-06-19 16:58:00,122.679,122.724,122.664,122.695,-1,-1.0,-1
179,2015-06-19 16:59:00,122.67,122.74,122.658,122.704,-1,-1.0,-1
174,2015-06-19 16:59:00,122.67,122.74,122.658,122.704,-1,-1.0,-1
185,2015-06-21 19:57:00,122.74,122.773,122.73,122.746,-1,-1.0,-1
186,2015-06-21 19:58:00,122.761,122.775,122.755,122.767,-1,-1.0,-1
187,2015-06-21 19:59:00,122.766,122.782,122.76,122.77,-1,-1.0,-1
188,2015-06-21 20:00:00,122.787,122.812,122.771,122.794,-1,-1.0,-1
189,2015-06-21 20:01:00,122.786,122.8,122.78,122.792,-1,-1.0,-1
180,2015-06-22 09:27:00,123.155,123.165,123.15,123.158,-1,-1.0,-1
181,2015-06-22 09:28:00,123.151,123.157,123.149,123.154,-1,-1.0,-1
182,2015-06-22 09:29:00,123.151,123.155,123.149,123.153,-1,-1.0,-1
183,2015-06-22 09:30:00,123.149,123.155,123.139,123.152,-1,-1.0,-1
184,2015-06-22 09:31:00,123.142,123.149,123.139,123.145,-1,-1.0,-1
195,2015-06-22 19:57:00,123.384,123.388,123.383,123.387,-1,-1.0,-1
196,2015-06-22 19:58:00,123.388,123.396,123.385,123.391,-1,-1.0,-1
197,2015-06-22 19:59:00,123.399,123.424,123.392,123.403,-1,-1.0,-1
198,2015-06-22 20:00:00,123.411,123.432,123.394,123.414,-1,-1.0,-1
199,2015-06-22 20:01:00,123.394,123.408,123.389,123.397,-1,-1.0,-1
190,2015-06-23 09:27:00,124.142,124.154,124.137,124.144,-1,-1.0,-1
191,2015-06-23 09:28:00,124.127,124.138,124.125,124.129,-1,-1.0,-1
192,2015-06-23 09:29:00,124.134,124.15,124.126,124.136,-1,-1.0,-1
193,2015-06-23 09:30:00,124.122,124.14,124.11,124.124,-1,-1.0,-1
194,2015-06-23 09:31:00,124.115,124.122,124.11,124.117,-1,-1.0,-1
205,2015-06-23 19:57:00,123.856,123.872,123.847,123.859,-1,-1.0,-1
206,2015-06-23 19:58:00,123.867,123.871,123.866,123.87,-1,-1.0,-1
207,2015-06-23 19:59:00,123.867,123.878,123.865,123.87,-1,-1.0,-1
208,2015-06-23 20:00:00,123.876,123.889,123.866,123.878,-1,-1.0,-1
209,2015-06-23 20:01:00,123.859,123.87,123.849,123.862,-1,-1.0,-1
200,2015-06-24 09:27:00,124.149,124.159,124.145,124.151,-1,-1.0,-1
201,2015-06-24 09:28:00,124.133,124.148,124.122,124.135,-1,-1.0,-1
202,2015-06-24 09:29:00,124.123,124.134,124.116,124.125,-1,-1.0,-1
203,2015-06-24 09:30:00,124.113,124.12,124.107,124.116,-1,-1.0,-1
204,2015-06-24 09:31:00,124.105,124.118,124.1,124.108,-1,-1.0,-1
215,2015-06-24 19:57:00,123.857,123.866,123.847,123.861,-1,-1.0,-1
216,2015-06-24 19:58:00,123.856,123.863,123.85,123.86,-1,-1.0,-1
217,2015-06-24 19:59:00,123.854,123.865,123.851,123.858,-1,-1.0,-1
218,2015-06-24 20:00:00,123.868,123.878,123.86,123.871,-1,-1.0,-1
219,2015-06-24 20:01:00,123.878,123.899,123.865,123.881,-1,-1.0,-1
210,2015-06-25 09:27:00,123.607,123.613,123.602,123.61,-1,-1.0,-1
211,2015-06-25 09:28:00,123.6,123.613,123.592,123.603,-1,-1.0,-1
212,2015-06-25 09:29:00,123.605,123.625,123.591,123.607,-1,-1.0,-1
213,2015-06-25 09:30:00,123.605,123.623,123.596,123.608,-1,-1.0,-1
214,2015-06-25 09:31:00,123.621,123.629,123.613,123.623,-1,-1.0,-1
225,2015-06-25 19:57:00,123.589,123.605,123.585,123.592,-1,-1.0,-1
226,2015-06-25 19:58:00,123.6,123.605,123.595,123.603,-1,-1.0,-1
227,2015-06-25 19:59:00,123.598,123.604,123.59,123.6,-1,-1.0,-1
228,2015-06-25 20:00:00,123.595,123.608,123.585,123.598,-1,-1.0,-1
229,2015-06-25 20:01:00,123.592,123.607,123.577,123.595,-1,-1.0,-1
220,2015-06-26 09:27:00,123.881,123.895,123.874,123.883,-1,-1.0,-1
221,2015-06-26 09:28:00,123.868,123.879,123.853,123.87,-1,-1.0,-1
222,2015-06-26 09:29:00,123.866,123.877,123.856,123.867,-1,-1.0,-1
223,2015-06-26 09:30:00,123.888,123.9,123.871,123.89,-1,-1.0,-1
224,2015-06-26 09:31:00,123.887,123.907,123.868,123.889,-1,-1.0,-1
230,2015-06-26 16:55:00,123.841,123.871,123.83,123.851,-1,-1.0,-1
235,2015-06-26 16:55:00,123.841,123.871,123.83,123.851,-1,-1.0,-1
236,2015-06-26 16:56:00,123.843,123.879,123.831,123.857,-1,-1.0,-1
231,2015-06-26 16:56:00,123.843,123.879,123.831,123.857,-1,-1.0,-1
232,2015-06-26 16:57:00,123.865,123.895,123.857,123.881,-1,-1.0,-1
237,2015-06-26 16:57:00,123.865,123.895,123.857,123.881,-1,-1.0,-1
238,2015-06-26 16:58:00,123.872,123.9,123.864,123.888,-1,-1.0,-1
233,2015-06-26 16:58:00,123.872,123.9,123.864,123.888,-1,-1.0,-1
234,2015-06-26 16:59:00,123.86,123.901,123.846,123.897,-1,-1.0,-1
239,2015-06-26 16:59:00,123.86,123.901,123.846,123.897,-1,-1.0,-1
245,2015-06-28 19:57:00,122.598,122.624,122.57,122.605,-1,-1.0,-1
246,2015-06-28 19:58:00,122.599,122.644,122.569,122.605,-1,-1.0,-1
247,2015-06-28 19:59:00,122.586,122.6,122.579,122.592,-1,-1.0,-1
248,2015-06-28 20:00:00,122.507,122.608,122.44,122.514,-1,-1.0,-1
249,2015-06-28 20:01:00,122.52,122.563,122.472,122.525,-1,-1.0,-1
240,2015-06-29 09:27:00,122.85,122.862,122.837,122.853,-1,-1.0,-1
241,2015-06-29 09:28:00,122.839,122.876,122.824,122.842,-1,-1.0,-1
242,2015-06-29 09:29:00,122.874,122.885,122.868,122.877,-1,-1.0,-1
243,2015-06-29 09:30:00,122.865,122.894,122.85,122.867,-1,-1.0,-1
244,2015-06-29 09:31:00,122.888,122.914,122.852,122.891,-1,-1.0,-1
