,date,open,high,low,close,volume,average,barCount
0,2015-04-09,37.31,37.51,37.15,37.5,1448,37.3505,1070
1,2015-04-10,37.27,37.45,36.95,37.43,2505,37.3565,1532
2,2015-04-13,37.33,37.4,37.15,37.29,813,37.3215,562
3,2015-04-14,37.55,37.79,37.55,37.75,1094,37.695,773
4,2015-04-15,37.75,37.77,37.53,37.61,1997,37.62,1359
5,2015-04-16,37.35,37.51,37.3,37.46,1207,37.4255,819
6,2015-04-17,37.66,37.83,37.58,37.81,2028,37.712,1254
7,2015-04-20,37.64,37.82,37.56,37.6,2354,37.6415,1495
8,2015-04-21,38.0,38.02,37.86,37.92,1372,37.9575,758
9,2015-04-22,37.31,37.47,37.24,37.41,2459,37.372,1551
10,2015-04-23,37.21,37.37,36.89,37.33,3028,37.259,2041
11,2015-04-24,37.66,37.68,37.5,37.58,1235,37.5555,932
12,2015-04-27,37.46,37.48,36.84,36.95,2443,37.082,1696
13,2015-04-28,36.57,36.65,36.4,36.53,1694,36.5265,1275
14,2015-04-29,36.39,36.43,36.11,36.3,1567,36.264,1227
15,2015-04-30,35.71,35.94,35.52,35.6,2148,35.718,1435
16,2015-05-01,35.73,35.99,35.73,35.96,773,35.876,567
17,2015-05-04,35.91,36.1,35.91,36.03,895,36.044,605
18,2015-05-05,35.97,36.0,35.52,35.56,1031,35.6605,804
19,2015-05-06,35.71,35.71,35.34,35.52,895,35.473,645
20,2015-05-07,35.52,35.63,35.45,35.52,1148,35.5315,856
21,2015-05-08,35.53,35.81,35.53,35.81,1130,35.7335,893
22,2015-05-11,35.67,35.67,35.42,35.49,767,35.523,584
23,2015-05-12,35.4,35.51,35.32,35.43,741,35.418,628
24,2015-05-13,35.72,35.78,35.45,35.57,1736,35.5935,1351
25,2015-05-14,35.72,35.79,35.63,35.76,1819,35.727,1440
26,2015-05-15,35.69,35.87,35.62,35.84,1274,35.7415,731
27,2015-05-18,36.03,36.03,35.77,35.86,1192,35.8495,826
28,2015-05-19,35.76,35.84,35.59,35.64,1136,35.7145,841
29,2015-05-20,35.89,36.03,35.85,35.95,1086,35.9435,705
30,2015-05-21,35.69,35.72,35.28,35.45,2780,35.4425,1780
31,2015-05-22,35.08,35.34,35.04,35.22,1649,35.238,1032
32,2015-05-26,34.63,34.75,34.52,34.67,1526,34.621,1012
33,2015-05-27,35.09,35.21,35.04,35.09,1052,35.1135,718
34,2015-05-28,34.84,35.0,34.8,34.96,877,34.908,640
35,2015-05-29,34.54,34.58,34.44,34.53,1891,34.5285,1342
36,2015-06-01,34.62,34.72,34.55,34.57,854,34.6125,675
37,2015-06-02,34.15,34.34,34.08,34.2,1580,34.225,936
38,2015-06-03,34.39,34.52,34.28,34.47,927,34.455,644
39,2015-06-04,34.06,34.19,34.0,34.15,1037,34.117,749
40,2015-06-05,33.95,34.15,33.93,34.08,993,34.0745,738
41,2015-06-08,33.98,34.0,33.88,33.91,881,33.945,607
42,2015-06-09,33.77,33.78,33.6,33.69,12288,33.711,870
43,2015-06-10,33.98,34.26,33.98,34.13,1090,34.1585,778
44,2015-06-11,34.02,34.02,33.86,33.97,1401,33.954,1034
45,2015-06-12,33.74,33.84,33.67,33.75,1312,33.7655,944
